0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 07,Moto3,Automotodrom Brno,FP2,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=11,laps=5,
lap,1,2'38.957,35.094,38.476,35.951,22.763,,,,,,,
lap,2,2'11.433,34.710,37.873,36.178,22.672,213.0,,,,,,
lap,3,2'10.636,34.401,37.992,35.691,22.552,212.5,,,,,,
lap,4,2'22.321,P,35.773,39.059,37.176,30.313,211.7,,,,,
lap,5,5'50.754,34.985,38.165,35.360,22.421,,,,,,,
lap,6,2'09.420,34.215,37.491,35.369,22.345,214.7,,,,,,
lap,7,2'09.946,34.163,37.952,35.357,22.474,214.7,,,,,,
lap,8,2'09.989,34.225,37.760,35.482,22.522,213.0,,,,,,
lap,9,2'20.680,P,35.315,38.818,36.565,29.982,211.3,,,,,
lap,10,14'53.587,50.999,38.191,38.692,22.912,,,,,,,
lap,11,2'09.097,33.847,37.551,35.397,22.302,216.4,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,2nd,5,Total,laps=10,laps=4,,,
lap,1,4'04.430,P,47.476,41.652,37.700,30.071,,,,,,
lap,2,12'06.636,35.386,38.796,35.851,22.408,,,,,,,
lap,3,2'10.787,34.368,38.245,35.719,22.455,218.6,,,,,,
lap,4,2'11.276,34.527,38.209,35.931,22.609,218.6,,,,,,
lap,5,2'20.857,P,34.653,40.272,36.370,29.562,217.7,,,,,
lap,6,5'55.652,37.858,38.611,36.045,22.755,,,,,,,
lap,7,2'11.685,34.611,38.545,35.967,22.562,218.6,,,,,,
lap,8,2'16.593,P,34.432,38.315,35.811,28.035,218.1,,,,,
lap,9,6'27.951,1'01.259,45.615,37.051,35.012,,,,,,,
lap,10,2'09.364,33.995,37.673,35.242,22.454,220.4,,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,3rd,55,Total,laps=9,laps=2,,
lap,1,3'09.844,34.334,38.480,37.394,25.564,,,,,,,
lap,2,2'10.845,34.405,38.096,35.738,22.606,214.7,,,,,,
lap,3,2'23.023,P,37.751*,38.546,36.508*,30.218,215.5,,,,,
lap,4,8'56.496,34.391,38.262,36.033,22.705,,,,,,,
lap,5,2'11.284,34.504,38.011,35.945,22.824,213.4,,,,,,
lap,6,2'20.046,P,35.411*,39.078,36.999,28.558,212.5,,,,,
lap,7,8'34.128,P,38.199,38.230,35.833,29.138,,,,,,
lap,8,9'10.250,36.536,38.040,38.493,22.874,,,,,,,
lap,9,2'09.655,34.098,37.577,35.493,22.487,213.4,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,4th,17,Total,laps=11,laps=6,,
lap,1,3'55.438,39.884,38.981,40.801,22.815,,,,,,,
lap,2,2'09.813,33.944,37.868,35.589,22.412,222.6,,,,,,
lap,3,2'10.028,34.080,37.841,35.645,22.462,219.0,,,,,,
lap,4,2'10.522,34.109,38.056,35.819,22.538,219.0,,,,,,
lap,5,2'21.391,P,34.204,38.632,36.444,32.111,219.5,,,,,
lap,6,10'11.558,43.624,41.877,40.401,24.198,,,,,,,
lap,7,2'14.359,34.325,38.688,38.256,23.090,216.8,,,,,,
lap,8,2'11.908,34.302,38.631,36.098,22.877,217.3,,,,,,
lap,9,2'21.520,P,34.798,38.925,36.472,31.325,218.6,,,,,
lap,10,9'57.157,58.135,45.190,36.838,34.082,,,,,,,
lap,11,2'09.663,34.036,37.652,35.499,22.476,215.1,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,5th,11,Total,laps=12,laps=7,,
lap,1,3'49.500,41.339,40.147,41.498,27.446,,,,,,,
lap,2,2'10.284,34.220,37.966,35.674,22.424,217.3,,,,,,
lap,3,2'10.266,34.180,37.930,35.590,22.566,217.7,,,,,,
lap,4,2'11.197,34.432,38.497,35.669,22.599,219.9,,,,,,
lap,5,2'20.949,P,34.599,38.250,35.795,32.305,215.1,,,,,
lap,6,6'52.140,38.150,40.675,37.782,22.744,,,,,,,
lap,7,2'11.950,34.626,38.273,36.185,22.866,213.4,,,,,,
lap,8,2'12.351,34.854,38.487,36.197,22.813,210.9,,,,,,
lap,9,2'12.981,35.075,38.702,36.320,22.884,210.1,,,,,,
lap,10,2'20.442,P,34.916,38.975,36.923,29.628,212.5,,,,,
lap,11,10'26.285,50.888,38.243,38.171,23.233,,,,,,,
lap,12,2'09.698,33.999,37.922,35.430,22.347,219.9,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,6th,7,Total,laps=9,laps=4,,,
lap,1,3'54.052,43.159,38.884,41.040,22.646,,,,,,,
