0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 08,Moto3,Automotodrom Brno,Q1,,,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,1st,14,Total,laps=5,laps=1,,
lap,1,4'29.693,38.924,38.262*,35.604*,28.540,,,,,,,
lap,2,2'20.495,34.189,38.048,42.891,25.367,216.4,,,,,,
lap,3,2'09.267,34.016,37.517,35.350,22.384,214.7,,,,,,
lap,4,2'16.967,P,34.242,38.352,36.239,28.134,217.3,,,,,
lap,5,3'46.001,36.848,38.360,36.179,23.569,,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,2nd,40,Total,laps=4,laps=2,,
lap,1,4'21.756,42.785,39.851,37.158,22.774,,,,,,,
lap,2,2'09.412,33.976,37.535,35.256,22.645,220.8,,,,,,
lap,3,2'17.581,34.816,42.790,36.809,23.166,216.4,,,,,,
lap,4,2'18.331,P,34.216,38.024,35.977,30.114,215.5,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,3rd,5,Total,laps=5,laps=2,,,
lap,1,4'30.676,35.331,38.186,35.337,28.084,,,,,,,
lap,2,2'21.008,P,33.747,37.718,41.316,28.227,221.3,,,,,
lap,3,4'09.396,48.090,38.519,36.260,22.927,,,,,,,
lap,4,2'13.457,33.837,37.847,36.563,25.210,219.9,,,,,,
lap,5,2'09.736,33.815,37.737,35.342,22.842,220.4,,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,4th,16,Total,laps=6,laps=5,
lap,1,4'20.812,44.197,39.729,36.584,22.769,,,,,,,
lap,2,2'13.207,34.151,37.611,36.843,24.602,216.0,,,,,,
lap,3,2'14.222,34.246,40.261,36.649,23.066,216.4,,,,,,
lap,4,2'13.273,34.184,39.885,36.319,22.885,216.8,,,,,,
lap,5,2'09.936,34.013,37.784,35.547,22.592,218.6,,,,,,
lap,6,2'12.662,34.640,38.462,36.354,23.206,214.7,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,5th,53,Total,laps=5,laps=2
lap,1,4'21.162,45.201,38.895,39.106,24.177,,,,,,,
lap,2,2'10.575,34.377,38.005,35.540,22.653,216.8,,,,,,
lap,3,2'17.643,P,34.452,38.150,36.004,29.037,214.2,,,,,
lap,4,4'25.612,37.219,37.759,35.761,25.443,,,,,,,
lap,5,2'10.017,33.994,37.786,35.647,22.590,218.6,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,6th,12,Total,laps=6,laps=3,,
lap,1,4'30.464,37.139,38.132,35.639,28.794*,,,,,,,
lap,2,2'18.592,34.083,37.708,41.799,25.002,216.8,,,,,,
lap,3,2'10.078,34.180,37.672,35.499,22.727,213.4,,,,,,
lap,4,2'12.691,34.793,38.296,36.281,23.321,212.5,,,,,,
lap,5,2'10.030,34.113,37.831,35.445,22.641,216.0,,,,,,
lap,6,2'26.038,P,38.712,40.098,37.549,29.679,216.0,,,,,
rider,Barry,BALTUS,CarXpert,PruestelGP,BEL,7th,70,Total,laps=6,laps=5,,,
lap,1,4'20.958,44.635,39.015,39.624,24.446,,,,,,,
lap,2,2'10.084,34.116,37.699,35.564,22.705,215.5,,,,,,
lap,3,2'15.733,35.033,40.548,36.620,23.532,210.9,,,,,,
lap,4,2'10.219,34.296,37.888,35.496,22.539,216.8,,,,,,
lap,5,2'14.630,34.356,39.079,37.734,23.461,218.6,,,,,,
lap,6,2'12.688,34.549,38.510,36.295,23.334,215.1,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,8th,99,Total,laps=7,laps=3,,
lap,1,2'27.286,34.933,38.723,36.045,23.177,,,,,,,
lap,2,2'11.724,34.667,38.105,35.999,22.953,211.7,,,,,,
lap,3,2'11.344,34.418,38.112,35.886,22.928,212.5,,,,,,
lap,4,2'10.754,34.261,37.956,35.722,22.815,216.4,,,,,,
lap,5,2'17.867,P,34.875,38.818,36.245,27.929,214.2,,,,,
lap,6,3'37.210,36.240,38.347,36.007,22.868,,,,,,,
lap,7,2'10.120,34.224,37.772,35.456,22.668,211.7,,,,,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,9th,54,Total,laps=6,laps=4,
lap,1,4'22.624,45.979,40.085,38.855,24.500,,,,,,,
lap,2,2'10.142,34.119,38.034,35.467,22.522,217.7,,,,,,
lap,3,2'14.475,34.855,39.553*,36.881,23.186,220.4,,,,,,
lap,4,2'10.163,34.251,37.856,35.525,22.531,215.5,,,,,,
lap,5,2'15.097,34.122,38.503,37.807,24.665,216.8,,,,,,
lap,6,2'11.938,34.340,38.084,36.101,23.413,214.7,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,10th,13,Total,laps=6,laps=5,
lap,1,4'20.283,47.073,39.291,38.842,24.004,,,,,,,
lap,2,2'14.439,34.400,37.738,36.331,25.970,214.2,,,,,,
lap,3,2'11.971,34.008,38.642,36.350,22.971,215.5,,,,,,
lap,4,2'10.222,34.198,37.865,35.555,22.604,216.4,,,,,,
lap,5,2'16.482,34.243,40.183,36.953,25.103,216.8,,,,,,
lap,6,2'10.686,34.221,37.841,35.707,22.917,216.8,,,,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,11th,21,Total,laps=6,laps=4,,
lap,1,4'22.361,39.921,38.320,38.220,24.509,,,,,,,
lap,2,2'10.292,33.877,38.039,35.861,22.515,218.1,,,,,,
lap,3,2'10.455,34.319,37.715,35.575,22.846,219.0,,,,,,
lap,4,2'10.600,34.276,37.780,35.731,22.813,211.7,,,,,,
lap,5,2'20.094,36.208,41.759*,37.266,24.861,213.4,,,,,,
lap,6,2'10.337,33.948,37.894,35.641,22.854,216.0,,,,,,
rider,Maximilian,KOFLER,CIP,Green,Power,AUT,12th,73,Total,laps=6,laps=5,,
lap,1,4'22.049,44.369,40.083,37.095,22.848,,,,,,,
lap,2,2'10.383,34.066,38.008,35.712,22.597,220.8,,,,,,
lap,3,2'16.602,34.912,39.615,38.825,23.250,219.0,,,,,,
lap,4,2'11.129,34.145,38.093,35.991,22.900,218.6,,,,,,
lap,5,2'14.930,35.000,38.721,36.276,24.933,215.1,,,,,,
lap,6,2'11.547,34.152,38.197,36.178,23.020,221.7,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,13th,11,Total,laps=5,laps=2,,
lap,1,4'21.705,46.822,43.430*,36.592,22.817,,,,,,,
lap,2,2'10.514,34.306,37.942,35.606,22.660,218.6,,,,,,
lap,3,2'18.902,P,35.283,38.708,36.302,28.609,216.4,,,,,
lap,4,6'04.272,39.239,38.478,35.828,22.791,,,,,,,
lap,5,2'10.738,34.386,37.792,35.815,22.745,210.1,,,,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,14th,71,Total,laps=4,laps=1
lap,1,4'21.558,43.645,39.781,36.996,22.952,,,,,,,
lap,2,2'10.567,34.361,37.862,35.687,22.657,214.7,,,,,,
lap,3,2'24.695,P,35.290,39.064,36.488,33.853,214.7,,,,,
lap,4,6'05.101,33.575,38.397,36.272,23.269,,,,,,,
rider,Jason,DUPASQUIE,CarXpert,PruestelGP,SWI,15th,50,Total,laps=6,laps=4,,,
lap,1,4'29.283,53.419,38.238,35.594,27.333,,,,,,,
lap,2,2'11.023,34.501,38.024,35.624,22.874,212.5,,,,,,
lap,3,2'12.077,35.099,38.385,35.797,22.796,214.7,,,,,,
lap,4,2'18.276,35.638,40.158,37.574,24.906,216.8,,,,,,
lap,5,2'11.173,34.581,38.083,35.681,22.828,215.1,,,,,,
lap,6,2'11.261,34.645,38.124,35.754,22.738,214.2,,,,,,
rider,Davide,PIZZOLI,BOE,Skull,Rider,Facil,ITA,16th,9,Total,laps=2,laps=0,
lap,1,4'31.026,48.457,38.606,35.777,27.623,,,,,,,
lap,unfinished,34.174,216.0,,,,,,,,,,
rider,Khairul,Idham,PAWI,Petronas,Sprinta,Raci,MAL,17th,89,Total,laps=2,laps=0,
lap,1,4'23.221,47.414,45.401,39.674,24.628,,,,,,,
lap,unfinished,34.130,217.3,,,,,,,,,,
