0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 09,Moto3,Automotodrom Brno,RACE,,,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,1st,7,Total,laps=18,laps=17,,,
lap,1,2'15.914,40.081,38.248,35.331,22.254,169.2,,,,,,
lap,2,2'09.084,33.886,37.694,35.309,22.195,225.4,,,,,,
lap,3,2'09.751,33.875,37.879,35.706,22.291,223.1,,,,,,
lap,4,2'09.912,33.933,38.100,35.423,22.456,225.0,,,,,,
lap,5,2'09.491,33.804,37.927,35.402,22.358,224.0,,,,,,
lap,6,2'09.827,33.865,38.007,35.528,22.427,222.2,,,,,,
lap,7,2'10.068,34.152,37.933,35.557,22.426,218.6,,,,,,
lap,8,2'10.148,34.195,37.904,35.622,22.427,220.4,,,,,,
lap,9,2'10.085,34.172,37.833,35.625,22.455,220.4,,,,,,
lap,10,2'09.833,34.014,37.855,35.467,22.497,219.5,,,,,,
lap,11,2'10.051,34.093,37.927,35.546,22.485,216.8,,,,,,
lap,12,2'10.199,34.139,37.956,35.607,22.497,219.5,,,,,,
lap,13,2'10.104,34.081,37.964,35.639,22.420,217.7,,,,,,
lap,14,2'10.306,34.155,38.006,35.637,22.508,218.1,,,,,,
lap,15,2'10.467,34.202,38.104,35.679,22.482,217.7,,,,,,
lap,16,2'10.365,34.168,38.005,35.655,22.537,217.3,,,,,,
lap,17,2'10.424,34.121,38.081,35.764,22.458,217.3,,,,,,
lap,18,2'10.341,34.140,38.104,35.695,22.402,218.6,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,2nd,75,Total,laps=18,laps=16,,
lap,1,2'14.568,39.526,37.586,35.136,22.320,168.7,,,,,,
lap,2,2'09.711,34.029,37.675,35.649,22.358,215.5,,,,,,
lap,3,2'09.898,34.146,37.807,35.600,22.345,214.2,,,,,,
lap,4,2'10.155,34.207,37.964,35.608,22.376,214.2,,,,,,
lap,5,2'09.617,33.984,37.810,35.517,22.306,216.8,,,,,,
lap,6,2'10.171,34.268,38.167,35.447,22.289,216.8,,,,,,
lap,7,2'09.964,34.210,37.921,35.466,22.367,221.7,,,,,,
lap,8,2'10.176,34.287,37.961,35.551,22.377,218.1,,,,,,
lap,9,2'10.063,34.146,38.044,35.485,22.388,221.3,,,,,,
lap,10,2'09.993,34.178,38.027,35.520,22.268,217.7,,,,,,
lap,11,2'09.936,34.151,38.066,35.446,22.273,220.8,,,,,,
lap,12,2'10.537,34.472,38.272,35.480,22.313*,219.0,,,,,,
lap,13,2'09.989,34.057,38.077,35.600,22.255,220.8,,,,,,
lap,14,2'10.115,34.085,38.165,35.569,22.296,223.1,,,,,,
lap,15,2'10.453,34.441,38.116,35.559,22.337,220.4,,,,,,
lap,16,2'10.567,34.579,38.041,35.595,22.352,216.4,,,,,,
lap,17,2'10.230,34.087,38.212,35.661,22.270,219.5,,,,,,
lap,18,2'10.432,34.187,38.293,35.559,22.393,221.3,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,3rd,79,Total,laps=18,laps=17,,
lap,1,2'15.593,39.701,38.061,35.310,22.521,166.9,,,,,,
lap,2,2'09.043,33.944,37.627,35.330,22.142,221.7,,,,,,
lap,3,2'09.950,33.987,37.879,35.841,22.243,216.8,,,,,,
lap,4,2'09.957,33.991,38.110,35.453,22.403,223.6,,,,,,
lap,5,2'09.670,33.965,38.031,35.373,22.301,223.1,,,,,,
lap,6,2'09.836,33.913,38.094,35.446,22.383,221.7,,,,,,
lap,7,2'10.130,34.317,37.994,35.428,22.391,221.3,,,,,,
lap,8,2'10.182,34.278,37.982,35.589,22.333,221.7,,,,,,
lap,9,2'10.102,34.106,38.107,35.496,22.393,222.2,,,,,,
lap,10,2'09.947,34.097,38.065,35.516,22.269,221.7,,,,,,
lap,11,2'09.952,34.152,38.068,35.469,22.263,221.7,,,,,,
lap,12,2'10.749,34.435,38.306,35.651,22.357,220.8,,,,,,
lap,13,2'09.729,33.965,38.090,35.429,22.245,218.1,,,,,,
lap,14,2'10.247,34.155,38.222,35.606,22.264,222.6,,,,,,
lap,15,2'10.438,34.294,38.239,35.585,22.320,221.3,,,,,,
lap,16,2'10.461,34.491,38.055,35.627,22.288,223.6,,,,,,
lap,17,2'10.103,33.911,38.099,35.671,22.422,221.7,,,,,,
lap,18,2'10.532,34.052,38.256,35.834,22.390,219.5,,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,4th,23,Total,laps=18,laps=17,,
lap,1,2'16.489,40.501,38.439,35.291,22.258,173.6,,,,,,
lap,2,2'09.387,33.766,37.898,35.306,22.417,223.1,,,,,,
lap,3,2'09.533,33.905,37.824,35.436,22.368,221.3,,,,,,
lap,4,2'10.010,33.787,38.455,35.561,22.207,223.6,,,,,,
lap,5,2'09.901,34.029,38.094,35.504,22.274,221.7,,,,,,
lap,6,2'09.750,33.857,38.036,35.546,22.311,222.2,,,,,,
lap,7,2'09.994,33.921,38.271,35.445,22.357,225.0,,,,,,
lap,8,2'10.307,34.090,38.011,35.634,22.572,219.9,,,,,,
lap,9,2'09.852,34.160,37.894,35.471,22.327,219.9,,,,,,
lap,10,2'09.968,33.873,38.190,35.601,22.304,222.6,,,,,,
lap,11,2'09.925,34.119,38.095,35.422,22.289,221.3,,,,,,
lap,12,2'10.236,33.947,38.286,35.671,22.332,223.6,,,,,,
lap,13,2'10.240,33.943,38.089,35.550,22.658,220.8,,,,,,
lap,14,2'09.851,34.046,38.048,35.552,22.205,219.0,,,,,,
lap,15,2'10.304,34.021,38.396,35.585,22.302,223.6,,,,,,
lap,16,2'10.367,34.315,38.083,35.684,22.285,220.8,,,,,,
lap,17,2'10.169,33.984,38.179,35.687,22.319,221.7,,,,,,
lap,18,2'10.468,34.131,38.277,35.614,22.446,218.6,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,5th,17,Total,laps=18,laps=16,,
lap,1,2'16.921,41.057,38.462,35.249,22.153,179.1,,,,,,
lap,2,2'09.354,33.783,37.977,35.437,22.157,226.4,,,,,,
lap,3,2'09.277,33.585,37.863,35.455,22.374,225.0,,,,,,
lap,4,2'09.783,33.769,38.266,35.445,22.303,225.0,,,,,,
lap,5,2'09.820,33.983,38.157,35.423,22.257,221.3,,,,,,
lap,6,2'09.688,33.761,38.128,35.553,22.246,224.5,,,,,,
lap,7,2'09.961,33.964,38.271,35.440,22.286,223.1,,,,,,
lap,8,2'10.622,34.140,38.132,35.619,22.731,223.1,,,,,,
lap,9,2'09.643,33.933,37.913,35.512,22.285,223.6,,,,,,
lap,10,2'09.830,33.891,38.042,35.623,22.274,224.5,,,,,,
lap,11,2'09.736,33.939,37.964,35.497,22.336,223.1,,,,,,
lap,12,2'10.119,34.029,38.045*,35.623,22.422,223.1,,,,,,
lap,13,2'10.397,34.191,38.092,35.764,22.350,218.1,,,,,,
lap,14,2'10.186,34.004,38.177,35.718,22.287,221.3,,,,,,
lap,15,2'10.783,34.100,38.331,35.775,22.577,223.1,,,,,,
lap,16,2'10.334,34.157,38.127,35.754,22.296,220.4,,,,,,
lap,17,2'10.172,33.881,38.057,35.906,22.328,221.7,,,,,,
lap,18,2'10.253,34.028,38.390,35.554,22.281,220.4,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,6th,25,Total,laps=18,laps=17,
lap,1,2'15.705,39.662,38.459,35.100,22.484,162.1,,,,,,
lap,2,2'08.898,33.966,37.489,35.181,22.262,219.5,,,,,,
lap,3,2'09.896,33.932,37.660,35.796,22.508,217.3,,,,,,
lap,4,2'10.129,33.914,38.158,35.526,22.531,219.9,,,,,,
lap,5,2'09.742,33.992,38.151,35.373,22.226,219.9,,,,,,
lap,6,2'09.848,34.075,38.041,35.442,22.290,222.6,,,,,,
lap,7,2'10.041,34.197,38.055,35.444,22.345,220.8,,,,,,
