0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 09,Moto3,Automotodrom Brno,WUP,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=9,laps=8,
lap,1,4'28.950,39.585,38.120,35.869,22.543,,,,,,,
lap,2,2'09.097,34.172,37.510,35.133,22.282,212.5,,,,,,
lap,3,2'08.826,34.050,37.373,35.092,22.311,212.5,,,,,,
lap,4,2'08.540,33.941,37.308,35.046,22.245,213.0,,,,,,
lap,5,2'08.761,33.909,37.331,35.165,22.356,212.5,,,,,,
lap,6,2'08.880,33.952,37.481,35.131,22.316,212.5,,,,,,
lap,7,2'08.796,33.925,37.364,35.197,22.310,213.0,,,,,,
lap,8,2'08.738,33.941,37.297,35.153,22.347,213.0,,,,,,
lap,9,2'08.783,33.895,37.240,35.266,22.382,212.5,,,,,,
rider,2nd,17,John,MCPHEE,Petronas,Sprinta,Raci,GBR,Total,laps=8,laps=5,,
lap,1,4'58.450,43.466,41.830,38.257,25.021,,,,,,,
lap,2,2'09.468,33.834,37.839,35.470,22.325,219.9,,,,,,
lap,3,2'08.807,33.658,37.526,35.218,22.405,222.2,,,,,,
lap,4,2'09.227,33.692,37.843,35.472,22.220,217.3,,,,,,
lap,5,2'08.616,33.595,37.563,35.205,22.253,220.8,,,,,,
lap,6,2'14.978,34.590,42.249*,35.688,22.451,221.3,,,,,,
lap,7,2'09.357,33.811,37.761,35.466,22.319,217.3,,,,,,
lap,8,2'20.205,P,33.830,38.188,36.437,31.750,218.6,,,,,
rider,3rd,75,Albert,ARENAS,Gaviota,Aspar,Team,SPA,Total,laps=8,laps=7,,
lap,1,4'58.208,46.629,44.764,36.883,25.974,,,,,,,
lap,2,2'09.480,33.867,37.913,35.437,22.263,218.1,,,,,,
lap,3,2'09.682,34.056,37.878,35.424,22.324,222.2,,,,,,
lap,4,2'09.312,33.807,37.899,35.329,22.277,222.6,,,,,,
lap,5,2'09.174,33.800,37.704,35.320,22.350,221.7,,,,,,
lap,6,2'08.916,33.779,37.589,35.319,22.229,221.7,,,,,,
lap,7,2'14.747,34.012,41.265,37.141,22.329,219.9,,,,,,
lap,8,2'09.797,33.937,37.961,35.412,22.487,220.4,,,,,,
rider,4th,5,Jaume,MASIA,Leopard,Racing,SPA,Total,laps=9,laps=7,,,
lap,1,4'39.174,39.459,43.324,36.403,22.580,,,,,,,
lap,2,2'09.674,34.019,37.957,35.335,22.363,219.0,,,,,,
lap,3,2'09.600,34.069,37.825,35.325,22.381,222.2,,,,,,
lap,4,2'10.047,33.883,38.132,35.434,22.598,221.7,,,,,,
lap,5,2'10.027,34.050,38.015,35.476,22.486,220.8,,,,,,
lap,6,2'10.101,34.206,37.931,35.474,22.490,218.6,,,,,,
lap,7,2'12.800,35.345,37.938,35.803,23.714,217.7,,,,,,
lap,8,2'08.969,33.707,37.699,35.283,22.280,221.7,,,,,,
lap,9,2'17.391,33.849,42.283*,38.139,23.120,223.1,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,5th,14,Total,laps=8,laps=7,,
lap,1,4'58.780,44.195,40.937,40.846,29.132,,,,,,,
lap,2,2'09.250,33.945,37.610,35.357,22.338,219.5,,,,,,
lap,3,2'09.148,33.879,37.792,35.263,22.214,224.0,,,,,,
lap,4,2'08.980,33.555,37.711,35.400,22.314,220.8,,,,,,
lap,5,2'09.155,33.904,37.575,35.400,22.276,222.6,,,,,,
lap,6,2'09.357,33.951,37.641,35.396,22.369,219.0,,,,,,
lap,7,2'09.535,33.903,37.832,35.246,22.554,218.1,,,,,,
lap,8,2'10.635,34.490,38.278,35.416,22.451,213.4,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,6th,79,Total,laps=8,laps=7,,
lap,1,4'47.791,41.369,39.610,36.478,22.845,,,,,,,
lap,2,2'10.605,34.334,38.153,35.546,22.572,213.8,,,,,,
lap,3,2'09.972,34.189,37.740,35.486,22.557,213.0,,,,,,
lap,4,2'09.715,34.104,37.624,35.475,22.512,213.4,,,,,,
