0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 16,Moto3,Red Bull Ring,RACE,,,,,,,,
rider,Albert,ARENAS,Valresa,Aspar,Team,SPA,1st,75,Total,laps=23,laps=20,,
lap,1,1'40.517,24.535,30.887,26.600,18.495,210.5,,,,,,
lap,2,1'37.618,21.690,30.869,26.521,18.538,212.5,,,,,,
lap,3,1'37.664,21.659,30.890,26.513,18.602,211.7,,,,,,
lap,4,1'37.340,21.623,30.800,26.372,18.545,214.2,,,,,,
lap,5,1'37.426,21.716,31.019,26.275,18.416,211.3,,,,,,
lap,6,1'38.021,21.559*,31.233,26.316,18.913*,210.5,,,,,,
lap,7,1'37.309,21.484*,30.917,26.242,18.666,216.8,,,,,,
lap,8,1'37.381,21.817,30.655,26.204,18.705,216.4,,,,,,
lap,9,1'37.704,21.906,31.075,26.306,18.417,217.3,,,,,,
lap,10,1'37.540,21.696,31.140,26.319,18.385,218.1,,,,,,
lap,11,1'37.615,21.794,31.015,26.336,18.470,209.3,,,,,,
lap,12,1'37.796,22.040,31.230,26.245,18.281,210.9,,,,,,
lap,13,1'37.435,21.433,30.956,26.506,18.540,218.6,,,,,,
lap,14,1'37.541,21.658,30.864,26.506,18.513,212.1,,,,,,
lap,15,1'37.551,21.535,31.106,26.333,18.577,215.5,,,,,,
lap,16,1'37.749,21.452,31.612,26.240,18.445,214.7,,,,,,
lap,17,1'37.760,22.054,31.015,26.275,18.416,217.7,,,,,,
lap,18,1'37.508,21.729,31.194,26.214,18.371,214.7,,,,,,
lap,19,1'37.043,21.621,30.604,26.378,18.440,214.7,,,,,,
lap,20,1'37.295,21.695,30.628,26.513,18.459,211.7,,,,,,
lap,21,1'37.220,21.531,30.716,26.492,18.481,211.7,,,,,,
lap,22,1'37.125,21.539,30.656,26.507,18.423,214.7,,,,,,
lap,23,1'37.165,21.955,30.618,26.226,18.366,213.8,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,2nd,5,Total,laps=23,laps=21,,,
lap,1,1'41.758,25.429,31.425,26.370,18.534,213.8,,,,,,
lap,2,1'37.269,21.488,31.117,26.049,18.615,222.2,,,,,,
lap,3,1'37.286,21.514,31.191,26.156,18.425,220.4,,,,,,
lap,4,1'37.140,21.483,31.046,26.075,18.536,221.7,,,,,,
lap,5,1'37.178,21.496,31.140,26.138,18.404,219.0,,,,,,
lap,6,1'37.913,21.528,31.459,26.408,18.518,218.1,,,,,,
lap,7,1'37.284,21.622,30.662,26.327,18.673,219.9,,,,,,
lap,8,1'37.392,21.536,30.779,26.336,18.741,219.0,,,,,,
lap,9,1'37.904,22.012,31.121,26.464,18.307,216.4,,,,,,
lap,10,1'37.958,21.642,30.975,26.359,18.982*,220.4,,,,,,
lap,11,1'37.749,21.924,31.159,26.264,18.402,219.9,,,,,,
lap,12,1'36.991,21.462,30.751,26.238,18.540,219.9,,,,,,
lap,13,1'37.470,21.466,30.766,26.665,18.573,218.6,,,,,,
lap,14,1'37.819,21.851,31.157,26.283,18.528,210.5,,,,,,
lap,15,1'37.177,21.572,30.706,26.339,18.560,217.7,,,,,,
lap,16,1'37.786,21.543,30.912,26.616,18.715,214.7,,,,,,
lap,17,1'37.653,21.820,30.939,26.343,18.551,215.1,,,,,,
lap,18,1'37.379,21.655,30.646,26.583,18.495,212.5,,,,,,
lap,19,1'37.568,21.651,30.625,26.669,18.623,214.2,,,,,,
lap,20,1'37.237,21.629,30.900,26.271,18.437,211.3,,,,,,
lap,21,1'37.078,21.464,30.531,26.588,18.495,216.4,,,,,,
lap,22,1'37.132,21.545,30.633,26.532,18.422,215.1,,,,,,
lap,23,1'37.251,21.730,30.551,26.527,18.443,210.5,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=23,laps=21,,
lap,1,1'40.814,25.102,31.069,26.221,18.422,214.2,,,,,,
