0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 16,Moto3,Red Bull Ring,WUP,,,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,1st,13,Total,laps=10,laps=7,
lap,1,4'45.436,20.226,34.632,34.275,20.326,184.6,,,,,,
lap,2,1'49.850,21.926,42.206,27.172,18.546,212.1,,,,,,
lap,3,1'37.736,21.704,30.983,26.626,18.423,211.3,,,,,,
lap,4,1'37.123,21.586,30.622,26.450,18.465,213.8,,,,,,
lap,5,1'36.967,21.587,30.551,26.483,18.346,211.3,,,,,,
lap,6,1'36.782,21.595,30.500,26.351,18.336,212.5,,,,,,
lap,7,1'50.018,P,21.437,30.632,30.518*,27.431,216.8,,,,,
lap,8,2'14.375,14.516,31.345,26.595,18.457,202.6,,,,,,
lap,9,1'36.751,21.611,30.538,26.286,18.316,213.4,,,,,,
lap,10,1'36.483,21.537,30.440,26.316,18.190,213.8,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,2nd,5,Total,laps=11,laps=7,,,
lap,1,3'51.781,13.045,32.070,27.204,18.858,204.9,,,,,,
lap,2,1'37.975,21.808,30.979,26.579,18.609,213.0,,,,,,
lap,3,1'37.851,21.710,30.904,26.635,18.602,213.8,,,,,,
lap,4,1'37.940,21.664,30.806,26.808,18.662,215.1,,,,,,
lap,5,1'37.839,21.717,30.819,26.665,18.638,212.5,,,,,,
lap,6,1'37.543,21.677*,30.713,26.560,18.593*,212.1,,,,,,
lap,7,1'44.285,27.949*,31.131,26.765,18.440*,209.7,,,,,,
lap,8,1'37.098,21.483,30.692,26.346,18.577,217.7,,,,,,
lap,9,1'39.962,23.496*,31.379,26.522,18.565,177.6,,,,,,
lap,10,1'37.455,21.559,30.624,26.656,18.616,214.7,,,,,,
lap,11,1'36.608,21.390,30.580,26.265,18.373,219.9,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=11,laps=8,,
lap,1,4'40.963,17.040,39.166,33.785,21.110,137.9,,,,,,
lap,2,1'51.128,27.100,36.055,28.257,19.716,208.0,,,,,,
lap,3,1'38.233,21.982,31.047,26.590,18.614,211.7,,,,,,
lap,4,1'37.424,21.759,30.797,26.414,18.454,211.3,,,,,,
lap,5,1'37.919,21.923*,31.159,26.392,18.445,208.0,,,,,,
lap,6,1'36.643,21.651,30.654,26.090,18.248,214.2,,,,,,
lap,7,1'45.925,22.044,34.495,29.187*,20.199,206.5,,,,,,
lap,8,1'36.814,21.627,30.552,26.238,18.397,213.4,,,,,,
lap,9,1'37.250,21.574,30.802,26.542,18.332,216.8,,,,,,
lap,10,1'36.902,21.521,30.722,26.292,18.367,214.7,,,,,,
lap,11,1'37.111,21.638,30.807,26.269,18.397,211.7,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,4th,40,Total,laps=11,laps=8,,
lap,1,4'05.045,23.328,38.020,30.237,19.485*,140.8,,,,,,
lap,2,1'38.507,21.833*,31.197,26.838*,18.639,213.4,,,,,,
lap,3,1'38.196,22.016,31.047,26.573,18.560,212.5,,,,,,
lap,4,1'37.134,21.640,30.660,26.425,18.409,214.2,,,,,,
lap,5,1'36.938,21.543,30.850,26.236,18.309,216.8,,,,,,
lap,6,1'38.370,21.613,31.807,26.527,18.423,215.1,,,,,,
lap,7,1'36.693,21.629,30.594,26.139,18.331,214.7,,,,,,
lap,8,1'37.026,21.487,30.628,26.536,18.375*,218.1,,,,,,
lap,9,1'38.171,21.541,31.274,26.912,18.444,214.2,,,,,,
lap,10,1'36.961,21.570,30.603,26.310,18.478,215.5,,,,,,
lap,11,1'37.294,21.625,30.897,26.442,18.330,214.7,,,,,,
rider,Albert,ARENAS,Valresa,Aspar,Team,SPA,5th,75,Total,laps=11,laps=8,,
lap,1,4'41.981,16.641,40.023,33.824,20.454,136.7,,,,,,
lap,2,1'47.309,22.038,39.094,27.361,18.816,211.3,,,,,,
lap,3,1'38.344,21.921*,31.041,26.744,18.638,210.1,,,,,,
lap,4,1'38.337,21.834,31.214,26.657,18.632,210.9,,,,,,
lap,5,1'38.064,21.845,30.917,26.706,18.596,210.9,,,,,,
lap,6,1'37.845,21.738,30.887,26.623,18.597,210.9,,,,,,
lap,7,1'46.854,22.317,34.258,28.842,21.437*,206.8,,,,,,
lap,8,1'37.198,21.608,30.659,26.416,18.515,215.1,,,,,,
lap,9,1'37.171,21.544,30.940,26.296,18.391,214.7,,,,,,
lap,10,1'36.836,21.506,30.688,26.241,18.401,215.1,,,,,,
lap,11,1'36.716,21.627,30.608,26.153,18.328,217.7,,,,,,
rider,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,6th,16,Total,laps=11,laps=9,
lap,1,4'34.259,16.351,36.635,28.616,19.648,167.9,,,,,,
lap,2,1'40.059,22.183,31.776,27.183,18.917,210.5,,,,,,
lap,3,1'38.200,21.948,31.018,26.674,18.560,210.9,,,,,,
lap,4,1'37.517,21.728,30.855,26.457,18.477,211.7,,,,,,
lap,5,1'37.371,21.777,30.774,26.477,18.343,211.3,,,,,,
lap,6,1'37.509,21.710,30.864,26.492,18.443,212.5,,,,,,
lap,7,1'39.101,22.560*,31.611,26.474*,18.456,200.7,,,,,,
lap,8,1'36.781,21.607,30.627,26.192,18.355,213.8,,,,,,
lap,9,1'38.444,21.567,30.811,27.240,18.826,215.5,,,,,,
lap,10,1'37.629,21.554,31.141,26.398,18.536,217.3,,,,,,
lap,11,1'37.952,21.661,31.485,26.277,18.529,213.4,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,7th,14,Total,laps=11,laps=8,,
lap,1,4'44.444,17.025,44.486,35.565,20.243,126.0,,,,,,
lap,2,1'51.995,21.723,44.500,26.933,18.839,216.4,,,,,,
