0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,August 22,Moto3,Red Bull Ring,Q2,,,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,1st,2,Total,laps=7,laps=5,,,
lap,1,5'51.767,15.310,41.913,33.823,23.695,114.7,,,,,,
lap,2,1'39.506,22.004,30.948,26.519,20.035,215.5,,,,,,
lap,3,1'37.015,21.692,30.381,26.364,18.578,215.1,,,,,,
lap,4,1'36.689,21.575,30.357,26.179,18.578,218.1,,,,,,
lap,5,1'42.134,21.729,30.954,27.299,22.152,212.5,,,,,,
lap,6,1'37.548,21.580,31.193,26.411,18.364*,213.4,,,,,,
lap,7,1'36.470,21.512,30.395,26.151,18.412,213.8,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,2nd,25,Total,laps=6,laps=3,
lap,1,5'43.139,16.087,38.217,32.727,20.786,126.9,,,,,,
lap,2,1'46.664,22.071,35.148,28.987,20.458,209.7,,,,,,
lap,3,1'37.393,21.693,30.763,26.212,18.725,215.1,,,,,,
lap,4,1'39.819,P,21.714,30.706,26.203,21.196,213.0,,,,,
lap,5,3'18.865,14.819,35.700,26.152,18.516,151.0,,,,,,
lap,6,1'36.482,21.641,30.544,25.978,18.319,210.9,,,,,,
rider,3rd,24,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,Total,laps=6,laps=3,,
lap,1,5'25.136,P,11.895,31.325,27.240,28.162,210.5,,,,,
lap,2,3'44.320,11.996,31.065,26.428,18.521*,211.3,,,,,,
lap,3,1'37.798,21.687,31.471,26.212,18.428,213.4,,,,,,
lap,4,1'36.922,21.583,30.765,26.130,18.444,215.5,,,,,,
lap,5,1'40.794,21.559,34.309,26.417,18.509*,216.4,,,,,,
lap,6,1'36.534,21.566,30.736,26.056,18.176,213.4,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,4th,14,Total,laps=7,laps=3,,
lap,1,5'52.494,14.323,39.370,33.333,23.428*,139.8,,,,,,
lap,2,1'41.107,21.734,31.189,27.643,20.541,216.4,,,,,,
lap,3,1'37.202,21.627,30.615,26.295,18.665*,214.7,,,,,,
lap,4,1'36.930,21.621,30.687,26.123,18.499,215.5,,,,,,
lap,5,1'36.566,21.560,30.689,25.984,18.333*,216.0,,,,,,
lap,6,1'42.727,21.507,34.684,26.617,19.919*,218.1,,,,,,
lap,7,1'36.575,21.535,30.709,25.986,18.345,214.7,,,,,,
rider,5th,13,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,Total,laps=6,laps=3,
lap,1,5'23.182,P,12.489,31.617,27.744,27.606,204.9,,,,,
lap,2,4'09.762,15.648,31.261,26.879,18.588*,201.1,,,,,,
lap,3,1'37.190,21.632,30.584,26.521,18.453,212.1,,,,,,
lap,4,1'36.780,21.549,30.549,26.386,18.296*,214.2,,,,,,
lap,5,1'36.645,21.585,30.373,26.329,18.358,211.3,,,,,,
lap,6,1'36.863,21.533,30.610,26.287,18.433,211.7,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,6th,17,Total,laps=7,laps=5,,
lap,1,5'51.278,14.889,41.957,32.998,25.778,131.2,,,,,,
lap,2,1'40.964,22.235,30.994,27.382,20.353*,211.3,,,,,,
lap,3,1'37.478,21.827,30.680,26.266,18.705,213.0,,,,,,
lap,4,1'37.121,21.609,30.794,26.134,18.584,215.1,,,,,,
lap,5,1'40.749,21.754,30.617,25.928,22.450,213.0,,,,,,
lap,6,1'38.954,21.833,32.301,26.295,18.525,211.7,,,,,,
lap,7,1'36.812,21.716,30.604,25.998,18.494,211.7,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,7th,7,Total,laps=5,laps=2,,,
lap,1,5'52.780,12.216,33.968,33.034,23.395,210.5,,,,,,
lap,2,1'43.705,P,21.657,31.149,26.714,24.185,219.5,,,,,
lap,3,4'49.772,12.298,31.151,26.719*,18.771,213.4,,,,,,
lap,4,1'37.338,21.585,30.902,26.238,18.613,216.0,,,,,,
lap,5,1'36.965,21.588,30.705,26.219,18.453,215.1,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,8th,79,Total,laps=7,laps=4,,
lap,1,5'50.175,14.513,38.958,32.115,23.167,146.9,,,,,,
lap,2,1'38.466,21.906,30.660,26.903,18.997*,213.8,,,,,,
lap,3,1'37.438,21.732,30.577,26.398,18.731,210.9,,,,,,
lap,4,1'37.496,21.682,30.547,26.312,18.955,211.3,,,,,,
lap,5,1'37.029,21.675,30.381,26.302,18.671,211.7,,,,,,
lap,6,1'37.437,21.671,30.483,26.528,18.755*,210.9,,,,,,
lap,7,1'37.121,21.730,30.502,26.271,18.618,210.1,,,,,,
rider,Albert,ARENAS,Valresa,Aspar,Team,SPA,9th,75,Total,laps=6,laps=4,,
lap,1,5'23.899,P,11.999,31.495,27.481,27.353,208.0,,,,,
lap,2,3'44.250,12.129,31.119,26.466,18.700,209.7,,,,,,
lap,3,1'37.072,21.710,30.583,26.093,18.686,214.7,,,,,,
lap,4,1'39.864,21.738,30.801,28.889,18.436,215.5,,,,,,
lap,5,1'37.110,21.615,30.600,26.245,18.650,213.8,,,,,,
lap,6,1'37.327,21.809,30.628,26.182,18.708,210.5,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,10th,40,Total,laps=6,laps=4,,
lap,1,5'25.117,P,12.338,31.361,26.816,26.475,204.9,,,,,
lap,2,4'08.673,14.788,31.549,26.509,18.698,202.6,,,,,,
lap,3,1'37.786,21.831,30.908,26.237,18.810,213.4,,,,,,
lap,4,1'38.035,21.825,30.809,26.610,18.791,210.9,,,,,,
lap,5,1'37.139,21.686,30.702,26.106,18.645,214.2,,,,,,
lap,6,1'37.678,21.589,30.941,26.419,18.729,215.5,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,11th,53,Total,laps=5,laps=2
lap,1,3'56.747,P,12.851,31.704,27.924,23.965,200.3,,,,,
lap,2,6'49.331,12.887,32.125,26.629,18.798,194.9,,,,,,
lap,3,1'37.776,21.752,30.778,26.290,18.956*,212.1,,,,,,
lap,4,1'40.247,21.828,32.408,27.036,18.975,211.3,,,,,,
lap,5,1'37.271,21.756,30.837,26.190,18.488,210.9,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,12th,12,Total,laps=6,laps=4,,
lap,1,5'49.165,15.911,42.880,32.222,26.168,112.7,,,,,,
lap,2,1'41.491,22.071,31.226,26.705,21.489*,211.7,,,,,,
lap,3,1'38.239,21.953,31.039,26.482,18.765,210.9,,,,,,
lap,unfinished,22.982,31.176,26.543,208.4,,,,,,,,
lap,4,1'29.018,12.037,31.576,26.529,18.876,208.8,,,,,,
lap,5,1'37.361,21.837,30.846,26.208,18.470,210.1,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,13th,11,Total,laps=6,laps=4,,
lap,1,5'25.643,P,12.374,31.868,27.625,29.180,203.3,,,,,
lap,2,4'07.816,17.919,31.317,26.536,18.802,197.4,,,,,,
lap,3,1'38.288,21.985,30.901,26.428,18.974,208.4,,,,,,
lap,4,1'37.486,21.746,30.726,26.401,18.613,212.5,,,,,,
lap,5,1'37.444,21.814,30.828,26.165,18.637,210.1,,,,,,
lap,6,1'37.825,21.711,30.994,26.438,18.682,212.5,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,14th,52,Total,laps=7,laps=2,,,
lap,1,5'48.271,15.687,38.746,31.807,26.285,123.8,,,,,,
lap,2,1'41.211,22.230,31.231,28.048,19.702*,209.3,,,,,,
lap,3,1'38.117,21.826,30.857,26.596,18.838*,211.7,,,,,,
lap,4,1'37.574,21.812,30.903,26.190,18.669,213.0,,,,,,
lap,5,1'42.853,P,21.750,31.139,26.850,23.114,216.4,,,,,
lap,6,2'00.265,11.947,30.981,26.532*,18.578*,210.5,,,,,,
lap,7,1'37.523,21.742,30.797,26.305,18.679,210.5,,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,15th,23,Total,laps=5,laps=2,,
lap,1,5'47.371,15.175,43.759,32.402,24.041,156.5,,,,,,
lap,2,1'49.759,P,26.209,31.453,26.916,25.181,201.1,,,,,
lap,3,4'53.772,12.196,31.261,26.802,18.908,208.0,,,,,,
lap,4,1'37.858,21.956,30.801,26.422,18.679,210.5,,,,,,
lap,5,1'37.544,21.804,30.779,26.319,18.642,210.5,,,,,,
rider,Stefano,NEPA,Valresa,Aspar,Team,ITA,16th,82,Total,laps=7,laps=3,,
lap,1,5'21.231,12.659,31.982,27.002,19.794,206.1,,,,,,
lap,2,1'38.447,21.920,30.880,26.632,19.015*,210.1,,,,,,
lap,3,1'43.535,P,21.926,30.977,26.659,23.973,210.5,,,,,
lap,4,2'01.904,12.187,31.248,26.290,18.946*,209.7,,,,,,
lap,5,1'37.715,21.671,30.761,26.487,18.796,215.5,,,,,,
lap,6,1'40.124,21.798,33.099,26.407,18.820,212.1,,,,,,
lap,7,1'37.620,21.755,30.749,26.348,18.768,212.1,,,,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,17th,27,Total,laps=5,laps=2,
lap,1,5'48.669,15.800,39.791,33.035,24.206,118.2,,,,,,
lap,2,1'45.991,P,22.115,31.262,27.554,25.060,211.7,,,,,
lap,3,5'13.710,14.322,32.113,26.706,18.577*,199.6,,,,,,
lap,4,1'38.066,21.971,31.031,26.451,18.613,208.8,,,,,,
lap,5,1'38.034,21.839,31.211,26.244,18.740,208.8,,,,,,
