0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 13,Moto3,Misano World Circuit Marco Simoncelli,WUP,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=11,laps=9,
lap,1,4'14.711,39.513,34.327,29.686,23.018,201.8,,,,,,
lap,2,1'43.241,27.475,24.448,28.576,22.742,203.0,,,,,,
lap,3,1'42.599,27.211,24.393,28.375,22.620,204.1,,,,,,
lap,4,1'42.496,27.106,24.304,28.470,22.616,203.3,,,,,,
lap,5,1'42.265,27.109,24.235,28.384,22.537,203.7,,,,,,
lap,6,1'42.139,27.181,24.176,28.298,22.484,204.1,,,,,,
lap,7,1'41.899,26.991,24.228,28.218,22.462,204.9,,,,,,
lap,8,1'41.999,27.092,24.132,28.302,22.473,209.3,,,,,,
lap,9,1'51.634,33.583,26.201,29.005,22.845,204.9,,,,,,
lap,10,1'42.351,27.071,24.221,28.319,22.740,207.2,,,,,,
lap,11,1'45.468,29.705*,24.300,28.375,23.088,204.9,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,2nd,7,Total,laps=11,laps=8,,,
lap,1,4'15.883,35.523,37.867,30.456,23.242*,207.6,,,,,,
lap,2,1'43.439,27.722,24.375,28.539,22.803,208.4,,,,,,
lap,3,1'42.584,27.280,24.254,28.384,22.666,208.4,,,,,,
lap,4,1'42.913,27.220,24.243,28.518,22.932,208.0,,,,,,
lap,5,1'42.350,27.262,24.187,28.274,22.627,209.3,,,,,,
lap,6,1'42.870,27.192,24.278,28.327,23.073*,208.0,,,,,,
lap,7,1'42.475,27.243,24.260,28.394,22.578,207.6,,,,,,
lap,8,1'42.714,27.237,24.154,28.314,23.009,208.8,,,,,,
lap,9,1'50.389,27.266,25.616,34.728*,22.779,206.8,,,,,,
lap,10,1'42.756,27.477,24.300,28.301,22.678,210.5,,,,,,
lap,11,1'42.817,27.417,24.365,28.325,22.710,211.7,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=11,laps=7,,
lap,1,3'54.658,37.270,27.035,31.182,23.544,192.5,,,,,,
lap,2,1'44.896,27.971,24.666,28.704,23.555,206.5,,,,,,
lap,3,1'49.460,31.160,25.898,29.501*,22.901,201.4,,,,,,
lap,4,1'43.370,27.504,24.390,28.696,22.780,204.1,,,,,,
lap,5,1'42.860,27.320,24.310,28.489,22.741,204.5,,,,,,
lap,6,1'42.524,27.090,24.220,28.565,22.649,203.7,,,,,,
lap,7,1'42.844,27.229,24.319,28.548,22.748,204.1,,,,,,
lap,8,1'53.125,27.233,24.715,37.911*,23.266,193.8,,,,,,
lap,9,1'50.341,27.957,30.058*,29.439,22.887,205.3,,,,,,
lap,10,1'42.877,27.230,24.474,28.454,22.719,204.9,,,,,,
lap,11,1'42.372,27.093,24.290,28.325,22.664,205.3,,,,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,4th,24,Total,laps=10,laps=6,,
lap,1,4'19.022,37.536,29.361,34.296*,23.178,204.1,,,,,,
lap,2,1'43.657,27.617,24.524,28.745,22.771,204.9,,,,,,
lap,3,1'42.945,27.397,24.209,28.643,22.696,206.8,,,,,,
lap,4,1'43.196,27.385,24.190,28.702,22.919*,206.8,,,,,,
lap,5,1'47.967,32.352*,24.286,28.619,22.710,206.5,,,,,,
lap,6,1'42.459,27.276,24.200,28.473,22.510,207.6,,,,,,
lap,7,1'45.469,29.723,24.251,28.642,22.853,207.6,,,,,,
lap,8,1'42.483,27.337,24.127,28.517,22.502,208.4,,,,,,
lap,9,1'43.187,27.512,24.281,28.649,22.745,204.9,,,,,,
lap,10,1'52.118,32.399*,24.965,29.746,25.008,200.7,,,,,,
rider,Albert,ARENAS,Pull&Bear,Aspar,Tea,SPA,5th,75,Total,laps=11,laps=8,,
lap,1,3'14.365,33.406,25.379,29.561,23.627,203.3,,,,,,
lap,2,1'45.066,27.978,24.956,29.022,23.110,204.1,,,,,,
lap,3,1'43.639,27.378,24.553,28.823,22.885,205.3,,,,,,
lap,4,1'43.564,27.428,24.567,28.675,22.894,204.9,,,,,,
lap,5,1'43.359,27.421,24.329,28.725,22.884,204.9,,,,,,
lap,6,1'46.764,27.548,24.875,31.060,23.281,190.1,,,,,,
lap,7,1'43.348,27.450,24.477,28.632,22.789,205.3,,,,,,
lap,8,1'58.462,P,37.360,26.064,30.593,24.445,188.4,,,,,
lap,9,1'53.624,33.080,28.227,29.309,23.008,204.9,,,,,,
lap,10,1'42.678,27.221,24.414,28.260,22.783,210.1,,,,,,
lap,11,1'42.505,27.331,24.198,28.163,22.813,207.6,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,6th,13,Total,laps=11,laps=9,
lap,1,3'50.414,43.464,27.161,31.114,24.214,196.0,,,,,,
lap,2,1'47.069,28.940,25.152,29.276,23.701,204.9,,,,,,
lap,3,1'50.083,29.106,25.038,29.570,26.369,207.6,,,,,,
lap,4,1'43.130,27.560,24.275,28.584,22.711,206.8,,,,,,
lap,5,1'42.957,27.340,24.473,28.491,22.653,206.5,,,,,,
lap,6,1'50.794,34.356,25.077,28.646,22.715,206.1,,,,,,
lap,7,1'42.556,27.382,24.214,28.403,22.557,207.2,,,,,,
lap,8,1'43.117,27.668,24.218,28.427,22.804,207.2,,,,,,
lap,9,1'52.280,35.140*,25.012,29.214,22.914,202.6,,,,,,
lap,10,1'43.007,27.412,24.295,28.527,22.773,206.1,,,,,,
lap,11,1'42.941,27.382,24.238,28.383,22.938,208.0,,,,,,
rider,Ayumu,SASAKI,Red,Bull,KTM,Tech,3,JPN,7th,71,Total,laps=11,laps=9
lap,1,4'14.913,37.843,33.313,29.712,22.948,203.7,,,,,,
lap,2,1'43.562,27.628,24.545,28.621,22.768,205.7,,,,,,
lap,3,1'46.619,31.025,24.456,28.464,22.674,208.0,,,,,,
lap,4,1'44.736,27.583,24.571,28.841,23.741,208.0,,,,,,
lap,5,1'45.037,29.403*,24.566,28.475,22.593,206.1,,,,,,
lap,6,1'43.663,27.643,24.317,28.908,22.795,209.3,,,,,,
lap,7,1'45.686,28.027,25.595,29.339,22.725,208.0,,,,,,
lap,8,1'42.565,27.312,24.160,28.428,22.665,207.6,,,,,,
lap,9,1'45.262,27.809,24.540,28.868,24.045,203.7,,,,,,
lap,10,1'43.826,27.700,24.491,28.979,22.656,201.4,,,,,,
lap,11,1'42.963,27.363,24.267,28.540,22.793,206.8,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,8th,40,Total,laps=11,laps=7,,
lap,1,3'50.598,42.779,26.692,30.407*,23.977,198.5,,,,,,
lap,2,1'49.953,30.910,25.233,29.010,24.800,204.9,,,,,,
lap,3,1'43.921,27.898,24.492,28.614,22.917,205.3,,,,,,
lap,4,1'48.247,32.304*,24.574,28.574,22.795,206.5,,,,,,
lap,5,1'42.809,27.329,24.435,28.379,22.666,204.5,,,,,,
lap,6,1'42.566,27.143,24.411,28.363,22.649,207.6,,,,,,
lap,7,1'42.883,27.303,24.295,28.492,22.793,204.9,,,,,,
lap,8,1'49.442,27.168,24.284,28.855,29.135*,203.7,,,,,,
lap,9,1'52.500,34.422*,25.604,29.517,22.957,201.1,,,,,,
lap,10,1'42.752,27.395,24.274,28.442,22.641,206.1,,,,,,
lap,11,1'42.808,27.236,24.263,28.416,22.893,207.2,,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,9th,23,Total,laps=11,laps=8,,
lap,1,4'21.523,36.727,40.210,30.552*,23.448,204.5,,,,,,
lap,2,1'43.840,27.824,24.450,28.677,22.889,209.7,,,,,,
lap,3,1'43.349,27.447,24.337,28.762,22.803,206.1,,,,,,
lap,4,1'44.497,27.623,25.026,28.928*,22.920*,206.1,,,,,,
lap,5,1'43.133,27.293,24.346,28.677,22.817,207.2,,,,,,
lap,6,1'42.766,27.342,24.249,28.447*,22.728,207.2,,,,,,
lap,7,1'46.130,27.783,25.766,29.517,23.064,202.2,,,,,,
lap,8,1'42.720,27.336,24.250,28.453,22.681,206.8,,,,,,
lap,9,1'45.786,27.509,24.827,29.957,23.493,197.0,,,,,,
lap,10,1'42.576,27.222,24.222,28.461,22.671,210.9,,,,,,
lap,11,1'43.101,27.383,24.376,28.555,22.787,209.7,,,,,,
rider,Sergio,GARCIA,Estrella,Galicia,"0,0",SPA,10th,11,Total,laps=11,laps=7,,
lap,1,4'17.600,43.237,33.580,33.483,23.380,204.9,,,,,,
lap,2,1'44.036,27.727,24.691,28.661,22.957,206.5,,,,,,
lap,3,1'43.209,27.605,24.341,28.648,22.615,206.1,,,,,,
lap,4,1'43.917,27.665,24.464,28.779,23.009*,203.7,,,,,,
lap,5,1'45.920,29.551*,24.913,28.548,22.908*,206.1,,,,,,
lap,6,1'43.819,27.596,24.557,28.786,22.880,208.4,,,,,,
lap,7,1'46.050,28.628,25.131,29.401,22.890,208.0,,,,,,
lap,8,1'42.602,27.355,24.195,28.488,22.564,206.8,,,,,,
lap,9,1'43.385,27.700,24.434,28.525,22.726,209.3,,,,,,
lap,10,1'43.221,27.666,24.280,28.613,22.662,205.3,,,,,,
lap,11,1'43.186,27.600,24.332,28.624,22.630*,206.1,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,11th,79,Total,laps=11,laps=10,,
lap,1,4'17.361,34.796,25.833,29.476,23.281*,204.1,,,,,,
lap,2,1'44.087,27.799,24.537,28.860,22.891,204.5,,,,,,
lap,3,1'43.339,27.503,24.398,28.680,22.758,204.9,,,,,,
lap,4,1'46.410,29.008,24.910,29.424,23.068,201.4,,,,,,
lap,5,1'42.864,27.403,24.273,28.594,22.594,205.3,,,,,,
lap,6,1'46.935,27.542,24.962,31.293,23.138,173.3,,,,,,
lap,7,1'43.092,27.420,24.277,28.661,22.734,204.5,,,,,,
lap,8,1'42.608,27.283,24.198,28.448,22.679,205.7,,,,,,
lap,9,1'46.340,28.587,24.877,29.678,23.198,199.6,,,,,,
lap,10,1'42.713,27.324,24.252,28.457,22.680,208.4,,,,,,
lap,11,1'43.006,27.329,24.286,28.557,22.834,204.9,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,12th,2,Total,laps=11,laps=8,,,
lap,1,4'20.657,37.640,36.374,30.404*,23.500,201.8,,,,,,
lap,2,1'44.367,27.906,24.613,28.896,22.952,202.6,,,,,,
lap,3,1'43.654,27.498,24.469,28.791,22.896,203.0,,,,,,
lap,4,1'43.428,27.416,24.654,28.568,22.790,203.7,,,,,,
lap,5,1'42.718,27.325,24.289,28.402,22.702,206.1,,,,,,
lap,6,1'43.634,27.589,24.282,28.783,22.980,203.3,,,,,,
lap,7,1'43.265,27.416,24.433,28.628,22.788*,202.6,,,,,,
lap,8,1'43.261,27.364,24.373,28.727,22.797,203.0,,,,,,
lap,9,1'43.083,27.426,24.301,28.561,22.795*,204.5,,,,,,
lap,10,1'43.613,27.384,24.703,28.646,22.880,203.7,,,,,,
lap,11,1'43.273,27.469,24.390,28.563,22.851,204.9,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,13th,5,Total,laps=11,laps=6,,,
lap,1,4'16.529,38.392,35.251,29.697*,23.212,206.5,,,,,,
lap,2,1'43.626,27.613,24.485,28.647,22.881*,207.6,,,,,,
lap,3,1'43.663,27.498,24.500,28.632,23.033,206.8,,,,,,
lap,4,1'45.911,29.795*,24.506,28.774,22.836,206.5,,,,,,
lap,5,1'44.042,27.709,24.545,28.846,22.942*,204.5,,,,,,
lap,6,1'46.262,27.655,24.707,30.949,22.951*,203.3,,,,,,
lap,7,1'43.223,27.433,24.374,28.559,22.857,206.8,,,,,,
lap,8,1'43.048,27.337,24.366,28.474,22.871,206.8,,,,,,
lap,9,1'47.227,29.435,24.776,30.070,22.946,200.7,,,,,,
lap,10,1'42.721,27.254,24.326,28.423,22.718,209.7,,,,,,
lap,11,1'43.054,27.343,24.364,28.531,22.816,209.3,,,,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,14th,21,Total,laps=11,laps=8,,
lap,1,3'41.798,34.672,26.043,29.930,23.883,199.2,,,,,,
lap,2,1'45.705,27.997,24.824,28.909,23.975*,202.2,,,,,,
lap,3,1'44.242,27.790,24.711,28.748,22.993,203.0,,,,,,
lap,4,1'43.854,27.560,24.539,28.657,23.098,203.7,,,,,,
lap,5,1'44.660,27.979,24.733,28.759,23.189,203.7,,,,,,
lap,6,1'43.406,27.526,24.436,28.749,22.695,203.7,,,,,,
lap,7,1'43.319,27.619,24.417,28.466,22.817,204.9,,,,,,
lap,8,2'05.922,33.289*,29.123,35.018*,28.492,183.3,,,,,,
lap,9,1'53.528,27.616,27.998,34.958,22.956,203.3,,,,,,
lap,10,1'42.839,27.321,24.338,28.434,22.746,206.8,,,,,,
lap,11,1'43.184,27.353,24.403,28.494,22.934,207.6,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,15th,14,Total,laps=11,laps=6,,
lap,1,3'56.308,33.517,24.841,29.134,23.126,206.1,,,,,,
lap,2,1'45.569,27.675,24.546,28.736,24.612,207.2,,,,,,
lap,3,1'43.103,27.580,24.333,28.425,22.765,208.4,,,,,,
lap,4,1'50.539,32.933*,24.427,29.312,23.867,206.8,,,,,,
lap,5,1'43.094,27.504,24.285,28.558,22.747,206.8,,,,,,
lap,6,1'49.204,28.070,24.348,32.188*,24.598*,203.0,,,,,,
lap,7,1'43.423,27.392,24.366,28.909,22.756,204.5,,,,,,
lap,8,1'43.044,27.446,24.236,28.671,22.691,206.5,,,,,,
lap,9,1'50.929,27.324,25.696,35.047*,22.862,204.1,,,,,,
lap,10,1'42.845,27.471,24.280,28.436,22.658,210.1,,,,,,
lap,11,1'43.729,27.580,24.343,28.565,23.241*,210.1,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,16th,53,Total,laps=11,laps=8
lap,1,3'50.935,42.855,27.466,30.928*,24.422,189.1,,,,,,
lap,2,1'48.316,28.566,24.488,29.646,25.616,192.5,,,,,,
lap,3,1'44.698,27.905,24.453,29.167,23.173,205.7,,,,,,
lap,4,1'43.704,27.507,24.359,28.882,22.956*,205.3,,,,,,
lap,5,1'43.350,27.563,24.234,28.717,22.836,206.1,,,,,,
lap,6,1'42.918,27.435,24.053,28.613,22.817*,206.8,,,,,,
lap,7,1'43.126,27.540,24.200,28.627,22.759,206.5,,,,,,
lap,8,1'43.474,27.615,24.228,28.811,22.820,206.1,,,,,,
lap,9,1'43.121,27.500,24.143,28.570,22.908,206.1,,,,,,
lap,10,1'43.117,27.484,24.172,28.663,22.798,206.1,,,,,,
lap,11,1'42.861,27.546,24.070,28.534,22.711,206.8,,,,,,
rider,17th,16,Andrea,MIGNO,SKY,Racing,Team,VR,ITA,Total,laps=11,laps=8,
lap,1,3'40.940,36.768,27.269,30.208,23.982,201.1,,,,,,
lap,2,1'47.326,29.581,25.455,29.025,23.265,204.5,,,,,,
lap,3,1'43.752,27.607,24.594,28.672,22.879,205.7,,,,,,
lap,4,1'43.617,27.526,24.473,28.656,22.962,206.1,,,,,,
lap,5,1'45.137,27.652,24.607,28.901,23.977*,203.0,,,,,,
lap,6,1'44.989,28.810,24.633,28.694,22.852,204.5,,,,,,
lap,7,1'43.116,27.294,24.432,28.582,22.808,204.9,,,,,,
lap,8,1'44.797,28.502,24.562,28.804,22.929*,202.2,,,,,,
lap,9,1'43.561,27.352,24.450,28.948,22.811,203.3,,,,,,
lap,10,1'48.102,28.946,27.217,29.168,22.771,204.1,,,,,,
lap,11,1'42.880,27.220,24.386,28.611,22.663,204.9,,,,,,
rider,18th,27,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,Total,laps=11,laps=9,
lap,1,3'52.949,38.715,27.983,31.773*,24.189,192.8,,,,,,
lap,2,1'46.227,28.321,25.039,28.834,24.033,206.8,,,,,,
lap,3,1'46.739,28.287,24.609,30.776,23.067,183.6,,,,,,
lap,4,1'43.791,27.689,24.455,28.424,23.223,207.6,,,,,,
lap,5,1'46.647,27.706,27.385,28.627,22.929*,206.5,,,,,,
lap,6,1'43.478,27.556,24.569,28.476,22.877,206.1,,,,,,
lap,7,1'42.935,27.475,24.368,28.412,22.680,207.2,,,,,,
lap,8,1'50.458,27.997,25.444,30.732,26.285,200.3,,,,,,
lap,9,1'47.748,28.248,26.585,29.645,23.270,197.4,,,,,,
lap,10,1'43.703,27.612,24.474,28.624,22.993,204.9,,,,,,
lap,11,1'43.598,27.500,24.574,28.554,22.970,205.7,,,,,,
rider,19th,55,Romano,FENATI,Sterilgarda,Max,Racin,ITA,Total,laps=11,laps=6,,
lap,1,3'42.660,36.321,24.915,29.053,22.908*,199.6,,,,,,
lap,2,1'43.918,27.937,24.707,28.516,22.758*,204.9,,,,,,
lap,3,1'43.336,27.479,24.469,28.597,22.791,203.0,,,,,,
lap,4,1'43.206,27.543,24.399,28.576,22.688,203.3,,,,,,
lap,5,1'47.355,28.366,27.171,28.633,23.185,207.2,,,,,,
lap,6,1'42.995,27.514,24.337,28.500,22.644,206.1,,,,,,
lap,7,1'43.030,27.412,24.339,28.516*,22.763,204.1,,,,,,
lap,8,1'47.501,31.054*,24.629,28.738,23.080,205.7,,,,,,
lap,9,1'42.956,27.353,24.258,28.675,22.670,206.5,,,,,,
lap,10,1'46.123,29.584*,25.289,28.539,22.711,204.1,,,,,,
lap,11,1'43.044,27.399,24.395,28.525,22.725,203.7,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,20th,12,Total,laps=7,laps=6,,
lap,1,9'40.521,31.551,25.296,30.203,23.150,188.4,,,,,,
lap,2,1'43.750,27.734,24.523,28.775,22.718,203.7,,,,,,
lap,3,1'43.200,27.485,24.296,28.662,22.757,204.1,,,,,,
lap,4,1'43.483,27.454,24.388,28.657,22.984,204.1,,,,,,
lap,5,1'43.411,27.479,24.372,28.641,22.919,203.7,,,,,,
lap,6,1'43.008,27.564,24.287,28.512,22.645,204.5,,,,,,
lap,7,1'45.707,27.478,24.331,29.205,24.693,203.0,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,21st,99,Total,laps=11,laps=8,,
lap,1,3'30.187,39.009,25.699,29.402,23.185,201.4,,,,,,
lap,2,1'44.204,27.639,24.636,28.899,23.030,203.0,,,,,,
lap,3,1'43.997,27.649,24.430,28.924,22.994,203.0,,,,,,
lap,4,1'43.722,27.550,24.473,28.788,22.911*,203.0,,,,,,
lap,5,1'43.539,27.517,24.393,28.822,22.807,203.0,,,,,,
lap,6,1'43.203,27.436,24.320,28.696,22.751*,203.3,,,,,,
lap,7,1'43.261,27.481,24.344,28.641,22.795,203.3,,,,,,
lap,8,1'43.036,27.393,24.304,28.570,22.769,204.9,,,,,,
lap,9,1'47.836,27.508,26.659,30.396,23.273,194.9,,,,,,
lap,10,1'43.255,27.428,24.451,28.605,22.771,204.5,,,,,,
lap,11,1'43.203,27.455,24.321,28.630,22.797,203.7,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,22nd,52,Total,laps=11,laps=8,,,
lap,1,4'19.867,37.834,34.744,34.419,23.682*,204.5,,,,,,
lap,2,1'45.728,29.034,24.719,29.034,22.941,203.7,,,,,,
lap,3,1'43.433,27.403,24.460,28.719,22.851,204.9,,,,,,
lap,4,1'43.517,27.449,24.421,28.800,22.847,204.5,,,,,,
lap,5,1'43.057,27.265,24.402,28.556,22.834,204.9,,,,,,
lap,6,1'43.043,27.240,24.334,28.722,22.747,206.1,,,,,,
lap,7,1'43.703,27.727,24.486,28.671,22.819,202.6,,,,,,
lap,8,1'43.093,27.190,24.462,28.676,22.765,203.3,,,,,,
lap,9,1'42.633,27.231,24.266,28.530,22.606*,205.3,,,,,,
lap,10,1'44.255,27.624,24.834,29.007*,22.790,202.2,,,,,,
lap,11,1'43.165,27.374,24.422,28.598,22.771,204.1,,,,,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,23rd,54,Total,laps=11,laps=3,
lap,1,3'52.174,41.492,26.644,30.702*,24.809,192.5,,,,,,
lap,2,1'48.784,28.195,24.683,29.275,26.631*,204.9,,,,,,
lap,3,1'44.046,27.861,24.498,28.609*,23.078,204.9,,,,,,
lap,4,1'44.039,27.853,24.509,28.682,22.995*,206.5,,,,,,
lap,5,1'50.388,29.860*,27.752,29.831,22.945,204.9,,,,,,
lap,6,1'45.326,27.687,24.507,29.256,23.876,207.6,,,,,,
lap,7,1'43.555,27.581,24.401,28.633*,22.940,205.3,,,,,,
lap,8,1'43.900,27.486,24.465,28.923*,23.026*,206.8,,,,,,
lap,9,1'54.144,27.931,29.261,33.848,23.104,157.2,,,,,,
lap,10,1'44.342,27.751,24.486,29.174,22.931*,201.1,,,,,,
lap,11,1'43.201,27.426,24.385,28.497,22.893,208.0,,,,,,
rider,Stefano,NEPA,Pull&Bear,Aspar,Tea,ITA,24th,82,Total,laps=11,laps=9,,
lap,1,3'54.972,36.420,26.997,31.029,23.657,194.5,,,,,,
lap,2,1'45.020,28.146,24.600,28.671,23.603,208.0,,,,,,
lap,3,1'49.348,30.895,25.893,29.496,23.064,204.9,,,,,,
lap,4,1'43.820,27.897,24.377,28.628,22.918,207.2,,,,,,
lap,5,1'43.478,27.670,24.331,28.589,22.888,207.2,,,,,,
lap,6,1'43.412,27.517,24.484,28.474,22.937*,208.8,,,,,,
lap,7,1'43.322,27.553,24.311,28.548,22.910,207.2,,,,,,
lap,8,1'51.896,27.578,24.427,31.473,28.418,196.0,,,,,,
lap,9,1'53.258,27.817,25.670,35.723,24.048,205.3,,,,,,
lap,10,1'43.694,27.644,24.434,28.782,22.834,208.8,,,,,,
lap,11,1'43.821,27.866,24.425,28.695,22.835,208.0,,,,,,
rider,Davide,PIZZOLI,BOE,Skull,Rider,Facil,ITA,25th,9,Total,laps=11,laps=8,
lap,1,3'50.476,44.270,26.621,31.064,24.106,192.5,,,,,,
lap,2,1'49.019,28.533,24.963,29.547,25.976,202.6,,,,,,
lap,3,1'44.928,28.121,24.758,29.003,23.046,205.3,,,,,,
lap,4,1'44.707,27.870,24.691,28.980,23.166,203.0,,,,,,
lap,5,1'44.294,27.835,24.711,28.841,22.907,202.6,,,,,,
lap,6,1'46.753,28.186,25.504,29.618,23.445,198.8,,,,,,
lap,7,1'43.459,27.530,24.367,28.694,22.868,206.5,,,,,,
lap,8,1'43.897,27.594,24.323,28.893,23.087*,203.3,,,,,,
