0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 18,Moto3,Misano World Circuit Marco Simoncelli,FP1,,,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,1st,25,Total,laps=17,laps=11,
lap,1,2'27.342,35.136,26.004,29.773,23.547,198.5,,,,,,
lap,2,1'44.783,28.071,24.907,28.837,22.968,200.7,,,,,,
lap,3,1'43.599,27.546,24.555,28.675,22.823,201.1,,,,,,
lap,4,1'43.331,27.304,24.488,28.748,22.791,201.1,,,,,,
lap,5,1'43.123,27.375,24.401,28.606,22.741,201.4,,,,,,
lap,6,1'43.178,27.338,24.266,28.652,22.922,201.8,,,,,,
lap,7,1'45.537,P,28.764,24.940,29.312*,22.521,200.0,,,,,
lap,8,1'51.799,34.609,25.144,29.017,23.029,200.0,,,,,,
lap,9,1'43.400,27.351,24.539,28.731,22.779,200.7,,,,,,
lap,10,1'45.971,27.300,24.441,28.632,25.598*,201.1,,,,,,
lap,11,1'43.347,27.318,24.485,28.501,23.043,205.7,,,,,,
lap,12,1'45.798,P,28.439,25.070,29.587,22.702,199.2,,,,,
lap,13,1'51.045,33.972,25.014,28.890,23.169,200.0,,,,,,
lap,14,1'42.292,27.108,24.312,28.409,22.463,202.2,,,,,,
lap,15,1'42.296,26.924,24.289,28.486,22.597,203.7,,,,,,
lap,16,1'41.962,26.844,24.303,28.386,22.429,201.8,,,,,,
lap,17,1'42.050,27.008,24.165,28.367,22.510,203.0,,,,,,
rider,Jeremy,ALCOBA,Kömmerling,Gresini,MSPA,2nd,52,Total,laps=13,laps=8,,,
lap,1,12'31.821,35.938,25.636,30.125,25.795,196.7,,,,,,
lap,2,1'45.284,28.051,24.718,29.489,23.026,201.4,,,,,,
lap,3,1'44.788,27.776,24.688,29.330,22.994,198.8,,,,,,
lap,4,1'44.399,27.591,24.656,29.186,22.966*,199.2,,,,,,
lap,5,1'44.220,27.390,24.801,29.250,22.779,198.5,,,,,,
lap,6,1'44.558,27.684,24.764,29.193,22.917,200.0,,,,,,
lap,7,1'43.387,27.499,24.430,28.773,22.685,202.2,,,,,,
lap,8,1'42.989,P,27.505,24.464,28.902,22.118,203.3,,,,,
lap,9,1'54.612,38.090,24.867,28.998,22.657,200.3,,,,,,
lap,10,1'42.126,26.997,24.172,28.541,22.416,203.7,,,,,,
lap,11,1'43.181,27.224,24.463,28.771,22.723,201.4,,,,,,
lap,12,1'42.660,27.161,24.296,28.556,22.647,204.1,,,,,,
lap,13,1'42.576,27.059,24.262,28.767,22.488,202.6,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,3rd,7,Total,laps=18,laps=10,,,
lap,1,3'26.934,33.861,25.646,29.749,23.469,203.7,,,,,,
lap,2,1'44.738,28.103,24.711,28.885,23.039,206.1,,,,,,
lap,3,1'45.677,27.716,24.514,30.280,23.167,203.7,,,,,,
lap,4,1'43.383,27.425,24.455,28.674,22.829,206.8,,,,,,
lap,5,1'43.417,27.328,24.458,28.832,22.799,204.5,,,,,,
lap,6,1'45.267,28.643,24.741,28.984,22.899,204.1,,,,,,
lap,7,1'43.177,27.372,24.339,28.667,22.799,204.5,,,,,,
