0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,Saturday September,Moto3,Misano World Circuit Marco Simoncelli,Q1,,,,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,1st,53,Total,laps=6,laps=3
lap,1,7'48.193,38.618,29.533,29.126,23.690,203.3,,,,,,
lap,2,1'42.721,27.286,24.100,28.654,22.681,206.8,,,,,,
lap,3,1'53.266,32.559*,25.499,29.347,25.861,199.6,,,,,,
lap,4,1'42.709,27.277,24.205,28.668,22.559,207.2,,,,,,
lap,5,1'42.223,27.143,23.994,28.509,22.577,207.6,,,,,,
lap,6,1'47.116,30.206*,24.248,29.611,23.051,205.7,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,2nd,14,Total,laps=5,laps=1,,
lap,1,5'27.234,P,41.053,29.790,29.487,23.528,201.4,,,,,
lap,2,2'00.229,37.751,28.937,29.524,24.017,202.6,,,,,,
lap,3,1'43.017,P,27.336,24.260,28.965,22.456,207.6,,,,,
lap,4,2'03.171,45.039,24.772,29.310,24.050,201.4,,,,,,
lap,5,1'42.305,27.067,24.047,28.638,22.553,204.9,,,,,,
rider,Kaito,TOBA,Red,Bull,KTM,Ajo,JPN,3rd,27,Total,laps=5,laps=2,
lap,1,5'55.156,54.365,30.464,36.675,23.886,158.8,,,,,,
lap,2,1'43.763,27.631,24.628,28.604,22.900,204.5,,,,,,
lap,3,1'44.704,P,28.190,24.859,29.247*,22.408,197.0,,,,,
lap,4,1'58.587,41.947,24.799,28.479,23.362,204.9,,,,,,
lap,5,1'42.378,27.074,24.282,28.516,22.506,206.5,,,,,,
rider,4th,12,Filip,SALAC,Rivacold,Snipers,Tea,CZE,Total,laps=7,laps=4,,
lap,1,3'08.150,34.387,24.945,29.150,22.900,199.2,,,,,,
lap,2,1'43.402,27.418,24.449,28.832,22.703,201.1,,,,,,
lap,3,1'44.975,P,27.567,24.765,29.230,23.413,199.6,,,,,
lap,4,2'00.325,36.990,27.710,32.953,22.672,157.4,,,,,,
lap,5,1'51.440,29.147,28.133,30.942,23.218,169.0,,,,,,
lap,6,1'43.304,27.180,24.266,28.463,23.395,205.3,,,,,,
lap,7,1'42.421,27.002,24.282,28.605,22.532,206.1,,,,,,
rider,5th,2,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,Total,laps=7,laps=5,,,
lap,1,5'57.898,52.891,31.638,37.865,23.303,183.9,,,,,,
lap,2,1'51.383,27.452,30.505,28.956,24.470,205.7,,,,,,
lap,3,1'42.608,27.157,24.255,28.356,22.840,205.7,,,,,,
lap,4,1'52.018,31.894,25.825,29.847,24.452,205.3,,,,,,
lap,5,1'42.812,27.244,24.378,28.698,22.492,202.2,,,,,,
lap,6,1'42.564,27.079,24.144,28.797,22.544,204.9,,,,,,
lap,PIT,33.227,25.203,29.431,24.965,201.4,,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,6th,17,Total,laps=6,laps=3,,
lap,1,5'54.915,48.611,29.308,39.934,23.690,163.6,,,,,,
lap,2,1'50.271,P,31.128,25.796,30.645,22.702,181.8,,,,,
lap,3,1'48.149,32.055,24.611,28.851,22.632,201.4,,,,,,
lap,4,1'42.902,27.147,24.335,28.819,22.601,200.7,,,,,,
lap,5,1'43.071,27.152,24.451,28.797,22.671,201.1,,,,,,
lap,6,1'42.704,27.132,24.216,28.721,22.635,201.1,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,7th,40,Total,laps=7,laps=4,,
lap,1,5'35.766,P,46.484,28.378,32.378,23.486,188.8,,,,,
lap,2,1'51.042,32.030,25.610,29.629,23.773,200.0,,,,,,
lap,3,1'43.009,27.155,24.320,28.752,22.782,203.7,,,,,,
lap,4,1'50.143,32.441*,25.521,29.310,22.871,199.6,,,,,,
lap,5,1'48.439,27.371,24.451,28.965,27.652,199.6,,,,,,
lap,6,1'43.317,27.395,24.430,28.577,22.915,203.7,,,,,,
lap,7,1'42.717,27.258,24.211,28.614,22.634,201.4,,,,,,
rider,8th,23,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,Total,laps=7,laps=4,,
lap,1,5'55.630,47.385,29.319,40.294,23.879,182.7,,,,,,
lap,2,1'50.834,27.484,29.541,30.285,23.524,193.8,,,,,,
lap,3,1'46.508,27.631,25.955,29.399,23.523,207.6,,,,,,
lap,4,1'42.751,27.269,24.128,28.693,22.661,203.7,,,,,,
lap,5,1'50.008,30.229*,25.244,29.310*,25.225,200.7,,,,,,
lap,6,1'47.586,27.787,24.831,31.233,23.735,171.1,,,,,,
lap,7,1'42.661,27.167,24.182,28.569,22.743*,206.8,,,,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,9th,21,Total,laps=7,laps=5,,
lap,1,5'53.599,49.353,28.092,39.261*,23.968,160.0,,,,,,
lap,2,1'53.500,29.879,26.235,31.446,25.940,186.8,,,,,,
lap,3,1'45.157,27.470,26.035,28.927,22.725,207.6,,,,,,
lap,4,1'42.868,27.278,24.285,28.655,22.650,200.3,,,,,,
lap,5,1'52.459,29.629,25.448,33.136,24.246,193.2,,,,,,
lap,6,1'42.898,27.038,24.477,28.409,22.974,202.6,,,,,,
lap,7,1'42.682,27.035,24.261,28.710*,22.676,205.3,,,,,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,10th,54,Total,laps=6,laps=1,
lap,1,5'56.795,50.539,29.837,35.230*,26.761,165.1,,,,,,
lap,2,1'52.757,27.693,24.690,29.031,31.343*,201.8,,,,,,
lap,3,1'43.052,27.325,24.469,28.569,22.689,205.3,,,,,,
lap,4,1'47.031,P,29.377*,25.091,29.280,23.283,201.1,,,,,
lap,5,2'02.094,40.461,26.640,30.773,24.220*,195.2,,,,,,
lap,6,1'42.998,27.293,24.429,28.696*,22.580,203.7,,,,,,
rider,Ryusei,YAMANAKA,Estrella,Galicia,"0,0",JPN,11th,6,Total,laps=5,laps=2,,
lap,1,5'55.311,52.676,30.698,35.582,23.794,172.2,,,,,,
lap,2,1'43.549,27.588,24.386,28.626,22.949,203.0,,,,,,
lap,3,1'47.870,P,28.513,25.363,30.074*,23.920,193.8,,,,,
lap,4,1'59.984,39.444,26.825,29.798,23.917,200.0,,,,,,
lap,5,1'43.074,27.211,24.410,28.819,22.634,204.9,,,,,,
