0,1,2,3,4,5,6,7,8,9,10
const,2020,September 20,Moto3,Misano World Circuit Marco Simoncelli,RACE,,,,,
rider,Romano,FENATI,Sterilgarda,Max,Racin,ITA,1st,55,,
lap,1,1'49.219,33.430,24.758,28.422,22.609,202.6,,,
lap,2,1'42.229,27.103,24.237,28.477,22.412,206.1,,,
lap,3,1'42.579,27.340,24.242,28.542,22.455,205.7,,,
lap,4,1'42.689,27.234,24.207,28.634,22.614,205.7,,,
lap,5,1'43.004,27.565,24.140,28.719,22.580,207.6,,,
lap,6,1'42.972,27.488,24.135,28.654,22.695,205.3,,,
lap,7,1'43.106,27.450,24.176,28.785,22.695,206.5,,,
lap,8,1'42.642,27.307,24.055,28.759,22.521,206.1,,,
lap,9,1'42.334,27.201,24.135,28.525,22.473,206.1,,,
lap,10,1'42.422,27.323,24.089,28.403,22.607,206.1,,,
lap,11,1'42.340,27.455,24.002,28.395,22.488,207.6,,,
lap,12,1'42.404,27.410,24.000,28.491,22.503,207.2,,,
lap,13,1'42.763,27.483,24.210,28.635,22.435,201.8,,,
lap,14,1'42.717,27.259,24.085,28.537,22.836*,200.7,,,
lap,15,1'42.546,27.207,24.169,28.508,22.662,204.9,,,
lap,16,1'42.839,27.519,24.158,28.552,22.610,208.4,,,
lap,17,1'42.682,27.353,24.158,28.630,22.541,204.9,,,
lap,18,1'42.951,27.411,24.213,28.481,22.846,208.0,,,
lap,19,1'43.267,27.354,24.277,28.973,22.663,204.5,,,
lap,20,1'42.987,27.366,24.208,28.815,22.598,206.1,,,
lap,21,1'42.995,27.456,24.233,28.721,22.585,207.2,,,
lap,22,1'43.265,27.633,24.379,28.613,22.640,206.5,,,
lap,23,1'43.172,27.351,24.449,28.556,22.816,207.2,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,2nd,13,
lap,1,1'49.369,33.780,24.513,28.489,22.587,204.9,,,
lap,2,1'42.303,27.148,24.177,28.481,22.497,204.1,,,
lap,3,1'42.277,27.276,24.208,28.302,22.491,207.2,,,
lap,4,1'42.571,27.215,24.180,28.614,22.562,206.1,,,
lap,5,1'42.900,27.478,24.204,28.618,22.600,206.8,,,
lap,6,1'42.705,27.324,24.278,28.536,22.567,206.1,,,
lap,7,1'42.741,27.296,24.400,28.444,22.601,203.0,,,
lap,8,1'42.615,27.151,24.343,28.511,22.610,201.1,,,
lap,9,1'42.387,27.127,24.210,28.495,22.555,200.7,,,
lap,10,1'42.393,27.040,24.275,28.498,22.580,200.7,,,
lap,11,1'42.573,27.277,24.257,28.414,22.625,200.7,,,
lap,12,1'42.528,27.116,24.229,28.515,22.668,200.3,,,
lap,13,1'42.598,27.231,24.236,28.465,22.666,201.4,,,
lap,14,1'42.623,27.158,24.225,28.594,22.646,200.0,,,
lap,15,1'42.817,27.308,24.277,28.503,22.729,200.3,,,
lap,16,1'42.851,27.277,24.302,28.582,22.690,200.7,,,
lap,17,1'43.021,27.310,24.538,28.433,22.740,204.9,,,
lap,18,1'43.115,27.249,24.316,28.708,22.842,201.1,,,
lap,19,1'42.987,27.316,24.272,28.624,22.775,201.1,,,
lap,20,1'42.883,27.258,24.240,28.577,22.808,200.3,,,
lap,21,1'43.066,27.331,24.375,28.573,22.787,200.3,,,
lap,22,1'43.446,27.769,24.401,28.522,22.754,200.7,,,
lap,23,1'43.391,27.286,24.370,28.773,22.962,206.1,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,3rd,79,,
lap,1,1'49.991,34.116,24.434,28.715,22.726,208.8,,,
lap,2,1'42.787,27.391,24.326,28.457,22.613,206.5,,,
lap,3,1'42.554,27.436,24.157,28.450,22.511,205.7,,,
lap,4,1'42.809,27.189,24.122,29.024,22.474,204.1,,,
lap,5,1'42.591,27.234,24.176,28.422,22.759,204.9,,,
lap,6,1'42.674,27.413,24.142,28.530,22.589,206.1,,,
lap,7,1'42.901,27.493,24.045,28.531,22.832,206.1,,,
lap,8,1'42.691,27.182,24.108,28.655,22.746,206.8,,,
lap,9,1'42.290,27.173,24.052,28.544,22.521,206.5,,,
lap,10,1'42.630,27.248,24.147,28.517,22.718,206.5,,,
lap,11,1'42.425,27.304,24.136,28.468,22.517,206.1,,,
lap,12,1'42.384,27.188,24.028,28.573,22.595,204.1,,,
lap,13,1'42.350,27.240,24.082,28.493,22.535,208.0,,,
lap,14,1'42.715,27.267,24.059,28.803,22.586,208.4,,,
lap,15,1'42.488,27.372,24.129,28.510,22.477,204.9,,,
