0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 25,Moto3,Circuit de Barcelona,FP2,,,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,1st,5,Total,laps=10,laps=5,,,
lap,1,2'53.553,23.013,37.490,26.257,33.562,143.4,,,,,,
lap,2,1'50.971,20.655,34.058,23.258,33.000,236.3,,,,,,
lap,3,1'50.595,20.433,33.975,23.232*,32.955*,234.7,,,,,,
lap,4,1'50.948,20.575,33.996,23.326,33.051*,232.7,,,,,,
lap,5,1'55.635,21.585*,37.530*,23.382,33.138,230.2,,,,,,
lap,6,2'02.242,P,20.442,33.906,23.190,44.704,233.7,,,,,
lap,unfinished,19.414,34.955,170.8,,,,,,,,,
lap,7,2'00.094,27.403,36.162,23.530,32.999,127.6,,,,,,
lap,8,1'49.134,20.263,33.377,22.948,32.546,241.0,,,,,,
lap,9,1'52.008,20.507,35.116,23.195,33.190,236.8,,,,,,
rider,2nd,40,Darryn,BINDER,CIP,Green,Power,RSA,Total,laps=13,laps=6,,
lap,1,3'05.837,19.387,34.788,23.926,37.122,166.4,,,,,,
lap,2,1'53.120,21.169,34.591,23.703,33.657,227.8,,,,,,
lap,3,1'51.866,21.135,34.085,23.678,32.968,227.3,,,,,,
lap,4,1'51.047,20.726,33.941,23.353,33.027,232.7,,,,,,
lap,5,1'51.279,20.160,34.018,23.487,33.614,239.4,,,,,,
lap,6,1'57.176,21.339*,38.329*,23.732,33.776,236.3,,,,,,
lap,7,2'02.948,P,21.081*,35.014*,23.580,43.273,234.2,,,,,
lap,8,9'39.257,24.225,37.481,23.586,32.961,111.6,,,,,,
lap,9,1'49.650,20.236,33.482,23.288,32.644,235.8,,,,,,
lap,10,2'04.707,P,23.196*,35.305*,23.338,42.868,234.2,,,,,
lap,11,9'53.481,23.239,34.563,23.630,32.845,130.1,,,,,,
lap,12,1'49.418,20.459,33.392,22.963,32.604,234.2,,,,,,
lap,13,1'52.484,21.819*,34.433*,23.148*,33.084,229.7,,,,,,
rider,3rd,99,Carlos,TATAY,Reale,Avintia,Moto3,SPA,Total,laps=13,laps=8,,
lap,1,2'51.479,22.069,35.640,24.480,33.590,133.9,,,,,,
lap,2,1'55.765,20.827,34.184,23.267,37.487,226.8,,,,,,
lap,3,1'50.920,20.596,34.040,23.358,32.926,234.2,,,,,,
lap,4,1'50.508,20.466,33.938,23.290,32.814,234.2,,,,,,
lap,5,1'50.065,20.347,33.728,23.227,32.763,241.6,,,,,,
lap,6,2'00.929,P,20.916,34.676,23.719,41.618,234.7,,,,,
lap,7,10'03.751,22.915,34.742,23.849,33.243,139.7,,,,,,
lap,8,1'51.081,20.778,34.089,23.293,32.921,230.2,,,,,,
lap,9,1'50.991,20.628,34.088,23.341,32.934,232.7,,,,,,
lap,10,2'00.121,P,20.699,33.992,23.418,42.012,230.2,,,,,
lap,11,9'56.147,23.162,34.752,23.519,33.132,139.1,,,,,,
lap,12,1'49.611,20.292,33.547,22.970,32.802,241.6,,,,,,
lap,13,1'50.326,20.556,33.490,23.083,33.197,230.2,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,4th,2,Total,laps=9,laps=5,,,
lap,1,2'30.158,22.952,34.921,23.908,33.354,148.7,,,,,,
lap,2,1'50.974,20.682,34.066,23.323,32.903,230.7,,,,,,
lap,3,1'51.184,20.628,33.906,23.294,33.356,230.7,,,,,,
lap,4,1'50.952,20.530,33.895,23.486,33.041,231.2,,,,,,
lap,5,1'52.891,20.881,35.005,23.642,33.363,230.7,,,,,,
lap,6,5'21.413,P,3'08.864,52.552,30.743,49.254,231.7,,,,,
lap,7,22'42.133,30.758,36.255,23.684,32.731,123.5,,,,,,
