0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 26,Moto3,Circuit de Barcelona,Q1,,,,,,,,
rider,Alonso,LOPEZ,Sterilgarda,Max,Racin,SPA,1st,21,Total,laps=6,laps=3,,
lap,1,2'32.804,20.106,34.668,23.572,33.139,164.8,,,,,,
lap,2,1'50.451,20.434,33.943,23.279,32.795,232.7,,,,,,
lap,3,1'50.286,20.425,33.846,23.171,32.844,232.7,,,,,,
lap,4,2'01.410,P,20.389,33.807,23.752*,43.462,234.2,,,,,
lap,5,5'21.849,28.045,42.215*,27.182,39.563,106.0,,,,,,
lap,6,1'48.894,20.419,33.420,22.847,32.208,234.7,,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,2nd,23,Total,laps=5,laps=2,,
lap,1,6'14.303,P,18.697,34.669,23.595,40.533,174.4,,,,,
lap,2,3'39.941,18.105,34.083*,23.157*,32.892*,176.1,,,,,,
lap,3,1'49.164,20.361,33.532,22.921,32.350,233.2,,,,,,
lap,4,1'56.369,20.453,33.982,23.800,38.134,238.4,,,,,,
lap,5,1'58.213,P,20.291,33.629,23.132,41.161,237.8,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,3rd,17,Total,laps=5,laps=2,,
lap,1,6'10.931,P,21.178,35.222,24.189,42.482,145.3,,,,,
lap,2,3'34.421,18.928,34.303*,23.345,32.714,171.1,,,,,,
lap,3,1'49.855,20.520,33.661,23.075,32.599,229.7,,,,,,
lap,4,2'00.815,27.553*,37.331*,23.141,32.790,219.0,,,,,,
lap,5,1'49.210,20.369,33.559,22.957,32.325,237.8,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,4th,75,Total,laps=7,laps=4,,
lap,1,2'05.315,18.497,34.312,24.067,38.163,178.8,,,,,,
lap,2,1'50.416,20.532,33.803,23.267,32.814,233.7,,,,,,
lap,3,1'49.643,20.313,33.626,23.067,32.637,234.7,,,,,,
lap,4,2'01.147,P,20.444*,34.940*,23.732,42.031,232.2,,,,,
lap,5,3'58.407,20.220,33.697,23.104,32.525,159.0,,,,,,
lap,6,1'49.242,20.262,33.356,22.879,32.745,235.8,,,,,,
lap,7,1'52.755,20.506,33.641,23.800,34.808,230.2,,,,,,
rider,Jose,Julian,GARCI,SIC58,Squadra,Corse,SPA,5th,20,Total,laps=5,laps=2,
lap,1,6'15.613,P,21.674,35.149,23.879,41.662,144.3,,,,,
lap,2,3'29.872,19.109,34.005*,23.280,32.620,168.7,,,,,,
lap,3,1'49.795,20.594,33.604,23.084,32.513,227.3,,,,,,
lap,4,2'00.829,25.836*,39.104*,23.186,32.703,217.3,,,,,,
lap,5,1'49.330,20.349,33.657,22.992,32.332,238.9,,,,,,
rider,Riccardo,ROSSI,BOE,Skull,Rider,Facil,ITA,6th,54,Total,laps=6,laps=4,
lap,1,2'05.940,20.401,34.002,23.666,38.226,169.5,,,,,,
lap,2,1'50.102,20.305,33.549,23.235,33.013,236.3,,,,,,
lap,3,1'49.346,20.206,33.541,23.007,32.592,237.8,,,,,,
lap,4,2'02.085,P,20.749,35.022,23.735*,42.579,232.2,,,,,
lap,unfinished,19.848,33.849,23.055,165.3,,,,,,,,
lap,5,8'13.910,P,51.044,35.362,1'02.374,,,,,,,
rider,Carlos,TATAY,Reale,Avintia,Moto3,SPA,7th,99,Total,laps=7,laps=3,,
lap,1,2'56.039,29.464,34.797,23.473,32.749,95.0,,,,,,
lap,2,1'49.420,20.376,33.571,23.122,32.351,232.2,,,,,,
lap,3,1'50.905,20.360,33.573,23.020,33.952,232.7,,,,,,
lap,4,1'49.796,20.538,33.657,23.101,32.500,231.2,,,,,,
lap,5,1'59.097,P,20.195*,34.776*,23.418,40.708,228.8,,,,,
lap,6,4'12.737,19.526,34.112,23.336,32.857,168.4,,,,,,
lap,7,2'25.292,P,20.643,49.591,28.929,46.129,226.8,,,,,
rider,Deniz,ÖNCÜ,Red,Bull,KTM,Tech,3,TUR,8th,53,Total,laps=4,laps=2
lap,1,9'46.949,19.549,34.266,23.117,32.693,171.9,,,,,,
lap,2,1'49.622,20.424,33.572,22.886,32.740,232.7,,,,,,
lap,3,1'58.915,25.034*,38.022*,23.056*,32.803,235.8,,,,,,
lap,4,1'49.699,20.556,33.665,22.971,32.507,230.2,,,,,,
rider,Jason,DUPASQUIE,CarXpert,PruestelGP,SWI,9th,50,Total,laps=5,laps=2,,,
lap,1,6'12.950,P,21.308,34.502,24.214,44.137,144.9,,,,,
lap,2,3'33.164,18.736,33.997,23.122,32.553,178.2,,,,,,
lap,3,1'49.723,20.454,33.662,23.054,32.553,236.3,,,,,,
lap,4,2'03.591,20.853*,38.377*,25.174,39.187,237.3,,,,,,
lap,5,1'50.649,20.412,34.052,23.072,33.113,233.2,,,,,,
rider,Ai,OGURA,Honda,Team,Asia,JPN,10th,79,Total,laps=5,laps=1,,
lap,1,6'12.062,18.685,34.760,23.472,32.858,174.1,,,,,,
lap,2,2'03.668,P,20.528,35.299,24.409,43.432,232.2,,,,,
lap,3,3'24.675,20.578,34.071,23.242,32.583,163.6,,,,,,
lap,4,1'58.402,23.383*,37.603*,23.455,33.961*,232.2,,,,,,
lap,5,1'49.782,20.463,33.731,23.049,32.539,231.7,,,,,,
rider,Stefano,NEPA,Gaviota,Aspar,Team,ITA,11th,82,Total,laps=5,laps=2,,
lap,1,6'11.255,P,20.485,34.723,24.288,42.595,150.2,,,,,
lap,2,3'36.822,19.341,35.066*,23.194,32.755,173.0,,,,,,
lap,3,1'49.819,20.449,33.667,23.043,32.660,233.7,,,,,,
lap,4,1'57.087,24.082*,36.844*,23.209,32.952,234.2,,,,,,
