0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 27,Moto3,Circuit de Barcelona,RACE,,,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,1st,40,Total,laps=21,laps=19,,
lap,1,1'53.552,24.673,33.616,23.014,32.249,204.9,,,,,,
lap,2,1'49.347,20.493,33.589,22.910,32.355,230.7,,,,,,
lap,3,1'49.557,20.195,33.594,23.145,32.623,238.4,,,,,,
lap,4,1'50.076,20.644,33.793,22.969*,32.670,234.2,,,,,,
lap,5,1'49.281,20.424,33.537,22.963,32.357,236.8,,,,,,
lap,6,1'49.572,20.912,33.403,22.911,32.346,225.4,,,,,,
lap,7,1'49.197,20.287,33.452,22.973,32.485,236.3,,,,,,
lap,8,1'49.445,20.213,33.826,22.951,32.455,236.3,,,,,,
lap,9,1'49.815,20.116,33.736,23.177,32.786,236.8,,,,,,
lap,10,1'49.727,20.590,33.637,22.990,32.510,231.7,,,,,,
lap,11,1'50.278,20.273,34.022,23.101,32.882,236.8,,,,,,
lap,12,1'50.318,20.141,34.021,23.219,32.937,239.4,,,,,,
lap,13,1'50.591,20.631,33.842,23.205,32.913,233.7,,,,,,
lap,14,1'50.597,20.524,33.869,23.268,32.936,233.2,,,,,,
lap,15,1'50.709,20.231,33.957,23.282,33.239,242.1,,,,,,
lap,16,1'50.460,20.586,33.974,23.084,32.816,236.3,,,,,,
lap,17,1'50.498,20.855,33.954,23.086,32.603,230.7,,,,,,
lap,18,1'49.870,20.184,33.970,23.036,32.680,244.3,,,,,,
lap,19,1'49.619,20.220,33.783,23.009,32.607,241.0,,,,,,
lap,20,1'49.837,20.281,33.943,22.995,32.618,237.8,,,,,,
lap,21,1'50.161,20.341,33.681,23.202,32.937,238.4,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,2nd,14,Total,laps=21,laps=19,,
lap,1,1'53.298,24.128,33.739,23.035,32.396,202.2,,,,,,
lap,2,1'49.316,20.390,33.551,22.999,32.376,234.2,,,,,,
lap,3,1'49.971,20.692,33.586,23.035,32.658,231.7,,,,,,
lap,4,1'49.740,20.309,33.795,22.965,32.671,232.7,,,,,,
lap,5,1'49.368,20.404,33.423,23.055*,32.486,232.2,,,,,,
lap,6,1'49.433,20.502,33.507,23.013,32.411,231.7,,,,,,
lap,7,1'49.308,20.381,33.515,22.976,32.436,231.7,,,,,,
lap,8,1'49.439,20.444,33.603,22.958,32.434,231.7,,,,,,
lap,9,1'50.113,20.485,33.716,23.070,32.842,230.7,,,,,,
lap,10,1'49.394,20.085,33.583,23.095,32.631,238.4,,,,,,
lap,11,1'50.352,20.545,33.862,23.040,32.905,235.2,,,,,,
lap,12,1'50.693,20.620,33.937,23.095,33.041,234.2,,,,,,
lap,13,1'50.555,20.421,34.085,23.291,32.758,236.3,,,,,,
lap,14,1'50.673,20.625,34.249,23.038,32.761,237.3,,,,,,
lap,15,1'50.730,20.413,34.204,23.102,33.011,240.5,,,,,,
lap,16,1'50.262,20.367,34.093,23.083,32.719,239.4,,,,,,
lap,17,1'50.086,20.615,33.762,22.874,32.835,233.7,,,,,,
lap,18,1'50.022,20.573,33.797,23.009,32.643,239.4,,,,,,
lap,19,1'49.870,20.479,33.806,22.951,32.634,234.7,,,,,,
lap,20,1'49.833,20.228,33.977,23.004,32.624,237.8,,,,,,
lap,21,1'50.154,20.306,33.829,23.070,32.949,239.4,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,3rd,7,Total,laps=21,laps=19,,,
lap,1,1'55.536,25.504,34.150,23.111,32.771,211.7,,,,,,
lap,2,1'49.541,20.204,33.591,23.006,32.740*,244.8,,,,,,
lap,3,1'49.350,20.151,33.747,22.955,32.497,243.2,,,,,,
lap,4,1'49.793,20.160,33.683,23.149,32.801,243.2,,,,,,
lap,5,1'49.560,20.054,33.853,23.154,32.499,244.3,,,,,,
lap,6,1'49.202,20.236,33.579,22.895,32.492,242.1,,,,,,
lap,7,1'49.419,20.134,33.663,23.146,32.476,244.8,,,,,,
lap,8,1'49.669,20.423,33.693,22.887,32.666,243.7,,,,,,
lap,9,1'49.219,20.110,33.586,22.978,32.545,241.0,,,,,,
lap,10,1'49.109,20.037,33.667,22.919,32.486,243.2,,,,,,
lap,11,1'49.870,20.135,33.885,23.010,32.840,243.7,,,,,,
lap,12,1'50.490,20.303,34.280,23.075,32.832,243.2,,,,,,
lap,13,1'50.550,20.452,34.207,23.066,32.825,240.5,,,,,,
lap,14,1'49.896,20.204,33.843,23.047,32.802,242.6,,,,,,
lap,15,1'50.727,20.595,33.909,23.201,33.022,236.8,,,,,,
lap,16,1'50.197,20.429,33.945,23.097,32.726,235.8,,,,,,
lap,17,1'50.365,20.509,33.932,23.075,32.849,234.7,,,,,,
