0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2020,September 27,Moto3,Circuit de Barcelona,WUP,,,,,,,,
rider,Niccolò,ANTONELL,SIC58,Squadra,Corse,ITA,1st,23,Total,laps=10,laps=5,,
lap,1,4'31.387,P,21.817,36.158,24.030,46.574,156.0,,,,,
lap,2,2'16.143,22.593,34.820*,23.545,33.318,139.5,,,,,,
lap,3,1'51.021,20.598,34.147,23.354,32.922,238.4,,,,,,
lap,4,1'50.095,20.399,33.897,23.233,32.566,240.0,,,,,,
lap,5,1'51.717,20.298,34.138,23.347,33.934,240.5,,,,,,
lap,6,1'49.715,20.170,33.744,23.133,32.668,241.6,,,,,,
lap,7,1'51.985,20.219*,35.714*,23.214,32.838,243.7,,,,,,
lap,8,1'50.764,20.393,34.078,23.389*,32.904,239.4,,,,,,
lap,9,1'50.310,20.225,34.015,23.277*,32.793,241.0,,,,,,
lap,10,1'50.883,20.254,34.252,23.267,33.110,244.3,,,,,,
rider,Albert,ARENAS,Gaviota,Aspar,Team,SPA,2nd,75,Total,laps=10,laps=7,,
lap,1,4'53.365,34.454,37.821,23.883,34.168,70.4,,,,,,
lap,2,1'50.880,20.698,34.034,23.246,32.902,232.7,,,,,,
lap,3,1'53.943,20.372,33.882,23.337,36.352,242.1,,,,,,
lap,4,1'50.126,20.446,33.936,23.147,32.597,235.8,,,,,,
lap,5,1'50.472,20.408,33.993,23.262,32.809,240.5,,,,,,
lap,6,1'50.035,20.338,33.727,23.254,32.716,235.8,,,,,,
lap,7,1'49.716,20.329,33.680,23.048,32.659,237.3,,,,,,
lap,8,1'50.768,20.165*,34.342*,23.272,32.989,239.4,,,,,,
lap,9,1'50.532,20.367,33.873,23.423*,32.869,238.4,,,,,,
lap,10,1'49.804,20.353,33.750,23.081,32.620,234.2,,,,,,
rider,Gabriel,RODRIGO,Kömmerling,Gresini,MARG,3rd,2,Total,laps=10,laps=8,,,
lap,1,4'54.179,31.050,37.461,23.832,34.088,100.0,,,,,,
lap,2,1'50.242,20.470,33.894,23.185,32.693,240.5,,,,,,
lap,3,1'51.263,20.362,34.040,23.289,33.572,246.0,,,,,,
lap,4,1'50.453,20.245,34.267,23.179,32.762,240.0,,,,,,
lap,5,1'50.148,20.367,33.929,23.207,32.645,236.3,,,,,,
lap,6,1'49.759,20.299,33.792,23.096,32.572,236.8,,,,,,
lap,7,1'49.952,20.352,33.951,23.027,32.622,243.2,,,,,,
lap,8,1'50.759,20.146,34.141,23.318*,33.154,242.1,,,,,,
lap,9,1'51.854,20.987,34.235,23.241,33.391,233.2,,,,,,
lap,10,1'50.998,20.555,34.242,23.284,32.917,231.2,,,,,,
rider,Jaume,MASIA,Leopard,Racing,SPA,4th,5,Total,laps=10,laps=7,,,
lap,1,4'53.811,32.737,37.590,23.918,33.934,73.4,,,,,,
lap,2,1'50.904,20.691,34.133,23.241,32.839,236.3,,,,,,
lap,3,1'54.959,20.314,33.995,23.299*,37.351,242.6,,,,,,
lap,4,1'50.077,20.322,33.849,23.192,32.714,241.0,,,,,,
lap,5,1'49.759,20.200,33.721,23.098,32.740,242.1,,,,,,
lap,6,1'50.493,20.189,34.149,23.234,32.921,243.2,,,,,,
lap,7,1'50.372,20.471,34.007,23.174,32.720,240.5,,,,,,
lap,8,1'50.342,20.458,33.929,23.119,32.836,235.8,,,,,,
lap,9,1'51.034,20.407,33.950,23.253,33.424,238.9,,,,,,
lap,10,1'50.454,20.289,33.995,23.258,32.912*,243.2,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,5th,7,Total,laps=10,laps=7,,,
lap,1,4'50.135,44.611,39.697,24.257*,34.116,,,,,,,
lap,2,1'51.561,20.707,34.370,23.321*,33.163,243.7,,,,,,
lap,3,1'50.927,20.202,34.439,23.282,33.004,243.7,,,,,,
lap,4,1'51.624,20.013*,35.286*,23.267,33.058,241.6,,,,,,
lap,5,1'52.496,20.241,34.423,23.780,34.052,244.3,,,,,,
lap,6,1'50.202,20.360,33.907,23.112,32.823,242.1,,,,,,
lap,7,1'50.197,20.364,33.819,23.066,32.948,242.6,,,,,,
lap,8,1'50.212,20.186,33.967,23.082,32.977,241.6,,,,,,
lap,9,1'55.590,20.492,35.062,24.124,35.912,242.6,,,,,,
lap,10,1'49.781,20.005,33.950,23.088,32.738,244.3,,,,,,
rider,Tony,ARBOLINO,Rivacold,Snipers,Tea,ITA,6th,14,Total,laps=10,laps=9,,
lap,1,4'59.287,23.625,36.501,23.717*,35.293,107.1,,,,,,
lap,2,1'51.130,20.622,34.445,23.211,32.852,236.3,,,,,,
lap,3,1'52.286,20.376,33.802,23.254,34.854,237.8,,,,,,
lap,4,1'49.863,20.354,33.844,23.133,32.532,237.8,,,,,,
lap,5,1'50.232,20.173,33.951,23.205,32.903,240.5,,,,,,
lap,6,1'51.776,20.393,35.413,23.209,32.761,236.8,,,,,,
lap,7,1'50.059,20.331,33.824,23.174,32.730,239.4,,,,,,
lap,8,1'50.237,20.365,33.807,23.126,32.939,236.8,,,,,,
lap,9,1'50.220,20.513,33.971,23.090,32.646,236.8,,,,,,
lap,10,1'50.065,20.310,33.825,23.055,32.875,238.9,,,,,,
rider,Darryn,BINDER,CIP,Green,Power,RSA,7th,40,Total,laps=10,laps=7,,
lap,1,4'49.564,38.201,38.304,25.691,35.278,71.1,,,,,,
lap,2,1'51.919,21.087,34.272,23.462,33.098,235.2,,,,,,
lap,3,1'51.207,20.591,34.405,23.341*,32.870,238.4,,,,,,
lap,4,1'50.633,20.381,33.830,23.256,33.166,243.7,,,,,,
lap,5,1'49.954,20.164,33.755,23.137,32.898,243.2,,,,,,
lap,6,1'56.363,21.839*,37.649*,23.700,33.175,239.4,,,,,,
lap,7,1'50.705,20.534,33.890,23.417,32.864,240.0,,,,,,
lap,8,1'50.514,20.628,33.946,23.121,32.819,237.3,,,,,,
lap,9,1'50.946,20.422,33.968,23.270,33.286,241.6,,,,,,
lap,10,1'50.478,20.340,34.012,23.300,32.826,243.7,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,8th,12,Total,laps=10,laps=8,,
lap,1,4'50.280,33.838,37.737,24.148,35.370,,,,,,,
