0,1,2,3,4,5,6,7,8,9,10,11
const,2020,October 09,MotoGP,Le Mans,FP2,,,,,,
rider,1st,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,,,
run,1,Wet-Medium,Wet-Soft,0,0,,,,,,
lap,1,3'56.237,P,34.496,26.018,29.495,34.190,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,2,6'20.941,35.208,26.773,30.256,28.569,,,,,
lap,3,1'41.906,24.152,23.619,27.662,26.473,249.3,,,,
lap,4,1'39.629,23.222,23.125,27.221,26.061,277.7,,,,
lap,5,1'37.738,22.697,22.815,26.570,25.656,289.0,,,,
lap,6,1'38.106,22.502,22.547,27.191,25.866,294.1,,,,
lap,7,1'36.432,22.364,22.366,26.470,25.232,291.5,,,,
lap,8,1'41.046,P,22.307,22.978,26.660,29.101,287.3,,,
run,3,Slick-Soft,Slick-Soft,7,7,,,,,,
lap,9,16'48.650,34.280,25.495,27.152,25.995,,,,,
lap,10,1'37.620,23.052,22.965,26.402,25.201,286.5,,,,
lap,11,1'34.566,22.027,21.710,25.911,24.918,307.7,,,,
lap,12,1'35.637,21.954,21.750,25.981,25.952,302.1,,,,
lap,13,1'35.796,21.782,21.645,25.843,26.526,303.1,,,,
lap,14,1'34.133,21.673,21.519*,25.878,25.063,306.8,,,,
lap,15,1'34.356,21.575,21.749,25.957,25.075,309.6,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,
run,1,Wet-Soft,Wet-Soft,21,21,,,,,,
lap,1,9'32.307,35.111,25.343,28.976,27.216,,,,,
lap,2,1'41.461,23.165,23.563,28.122,26.611,295.9,,,,
lap,3,1'52.942,P,24.191,24.395,32.368,31.988,289.0,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,4,15'17.580,34.724,25.139,28.338,26.941,,,,,
lap,5,1'39.495,23.095,23.214,27.300,25.886,290.7,,,,
lap,6,1'37.853,22.152,22.737,27.291,25.673,303.1,,,,
lap,7,1'36.508,22.148,22.465,26.544,25.351,302.1,,,,
lap,8,1'37.080,21.689,22.694,26.312,26.385,308.7,,,,
lap,9,1'36.568,22.063,22.140,26.241,26.124,305.8,,,,
lap,10,1'37.502,22.708,22.645,26.782,25.367,304.0,,,,
lap,11,2'02.873,21.787,22.040,52.968,26.078,306.8,,,,
lap,12,1'35.111,21.873,22.133,26.196,24.909,303.1,,,,
lap,13,1'35.643,21.501,22.089,26.226,25.827,307.7,,,,
lap,14,1'35.923,21.603,22.015,26.198,26.107,303.1,,,,
lap,15,1'34.500,21.655,21.863,26.007,24.975,302.1,,,,
rider,3rd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,19'22.318,36.442,26.776,30.833,28.906,,,,,
lap,2,1'45.963,24.696,24.942,28.921,27.404,270.9,,,,
lap,3,1'41.548,23.353,23.551,27.938,26.706,295.0,,,,
lap,4,1'39.995,22.800,22.821,27.182,27.192,304.9,,,,
lap,5,1'38.349,22.501,22.636,27.297,25.915,304.0,,,,
lap,6,1'38.510,22.219,23.053,27.367,25.871,310.6,,,,
lap,7,1'36.320,22.006,22.244,26.560,25.510,306.8,,,,
lap,8,1'35.924,21.778,22.146,26.466,25.534,307.7,,,,
lap,9,1'35.635,21.808,21.968,26.432,25.427,305.8,,,,
lap,10,1'36.516,21.733,21.944,27.103,25.736,307.7,,,,
lap,11,1'35.612,21.762,21.848,26.464,25.538,304.9,,,,
lap,12,1'35.713,21.827,22.048,26.478,25.360,306.8,,,,
lap,13,1'36.853,22.509,22.349,26.609,25.386,305.8,,,,
lap,14,1'36.586,22.302,22.522,26.457,25.305,310.6,,,,
lap,15,1'37.584,22.259,22.391,27.413,25.521,303.1,,,,
lap,16,1'34.857,21.630,21.942,26.148,25.137,305.8,,,,
lap,unfinished,21.547,21.837,26.177,308.7,,,,,,
rider,4th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,,,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,1,16'44.355,35.410,25.948,30.229,28.563,,,,,
lap,2,1'44.421,24.496,24.334,28.318,27.273,288.2,,,,
lap,3,1'41.383,23.646,23.781,27.507,26.449,289.8,,,,
lap,4,1'39.995,22.928,23.454,27.262,26.351,295.0,,,,
lap,5,1'39.166,22.722,23.160,26.984,26.300,302.1,,,,
lap,6,1'41.630,22.578,23.262,27.251,28.539,300.3,,,,
lap,7,1'37.290,22.305,22.619,26.649,25.717,300.3,,,,
lap,8,1'37.138,22.268,22.374,26.505,25.991,301.2,,,,
lap,9,1'39.673,22.494,23.471,27.739,25.969,301.2,,,,
lap,10,1'43.103,P,22.061,22.294,27.127,31.621,305.8,,,
run,2,Slick-Soft,Slick-Soft,10,0,,,,,,
lap,11,6'26.239,34.760,23.367,27.088,25.816,,,,,
lap,12,1'36.478,22.449,22.216,26.349,25.464,303.1,,,,
lap,13,1'35.531,22.112,22.038,26.188,25.193,304.9,,,,
lap,14,1'35.054,21.834,22.009,26.134,25.077,307.7,,,,
lap,15,1'38.902,22.169,22.465,26.419,27.849,308.7,,,,
lap,16,1'35.446,21.785,21.724,26.020,25.917,307.7,,,,
rider,5th,35,Cal,CRUTCHLOW,HONDA,GBR,LCR,Honda,CASTROL,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,28'51.708,35.127,26.514,31.303,29.092,,,,,
lap,2,1'46.699,24.018,26.193,29.090,27.398,284.1,,,,
lap,3,1'44.354,26.877,23.359,27.732,26.386,301.2,,,,
lap,4,1'36.925,22.215,22.286,26.762,25.662,310.6,,,,
lap,5,1'41.466,23.377,22.759,27.400,27.930,307.7,,,,
lap,6,1'43.277,22.764,23.214,30.910*,26.389,310.6,,,,
lap,7,1'35.561,22.078,22.009,26.294,25.180,310.6,,,,
lap,8,1'36.090,21.799,22.405,26.652,25.234,313.5,,,,
lap,9,1'39.799,22.191,22.392,29.385,25.831,314.5,,,,
lap,10,1'35.141,21.848,21.838,26.209,25.246,312.6,,,,
lap,11,1'35.485,21.864,22.062,26.145,25.414,304.0,,,,
rider,6th,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,,
run,1,Wet-Medium,Wet-Soft,0,21,,,,,,
lap,1,6'38.580,34.451,27.039,32.930,29.475,,,,,
lap,2,1'46.413,24.279,24.614,29.237,28.283,289.8,,,,
lap,3,1'44.384,23.807,24.137,28.786,27.654,289.0,,,,
lap,4,1'50.087,P,23.698,25.249,29.558,31.582,295.0,,,
run,2,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,5,5'18.193,34.997,26.395,30.292,28.548,,,,,
lap,6,1'43.926,24.228,24.272,28.454,26.972,282.4,,,,
lap,7,1'42.066,23.088,23.578,27.727,27.673,295.9,,,,
lap,8,1'40.402,23.074,23.245,27.520,26.563,293.2,,,,
lap,9,1'39.410,22.757,22.943,27.453,26.257,296.7,,,,
lap,10,1'38.383,22.430,22.888,27.038,26.027,304.9,,,,
lap,11,1'37.845,22.349,22.664,26.951,25.881,304.0,,,,
lap,12,1'41.406,24.638,23.179,27.107,26.482,299.4,,,,
lap,13,1'39.153,22.216,22.887,27.450,26.600,305.8,,,,
lap,14,1'37.455,22.220,22.538,26.842,25.855,309.6,,,,
lap,15,1'43.728,P,22.994,23.500,27.601,29.633,308.7,,,
run,3,Slick-Soft,Slick-Soft,11,0,,,,,,
lap,16,4'57.322,33.653,24.840,28.539,27.753,,,,,
lap,17,1'38.587,22.602,22.725,27.569,25.691,306.8,,,,
lap,18,1'37.361,22.181,22.218,26.855,26.107,307.7,,,,
lap,19,1'36.206,21.949,22.215,26.566,25.476,313.5,,,,
lap,20,1'35.337,21.650,22.016,26.302,25.369,314.5,,,,
rider,7th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Wet-Medium,Wet-Soft,0,0,,,,,,
lap,1,2'15.972,36.166,26.006,29.978,28.760,,,,,
lap,2,1'46.519,25.330,24.444,29.037,27.708,269.5,,,,
lap,3,1'50.589,24.319,24.249,34.252*,27.769,275.4,,,,
lap,4,1'46.426,24.402,24.616,29.503,27.905,288.2,,,,
lap,5,1'46.846,24.670,24.488,29.644,28.044,277.7,,,,
lap,6,1'45.716,24.233,24.351,29.276,27.856,279.3,,,,
lap,7,1'44.564,23.881,24.173,28.995,27.515,284.1,,,,
lap,8,1'44.372,23.704,24.091,28.997,27.580,289.8,,,,
lap,9,1'44.571,23.872,24.163,29.050,27.486,282.4,,,,
lap,10,1'47.669,P,23.816,23.875,29.196,30.782,280.9,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,11,6'35.655,40.348,27.022,34.067,29.112,,,,,
lap,12,1'45.072,24.276,24.597,28.649,27.550,281.6,,,,
lap,13,1'41.450,23.323,23.659,27.815,26.653,289.0,,,,
lap,14,1'38.930,22.635,22.883,27.252,26.160,293.2,,,,
lap,15,1'37.911,22.395,22.713,27.087,25.716,295.9,,,,
lap,16,1'37.299,22.387,22.492,26.856,25.564,297.6,,,,
lap,17,1'38.418,22.162,22.192,26.641,27.423,300.3,,,,
lap,18,1'36.986,22.166,22.323,26.562,25.935,297.6,,,,
lap,19,1'39.988,24.302,23.487,26.827,25.372,274.7,,,,
lap,20,1'35.369,21.962,21.978,26.294,25.135,302.1,,,,
lap,21,1'35.516,21.910,22.057,26.245,25.304,301.2,,,,
lap,22,1'35.467,21.915,22.108,26.236,25.208,304.0,,,,
lap,23,1'38.586,21.767,23.151,28.057,25.611,299.4,,,,
lap,24,1'35.527,21.703,21.842,26.182,25.800,303.1,,,,
rider,8th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,1,17'53.555,37.500,27.136,30.397,28.124,,,,,
lap,2,1'47.033,24.415,26.066,28.802,27.750,270.9,,,,
lap,3,1'41.521,23.083,23.884,27.733,26.821,303.1,,,,
lap,4,1'41.444,22.565,24.103,28.034,26.742,308.7,,,,
lap,5,1'39.610,22.587,23.446,27.402,26.175,306.8,,,,
lap,6,1'40.652,23.143,23.561,27.069,26.879,308.7,,,,
lap,7,1'38.416,22.573,22.990,26.763,26.090,308.7,,,,
lap,8,1'38.664,22.450,23.073,27.088,26.053,309.6,,,,
lap,9,1'43.277,P,22.356,24.668,27.908,28.345,308.7,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,10,7'33.959,33.795,24.584,27.682,26.644,,,,,
lap,11,1'37.524,22.447,22.715,26.569,25.793,308.7,,,,
lap,12,1'38.727,22.069,22.701,28.073,25.884,308.7,,,,
lap,13,1'35.861,22.006,22.339,26.250,25.266,307.7,,,,
lap,14,1'35.374,21.676,22.369,26.011,25.318,311.6,,,,
rider,9th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Wet-Soft,Wet-Soft,20,20,,,,,,
lap,1,2'09.909,34.794,25.862,29.678,27.690,,,,,
lap,2,1'43.515,23.744,23.786,28.673,27.312,291.5,,,,
lap,3,1'46.281,P,23.575,23.868,28.571,30.267,290.7,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,4,11'17.255,35.786,25.725,29.890,27.745,,,,,
lap,5,1'41.952,24.086,23.803,27.780,26.283,269.5,,,,
lap,6,1'39.649,22.996,23.001,27.446,26.206,290.7,,,,
lap,7,1'38.355,22.760,22.735,27.092,25.768,296.7,,,,
lap,8,1'37.568,22.489,22.735,26.828,25.516,301.2,,,,
lap,9,1'38.039,22.339,22.422,26.834,26.444,301.2,,,,
lap,10,1'38.114,23.154,22.687,26.727,25.546,307.7,,,,
lap,11,1'37.153,22.157,22.932,26.732,25.332,302.1,,,,
lap,12,1'36.474,22.132,22.219,26.695,25.428,303.1,,,,
lap,13,1'45.327,P,22.082,22.654,27.909,32.682,308.7,,,
run,3,Slick-Soft,Slick-Soft,10,10,,,,,,
lap,14,3'23.394,34.076,24.215,27.602,26.751,,,,,
lap,15,1'38.906,23.020,22.818,27.187,25.881,295.0,,,,
lap,16,1'37.540,22.697,22.557,26.598,25.688,300.3,,,,
lap,17,1'40.557,23.402,22.950,28.729,25.476,304.0,,,,
lap,18,1'36.059,22.222,22.128,26.437,25.272,306.8,,,,
lap,19,1'36.183,22.040,22.302,26.468,25.373,304.9,,,,
lap,20,1'35.666,21.971,22.145,26.297,25.253,302.1,,,,
lap,21,1'35.385,21.823,21.966,26.382,25.214,308.7,,,,
rider,10th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,
lap,1,6'14.652,34.121,25.020,28.766,27.488,,,,,
lap,2,1'41.811,23.413,23.330,28.213,26.855,301.2,,,,
lap,3,1'41.247,23.008,23.442,28.018,26.779,303.1,,,,
lap,4,1'40.943,22.779,23.415,27.877,26.872,303.1,,,,
lap,5,1'49.722,25.187,25.679,30.982,27.874,273.2,,,,
lap,6,1'39.742,22.589,23.058,27.692,26.403,304.0,,,,
lap,7,1'46.395,P,23.523,23.988,28.624,30.260,295.9,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,8,5'14.556,34.600,25.001,29.532,27.914,,,,,
lap,9,3'35.808,P,1'00.587*,35.085,288.2,,,,,
run,3,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,10,6'38.620,33.538,24.762,31.643,27.165,,,,,
lap,11,1'40.181,23.346,23.121,27.546,26.168,288.2,,,,
lap,12,1'38.124,22.194,22.578,26.982,26.370,299.4,,,,
lap,13,1'37.266,22.214,22.526,26.748,25.778,302.1,,,,
lap,14,1'41.007,23.445,24.938,26.909,25.715,301.2,,,,
lap,15,1'35.953,22.236,21.989,26.407,25.321,303.1,,,,
lap,16,1'35.408,21.917,21.917,26.400,25.174,306.8,,,,
lap,17,1'35.627,21.828,21.882,26.472,25.445,304.9,,,,
lap,18,1'34.952,21.821,21.823*,26.194,25.114,307.7,,,,
rider,11th,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,1,7'12.925,P,38.046,29.462,33.003,33.941,,,,
run,2,Wet-Soft,Wet-Soft,0,19,,,,,,
lap,2,5'30.159,35.808,25.910,29.664,28.381,,,,,
lap,3,1'47.361,23.974,24.213,31.383,27.791,290.7,,,,
lap,4,1'44.504,23.667,24.145,28.850,27.842,297.6,,,,
lap,5,1'44.360,23.511,24.198,28.887,27.764,294.1,,,,
lap,6,1'50.851,P,25.527,25.261,29.292,30.771,286.5,,,
run,3,Slick-Soft,Slick-Medium,1,1,,,,,,
lap,7,3'20.813,35.684,26.065,29.414,27.895,,,,,
lap,8,1'44.105,25.041,24.212,28.005,26.847,283.2,,,,
lap,9,1'40.474,22.724,23.477,27.355,26.918,298.5,,,,
lap,10,1'39.492,22.568,23.153,27.594,26.177,297.6,,,,
lap,11,1'41.384,22.457,24.269,27.482,27.176,303.1,,,,
lap,12,1'38.171,22.288,23.079,26.977,25.827,301.2,,,,
lap,13,1'37.642,22.021,22.573,27.041,26.007,303.1,,,,
lap,14,1'42.256,P,21.973,22.572,26.866,30.845,303.1,,,
run,4,Slick-Soft,Slick-Soft,9,0,,,,,,
lap,15,3'48.090,34.396,23.986,27.151,25.753,,,,,
lap,16,1'36.539,21.994,22.566,26.553,25.426,305.8,,,,
lap,17,1'35.709,21.701,22.346,26.440,25.222,306.8,,,,
lap,18,1'35.935,21.579,22.594,26.482,25.280,307.7,,,,
lap,19,1'35.489,21.639,22.357,26.277,25.216,307.7,,,,
rider,12th,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,1,2'13.579,35.256,26.878,30.868,30.272,,,,,
lap,2,1'47.226,25.148,24.994,29.195,27.889,281.6,,,,
lap,3,1'53.564,P,24.256,25.683,31.698,31.927,291.5,,,
run,2,Wet-Medium,Wet-Soft,0,0,,,,,,
lap,4,8'44.937,35.837,26.086,29.910,27.875,,,,,
lap,5,1'44.545,23.938,24.532,28.619,27.456,292.4,,,,
lap,6,1'43.928,23.483,23.993,28.986,27.466,294.1,,,,
lap,7,1'50.943,P,25.343,25.497,29.668,30.435,281.6,,,
run,3,Slick-Soft,Slick-Soft,3,0,,,,,,
lap,8,2'44.828,35.604,25.859,29.693,27.897,,,,,
lap,9,1'43.116,24.185,24.046,28.128,26.757,286.5,,,,
lap,10,1'40.705,23.316,23.475,27.696,26.218,296.7,,,,
lap,11,1'39.852,22.773,23.203,27.961,25.915,300.3,,,,
lap,12,1'37.238,22.139,22.830,26.807,25.462,303.1,,,,
lap,13,1'37.364,22.197,22.775,26.680,25.712,302.1,,,,
lap,14,1'36.833,22.072,22.529,26.722,25.510,302.1,,,,
lap,15,1'36.295,21.969,22.377,26.558,25.391,301.2,,,,
lap,16,1'40.061,21.975,22.321,26.786,28.979,302.1,,,,
lap,17,1'40.646,23.781,23.395,27.196,26.274,295.9,,,,
lap,18,1'37.427,22.335,22.934,26.731,25.427,299.4,,,,
lap,19,1'35.998,21.905,22.403,26.377,25.313,301.2,,,,
lap,20,1'35.837,22.036,22.208,26.527,25.066,301.2,,,,
lap,21,1'35.767,21.721,22.419,26.495,25.132,304.9,,,,
lap,22,1'35.012,21.572,22.101,26.129,25.210,303.1,,,,
rider,13th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,21'39.711,35.551,26.592,29.735,28.415,,,,,
lap,2,1'48.507,24.317,24.454,31.562,28.174,270.9,,,,
lap,3,1'43.624,23.496,24.134,28.255,27.739,288.2,,,,
lap,4,1'40.218,23.964,23.285,27.018,25.951,294.1,,,,
lap,5,1'36.656,22.454,22.293,26.605,25.304,302.1,,,,
lap,6,1'36.882,22.160,21.995,26.509,26.218,301.2,,,,
lap,7,1'37.384,22.132,22.043,27.224,25.985,305.8,,,,
lap,8,1'41.461,P,22.048,22.554,27.443,29.416,301.2,,,
run,2,Slick-Soft,Slick-Soft,8,8,,,,,,
lap,9,6'40.687,35.243,23.975,27.966,26.575,,,,,
lap,10,1'37.837,22.945,22.583,26.654,25.655,289.0,,,,
lap,11,1'37.362,22.221,22.754,26.835,25.552,302.1,,,,
lap,12,1'36.505,22.049,22.505,26.517,25.434,304.9,,,,
lap,13,1'35.837,22.068,22.086,26.402,25.281,299.4,,,,
rider,14th,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Wet-Soft,Wet-Medium,0,0,,,,,,
lap,1,2'20.138,34.054,25.451,29.621,28.421,,,,,
lap,2,1'45.942,24.093,24.406,29.570,27.873,284.1,,,,
lap,3,1'43.829,23.686,24.113,28.533,27.497,294.1,,,,
lap,4,1'53.921,P,25.337,26.774,30.604,31.206,279.3,,,
run,2,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,5,16'03.764,34.655,25.834,29.293,27.282,,,,,
lap,6,1'41.306,23.346,23.703,27.742,26.515,292.4,,,,
lap,7,1'38.214,22.545,23.012,26.914,25.743,302.1,,,,
lap,8,1'37.549,22.241,22.671,27.117,25.520,304.9,,,,
lap,9,1'36.173,22.029,22.268,26.548,25.328,305.8,,,,
lap,10,1'38.952,21.974,24.117,27.096,25.765,305.8,,,,
lap,11,1'35.895,21.966,22.146,26.507,25.276,304.9,,,,
lap,12,1'45.610,P,23.395,23.438,27.256,31.521,295.9,,,
run,3,Slick-Soft,Slick-Medium,8,8,,,,,,
lap,13,5'58.010,33.607,23.232,26.871,25.679,,,,,
lap,14,1'35.838,22.044,22.072,26.360,25.362,304.0,,,,
lap,15,1'39.803,21.768,23.435,26.701,27.899,305.8,,,,
lap,16,1'35.375,21.734,21.940,26.256,25.445,308.7,,,,
rider,15th,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,5'08.201,35.884,29.576,33.166,31.210,,,,,
lap,2,2'04.487,P,26.501,28.748,34.375,34.863,233.5,,,
run,2,Slick-Soft,Slick-Soft,2,2,,,,,,
lap,3,9'29.440,34.382,27.518,30.736,28.937,,,,,
lap,4,1'46.449,25.052,25.067,28.863,27.467,253.0,,,,
