0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 10,MotoGP,Le Mans,FP4,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=19,laps=13,,
run,1,Slick-Soft,Slick-Soft,9,17,,,,,,,,,
lap,1,2'44.976,25.006,23.898,29.877,26.327,,,,,,,,
lap,2,1'35.649,22.215,21.857,26.449,25.128,303.1,,,,,,,
lap,3,1'33.704,21.490,21.518,25.971,24.725,304.0,,,,,,,
lap,4,1'33.272,21.366,21.416,25.907,24.583,304.9,,,,,,,
lap,5,1'33.096,21.285,21.362,25.803,24.646,305.8,,,,,,,
lap,6,1'33.139,21.262,21.404,25.810,24.663,304.9,,,,,,,
lap,7,1'32.917,21.149,21.323,25.834,24.611,306.8,,,,,,,
lap,8,1'54.200,P,21.186,21.415,34.980*,36.619,308.7,,,,,,
run,2,Slick-Soft,Slick-Soft,17,5,,,,,,,,,
lap,9,22'49.252,P,24.061,23.513,26.983,25.607,,,,,,,
lap,10,1'34.257,21.905,21.611*,25.993,24.748,299.4,,,,,,,
lap,11,1'33.244,21.376,21.407,25.865,24.596,304.9,,,,,,,
lap,12,1'34.150,21.083,21.292,26.846*,24.929,306.8,,,,,,,
lap,13,1'32.658,21.206,21.234,25.769,24.449,304.9,,,,,,,
lap,14,1'35.309,21.287,21.451,26.010,26.561,309.6,,,,,,,
lap,15,1'32.826,21.115,21.309,25.819,24.583,308.7,,,,,,,
lap,16,1'32.584,21.100,21.238,25.657,24.589,307.7,,,,,,,
lap,17,1'32.682,21.095,21.267,25.758,24.562,308.7,,,,,,,
lap,18,1'40.378,24.179*,23.615,27.771,24.813,306.8,,,,,,,
lap,19,1'32.528,21.163,21.208,25.630,24.527,307.7,,,,,,,
rider,2nd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=18,laps=12,,
run,1,Slick-Soft,Slick-Soft,5,5,,,,,,,,,
lap,1,1'50.144,23.427,23.679,27.151,25.777,,,,,,,,
lap,2,1'35.720,22.529,21.879,26.289,25.023,288.2,,,,,,,
lap,3,1'34.239,21.913,21.459,26.039,24.828,296.7,,,,,,,
lap,4,1'33.752,21.684,21.366,26.002,24.700,302.1,,,,,,,
lap,5,1'42.997,24.041*,25.205,28.292,25.459,295.0,,,,,,,
lap,6,1'33.625,21.594,21.307,26.070,24.654,302.1,,,,,,,
lap,7,1'48.648,P,22.988,24.340,309.6,,,,,,,,
run,2,Slick-Soft,Slick-Soft,14,12,,,,,,,,,
lap,8,25'45.824,26.067,23.471,30.028,25.854,,,,,,,,
lap,9,1'35.323,22.129,22.211*,26.138,24.845,301.2,,,,,,,
lap,10,1'34.120,21.641,21.340,26.214*,24.925,307.7,,,,,,,
lap,11,1'33.127,21.426,21.263,25.801,24.637,307.7,,,,,,,
lap,12,1'32.705,21.321,21.161,25.702,24.521,308.7,,,,,,,
lap,13,1'32.667,21.274,21.257,25.723,24.413,305.8,,,,,,,
lap,14,1'32.533,21.194,21.204,25.676,24.459,307.7,,,,,,,
lap,15,1'33.014,21.195,21.299,25.820,24.700,305.8,,,,,,,
lap,16,1'33.274,21.269,21.260,25.957,24.788,307.7,,,,,,,
lap,17,1'40.161,21.531,22.890,29.585,26.155,306.8,,,,,,,
lap,18,1'34.664,21.399,21.290,25.894,26.081,304.9,,,,,,,
rider,3rd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=16,laps=9,
run,1,Slick-Soft,Slick-Soft,6,6,,,,,,,,,
lap,1,2'21.881,23.581,22.866,26.907,25.731,,,,,,,,
lap,2,1'38.331,22.059,21.665,28.116*,26.491,292.4,,,,,,,
lap,3,1'34.536,21.844,21.689,26.107,24.896,304.9,,,,,,,
lap,4,1'33.859,21.625,21.477,25.902,24.855,302.1,,,,,,,
lap,5,1'38.726,P,21.487,21.509,27.278,28.452,307.7,,,,,,
run,2,Slick-Soft,Slick-Soft,11,11,,,,,,,,,
lap,6,28'06.910,22.676,23.130,28.473,25.558,,,,,,,,
lap,7,1'35.321,22.272,21.938*,26.055,25.056,285.7,,,,,,,
lap,8,1'33.572,21.554,21.540,25.875,24.603,307.7,,,,,,,
lap,9,1'33.282,21.401,21.441,25.695*,24.745,307.7,,,,,,,
lap,10,1'32.927,21.284,21.390,25.709,24.544,308.7,,,,,,,
lap,11,1'32.881,21.279,21.359,25.663,24.580,309.6,,,,,,,
lap,12,1'32.747,21.172,21.301,25.728,24.546,308.7,,,,,,,
lap,13,1'32.737,21.327,21.303,25.545,24.562,309.6,,,,,,,
lap,14,1'32.563,21.223,21.310,25.492,24.538,309.6,,,,,,,
lap,15,1'35.584,21.265,22.635,26.775,24.909,311.6,,,,,,,
lap,16,1'34.211,21.226,21.322,25.645,26.018*,310.6,,,,,,,
rider,4th,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,Total,laps=16,laps=11,
run,1,Slick-Soft,Slick-Soft,8,6,,,,,,,,,
lap,1,1'52.630,22.287,23.285,27.181,25.412,,,,,,,,
lap,2,1'34.906,22.084,21.743,26.081,24.998,298.5,,,,,,,
lap,3,1'33.677,21.669,21.453,25.868,24.687,303.1,,,,,,,
lap,4,1'33.641,21.604,21.576,25.806,24.655,303.1,,,,,,,
lap,5,1'33.616,21.700,21.432,25.857,24.627,301.2,,,,,,,
lap,6,1'33.559,21.536,21.495,25.814,24.714,303.1,,,,,,,
lap,7,1'33.404,21.465,21.427,25.754,24.758,302.1,,,,,,,
lap,8,1'33.492,21.487,21.373,25.854,24.778,295.9,,,,,,,
lap,9,1'51.902,P,25.032*,24.446*,34.154*,28.270,301.2,,,,,,
run,2,Slick-Soft,Slick-Soft,0,2,,,,,,,,,
lap,10,23'25.837,P,24.233,23.591*,27.173,28.910,,,,,,,
lap,11,1'39.021,P,22.504,22.371,27.014,27.132,292.4,,,,,,
run,3,Slick-Soft,Slick-Soft,2,4,,,,,,,,,
lap,12,6'13.777,24.111,22.758,26.432,25.217,,,,,,,,
lap,13,1'33.676,21.611,21.539,25.823,24.703,304.9,,,,,,,
lap,14,1'32.880,21.375,21.350,25.657,24.498,304.9,,,,,,,
lap,15,1'32.697,21.237,21.329,25.633,24.498,306.8,,,,,,,
lap,16,1'32.666,21.217,21.233,25.712,24.504,305.8,,,,,,,
rider,5th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=18,laps=14
run,1,Slick-Soft,Slick-Soft,10,5,,,,,,,,,
lap,1,2'05.805,23.202,23.297,27.131,25.782,,,,,,,,
lap,2,1'35.434,22.031,21.998,26.239,25.166,311.6,,,,,,,
lap,3,1'38.594,21.491,21.629,30.100*,25.374,312.6,,,,,,,
lap,4,1'33.691,21.492,21.494,25.876,24.829,313.5,,,,,,,
lap,5,1'33.504,21.317,21.419,25.842,24.926,314.5,,,,,,,
lap,6,1'33.207,21.190,21.338,25.796,24.883,314.5,,,,,,,
lap,7,1'41.773,P,23.979,22.874,27.254,27.666,315.5,,,,,,
run,2,Slick-Soft,Slick-Soft,17,12,,,,,,,,,
lap,8,25'25.679,23.267,23.183,27.981,25.852,,,,,,,,
lap,9,1'36.705,22.278,22.315,26.843,25.269,310.6,,,,,,,
lap,10,1'34.342,21.365,21.521,25.845,25.611,314.5,,,,,,,
