0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 10,MotoGP,Le Mans,Q1,,,,,,,,,
rider,1st,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,Total,laps=9,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,1'41.051,22.420,22.107,27.131,25.228,,,,,,,,
lap,2,1'33.670,21.617,21.495,25.775,24.783,306.8,,,,,,,
lap,3,1'33.159,21.454,21.278,25.655,24.772,310.6,,,,,,,
lap,4,1'32.629,21.218,21.234,25.599,24.578,307.7,,,,,,,
lap,5,1'36.388,P,21.666*,21.647,25.884,27.191,310.6,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,2'41.669,21.330,21.681,25.760,24.672,,,,,,,,
lap,7,1'31.952,21.135,21.064,25.364,24.389,307.7,,,,,,,
lap,8,1'34.428,21.782,21.551,26.247,24.848,312.6,,,,,,,
lap,9,1'36.815,P,21.217,21.206,26.364,28.028,311.6,,,,,,
rider,2nd,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,Total,laps=9,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'06.717,23.503,23.212,26.594,25.355,,,,,,,,
lap,2,1'33.498,21.644,21.485,25.723,24.646,301.2,,,,,,,
lap,3,1'32.911,21.304,21.253,25.652,24.702,312.6,,,,,,,
lap,4,1'32.512,21.148,21.102,25.678,24.584,313.5,,,,,,,
lap,5,1'37.397,P,22.124,21.944,26.083,27.246,279.3,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,3'05.369,22.047,22.397,26.186,26.360,,,,,,,,
lap,7,1'32.813,21.374,21.151,25.665,24.623,311.6,,,,,,,
lap,8,1'32.054,21.131,20.981,25.461,24.481,311.6,,,,,,,
lap,9,1'38.962,21.112,21.930*,28.786,27.134,312.6,,,,,,,
rider,3rd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=8,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'30.885,23.963,22.976,27.022,25.334,,,,,,,,
lap,2,1'33.941,21.605,21.407,26.155*,24.774,305.8,,,,,,,
