0,1,2,3,4,5,6,7,8,9,10,11
const,2020,October 11,MotoGP,Le Mans,RACE,,,,,,
rider,1st,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,,,
run,1,Wet-Medium,Wet-Soft,0,0,,,,,,
lap,1,1'52.791,28.397,25.301,29.675,29.418,221.1,,,,
lap,2,1'50.159,25.823,25.230,30.049,29.057,273.9,,,,
lap,3,1'47.733,24.683,24.709,29.551,28.790,289.0,,,,
lap,4,1'46.918,24.558,24.528,29.215,28.617,281.6,,,,
lap,5,1'46.685,24.604,24.466,29.197,28.418,289.0,,,,
lap,6,1'46.240,24.210,24.299,29.308,28.423,289.8,,,,
lap,7,1'46.415,24.268,24.326,29.270,28.551,283.2,,,,
lap,8,1'46.174,24.289,24.244,29.271,28.370,292.4,,,,
lap,9,1'45.763,24.114,24.271,29.165,28.213,289.8,,,,
lap,10,1'45.467,24.107,24.079,29.036,28.245,295.0,,,,
lap,11,1'45.764,24.135,24.183,29.099,28.347,297.6,,,,
lap,12,1'45.494,24.137,24.237,28.886,28.234,294.1,,,,
lap,13,1'45.151,23.927,24.079,28.833,28.312,295.9,,,,
lap,14,1'45.670,24.144,24.219,29.041,28.266,299.4,,,,
lap,15,1'45.501,24.130,24.086,28.963,28.322,295.0,,,,
lap,16,1'44.879,24.071,23.965,28.722,28.121,295.0,,,,
lap,17,1'44.957,23.809,23.949,28.951,28.248,298.5,,,,
lap,18,1'45.515,24.164,23.904,29.505,27.942,288.2,,,,
lap,19,1'44.217,23.898,23.828,28.667,27.824,301.2,,,,
lap,20,1'44.320,23.847,23.893,28.723,27.857,301.2,,,,
lap,21,1'45.135,24.059,24.132,28.865,28.079,295.0,,,,
lap,22,1'45.116,24.106,24.079,28.811,28.120,297.6,,,,
lap,23,1'44.582,23.985,24.060,28.651,27.886,302.1,,,,
lap,24,1'44.607,23.943,23.903,28.753,28.008,298.5,,,,
lap,25,1'44.693,24.020,23.955,28.775,27.943,301.2,,,,
lap,26,1'44.790,23.834,23.969,28.829,28.158,297.6,,,,
rider,2nd,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,,
run,1,Wet-Medium,Wet-Soft,4,0,,,,,,
lap,1,1'56.634,29.885,25.841,30.879,30.029,233.5,,,,
lap,2,1'50.538,25.406,25.488,30.050,29.594,277.0,,,,
lap,3,1'48.939,25.174,25.097,29.737,28.931,288.2,,,,
lap,4,1'47.973,24.360,24.744,29.611,29.258,296.7,,,,
lap,5,1'46.801,24.353,24.511,29.400,28.537,289.8,,,,
lap,6,1'46.434,24.374,24.370,29.393,28.297,295.0,,,,
lap,7,1'46.237,24.286,24.355,29.283,28.313,294.1,,,,
lap,8,1'45.790,24.179,24.211,29.169,28.231,293.2,,,,
lap,9,1'45.806,24.153,24.210,29.116,28.327,288.2,,,,
lap,10,1'45.634,24.154,24.179,29.081,28.220,291.5,,,,
lap,11,1'45.190,23.885,23.961,29.034,28.310,298.5,,,,
lap,12,1'45.017,24.139,23.961,28.923,27.994,294.1,,,,
lap,13,1'44.994,23.981,23.903,28.986,28.124,297.6,,,,
lap,14,1'44.663,23.816,23.966,28.816,28.065,295.9,,,,
lap,15,1'44.224,23.674,23.925,28.627,27.998,304.9,,,,
lap,16,1'44.466,23.774,23.820,28.789,28.083,302.1,,,,
lap,17,1'44.632,23.814,23.953,28.774,28.091,302.1,,,,
lap,18,1'44.959,23.945,23.901,28.823,28.290,306.8,,,,
lap,19,1'45.092,24.093,23.961,29.072,27.966,294.1,,,,
lap,20,1'44.786,23.935,23.911,28.865,28.075,294.1,,,,
lap,21,1'44.505,23.834,23.793,28.784,28.094,298.5,,,,
lap,22,1'44.703,23.783,23.956,28.861,28.103,306.8,,,,
lap,23,1'44.552,23.873,23.893,28.613,28.173,299.4,,,,
lap,24,1'44.407,23.822,23.984,28.597,28.004,306.8,,,,
lap,25,1'44.248,23.557,23.975,28.719,27.997,304.0,,,,
lap,26,1'44.785,23.738,24.033,28.790,28.224,305.8,,,,
rider,3rd,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,
lap,1,1'54.364,28.566,25.824,30.431,29.543,225.1,,,,
lap,2,1'50.319,25.341,25.484,30.083,29.411,304.9,,,,
lap,3,1'49.049,25.049,25.185,29.687,29.128,284.1,,,,
lap,4,1'48.246,24.784,25.079,29.570,28.813,289.8,,,,
lap,5,1'47.826,24.622,24.815,29.622,28.767,296.7,,,,
lap,6,1'46.601,24.485,24.430,29.264,28.422,300.3,,,,
lap,7,1'45.913,24.126,24.112,29.136,28.539,303.1,,,,
lap,8,1'45.866,24.121,24.135,29.279,28.331,302.1,,,,
lap,9,1'45.600,23.888,24.150,29.163,28.399,303.1,,,,
lap,10,1'45.229,23.896,24.175,29.080,28.078,304.9,,,,
lap,11,1'45.085,23.951,24.096,28.925,28.113,305.8,,,,
lap,12,1'44.734,23.764,23.992,28.851,28.127,306.8,,,,
lap,13,1'45.125,23.899,24.034,28.933,28.259,303.1,,,,
lap,14,1'45.031,23.967,24.006,28.840,28.218,305.8,,,,
lap,15,1'44.873,24.051,23.905,28.814,28.103,307.7,,,,
lap,16,1'45.111,24.137,23.900,28.900,28.174,309.6,,,,
lap,17,1'44.679,24.006,23.868,28.739,28.066,307.7,,,,
lap,18,1'45.095,24.060,23.850,28.908,28.277,311.6,,,,
lap,19,1'45.597,24.186,23.938,29.134,28.339,300.3,,,,
lap,20,1'45.019,24.122,23.934,28.945,28.018,302.1,,,,
lap,21,1'44.240,23.874,23.806,28.659,27.901,306.8,,,,
lap,22,1'44.829,24.034,23.931,28.825,28.039,308.7,,,,
lap,23,1'44.463,23.969,23.767,28.702,28.025,307.7,,,,
lap,24,1'44.794,23.964,23.853,28.893,28.084,306.8,,,,
lap,25,1'44.333,24.013,23.858,28.515,27.947,303.1,,,,
lap,26,1'44.426,23.816,23.792,28.669,28.149,306.8,,,,
rider,4th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,
lap,1,1'53.357,28.322,25.490,30.018,29.527,221.6,,,,
lap,2,1'49.943,25.520,25.173,30.126,29.124,289.0,,,,
lap,3,1'47.936,24.847,24.718,29.628,28.743,294.1,,,,
lap,4,1'46.827,24.599,24.486,29.288,28.454,291.5,,,,
lap,5,1'46.734,24.576,24.364,29.417,28.377,291.5,,,,
lap,6,1'46.143,24.313,24.116,29.242,28.472,299.4,,,,
lap,7,1'46.317,24.370,24.093,29.308,28.546,298.5,,,,
lap,8,1'46.202,24.419,24.172,29.288,28.323,295.0,,,,
lap,9,1'45.934,24.251,24.104,29.255,28.324,295.9,,,,
lap,10,1'45.500,24.221,23.924,29.001,28.354,298.5,,,,
lap,11,1'45.576,24.065,24.037,29.130,28.344,300.3,,,,
lap,12,1'45.749,24.155,24.103,29.070,28.421,298.5,,,,
lap,13,1'45.341,24.052,23.936,29.127,28.226,304.0,,,,
lap,14,1'45.170,23.967,23.933,29.084,28.186,303.1,,,,
lap,15,1'45.325,24.234,23.920,29.056,28.115,302.1,,,,
lap,16,1'44.943,24.085,24.031,28.797,28.030,294.1,,,,
lap,17,1'44.826,23.777,23.931,28.986,28.132,301.2,,,,
lap,18,1'46.667,23.975,23.946,30.231,28.515,307.7,,,,
lap,19,1'45.094,24.010,23.956,29.098,28.030,291.5,,,,
lap,20,1'44.956,23.983,23.939,28.952,28.082,302.1,,,,
lap,21,1'44.520,23.906,23.743,28.883,27.988,301.2,,,,
lap,22,1'44.734,23.859,23.831,28.967,28.077,304.0,,,,
lap,23,1'44.573,23.872,23.832,28.741,28.128,302.1,,,,
lap,24,1'45.203,24.024,24.158,28.754,28.267,303.1,,,,
lap,25,1'45.639,24.294,24.014,29.133,28.198,303.1,,,,
lap,26,1'45.438,24.041,24.044,29.008,28.345,301.2,,,,
rider,5th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,
lap,1,1'57.125,28.944,26.239,31.364,30.578,226.6,,,,
lap,2,1'51.877,25.419,25.488,31.048,29.922,289.0,,,,
lap,3,1'50.650,25.221,25.345,30.347,29.737,289.8,,,,
lap,4,1'48.349,24.959,24.652,29.791,28.947,291.5,,,,
lap,5,1'47.386,24.690,24.275,29.658,28.763,297.6,,,,
lap,6,1'47.042,24.527,24.377,29.508,28.630,299.4,,,,
lap,7,1'46.695,24.333,24.332,29.456,28.574,293.2,,,,
lap,8,1'47.073,24.629,24.173,29.929,28.342,289.0,,,,
lap,9,1'46.263,24.310,24.225,29.229,28.499,290.7,,,,
lap,10,1'45.502,24.045,23.972,28.958,28.527,297.6,,,,
lap,11,1'45.530,24.401,23.881,28.921,28.327,304.9,,,,
lap,12,1'45.353,24.243,23.803,28.798,28.509,302.1,,,,
lap,13,1'45.360,24.146,24.102,28.865,28.247,302.1,,,,
lap,14,1'44.878,24.119,23.740,28.876,28.143,302.1,,,,
lap,15,1'45.251,24.026,23.878,29.027,28.320,294.1,,,,
lap,16,1'45.392,24.292,23.829,28.995,28.276,301.2,,,,
lap,17,1'44.195,23.942,23.610,28.679,27.964,299.4,,,,
lap,18,1'44.500,23.993,23.866,28.559,28.082,302.1,,,,
lap,19,1'44.570,24.230,23.649,28.636,28.055,300.3,,,,
lap,20,1'44.421,24.176,23.528,28.683,28.034,302.1,,,,
lap,21,1'44.005,23.892,23.685,28.578,27.850,301.2,,,,
lap,22,1'43.511,23.767,23.414,28.582,27.748,303.1,,,,
lap,23,1'43.365,23.832,23.438,28.494,27.601,302.1,,,,
lap,24,1'43.301,23.633,23.316,28.673,27.679,303.1,,,,
lap,25,1'44.041,23.647,23.796,28.674,27.924,300.3,,,,
lap,26,1'43.411,23.602,23.325,28.352,28.132,301.2,,,,
rider,6th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,
lap,1,1'57.849,30.232,27.015,30.760,29.842,224.0,,,,
lap,2,1'50.001,25.238,25.265,30.283,29.215,277.7,,,,
lap,3,1'48.393,24.935,24.945,29.650,28.863,280.9,,,,
lap,4,1'47.973,24.569,24.682,29.690,29.032,285.7,,,,
lap,5,1'46.887,24.458,24.438,29.542,28.449,282.4,,,,
lap,6,1'46.642,24.428,24.404,29.502,28.308,276.2,,,,
lap,7,1'46.073,24.229,24.307,29.360,28.177,290.7,,,,
lap,8,1'46.174,24.312,24.327,29.264,28.271,280.1,,,,
lap,9,1'45.664,24.442,24.073,28.997,28.152,282.4,,,,
lap,10,1'45.637,24.351,24.162,28.956,28.168,285.7,,,,
lap,11,1'45.269,24.216,23.909,28.872,28.272,286.5,,,,
lap,12,1'45.104,24.252,23.869,28.873,28.110,284.9,,,,
lap,13,1'45.087,24.088,23.875,28.858,28.266,291.5,,,,
lap,14,1'45.315,24.013,23.896,29.339,28.067,289.8,,,,
lap,15,1'44.515,23.864,23.807,28.870,27.974,294.1,,,,
lap,16,1'44.305,24.011,23.678,28.714,27.902,289.8,,,,
lap,17,1'44.632,23.894,23.808,28.929,28.001,291.5,,,,
lap,18,1'44.834,24.142,23.881,28.832,27.979,287.3,,,,
lap,19,1'44.532,24.007,23.729,28.836,27.960,297.6,,,,
lap,20,1'44.917,24.063,23.744,29.188,27.922,292.4,,,,
lap,21,1'44.560,24.115,23.676,28.836,27.933,286.5,,,,
lap,22,1'44.546,23.989,23.737,28.888,27.932,289.0,,,,
lap,23,1'44.337,23.928,23.669,28.802,27.938,294.1,,,,
lap,24,1'44.724,23.969,23.878,28.792,28.085,294.1,,,,
lap,25,1'45.505,24.194,23.856,29.101,28.354,293.2,,,,
lap,26,1'45.727,24.034,23.894,29.140,28.659,292.4,,,,
rider,7th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,,
run,1,Wet-Medium,Wet-Soft,5,0,,,,,,
lap,1,1'57.202,29.541,26.086,31.352,30.223,214.9,,,,
lap,2,1'50.953,25.528,25.471,30.632,29.322,275.4,,,,
lap,3,1'49.255,25.006,25.062,30.121,29.066,277.7,,,,
lap,4,1'48.126,24.708,24.623,29.835,28.960,277.7,,,,
lap,5,1'47.385,24.432,24.434,29.637,28.882,281.6,,,,
lap,6,1'46.866,24.215,24.324,29.519,28.808,302.1,,,,
lap,7,1'46.321,24.282,24.317,29.352,28.370,285.7,,,,
lap,8,1'46.680,24.337,24.312,29.554,28.477,287.3,,,,
lap,9,1'45.854,24.225,24.151,29.218,28.260,286.5,,,,
lap,10,1'45.589,24.120,24.139,29.157,28.173,295.0,,,,
lap,11,1'45.258,24.138,23.920,29.100,28.100,295.0,,,,
lap,12,1'45.486,24.156,23.912,29.125,28.293,294.1,,,,
lap,13,1'45.181,24.057,23.982,29.093,28.049,293.2,,,,
lap,14,1'45.081,24.009,23.868,29.136,28.068,295.0,,,,
lap,15,1'45.153,24.103,23.835,29.087,28.128,292.4,,,,
lap,16,1'44.749,23.929,23.824,28.906,28.090,293.2,,,,
lap,17,1'45.033,23.973,23.988,29.010,28.062,295.0,,,,
lap,18,1'44.681,23.807,23.830,28.797,28.247,295.9,,,,
lap,19,1'44.572,23.992,23.637,28.866,28.077,291.5,,,,
lap,20,1'45.013,24.059,23.861,28.973,28.120,304.0,,,,
lap,21,1'44.435,23.892,23.748,28.762,28.033,296.7,,,,
lap,22,1'44.056,23.792,23.597,28.632,28.035,300.3,,,,
lap,23,1'44.427,23.962,23.658,28.781,28.026,296.7,,,,
lap,24,1'43.938,23.741,23.541,28.753,27.903,300.3,,,,
lap,25,1'44.537,23.787,23.722,28.704,28.324,300.3,,,,
lap,26,1'44.826,23.860,23.796,28.913,28.257,289.0,,,,
rider,8th,6,Stefan,BRADL,HONDA,GER,Repsol,Honda,Team,,
run,1,Wet-Medium,Wet-Soft,1,1,,,,,,
lap,1,1'57.333,30.040,26.089,30.958,30.246,230.3,,,,
lap,2,1'51.802,25.549,25.648,30.748,29.857,268.0,,,,
lap,3,1'49.652,25.072,25.091,30.215,29.274,281.6,,,,
lap,4,1'48.285,24.777,24.742,29.813,28.953,278.5,,,,
lap,5,1'47.858,24.783,24.604,29.671,28.800,283.2,,,,
lap,6,1'47.176,24.588,24.470,29.558,28.560,285.7,,,,
lap,7,1'46.734,24.421,24.378,29.453,28.482,289.8,,,,
lap,8,1'47.750,25.173,24.433,29.689,28.455,289.0,,,,
lap,9,1'46.578,24.277,24.316,29.438,28.547,289.0,,,,
lap,10,1'46.529,24.447,24.263,29.308,28.511,288.2,,,,
lap,11,1'46.584,24.412,24.234,29.369,28.569,287.3,,,,
lap,12,1'46.119,24.331,24.166,29.125,28.497,286.5,,,,
lap,13,1'45.564,24.242,24.151,29.050,28.121,284.1,,,,
lap,14,1'45.435,24.095,24.128,29.131,28.081,293.2,,,,
lap,15,1'45.483,24.191,23.979,29.106,28.207,289.0,,,,
lap,16,1'44.987,23.953,23.995,28.906,28.133,291.5,,,,
lap,17,1'44.604,23.866,23.976,28.841,27.921,290.7,,,,
lap,18,1'44.996,24.080,23.958,28.901,28.057,294.1,,,,
lap,19,1'45.146,24.082,23.822,29.129,28.113,290.7,,,,
lap,20,1'44.865,24.162,23.852,28.870,27.981,288.2,,,,
lap,21,1'44.773,24.025,23.884,28.866,27.998,290.7,,,,
lap,22,1'44.327,23.863,23.854,28.840,27.770,290.7,,,,
lap,23,1'44.247,23.827,23.721,28.717,27.982,289.8,,,,
lap,24,1'44.663,23.869,23.787,28.803,28.204,294.1,,,,
lap,25,1'44.569,23.716,23.815,28.736,28.302,295.0,,,,
lap,26,1'44.274,23.843,23.859,28.580,27.992,293.2,,,,
rider,9th,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,
lap,1,1'54.293,28.071,26.107,30.337,29.778,214.4,,,,
lap,2,1'50.380,25.403,25.329,29.993,29.655,294.1,,,,
lap,3,1'49.891,25.279,25.486,29.933,29.193,280.9,,,,
lap,4,1'50.064,25.033,25.086,29.831,30.114,279.3,,,,
lap,5,1'48.192,24.844,24.897,29.443,29.008,277.0,,,,
lap,6,1'47.596,24.554,24.637,29.572,28.833,288.2,,,,
lap,7,1'46.869,24.364,24.627,29.301,28.577,286.5,,,,
lap,8,1'47.344,24.421,24.574,29.497,28.852,283.2,,,,
lap,9,1'46.799,24.337,24.434,29.457,28.571,287.3,,,,
