0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 11,MotoGP,Le Mans,WUP,,,,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=13,laps=11,,
run,1,Slick-Soft,Slick-Soft,9,14,,,,,,,,,
lap,1,2'12.885,24.574,23.614,27.958,26.149,,,,,,,,
lap,2,1'37.271,23.267,22.283,26.525,25.196,301.2,,,,,,,
lap,3,1'35.145,21.939,21.829,26.305*,25.072,309.6,,,,,,,
lap,4,1'34.110,21.661,21.536,26.091,24.822,308.7,,,,,,,
lap,5,1'33.978,21.613,21.388,25.939,25.038,307.7,,,,,,,
lap,6,1'35.050,21.887,21.636,26.290,25.237,309.6,,,,,,,
lap,7,1'33.276,21.508,21.297,25.885,24.586,307.7,,,,,,,
lap,8,1'33.269,21.495,21.276,25.896,24.602,308.7,,,,,,,
lap,9,1'32.982,21.400,21.317,25.763,24.502,307.7,,,,,,,
lap,10,1'32.891,21.283,21.292,25.759,24.557,309.6,,,,,,,
lap,11,1'32.942,21.422,21.326,25.702,24.492,308.7,,,,,,,
lap,12,1'36.882,21.317,21.310,28.553,25.702,307.7,,,,,,,
lap,13,1'32.869,21.332,21.298,25.733,24.506,308.7,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=10,laps=10,
run,1,Slick-Soft,Slick-Soft,6,4,,,,,,,,,
lap,unfinished,23.932,22.962,,,,,,,,,,,
run,2,Slick-Soft,Slick-Soft,4,6,,,,,,,,,
lap,1,1'38.482,22.869,22.748,27.220,25.645,,,,,,,,
lap,2,1'35.115,22.081,21.797,26.306,24.931,302.1,,,,,,,
lap,3,1'33.472,21.502,21.365,25.897,24.708,306.8,,,,,,,
lap,4,1'33.371,21.394,21.434,25.919,24.624,310.6,,,,,,,
lap,5,1'33.278,21.424,21.446,25.739,24.669,306.8,,,,,,,
lap,6,1'33.129,21.305,21.397,25.796,24.631,310.6,,,,,,,
lap,7,1'33.144,21.325,21.347,25.830,24.642,308.7,,,,,,,
lap,8,1'35.990,21.338,21.407,27.948,25.297,310.6,,,,,,,
lap,9,1'33.336,21.349,21.419,25.758,24.810,311.6,,,,,,,
rider,3rd,35,Cal,CRUTCHLOW,HONDA,GBR,LCR,Honda,CASTROL,Total,laps=11,laps=9,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,,,,
lap,1,2'22.365,P,25.012,27.493,32.449,31.432,,,,,,,
run,2,Slick-Soft,Slick-Soft,9,4,,,,,,,,,
lap,2,3'22.865,24.193,24.302,28.775*,27.267,,,,,,,,
lap,3,1'40.427,23.560,23.639,27.876,25.352,306.8,,,,,,,
lap,4,1'34.409,21.739,21.564,26.183,24.923,314.5,,,,,,,
lap,5,1'33.712,21.589,21.421,25.854,24.848,312.6,,,,,,,
lap,6,1'33.411,21.373,21.363,25.835,24.840,315.5,,,,,,,
lap,7,1'33.195,21.238,21.326,25.886,24.745,316.5,,,,,,,
lap,8,1'34.106,21.343,21.560,26.228,24.975,317.5,,,,,,,
lap,9,1'33.256,21.219,21.367,25.908,24.762,317.5,,,,,,,
lap,10,1'40.923,21.300,24.461,27.561,27.601,317.5,,,,,,,
lap,11,1'35.198,21.788,21.657,26.439,25.314,316.5,,,,,,,
rider,4th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,Total,laps=12,laps=9,,,
run,1,missing,Slick-Soft,0,5,,,,,,,,,
lap,1,2'02.786,P,25.435,24.445,28.342,28.989,,,,,,,
run,2,Slick-Soft,Slick-Soft,9,4,,,,,,,,,
lap,2,2'15.764,24.088,23.524,27.769,26.810,,,,,,,,
lap,3,1'37.859,22.765,22.361,27.208*,25.525,304.9,,,,,,,
lap,4,1'34.751,22.234,21.578,26.104,24.835,310.6,,,,,,,
lap,5,1'33.642,21.448,21.436,25.954,24.804,313.5,,,,,,,
lap,6,1'33.332,21.315,21.379,25.868,24.770,314.5,,,,,,,
lap,7,1'33.299,21.301,21.400,25.815,24.783,315.5,,,,,,,
lap,8,1'38.705,21.998,22.436,26.121,28.150,310.6,,,,,,,
lap,9,1'33.898,21.563,21.386,25.805,25.144,315.5,,,,,,,
lap,10,1'34.256,21.261,21.551,26.068,25.376,315.5,,,,,,,
