0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 17,MotoGP,MotorLand Aragón,Q2,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=7,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'52.875,30.044,33.029,21.892,27.290,330.3,,,,,,,
lap,2,1'47.997,31.170,30.446,21.051,25.330,338.6,,,,,,,
lap,3,1'47.296,30.806,30.387,20.859,25.244,339.6,,,,,,,
lap,4,1'58.164,P,33.226,31.733,21.698,31.507,336.5,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,3'50.936,29.298,32.130,23.616,28.241,316.8,,,,,,,
lap,6,1'48.555,31.131,30.544,21.464,25.416,337.5,,,,,,,
lap,7,1'47.076,30.738,30.356,20.774,25.208,339.6,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=8,laps=5,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,3'04.674,28.029,31.515,21.501,25.376,338.6,,,,,,,
lap,2,1'48.104,31.241,30.604,21.072,25.187,339.6,,,,,,,
lap,3,1'47.482,31.099,30.406,20.886,25.091,339.6,,,,,,,
lap,4,1'54.779,P,30.834,31.118,21.490,31.337,338.6,,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,5,2'36.347,27.039,31.059,21.257,25.343,338.6,,,,,,,
lap,6,1'47.125,30.920,30.188,20.923,25.094,337.5,,,,,,,
lap,7,1'47.122,30.831,30.336,20.855,25.100,338.6,,,,,,,
lap,8,1'49.215,31.215,31.663,20.972,25.365,337.5,,,,,,,
rider,3rd,35,Cal,CRUTCHLOW,HONDA,GBR,LCR,Honda,CASTROL,Total,laps=7,laps=4,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'08.739,29.702,32.300,22.671,25.872,337.5,,,,,,,
lap,2,1'55.527,36.274,32.368,21.645,25.240,341.8,,,,,,,
lap,3,1'47.772,31.197,30.403,21.078,25.094,345.0,,,,,,,
lap,4,1'57.878,P,32.497,31.815,22.156,31.410,338.6,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,3'24.634,27.723,31.465,21.506,25.127,346.1,,,,,,,
lap,6,1'47.305,31.004,30.333,21.019,24.949,348.4,,,,,,,
lap,7,2'00.969,42.310,31.404,21.661,25.594,339.6,,,,,,,
rider,4th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=8,laps=5,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'50.382,29.315,31.414,21.654,25.467,334.4,,,,,,,
lap,2,1'48.090,31.334,30.529,20.978,25.249,335.4,,,,,,,
lap,3,1'47.659,30.980,30.420,21.068,25.191,336.5,,,,,,,
lap,4,1'47.385,30.816,30.395,20.890,25.284,335.4,,,,,,,
lap,5,1'57.049,P,32.041,31.607,21.980,31.421,331.3,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,3'32.786,29.254,30.917,21.134,25.209,335.4,,,,,,,
lap,7,1'47.317,30.972,30.263,20.816,25.266,335.4,,,,,,,
lap,8,1'47.424,30.783,30.347,20.920,25.374,336.5,,,,,,,
rider,5th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=7,laps=4,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'53.578,30.419,43.229,21.946,27.199,332.3,,,,,,,
