0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 18,MotoGP,MotorLand Aragón,WUP,,,,,,,,,
rider,1st,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=11,laps=8,,
run,1,Slick-Soft,Slick-Soft,7,11,,,,,,,,,
lap,1,2'22.175,P,30.604,34.242,23.025,32.124,324.4,,,,,,
run,2,Slick-Soft,Slick-Soft,0,4,,,,,,,,,
lap,2,2'23.502,29.725,33.512,22.408,25.982,331.3,,,,,,,
lap,3,1'52.658,33.698,31.569,21.742,25.649,332.3,,,,,,,
lap,4,1'49.562,31.579,31.054,21.378,25.551,332.3,,,,,,,
lap,5,1'50.977,31.471,32.126,21.778,25.602,333.4,,,,,,,
lap,6,1'52.051,33.647,31.315,21.588,25.501,333.4,,,,,,,
lap,7,1'48.849,31.370,30.873,21.167,25.439,333.4,,,,,,,
lap,8,1'48.651,31.354,30.898,21.079,25.320,334.4,,,,,,,
lap,9,1'54.847,34.769,32.485,21.880,25.713,333.4,,,,,,,
lap,10,1'53.671,35.331,31.432,21.438,25.470,336.5,,,,,,,
lap,11,1'49.500,31.471,30.985,21.411,25.633*,332.3,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=11,laps=10,
run,1,Slick-Soft,Slick-Soft,4,4,,,,,,,,,
lap,1,2'59.998,28.563,32.633,22.394,26.202,334.4,,,,,,,
lap,2,1'52.092,32.794,31.511,22.073,25.714,334.4,,,,,,,
lap,3,1'51.948,32.123,32.396,21.695,25.734,337.5,,,,,,,
lap,4,1'49.889,31.738,31.045,21.570,25.536,334.4,,,,,,,
lap,5,1'49.634,31.768,30.916,21.356,25.594,335.4,,,,,,,
lap,6,1'49.110,31.453,30.890,21.307,25.460,336.5,,,,,,,
lap,7,1'49.058,31.482,30.892,21.195,25.489,336.5,,,,,,,
lap,8,1'51.989,34.009,31.106,21.313,25.561,335.4,,,,,,,
lap,9,1'49.617,31.423,30.786,21.778,25.630,339.6,,,,,,,
lap,10,1'52.160,34.362,31.039,21.251,25.508,335.4,,,,,,,
lap,11,1'48.870,31.353,30.813,21.250,25.454,336.5,,,,,,,
rider,3rd,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=10,laps=7,,
run,1,Slick-Soft,Slick-Soft,12,4,,,,,,,,,
lap,1,2'16.287,30.684,34.020,23.058,26.012,338.6,,,,,,,
lap,2,1'57.185,P,32.449,31.413,21.579,31.744,336.5,,,,,,
run,2,Slick-Soft,Slick-Soft,8,4,,,,,,,,,
lap,3,4'03.390,29.547,32.807,22.336,25.845,333.4,,,,,,,
lap,4,1'51.451,32.607,31.565,21.646,25.633,334.4,,,,,,,
lap,5,1'49.773,31.644,31.059,21.414,25.656,334.4,,,,,,,
lap,6,1'49.486,31.560,31.040,21.337,25.549,335.4,,,,,,,
lap,7,1'49.137,31.332,31.044,21.354,25.407,337.5,,,,,,,
lap,8,1'52.994,31.570,32.928,22.956,25.540,339.6,,,,,,,
lap,9,1'49.080,31.381,30.996,21.315,25.388,338.6,,,,,,,
lap,10,1'48.983,31.317,30.951,21.339,25.376,338.6,,,,,,,
rider,4th,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,Total,laps=11,laps=10,,
run,1,Slick-Soft,Slick-Soft,5,4,,,,,,,,,
lap,1,2'10.793,29.232,33.605,22.987,26.197,337.5,,,,,,,
lap,2,1'51.477,32.622,31.479,21.765,25.611,339.6,,,,,,,
lap,3,1'49.902,31.834,31.083,21.546,25.439,339.6,,,,,,,
lap,4,1'49.449,31.560,30.986,21.544,25.359,341.8,,,,,,,
lap,5,1'50.857,32.275,31.168,21.545,25.869,333.4,,,,,,,
lap,6,1'49.147,31.605,30.923,21.263,25.356,340.7,,,,,,,
lap,7,1'50.706,32.506,31.253,21.487,25.460,337.5,,,,,,,
lap,8,1'49.253,31.507,31.025,21.323,25.398,337.5,,,,,,,
lap,9,1'49.010,31.372,30.957,21.278,25.403,337.5,,,,,,,
lap,10,1'49.320,31.327,31.047,21.209,25.737,335.4,,,,,,,
lap,11,1'49.141,31.385,31.020,21.296,25.440,338.6,,,,,,,
rider,5th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=11,laps=8,,
run,1,Slick-Soft,Slick-Soft,8,4,,,,,,,,,
lap,1,1'59.528,29.907,33.000,22.484,26.363,332.3,,,,,,,
lap,2,1'51.479,32.715,31.385,21.649,25.730,333.4,,,,,,,
lap,3,1'49.650,31.754,30.974,21.363,25.559,334.4,,,,,,,
lap,4,1'55.457,P,31.640,31.034,21.402,31.381,335.4,,,,,,
run,2,Slick-Soft,Slick-Soft,6,4,,,,,,,,,
lap,5,2'34.395,30.452,34.052*,22.233,25.829,332.3,,,,,,,
lap,6,1'50.461,32.178,31.230,21.536,25.517,334.4,,,,,,,
lap,7,1'49.890,31.674,31.244,21.569,25.403,334.4,,,,,,,
lap,8,1'49.143,31.430,30.953,21.402,25.358,335.4,,,,,,,
lap,9,1'49.153,31.453,30.877,21.436,25.387,335.4,,,,,,,
lap,10,1'49.049,31.421,30.911,21.281,25.436,333.4,,,,,,,
lap,11,1'49.098,31.411,30.962,21.282,25.443,335.4,,,,,,,
rider,6th,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=11,laps=10,,
run,1,Slick-Soft,Slick-Soft,7,3,,,,,,,,,
lap,1,2'58.112,31.280,34.027,23.144,26.824,328.3,,,,,,,
lap,2,1'55.531,36.057,31.941,21.802,25.731,335.4,,,,,,,
lap,3,1'49.916,31.643,31.197,21.391,25.685,334.4,,,,,,,
lap,4,1'51.002,32.460,31.429,21.449,25.664,337.5,,,,,,,
lap,5,1'49.375,31.506,30.971,21.305,25.593,338.6,,,,,,,
lap,6,1'49.376,31.444,31.018,21.342,25.572,337.5,,,,,,,
lap,7,1'49.053,31.354,30.954,21.180,25.565,337.5,,,,,,,
lap,8,1'53.154,33.968,31.858,21.668,25.660,336.5,,,,,,,
lap,9,1'49.493,31.421,30.990,21.380,25.702,336.5,,,,,,,
lap,10,1'51.538,31.481,31.093,23.201,25.763,336.5,,,,,,,
lap,11,1'50.845,31.607,31.141,21.391,26.706,331.3,,,,,,,
rider,7th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=11,laps=10,,
run,1,Slick-Soft,Slick-Soft,5,11,,,,,,,,,
lap,1,1'58.870,30.684,33.820,22.801,26.527,331.3,,,,,,,
lap,2,1'51.414,32.561,31.584,21.550,25.719,333.4,,,,,,,
lap,3,1'49.886,31.802,31.121,21.302,25.661,332.3,,,,,,,
lap,4,1'49.568,31.631,31.105,21.233,25.599,334.4,,,,,,,
lap,5,1'49.396,31.479,30.952,21.233,25.732,334.4,,,,,,,
lap,6,1'49.464,31.536,30.967,21.327,25.634,333.4,,,,,,,
lap,7,1'49.437,31.409,30.951,21.275,25.802,332.3,,,,,,,
lap,8,1'49.109,31.356,30.923,21.179,25.651,334.4,,,,,,,
lap,9,1'49.942,31.539,31.309,21.407,25.687,333.4,,,,,,,
lap,10,1'49.741,31.674,30.986,21.378,25.703,334.4,,,,,,,
lap,11,1'49.523,31.507,31.024,21.301,25.691,334.4,,,,,,,
