0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,October 23,MotoGP,MotorLand Aragón,FP2,,,,,,,,,
rider,1st,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=18,laps=12,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,2'20.558,29.248,33.474,22.580,25.761,342.9,,,,,,,
lap,2,1'52.344,32.713,31.417,21.676,26.538,345.0,,,,,,,
lap,3,1'49.922,32.136,30.971,21.499,25.316,346.1,,,,,,,
lap,4,1'49.632,31.914,30.907,21.426,25.385*,339.6,,,,,,,
lap,5,1'49.366,31.429,31.225,21.371,25.341,338.6,,,,,,,
lap,6,1'48.354,31.172,30.732,21.177,25.273,341.8,,,,,,,
lap,7,2'02.787,P,33.914,34.412,22.207,32.254,339.6,,,,,,
run,2,Slick-Medium,Slick-Medium,7,7,,,,,,,,,
lap,8,7'59.114,31.082,32.137,21.945,25.549,336.5,,,,,,,
lap,9,1'51.626,31.798,32.605,21.753,25.470,339.6,,,,,,,
lap,10,1'49.215,31.518,30.791,21.534,25.372,342.9,,,,,,,
lap,11,1'48.796,31.272,30.846,21.301,25.377,339.6,,,,,,,
lap,12,1'48.452,31.212,30.700,21.254,25.286,340.7,,,,,,,
lap,13,2'02.414,P,35.280,32.725,22.260,32.149,338.6,,,,,,
run,3,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,14,8'23.881,33.675,34.744,22.331,25.654,338.6,,,,,,,
lap,15,1'49.561,31.988,30.918,21.471,25.184,339.6,,,,,,,
lap,16,1'47.931,31.176,30.509,21.069,25.177,340.7,,,,,,,
lap,17,1'47.782,31.021,30.486,21.047,25.228,340.7,,,,,,,
lap,18,2'02.465,37.276,33.769,24.980,26.440,340.7,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=18,laps=11,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,3'15.237,29.273,32.416,22.266,25.895,340.7,,,,,,,
lap,2,1'50.902,32.221,31.219,21.698,25.764,339.6,,,,,,,
lap,3,1'49.980,31.756,31.073,21.395,25.756,338.6,,,,,,,
lap,4,1'49.893,31.602,31.081,21.527,25.683,338.6,,,,,,,
lap,5,1'52.398,31.495,30.859,24.135,25.909,337.5,,,,,,,
lap,6,1'49.603,31.496,31.083,21.357,25.667,339.6,,,,,,,
lap,7,2'00.218,P,33.281,32.415,22.436,32.086,338.6,,,,,,
run,2,Slick-Medium,Slick-Medium,7,7,,,,,,,,,
lap,8,7'07.789,28.279,32.115,21.900,25.706,339.6,,,,,,,
lap,9,1'49.328,31.565,30.796,21.388,25.579,341.8,,,,,,,
lap,10,1'49.019,31.323,30.824,21.426,25.446,342.9,,,,,,,
lap,11,1'48.889,31.304,30.881,21.247,25.457,342.9,,,,,,,
lap,12,1'54.701,P,31.350,30.862,21.358,31.131,345.0,,,,,,
run,3,Slick-Medium,Slick-Medium,12,12,,,,,,,,,
lap,13,7'17.115,28.050,31.658,21.675,25.883,336.5,,,,,,,
lap,14,1'50.324,31.434,31.979,21.330,25.581,338.6,,,,,,,
lap,15,1'54.370,P,31.395,30.892,21.283,30.800,338.6,,,,,,
run,4,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,16,2'19.257,27.510,31.634,21.673,25.547,342.9,,,,,,,
lap,17,1'48.467,31.139,30.608,21.292,25.428,340.7,,,,,,,
lap,18,1'47.957,31.054,30.525,21.041,25.337,341.8,,,,,,,
