0,1,2,3,4,5,6,7,8,9,10,11
const,2020,October 25,MotoGP,MotorLand Aragón,RACE,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'52.018,34.258,30.859,21.295,25.606,330.3,,,,
lap,2,1'48.554,31.299,30.645,21.123,25.487,331.3,,,,
lap,3,1'48.406,31.157,30.746,20.948,25.555,331.3,,,,
lap,4,1'48.357,31.110,30.688,21.060,25.499,332.3,,,,
lap,5,1'48.089,31.061,30.565,20.942,25.521,332.3,,,,
lap,6,1'48.273,31.163,30.662,20.973,25.475,333.4,,,,
lap,7,1'48.599,31.183,30.785,21.086,25.545,333.4,,,,
lap,8,1'48.887,31.277,30.887,21.098,25.625,333.4,,,,
lap,9,1'48.649,31.263,30.754,21.062,25.570,333.4,,,,
lap,10,1'48.714,31.316,30.758,21.041,25.599,333.4,,,,
lap,11,1'48.663,31.226,30.732,21.087,25.618,333.4,,,,
lap,12,1'48.939,31.245,30.893,21.165,25.636,332.3,,,,
lap,13,1'48.841,31.320,30.794,21.105,25.622,332.3,,,,
lap,14,1'48.840,31.318,30.847,21.080,25.595,331.3,,,,
lap,15,1'49.140,31.437,30.905,21.200,25.598,331.3,,,,
lap,16,1'48.931,31.317,30.823,21.167,25.624,331.3,,,,
lap,17,1'48.977,31.271,30.942,21.118,25.646,332.3,,,,
lap,18,1'49.112,31.311,30.914,21.293,25.594,332.3,,,,
lap,19,1'49.475,31.492,31.032,21.276,25.675,331.3,,,,
lap,20,1'49.374,31.466,30.989,21.295,25.624,332.3,,,,
lap,21,1'49.376,31.433,31.035,21.251,25.657,334.4,,,,
lap,22,1'49.594,31.560,31.081,21.270,25.683,331.3,,,,
lap,23,1'49.844,31.473,31.184,21.414,25.773,332.3,,,,
rider,2nd,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'52.163,34.462,30.993,21.238,25.470,336.5,,,,
lap,2,1'48.666,31.495,30.650,21.150,25.371,335.4,,,,
lap,3,1'48.372,31.096,30.808,21.059,25.409,335.4,,,,
lap,4,1'48.451,31.115,30.701,21.185,25.450,336.5,,,,
lap,5,1'48.235,31.186,30.604,21.061,25.384,335.4,,,,
lap,6,1'48.418,31.194,30.751,21.085,25.388,335.4,,,,
lap,7,1'48.347,31.067,30.762,21.111,25.407,337.5,,,,
lap,8,1'48.910,31.255,30.941,21.245,25.469,336.5,,,,
lap,9,1'48.748,31.304,30.769,21.114,25.561,336.5,,,,
lap,10,1'48.734,31.314,30.780,21.077,25.563,335.4,,,,
lap,11,1'48.735,31.284,30.751,21.134,25.566,336.5,,,,
lap,12,1'48.877,31.362,30.820,21.213,25.482,334.4,,,,
lap,13,1'48.888,31.311,30.859,21.192,25.526,335.4,,,,
lap,14,1'48.898,31.289,30.914,21.135,25.560,335.4,,,,
lap,15,1'48.935,31.250,30.918,21.183,25.584,335.4,,,,
lap,16,1'49.159,31.323,30.973,21.277,25.586,335.4,,,,
lap,17,1'49.137,31.270,30.944,21.262,25.661,334.4,,,,
lap,18,1'49.390,31.331,31.015,21.331,25.713,334.4,,,,
lap,19,1'49.447,31.379,31.140,21.226,25.702,334.4,,,,
lap,20,1'49.557,31.426,31.147,21.237,25.747,336.5,,,,
lap,21,1'49.694,31.461,31.200,21.340,25.693,336.5,,,,
lap,22,1'49.982,31.595,31.207,21.369,25.811,333.4,,,,
lap,23,1'50.114,31.568,31.210,21.476,25.860,333.4,,,,
rider,3rd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,
lap,1,1'52.911,35.174,31.222,21.259,25.256,338.6,,,,
lap,2,1'48.868,31.545,30.759,21.228,25.336,339.6,,,,
lap,3,1'48.567,31.343,30.693,21.237,25.294,339.6,,,,
lap,4,1'48.516,31.333,30.654,21.218,25.311,339.6,,,,
