0,1,2,3,4,5,6,7,8,9,10,11
const,2020,October 25,MotoGP,MotorLand Aragón,WUP,,,,,,
rider,1st,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,,
run,1,Slick-Soft,Slick-Soft,8,4,,,,,,
lap,1,2'27.005,30.776,34.218,22.997,26.184,335.4,,,,
lap,2,1'51.678,33.202,31.485,21.585,25.406,334.4,,,,
lap,3,1'56.293,P,31.601,31.312,21.513,31.867,331.3,,,
run,2,Slick-Soft,Slick-Soft,0,3,,,,,,
lap,4,2'24.687,30.709,34.118,22.787,26.224,330.3,,,,
lap,5,1'51.859,32.786,31.746,21.770,25.557,332.3,,,,
lap,6,1'49.820,31.852,31.190,21.358,25.420,332.3,,,,
lap,7,1'48.964,31.431,30.938,21.225,25.370,332.3,,,,
lap,8,1'51.295,32.856,31.450,21.527,25.462,332.3,,,,
lap,9,1'48.724,31.357,30.813,21.204,25.350,333.4,,,,
lap,10,1'48.565,31.235,30.948,21.054,25.328,333.4,,,,
lap,11,1'54.373,35.502*,31.746,21.643,25.482,332.3,,,,
rider,2nd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,
lap,1,2'25.580,32.363,33.979,23.400,26.051,332.3,,,,
lap,2,1'51.071,32.268,31.349,21.769,25.685,335.4,,,,
lap,3,1'52.426,33.198,32.130,21.538,25.560,335.4,,,,
lap,4,1'49.319,31.513,30.847,21.410,25.549,333.4,,,,
lap,5,1'49.407,31.374,30.893,21.640,25.500,333.4,,,,
lap,6,1'49.014,31.470,30.763,21.252,25.529,334.4,,,,
lap,7,1'54.989,31.457,30.860,21.402,31.270,266.8,,,,
lap,8,1'50.575,32.840,30.944,21.332,25.459,335.4,,,,
lap,9,1'48.656,31.299,30.814,21.188,25.355,335.4,,,,
lap,10,1'48.693,31.230,30.895,21.095,25.473,334.4,,,,
lap,11,1'49.040,31.370,30.930,21.243,25.497,336.5,,,,
rider,3rd,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,,
run,1,Slick-Soft,Slick-Soft,0,3,,,,,,
lap,1,2'29.989,29.615,33.656,23.131,26.313,335.4,,,,
lap,2,1'51.521,32.387,31.829,21.801,25.504,338.6,,,,
lap,3,1'50.679,32.757,31.216,21.390,25.316,339.6,,,,
lap,4,1'50.451,31.523,31.264,22.057,25.607,340.7,,,,
lap,5,1'50.366,32.020,31.151,21.638,25.557,339.6,,,,
lap,6,1'50.191,31.960,31.179*,21.598,25.454,336.5,,,,
lap,7,1'48.795,31.208,30.960,21.221,25.406,337.5,,,,
lap,8,1'49.111,31.512,30.953,21.290,25.356,338.6,,,,
lap,9,1'48.847,31.149,30.945,21.254,25.499,339.6,,,,
lap,10,1'53.914,34.939,31.749,21.605,25.621,333.4,,,,
lap,11,1'48.957,31.301,31.014,21.178,25.464,335.4,,,,
rider,4th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Soft,Slick-Soft,0,4,,,,,,
lap,1,2'16.015,28.629,32.712,22.665,25.844,336.5,,,,
lap,2,1'54.404,34.604,32.057,22.107,25.636,336.5,,,,
lap,3,1'50.244,31.726,31.174,21.601,25.743,336.5,,,,
lap,4,1'49.192,31.450,30.975,21.248,25.519,337.5,,,,
lap,5,1'57.014,35.836,31.647,23.965,25.566,332.3,,,,
lap,6,1'54.266,33.532,32.727,22.120,25.887,336.5,,,,
lap,7,1'50.032,31.405,31.011,21.232,26.384,340.7,,,,
lap,8,1'49.151,31.354,31.049,21.293,25.455,339.6,,,,
lap,9,1'59.122,38.544,32.313,21.888,26.377,333.4,,,,
lap,10,1'49.382,31.502,31.116,21.344,25.420,336.5,,,,
lap,11,1'49.323,31.605,31.138,21.221,25.359,337.5,,,,
rider,5th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,,,
run,1,Slick-Soft,Slick-Soft,8,4,,,,,,
lap,1,2'13.491,31.021,33.432,23.451,26.389,334.4,,,,
lap,2,1'52.624,32.689,31.787,21.968,26.180,337.5,,,,
lap,3,1'50.532,31.861,31.277,21.829,25.565,333.4,,,,
lap,4,1'49.632,31.633,31.009,21.570,25.420,335.4,,,,
lap,5,1'49.309,31.563,31.040,21.321,25.385,335.4,,,,
