0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,November 07,MotoGP,Circuit Ricardo Tormo,Q2,,,,,,,,,
rider,1st,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=9,laps=5
run,1,Wet-Medium,Wet-Medium,3,5,,,,,,,,,
lap,1,2'15.254,25.713,31.678,26.753,27.634,,,,,,,,
lap,2,1'45.589,22.787,29.852,25.596,27.354,311.1,,,,,,,
lap,3,1'42.123,22.569,27.574,24.718,27.262,311.1,,,,,,,
lap,4,1'41.799,22.661,27.452,24.449,27.237,313.9,,,,,,,
lap,5,1'50.801,27.223*,30.580,25.497,27.501,312.5,,,,,,,
lap,6,1'41.179,22.424,27.093,24.359,27.303,315.4,,,,,,,
lap,7,1'56.480,26.359*,31.968,28.957,29.196,313.9,,,,,,,
lap,8,1'40.434,22.383,26.842,24.118,27.091,315.4,,,,,,,
lap,9,1'50.230,26.025*,30.604,25.215,28.386,297.6,,,,,,,
rider,2nd,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=9,laps=6,,
run,1,Wet-Medium,Wet-Medium,5,5,,,,,,,,,
lap,1,1'49.000,22.837,29.110,25.405,28.171,,,,,,,,
lap,2,1'42.420,22.755,27.661,24.547,27.457,311.1,,,,,,,
lap,3,1'41.714,22.573,27.429,24.404,27.308,309.7,,,,,,,
lap,4,1'41.254,22.453,27.243,24.422,27.136,318.3,,,,,,,
lap,5,1'45.896,P,22.846,28.171,24.814,30.065,311.1,,,,,,
run,2,Wet-Medium,Wet-Medium,10,0,,,,,,,,,
lap,6,2'38.904,22.414,28.683,25.119,27.682,,,,,,,,
lap,7,1'40.525,22.364,26.927,24.219,27.015,312.5,,,,,,,
lap,8,1'40.475,22.265,26.942,24.224,27.044,313.9,,,,,,,
lap,9,1'40.652,22.182,27.077,24.246,27.147,313.9,,,,,,,
rider,3rd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=8,laps=6,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,2'23.763,25.415,30.299,27.932,29.840,,,,,,,,
lap,2,1'43.892,23.362,28.520,24.700,27.310,297.6,,,,,,,
lap,3,1'41.618,22.651,27.307,24.460,27.200,309.7,,,,,,,
lap,4,1'51.714,25.802,31.313,26.807,27.792,295.1,,,,,,,
lap,5,1'40.530,22.433,26.943,24.175,26.979,311.1,,,,,,,
lap,6,2'00.291,27.266*,35.319,29.886,27.820,308.3,,,,,,,
lap,7,2'17.875,22.446,27.004,24.108,1'04.317,312.5,,,,,,,
lap,8,1'44.348,24.301,27.806,24.795,27.446,256.5,,,,,,,
rider,4th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=5,laps=3,,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,8'28.697,23.951,29.941,26.054,28.215,,,,,,,,
lap,2,1'44.357,23.332,28.356,25.019,27.650,313.9,,,,,,,
lap,3,1'41.311,22.864,27.208,24.138,27.101,316.8,,,,,,,
lap,4,1'41.472,22.108,26.656,24.044,28.664*,316.8,,,,,,,
lap,5,1'40.577,22.192,26.835,24.120,27.430,315.4,,,,,,,
rider,5th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=8,laps=4,,
run,1,Wet-Medium,Wet-Medium,0,10,,,,,,,,,
lap,1,1'58.738,25.567,29.945,26.017,28.679,,,,,,,,
lap,2,1'45.538,23.244,29.889,24.727,27.678,309.7,,,,,,,
lap,3,1'41.662,22.520,27.368,24.328,27.446,312.5,,,,,,,
lap,4,1'50.194,P,23.071,29.360,24.901,32.862,312.5,,,,,,
run,2,Wet-Medium,Wet-Medium,4,0,,,,,,,,,
lap,5,2'49.615,24.222,28.123,24.713,27.706,,,,,,,,
lap,6,1'41.032,22.436,27.220,24.201,27.175,312.5,,,,,,,
lap,7,1'40.859,22.428,27.046,24.111,27.274*,311.1,,,,,,,
lap,8,1'40.704,22.389,26.956,24.128,27.231,312.5,,,,,,,
rider,6th,41,Aleix,ESPARGARO,APRILIA,SPA,Aprilia,Racing,Team,Gresini,Total,laps=8,laps=5,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,2'02.324,23.297,28.942,25.493,28.129,,,,,,,,
lap,2,1'43.448,23.258,28.172,24.636,27.382,311.1,,,,,,,
lap,3,1'42.328,22.711,27.765,24.518,27.334,313.9,,,,,,,
lap,4,1'41.931,22.439,27.475,24.527,27.490,313.9,,,,,,,
lap,5,1'55.671,P,26.725,33.268,25.436,30.242,305.6,,,,,,
run,2,Wet-Medium,Wet-Medium,5,0,,,,,,,,,
lap,6,2'58.671,26.903,28.269,24.817,27.647,,,,,,,,
lap,7,1'40.893,22.449,26.989,24.165,27.290,313.9,,,,,,,
lap,8,1'40.997,22.449,27.063,24.337,27.148,313.9,,,,,,,
rider,7th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=5,laps=2,,,
run,1,Wet-Medium,Wet-Soft,0,0,,,,,,,,,
lap,1,9'14.393,25.851,29.343,24.801,27.593,,,,,,,,
lap,2,1'40.893,22.169,27.109,24.323,27.292,318.3,,,,,,,
lap,3,1'46.265,23.004*,29.090,26.229,27.942,318.3,,,,,,,
lap,4,1'41.345,22.357,27.082,24.427,27.479,318.3,,,,,,,
lap,5,1'47.968,P,22.531,27.398,25.432,32.607,318.3,,,,,,
rider,8th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=9,laps=8
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,2'14.622,25.761,29.023,25.798,27.622,,,,,,,,
lap,2,1'45.450,22.582,30.143,25.237,27.488,311.1,,,,,,,
lap,3,1'41.710,22.692,27.408,24.509,27.101,306.9,,,,,,,
lap,4,1'46.485,22.464,30.212,25.813,27.996,308.3,,,,,,,
lap,5,1'42.452,22.542,27.543,24.850,27.517,311.1,,,,,,,
lap,6,1'59.637,30.216,33.609,27.198,28.614,308.3,,,,,,,
lap,7,1'41.639,22.300,27.432,24.515,27.392,311.1,,,,,,,
lap,8,1'56.090,28.442,32.621,26.813,28.214,309.7,,,,,,,
lap,9,1'41.328,22.236,27.128,24.588,27.376,313.9,,,,,,,
rider,9th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=8,laps=5,,
run,1,Wet-Medium,Wet-Medium,4,0,,,,,,,,,
lap,1,2'01.385,P,26.112,30.155,25.870,31.623,,,,,,,
run,2,Wet-Medium,Wet-Soft,5,0,,,,,,,,,
lap,2,3'00.675,23.739,28.865,24.715,27.346,,,,,,,,
lap,3,1'41.557,22.387,27.438,24.202,27.530,309.7,,,,,,,
lap,4,1'50.840,26.308,30.323,25.882,28.327,285.3,,,,,,,
lap,5,1'41.838,22.538,27.416,24.441,27.443,309.7,,,,,,,
lap,6,1'58.418,28.268,29.554,30.329,30.267,309.7,,,,,,,
lap,7,1'41.824,22.535,27.258,24.461,27.570,309.7,,,,,,,
lap,8,1'51.229,P,23.356,28.029,27.010,32.834,306.9,,,,,,
rider,10th,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=9,laps=8
run,1,Wet-Medium,Wet-Medium,0,4,,,,,,,,,
lap,1,2'06.514,25.221,30.111,25.833,27.877,,,,,,,,
lap,2,1'43.905,23.095,28.200,25.024,27.586,312.5,,,,,,,
lap,3,1'43.471,23.214,27.910,24.706,27.641,313.9,,,,,,,
lap,4,1'42.671,22.680,27.766,24.622,27.603,312.5,,,,,,,
lap,5,1'42.084,22.580,27.598,24.644,27.262,311.1,,,,,,,
lap,6,1'41.994,22.529,27.579,24.455,27.431,313.9,,,,,,,
lap,7,1'41.915,22.458,27.511,24.604,27.342,312.5,,,,,,,
lap,8,1'41.781,22.399,27.477,24.561,27.344,312.5,,,,,,,
lap,9,2'03.160,29.015,34.322,29.857,29.966,313.9,,,,,,,
rider,11th,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=9,laps=6,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,2'22.554,24.254,30.005,25.927,28.382,,,,,,,,
lap,2,1'43.762,23.178,28.141,24.815,27.628,313.9,,,,,,,
lap,3,1'42.760,22.953,27.666,24.631,27.510,312.5,,,,,,,
lap,4,1'41.943,22.616,27.447,24.504,27.376,312.5,,,,,,,
lap,5,1'51.568,28.435*,28.954,25.581,28.598,313.9,,,,,,,
lap,6,1'42.409,22.758,27.461,24.424,27.766,315.4,,,,,,,
lap,7,1'56.871,22.737,27.240,39.210,27.684,311.1,,,,,,,
lap,8,1'43.488,22.711,27.397,24.540,28.840,312.5,,,,,,,
lap,9,1'49.061,26.569*,28.579,25.488,28.425,312.5,,,,,,,
rider,12th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=8,laps=4,,,
run,1,Wet-Medium,Wet-Soft,0,0,,,,,,,,,
lap,1,1'59.020,25.853,29.513,26.164,28.291,,,,,,,,
lap,2,1'47.395,23.505,31.477,24.935,27.478,309.7,,,,,,,
lap,3,1'46.420,P,22.746,27.395,24.743,31.536,311.1,,,,,,
run,2,Wet-Medium,Wet-Medium,3,0,,,,,,,,,
lap,4,3'09.239,24.448,29.148,25.496,28.495,,,,,,,,
lap,5,1'46.428,26.894*,27.624,24.604,27.306,324.3,,,,,,,
lap,6,1'42.796,22.499,27.211,25.507,27.579,321.3,,,,,,,
lap,7,1'42.617,22.806,27.543,24.727,27.541,321.3,,,,,,,
lap,8,1'42.249,22.433,27.596,24.686,27.534,321.3,,,,,,,
