0,1,2,3,4,5,6,7,8,9,10,11
const,2020,November 08,MotoGP,Circuit Ricardo Tormo,RACE,,,,,,
rider,1st,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'39.285,27.046,25.368,22.037,24.834,224.7,,,,
lap,2,1'33.021,20.995,24.906,22.093,25.027,319.8,,,,
lap,3,1'32.339,20.868,24.748,21.950,24.773,316.8,,,,
lap,4,1'32.067,20.830,24.666,21.873,24.698,319.8,,,,
lap,5,1'32.059,20.790,24.684,21.845,24.740,318.3,,,,
lap,6,1'32.306,20.845,24.745,21.934,24.782,321.3,,,,
lap,7,1'32.402,20.891,24.764,21.895,24.852,318.3,,,,
lap,8,1'32.247,20.837,24.812,21.827,24.771,318.3,,,,
lap,9,1'32.074,20.736,24.692,21.906,24.740,316.8,,,,
lap,10,1'32.081,20.787,24.736,21.836,24.722,318.3,,,,
lap,11,1'32.220,20.829,24.734,21.889,24.768,315.4,,,,
lap,12,1'32.117,20.788,24.701,21.842,24.786,318.3,,,,
lap,13,1'32.105,20.782,24.703,21.843,24.777,318.3,,,,
lap,14,1'32.189,20.815,24.720,21.862,24.792,319.8,,,,
lap,15,1'32.488,20.839,24.846,21.939,24.864,316.8,,,,
lap,16,1'32.218,20.780,24.700,21.866,24.872,316.8,,,,
lap,17,1'32.132,20.779,24.708,21.909,24.736,316.8,,,,
lap,18,1'31.993,20.729,24.668,21.882,24.714,316.8,,,,
lap,19,1'31.955,20.737,24.730,21.808,24.680,316.8,,,,
lap,20,1'32.166,20.801,24.748,21.884,24.733,316.8,,,,
lap,21,1'31.990,20.699,24.688,21.844,24.759,316.8,,,,
lap,22,1'32.092,20.746,24.752,21.840,24.754,316.8,,,,
lap,23,1'32.153,20.755,24.772,21.893,24.733,315.4,,,,
lap,24,1'32.132,20.665,24.730,21.896,24.841,316.8,,,,
lap,25,1'32.202,20.809,24.742,21.931,24.720,315.4,,,,
lap,26,1'32.439,20.839,24.756,21.911,24.933,315.4,,,,
