0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,November 14,MotoGP,Circuit Ricardo Tormo,FP4,,,,,,,,,
rider,1st,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=16,laps=12,,
run,1,Slick-Medium,Slick-Soft,12,6,,,,,,,,,
lap,1,1'43.902,22.022,26.471,22.740,25.167,,,,,,,,
lap,2,1'32.462,20.834,24.915,21.865,24.848,315.4,,,,,,,
lap,3,1'31.772,20.635,24.713,21.827,24.597,315.4,,,,,,,
lap,4,1'31.801,20.629,24.670,21.871,24.631,318.3,,,,,,,
lap,5,1'31.689,20.569,24.623,21.728,24.769,318.3,,,,,,,
lap,6,1'31.477,20.460,24.597,21.710,24.710,318.3,,,,,,,
lap,7,1'32.273,20.597,24.633,21.891,25.152,315.4,,,,,,,
lap,8,1'42.092,P,22.209*,25.996,23.508,30.379,313.9,,,,,,
run,2,Slick-Medium,Slick-Medium,6,0,,,,,,,,,
lap,9,6'10.278,21.867,26.321,22.619,25.124,,,,,,,,
lap,10,1'31.707,20.534,24.802,21.753,24.618,316.8,,,,,,,
lap,11,1'31.057,20.371,24.576,21.683,24.427,318.3,,,,,,,
lap,12,1'31.175,20.457,24.475,21.804,24.439,318.3,,,,,,,
lap,13,1'30.895,20.418,24.463,21.624,24.390,318.3,,,,,,,
lap,14,1'31.348,20.485,24.600,21.752,24.511,319.8,,,,,,,
lap,15,1'31.350,20.451,24.570,21.718,24.611,316.8,,,,,,,
lap,16,1'47.194,P,25.913,28.356,22.829,30.096,316.8,,,,,,
rider,2nd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=17,laps=14,,
run,1,Slick-Medium,Slick-Medium,4,3,,,,,,,,,
lap,1,2'05.914,25.343,27.665,23.686,25.725,,,,,,,,
lap,2,1'32.715,20.939,24.915,22.135,24.726,321.3,,,,,,,
lap,3,1'32.601,20.822,24.933,22.088,24.758,321.3,,,,,,,
lap,4,1'33.249,22.084,24.704,21.967,24.494,322.8,,,,,,,
lap,5,1'31.674,20.656,24.520,21.926,24.572,324.3,,,,,,,
lap,6,1'32.566,20.732,24.713,22.292,24.829,325.8,,,,,,,
lap,7,1'31.735,20.641,24.738,21.873,24.483,321.3,,,,,,,
lap,8,1'31.355,20.524,24.511,21.828,24.492,322.8,,,,,,,
lap,9,1'36.263,22.725,25.676,22.879,24.983,318.3,,,,,,,
lap,10,1'31.210,20.579,24.542,21.830,24.259,316.8,,,,,,,
lap,11,1'40.670,20.440,25.864,23.903,30.463,319.8,,,,,,,
lap,12,1'38.126,P,21.210,25.451,22.607,28.858,319.8,,,,,,
run,2,Slick-Hard,Slick-Medium,0,15,,,,,,,,,
lap,13,5'08.639,23.996,26.759,22.988,25.346,,,,,,,,
lap,14,1'32.836,20.844,25.168,22.189,24.635,316.8,,,,,,,
lap,15,1'31.483,20.538,24.690,21.797,24.458,318.3,,,,,,,
lap,16,1'31.657,20.385,24.571,22.240,24.461,318.3,,,,,,,
lap,17,1'30.995,20.429,24.486,21.690,24.390,318.3,,,,,,,
rider,3rd,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=16,laps=10,,,
run,1,Slick-Medium,Slick-Medium,11,0,,,,,,,,,
lap,1,1'58.954,22.934,26.681,23.187,25.355,,,,,,,,
lap,2,1'33.127,20.861,25.149,22.269,24.848,322.8,,,,,,,
lap,3,1'31.549,20.580,24.571,21.802,24.596,319.8,,,,,,,
lap,4,1'31.060,20.500,24.439,21.639,24.482,319.8,,,,,,,
lap,5,1'33.824,22.237,25.012,21.892,24.683,319.8,,,,,,,
lap,6,1'31.020,20.511,24.432,21.630,24.447,321.3,,,,,,,
lap,7,1'35.883,23.066*,26.038,22.099,24.680,319.8,,,,,,,
lap,8,1'31.715,20.515,24.453,21.692,25.055,322.8,,,,,,,
lap,9,1'40.648,P,23.779,25.535,22.267,29.067,318.3,,,,,,
run,2,Slick-Medium,Slick-Medium,20,9,,,,,,,,,
lap,10,7'41.794,23.145,29.746,23.948,24.966,,,,,,,,
lap,11,1'31.794,20.588,24.756,21.860,24.590,322.8,,,,,,,
lap,12,1'39.844,23.871*,27.807,23.490,24.676,321.3,,,,,,,
lap,13,1'33.081,21.330,25.014,21.994,24.743,322.8,,,,,,,
lap,14,1'31.501,20.544,24.513,21.824,24.620,321.3,,,,,,,
lap,15,1'33.927,20.577,24.539,21.831,26.980,321.3,,,,,,,
lap,16,1'49.398,P,25.275,29.371,23.870,30.882,318.3,,,,,,
rider,4th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=17,laps=13,,
run,1,Slick-Medium,Slick-Medium,6,6,,,,,,,,,
lap,1,1'40.798,22.882,27.057,22.951,25.208,,,,,,,,
lap,2,1'32.543,20.885,24.913,21.964,24.781,311.1,,,,,,,
lap,3,1'31.762,20.671,24.672,21.839,24.580,312.5,,,,,,,
lap,4,1'31.460,20.597,24.519,21.732,24.612,312.5,,,,,,,
lap,5,1'31.288,20.475,24.534,21.735,24.544,312.5,,,,,,,
lap,6,1'31.421,20.530,24.532,21.801,24.558,312.5,,,,,,,
lap,7,1'40.077,P,20.525,24.534,24.470,30.548,313.9,,,,,,
run,2,Slick-Medium,Slick-Medium,13,13,,,,,,,,,
lap,8,5'07.085,24.368,25.753,22.104,24.896,,,,,,,,
lap,9,1'31.572,20.516,24.557,21.852,24.647,313.9,,,,,,,
lap,10,1'31.181,20.507,24.469,21.736,24.469,315.4,,,,,,,
lap,11,1'31.500,20.482,24.428,21.872,24.718,318.3,,,,,,,
lap,12,1'31.741,20.686,24.490,21.953,24.612,318.3,,,,,,,
lap,13,1'31.749,20.656,24.566,21.915,24.612,319.8,,,,,,,
lap,14,1'48.483,25.965*,32.783,24.259,25.476,318.3,,,,,,,
lap,15,1'31.327,20.472,24.508,21.759,24.588,315.4,,,,,,,
