0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,November 15,MotoGP,Circuit Ricardo Tormo,WUP,,,,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=13,laps=11,,
run,1,Slick-Medium,Slick-Medium,4,0,,,,,,,,,
lap,1,1'42.413,24.985,26.505,22.804,25.237,,,,,,,,
lap,2,1'32.863,21.349,24.871,22.004,24.639,312.5,,,,,,,
lap,3,1'32.186,20.892,24.745,21.960,24.589,315.4,,,,,,,
lap,4,1'31.348,20.497,24.533,21.726,24.592,315.4,,,,,,,
lap,5,1'31.401,20.597,24.530,21.748,24.526,316.8,,,,,,,
lap,6,1'31.057,20.469,24.385,21.714,24.489,316.8,,,,,,,
lap,7,1'31.235,20.520,24.430,21.715,24.570,315.4,,,,,,,
lap,8,1'31.241,20.477,24.409,21.866,24.489,313.9,,,,,,,
lap,9,1'31.210,20.520,24.448,21.729,24.513,315.4,,,,,,,
lap,10,1'53.605,24.963,30.424,27.439,30.779,315.4,,,,,,,
lap,11,1'34.081,21.438,25.803,22.172,24.668,315.4,,,,,,,
lap,12,1'31.226,20.518,24.345,21.823,24.540,316.8,,,,,,,
lap,13,1'38.692,25.379*,26.119,22.353,24.841,316.8,,,,,,,
rider,2nd,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=13,laps=12
run,1,Slick-Medium,Slick-Soft,8,3,,,,,,,,,
lap,1,2'03.479,22.420,26.419,22.926,25.027,,,,,,,,
lap,2,1'33.821,21.149,25.459,22.396,24.817,324.3,,,,,,,
lap,3,1'31.195,20.551,24.543,21.724,24.377,324.3,,,,,,,
lap,4,1'35.496,21.262,25.701,22.471,26.062,324.3,,,,,,,
lap,5,1'31.646,20.644,24.506,21.903,24.593,324.3,,,,,,,
lap,6,1'34.285,20.666,24.603,23.986,25.030,322.8,,,,,,,
lap,7,1'31.502,20.517,24.549,21.822,24.614,322.8,,,,,,,
lap,8,1'31.665,20.603,24.642,21.848,24.572,322.8,,,,,,,
lap,9,1'31.559,20.618,24.603,21.806,24.532,322.8,,,,,,,
lap,10,1'36.017,22.949,26.388,22.063,24.617,322.8,,,,,,,
lap,11,1'31.744,20.738,24.598,21.858,24.550,324.3,,,,,,,
lap,12,1'31.644,20.571,24.573,21.881,24.619,322.8,,,,,,,
lap,13,1'40.659,23.157,26.635,23.791,27.076,319.8,,,,,,,
rider,3rd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=13,laps=11,,
run,1,Slick-Medium,Slick-Soft,9,4,,,,,,,,,
lap,1,1'59.771,P,25.364,27.829,23.796,29.514,,,,,,,
run,2,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,2,2'10.670,25.498,26.901,23.145,25.515,,,,,,,,
lap,3,1'33.483,21.397,25.108,22.207,24.771,315.4,,,,,,,
lap,4,1'31.841,20.765,24.709,21.867,24.500,318.3,,,,,,,
lap,5,1'31.666,20.695,24.620,21.797,24.554,318.3,,,,,,,
lap,6,1'31.429,20.534,24.529,21.830,24.536,318.3,,,,,,,
lap,7,1'31.403,20.591,24.578,21.763,24.471,318.3,,,,,,,
lap,8,1'31.402,20.534,24.525,21.791,24.552,318.3,,,,,,,
