0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,November 21,MotoGP,Autódromo Internacional do Algarve,FP4,,,,,,,,,
rider,1st,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=14,laps=10
run,1,Slick-Hard,Slick-Hard,9,0,,,,,,,,,
lap,1,2'11.303,22.030,34.555,16.118,33.576,,,,,,,,
lap,2,1'42.651,21.466,32.683,15.777,32.725,335.4,,,,,,,
lap,3,1'45.896,21.549*,32.154,15.381,36.812,334.3,,,,,,,
lap,4,1'40.464,21.184,31.983,15.332,31.965,335.4,,,,,,,
lap,5,1'40.540,20.951,32.003,15.383,32.203,334.3,,,,,,,
lap,6,2'31.939,P,20.932,1'19.062,17.015,34.930,334.3,,,,,,
run,2,Slick-Hard,Slick-Hard,15,6,,,,,,,,,
lap,7,8'03.458,21.252,33.371,15.799,32.803,,,,,,,,
lap,8,1'42.333,21.186,32.171,15.408,33.568,333.3,,,,,,,
lap,9,1'47.601,22.679,35.478,15.798,33.646,334.3,,,,,,,
lap,10,1'45.286,20.959,32.115,15.363,36.849,331.2,,,,,,,
lap,11,1'43.940,21.036,34.956,15.558,32.390,335.4,,,,,,,
lap,12,1'40.313,20.941,31.988,15.362,32.022,336.4,,,,,,,
lap,13,1'40.521,20.950,32.076,15.408,32.087,334.3,,,,,,,
lap,14,1'40.150,20.965,31.944,15.329,31.912,334.3,,,,,,,
rider,2nd,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=14,laps=10
run,1,Slick-Hard,Slick-Hard,0,0,,,,,,,,,
lap,1,2'14.448,22.547,34.791,15.993,32.806,,,,,,,,
lap,2,1'43.147,21.187,33.675,15.751,32.534,334.3,,,,,,,
lap,3,1'40.788,21.064,32.371,15.288,32.065,334.3,,,,,,,
lap,4,1'45.866,23.745,34.414,15.574,32.133,337.5,,,,,,,
lap,5,1'40.224,20.962,31.924,15.294,32.044,337.5,,,,,,,
lap,6,1'43.427,23.126*,32.731*,15.371,32.199,337.5,,,,,,,
lap,7,1'40.184,20.862,31.984,15.244,32.094,338.5,,,,,,,
lap,8,1'45.756,P,21.717,32.695,15.741,35.603,336.4,,,,,,
run,2,Slick-Hard,Slick-Hard,8,8,,,,,,,,,
lap,9,7'09.304,29.386,33.856,16.475,32.973,,,,,,,,
lap,10,1'46.328,20.902,32.240,15.344,37.842,335.4,,,,,,,
lap,11,1'41.319,20.972,32.481,15.453,32.413,332.3,,,,,,,
lap,12,1'42.959,22.626,32.768,15.456,32.109,331.2,,,,,,,
