0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,November 21,MotoGP,Autódromo Internacional do Algarve,Q1,,,,,,,,,
rider,1st,35,Cal,CRUTCHLOW,HONDA,GBR,LCR,Honda,CASTROL,Total,laps=8,laps=5,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'04.144,23.028,37.237,16.336,37.912,,,,,,,,
lap,2,1'51.514,27.529,33.271,15.501,35.213,335.4,,,,,,,
lap,3,1'39.929,21.044,32.015,15.154,31.716,336.4,,,,,,,
lap,4,1'46.805,P,21.528,33.052,16.057,36.168,334.3,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,3'04.290,20.397,32.613,15.657,32.164,,,,,,,,
lap,6,1'39.250,20.807,31.712,15.019,31.712,340.6,,,,,,,
lap,7,1'45.230,24.423,32.933,15.533,32.341,339.6,,,,,,,
lap,8,1'41.124,21.085,32.401,15.505,32.133,335.4,,,,,,,
rider,2nd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=7,laps=2,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'46.402,21.029,33.165,16.324,32.734,,,,,,,,
lap,2,1'40.292,21.021,31.908,15.254,32.109,329.2,,,,,,,
lap,3,1'39.603,20.886,31.692,15.248,31.777*,328.2,,,,,,,
lap,4,1'49.675,P,23.956,32.970,16.232,36.517,327.2,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,3'29.070,20.688,33.097,15.766,32.065,,,,,,,,
lap,6,1'39.276,20.712,31.592,15.199,31.773,331.2,,,,,,,
lap,7,1'45.740,P,21.006,31.787,15.400,37.547,334.3,,,,,,
rider,3rd,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=8,laps=5
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'06.224,20.630,33.731,16.135,37.364,,,,,,,,
lap,2,1'40.478,21.107,31.869,15.322,32.180,336.4,,,,,,,
lap,3,1'39.800,20.984,31.590,15.141,32.085,331.2,,,,,,,
lap,4,1'51.061,P,26.206,33.147,15.591,36.117,332.3,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'17.918,20.811,33.171,15.800,32.328,,,,,,,,
lap,6,1'44.998,20.864,31.795,15.373,36.966,335.4,,,,,,,
lap,7,1'39.488,20.889,31.656,15.156,31.787,333.3,,,,,,,
lap,8,1'39.390,20.837,31.628,15.033,31.892,332.3,,,,,,,
rider,4th,41,Aleix,ESPARGARO,APRILIA,SPA,Aprilia,Racing,Team,Gresini,Total,laps=8,laps=4,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,1'46.882,20.684,33.143,16.570,32.746,,,,,,,,
lap,2,1'40.525,20.900,31.995,15.447,32.183,336.4,,,,,,,
lap,3,1'39.762,20.912,31.903,15.233,31.714,335.4,,,,,,,
lap,4,1'51.295,P,24.367,34.512,16.314,36.102,335.4,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'15.602,21.370,34.868,18.258,43.230,,,,,,,,
lap,6,1'50.791,21.736,34.111,16.623,38.321,335.4,,,,,,,
lap,7,1'40.535,20.899,31.776,15.181,32.679,339.6,,,,,,,
lap,8,1'44.462,20.960,35.025*,15.478,32.999,326.2,,,,,,,
