0,1,2,3,4,5,6,7,8,9,10,11
const,2020,November 22,MotoGP,Autódromo Internacional do Algarve,RACE,,,,,,
rider,1st,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3
run,1,Slick-Hard,Slick-Hard,0,0,,,,,,
lap,1,1'43.072,23.107,32.454,15.453,32.058,,,,,
lap,2,1'40.091,20.921,31.977,15.328,31.865,333.3,,,,
lap,3,1'39.912,20.898,31.950,15.232,31.832,333.3,,,,
lap,4,1'39.879,20.811,31.968,15.245,31.855,333.3,,,,
lap,5,1'40.221,20.925,31.950,15.330,32.016,333.3,,,,
lap,6,1'39.919,20.852,31.971,15.215,31.881,333.3,,,,
lap,7,1'40.119,20.976,31.927,15.233,31.983,331.2,,,,
lap,8,1'39.985,20.922,31.832,15.229,32.002,332.3,,,,
lap,9,1'39.855,20.882,31.802,15.215,31.956,333.3,,,,
lap,10,1'40.216,20.870,31.997,15.226,32.123,333.3,,,,
lap,11,1'40.109,20.988,31.806,15.293,32.022,331.2,,,,
lap,12,1'40.391,20.989,32.137,15.287,31.978,332.3,,,,
lap,13,1'40.162,20.937,32.060,15.233,31.932,332.3,,,,
lap,14,1'40.036,20.897,31.910,15.249,31.980,332.3,,,,
lap,15,1'40.030,20.932,31.947,15.251,31.900,334.3,,,,
lap,16,1'40.057,20.914,31.916,15.241,31.986,334.3,,,,
lap,17,1'40.253,20.878,31.982,15.275,32.118,334.3,,,,
lap,18,1'40.275,20.970,31.961,15.253,32.091,333.3,,,,
lap,19,1'40.330,21.073,32.000,15.195,32.062,333.3,,,,
lap,20,1'40.264,20.955,32.027,15.271,32.011,334.3,,,,
lap,21,1'40.140,20.858,31.958,15.294,32.030,333.3,,,,
lap,22,1'40.479,21.027,32.116,15.282,32.054,334.3,,,,
lap,23,1'40.498,21.018,31.881,15.420,32.179,334.3,,,,
lap,24,1'40.706,20.994,32.156,15.357,32.199,333.3,,,,
lap,25,1'41.164,21.028,32.155,15.395,32.586,335.4,,,,
rider,2nd,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'44.262,23.603,32.769,15.568,32.322,71.6,,,,
lap,2,1'40.782,21.135,32.063,15.330,32.254,343.9,,,,
lap,3,1'40.563,20.957,31.968,15.373,32.265,345.0,,,,
lap,4,1'40.477,20.938,31.993,15.289,32.257,343.9,,,,
lap,5,1'40.368,20.917,31.998,15.325,32.128,345.0,,,,
lap,6,1'40.284,20.923,31.871,15.350,32.140,342.8,,,,
lap,7,1'40.402,20.929,31.949,15.357,32.167,341.7,,,,
lap,8,1'40.346,20.933,31.928,15.319,32.166,342.8,,,,
lap,9,1'40.112,20.888,31.887,15.314,32.023,343.9,,,,
lap,10,1'40.047,20.896,31.888,15.270,31.993,346.1,,,,
lap,11,1'40.108,20.921,31.885,15.279,32.023,346.1,,,,
lap,12,1'40.198,20.819,32.020,15.321,32.038,345.0,,,,
lap,13,1'40.303,20.939,32.019,15.307,32.038,345.0,,,,
lap,14,1'40.255,20.872,31.983,15.335,32.065,343.9,,,,
lap,15,1'40.155,20.927,31.875,15.290,32.063,345.0,,,,
lap,16,1'39.956,20.903,31.855,15.193,32.005,345.0,,,,
lap,17,1'40.198,20.896,31.920,15.355,32.027,342.8,,,,
lap,18,1'40.705,21.030,32.002,15.349,32.324,345.0,,,,
lap,19,1'40.061,20.834,31.899,15.307,32.021,346.1,,,,
lap,20,1'40.371,20.958,31.889,15.365,32.159,343.9,,,,
lap,21,1'40.240,20.884,31.952,15.407,31.997,346.1,,,,
lap,22,1'40.321,20.987,31.994,15.312,32.028,349.5,,,,
lap,23,1'40.150,20.879,31.919,15.336,32.016,345.0,,,,
lap,24,1'40.359,20.884,31.945,15.253,32.277,347.2,,,,
lap,25,1'40.333,20.772,31.850,15.419,32.292,349.5,,,,
rider,3rd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'43.713,23.393,32.776,15.518,32.026,,,,,
lap,2,1'40.799,21.243*,32.139,15.378,32.039,334.3,,,,
lap,3,1'40.473,21.110,31.985,15.408,31.970,332.3,,,,
lap,4,1'40.400,21.044,31.898,15.377,32.081,331.2,,,,
lap,5,1'40.414,20.983,31.910,15.487,32.034,331.2,,,,
lap,6,1'40.274,21.011,31.919,15.358,31.986,330.2,,,,
lap,7,1'40.392,21.056,31.937,15.402,31.997,329.2,,,,
lap,8,1'40.128,21.009,31.839,15.286,31.994,330.2,,,,
lap,9,1'40.272,21.018,31.960,15.320,31.974,331.2,,,,
lap,10,1'40.167,21.014,31.922,15.332,31.899,331.2,,,,
lap,11,1'40.137,21.015,31.823,15.363,31.936,331.2,,,,
lap,12,1'40.259,20.949,32.026,15.355,31.929,331.2,,,,
lap,13,1'40.125,21.032,31.864,15.349,31.880,331.2,,,,
lap,14,1'40.367,21.044,31.958,15.355,32.010,330.2,,,,
lap,15,1'40.191,21.026,31.902,15.318,31.945,331.2,,,,
lap,16,1'40.007,21.007,31.796,15.276,31.928,331.2,,,,
lap,17,1'40.409,21.022,31.938,15.356,32.093,331.2,,,,
lap,18,1'40.360,21.034,31.957,15.446,31.923,330.2,,,,
lap,19,1'40.235,20.992,32.006,15.288,31.949,331.2,,,,
lap,20,1'40.422,20.977,31.898,15.468,32.079,331.2,,,,
lap,21,1'40.369,21.052,32.010,15.330,31.977,331.2,,,,
lap,22,1'40.116,20.986,31.883,15.318,31.929,331.2,,,,
lap,23,1'40.328,21.053,31.964,15.307,32.004,331.2,,,,
lap,24,1'40.208,20.941,31.863,15.405,31.999,332.3,,,,
lap,25,1'40.896,20.958,31.934,15.507,32.497,333.3,,,,
rider,4th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Hard,Slick-Hard,0,0,,,,,,
lap,1,1'44.987,24.254,32.835,15.671,32.227,101.4,,,,
lap,2,1'40.809,21.183,32.054,15.436,32.136,339.6,,,,
lap,3,1'41.122,21.764,31.966,15.324,32.068,339.6,,,,
lap,4,1'40.501,21.265,31.970,15.308,31.958,337.5,,,,
lap,5,1'40.911,21.337,32.188,15.362,32.024,336.4,,,,
lap,6,1'40.520,21.133,31.966,15.405,32.016,335.4,,,,
lap,7,1'40.696,21.085,32.128,15.418,32.065,338.5,,,,
lap,8,1'40.547,21.120,31.958,15.348,32.121,335.4,,,,
lap,9,1'40.615,21.401,31.963,15.320,31.931,333.3,,,,
lap,10,1'40.454,21.029,32.009,15.260,32.156,334.3,,,,
lap,11,1'40.318,20.952,31.982,15.334,32.050,335.4,,,,
lap,12,1'41.682,20.971,32.774,15.562,32.375,334.3,,,,
lap,13,1'40.572,21.027,32.055,15.330,32.160,334.3,,,,
lap,14,1'40.752,21.056,32.149,15.455,32.092,334.3,,,,
lap,15,1'40.452,20.903,32.070,15.367,32.112,334.3,,,,
lap,16,1'40.274,20.925,31.984,15.358,32.007,335.4,,,,
lap,17,1'40.312,20.929,32.052,15.367,31.964,334.3,,,,
lap,18,1'40.256,20.952,31.977,15.334,31.993,334.3,,,,
lap,19,1'40.643,20.994,32.181,15.430,32.038,334.3,,,,
lap,20,1'40.823,21.090,32.236,15.431,32.066,334.3,,,,
lap,21,1'40.698,20.990,32.193,15.445,32.070,333.3,,,,
lap,22,1'41.170,21.108,32.287,15.430,32.345,334.3,,,,
lap,23,1'40.815,20.947,32.264,15.422,32.182,333.3,,,,
lap,24,1'40.568,20.996,32.099,15.422,32.051,333.3,,,,
lap,25,1'40.292,20.930,32.081,15.337,31.944,334.3,,,,
rider,5th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'46.137,24.633,33.169,16.101,32.234,106.6,,,,
lap,2,1'41.598,21.705,32.465,15.422,32.006,342.8,,,,
lap,3,1'40.913,21.268,32.160,15.364,32.121,339.6,,,,
lap,4,1'40.959,21.373,32.215,15.343,32.028,337.5,,,,
lap,5,1'40.762,21.182,32.255,15.376,31.949,342.8,,,,
lap,6,1'40.359,21.105,32.062,15.299,31.893,338.5,,,,
lap,7,1'40.685,21.201,32.176,15.372,31.936,341.7,,,,
lap,8,1'40.574,21.218,32.133,15.317,31.906,345.0,,,,
lap,9,1'40.731,21.156,32.153,15.336,32.086,342.8,,,,
lap,10,1'40.986,21.125,32.586,15.320,31.955,340.6,,,,
lap,11,1'40.333,21.035,31.990,15.315,31.993,336.4,,,,
lap,12,1'40.427,21.013,32.046,15.404,31.964,337.5,,,,
lap,13,1'40.644,21.103,32.278,15.350,31.913,340.6,,,,
lap,14,1'41.202,21.645*,32.226,15.386,31.945,341.7,,,,
lap,15,1'40.756,21.291,32.127,15.350,31.988,343.9,,,,
lap,16,1'40.413,21.144,32.039,15.316,31.914,339.6,,,,
lap,17,1'40.361,21.186*,32.070,15.259,31.846,340.6,,,,
lap,18,1'40.435,21.098,32.047,15.385,31.905,338.5,,,,
lap,19,1'40.573,21.123,32.167,15.412,31.871,338.5,,,,
lap,20,1'40.833,21.404,32.128,15.396,31.905,338.5,,,,
lap,21,1'41.147,21.474,32.229,15.440,32.004,337.5,,,,
lap,22,1'40.293,20.941,32.159,15.291,31.902,334.3,,,,
lap,23,1'40.015,20.818,32.084,15.308,31.805,335.4,,,,
lap,24,1'40.133,20.924,31.992,15.344,31.873,335.4,,,,
lap,25,1'40.212,20.858,32.066,15.380,31.908,337.5,,,,
rider,6th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'46.492,24.798,33.282,15.922,32.490,112.1,,,,
lap,2,1'41.745,21.703,32.450,15.556,32.036,351.7,,,,
lap,3,1'40.854,21.213,32.216,15.458,31.967,346.1,,,,
lap,4,1'40.916,21.183,32.288,15.313,32.132,346.1,,,,
lap,5,1'40.719,21.188,32.212,15.352,31.967,349.5,,,,
lap,6,1'40.703,21.148,32.157,15.307,32.091,346.1,,,,
lap,7,1'41.094,21.359,32.410,15.322,32.003,343.9,,,,
lap,8,1'40.575,21.131,32.035,15.345,32.064,346.1,,,,
lap,9,1'40.331,21.035,31.983,15.347,31.966,345.0,,,,
lap,10,1'40.886,21.168,32.274,15.431,32.013,345.0,,,,
lap,11,1'40.431,21.138,32.018,15.289,31.986,346.1,,,,
lap,12,1'40.357,20.976,32.001,15.302,32.078,346.1,,,,
lap,13,1'40.527,21.162,32.063,15.287,32.015,341.7,,,,
lap,14,1'40.761,21.352,32.179,15.365,31.865,342.8,,,,
lap,15,1'40.551,21.079,32.089,15.340,32.043,345.0,,,,
lap,16,1'40.355,21.111,31.960,15.321,31.963,342.8,,,,
lap,17,1'40.324,20.977,32.005,15.296,32.046,345.0,,,,
lap,18,1'40.446,21.114,32.027,15.356,31.949,342.8,,,,
lap,19,1'40.579,21.062,32.066,15.399,32.052,341.7,,,,
lap,20,1'40.833,21.236,32.070,15.427,32.100,349.5,,,,
lap,21,1'41.592,21.339,32.315,15.552,32.386,341.7,,,,
lap,22,1'40.507,21.122,32.078,15.311,31.996,343.9,,,,
lap,23,1'40.453,20.968,32.052,15.332,32.101,343.9,,,,
lap,24,1'40.702,20.970,32.063,15.521,32.148,346.1,,,,
lap,25,1'41.008,21.072,32.239,15.468,32.229,342.8,,,,
rider,7th,6,Stefan,BRADL,HONDA,GER,Repsol,Honda,Team,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'45.454,24.006,33.203,15.838,32.407,88.0,,,,
lap,2,1'40.553,21.124,32.094,15.341,31.994,348.3,,,,
lap,3,1'40.386,21.130,32.056,15.264,31.936,342.8,,,,
lap,4,1'40.789,21.248,32.216,15.328,31.997,343.9,,,,
lap,5,1'41.333,21.377,32.449,15.440,32.067,343.9,,,,
lap,6,1'40.453,21.172,32.036,15.293,31.952,340.6,,,,
lap,7,1'40.872,21.163,32.177,15.472,32.060,342.8,,,,
lap,8,1'40.569,21.238,32.032,15.240,32.059,346.1,,,,
lap,9,1'40.856,21.425,32.115,15.302,32.014,340.6,,,,
lap,10,1'40.477,21.157,32.070,15.279,31.971,339.6,,,,
lap,11,1'40.412,21.163,32.031,15.266,31.952,341.7,,,,
lap,12,1'41.358,21.014,32.191,15.649,32.504,342.8,,,,
lap,13,1'40.674,21.146,32.038,15.251,32.239,346.1,,,,
lap,14,1'41.259,21.632,32.113,15.343,32.171,340.6,,,,
lap,15,1'40.261,21.035,31.976,15.254,31.996,341.7,,,,
lap,16,1'40.423,21.075,32.061,15.305,31.982,341.7,,,,
lap,17,1'40.553,21.163,32.042,15.279,32.069,343.9,,,,
lap,18,1'40.990,21.482,32.077,15.438,31.993,341.7,,,,
lap,19,1'40.767,21.232,32.112,15.338,32.085,343.9,,,,
lap,20,1'41.172,21.696,32.094,15.346,32.036,341.7,,,,
lap,21,1'41.547,21.744,32.222,15.414,32.167,345.0,,,,
lap,22,1'40.626,21.235,32.205,15.288,31.898,348.3,,,,
lap,23,1'40.309,21.088,31.991,15.296,31.934,342.8,,,,
lap,24,1'40.683,21.087,32.173,15.425,31.998,343.9,,,,
lap,25,1'41.125,21.215,32.557,15.396,31.957,340.6,,,,
rider,8th,41,Aleix,ESPARGARO,APRILIA,SPA,Aprilia,Racing,Team,Gresini,
run,1,Slick-Hard,Slick-Hard,0,0,,,,,,
lap,1,1'46.671,24.920,33.480,15.789,32.482,117.9,,,,
lap,2,1'41.725,21.819,32.388,15.546,31.972,346.1,,,,
lap,3,1'40.872,21.227,32.329,15.390,31.926,345.0,,,,
lap,4,1'41.079,21.273,32.237,15.354,32.215,345.0,,,,
lap,5,1'41.128,21.449,32.277,15.440,31.962,342.8,,,,
lap,6,1'41.021,21.310,32.191,15.465,32.055,345.0,,,,
lap,7,1'40.554,21.097,32.188,15.359,31.910,341.7,,,,
lap,8,1'40.379,21.042,31.996,15.469,31.872,342.8,,,,
lap,9,1'40.308,21.126,31.992,15.370,31.820,342.8,,,,
lap,10,1'40.661,21.160,32.194,15.405,31.902,343.9,,,,
lap,11,1'41.333,21.618,32.177,15.327,32.211,341.7,,,,
lap,12,1'41.007,21.279,32.221,15.314,32.193,347.2,,,,
lap,13,1'40.409,21.197,32.082,15.309,31.821,340.6,,,,
lap,14,1'40.378,21.092,32.076,15.398,31.812,342.8,,,,
lap,15,1'40.710,21.388,32.110,15.316,31.896,346.1,,,,
lap,16,1'41.090,21.416,32.058,15.460,32.156,342.8,,,,
lap,17,1'40.476,20.955,32.210,15.327,31.984,340.6,,,,
lap,18,1'40.083,20.963,31.954,15.296,31.870,339.6,,,,
lap,19,1'40.314,20.993,31.999,15.374,31.948,341.7,,,,
lap,20,1'40.447,21.196,31.923,15.311,32.017,341.7,,,,
lap,21,1'41.146,21.170,32.561,15.434,31.981,341.7,,,,
lap,22,1'40.835,21.209,32.341,15.311,31.974,343.9,,,,
lap,23,1'40.478,21.176,32.096,15.346,31.860,345.0,,,,
lap,24,1'40.040,20.871,31.989,15.309,31.871,342.8,,,,
lap,25,1'41.053,21.053,32.201,15.337,32.462,345.0,,,,
rider,9th,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,,
run,1,Slick-Medium,Slick-Hard,0,0,,,,,,
lap,1,1'47.069,25.547,33.318,15.692,32.512,126.1,,,,
lap,2,1'41.803,21.848,32.295,15.524,32.136,347.2,,,,
lap,3,1'40.580,21.046,32.188,15.395,31.951,345.0,,,,
lap,4,1'40.675,21.242,32.165,15.400,31.868,343.9,,,,
lap,5,1'41.078,21.324,32.160,15.299,32.295,343.9,,,,
lap,6,1'40.283,21.024,32.094,15.245,31.920,341.7,,,,
lap,7,1'40.497,21.167,32.120,15.305,31.905,342.8,,,,
lap,8,1'40.592,21.064,32.121,15.352,32.055,343.9,,,,
lap,9,1'40.471,21.015,32.093,15.360,32.003,342.8,,,,
lap,10,1'41.166,21.191,32.421,15.516,32.038,342.8,,,,
lap,11,1'41.369,21.599,32.039,15.410,32.321,342.8,,,,
lap,12,1'40.702,21.072,32.149,15.359,32.122,342.8,,,,
lap,13,1'40.546,21.050,32.132,15.406,31.958,342.8,,,,
lap,14,1'40.638,21.000,32.276,15.347,32.015,340.6,,,,
lap,15,1'40.698,21.223,32.127,15.409,31.939,345.0,,,,
lap,16,1'41.426,21.657,32.090,15.395,32.284,339.6,,,,
lap,17,1'40.856,21.032,32.208,15.561,32.055,341.7,,,,
