0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,July 24,MotoGP,Circuito de Jerez,FP1,,,,,,,,,
rider,1st,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=21,laps=15,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,,,,
lap,1,2'50.681,30.149,15.352,31.266,31.144,276.9,,,,,,,
lap,2,1'40.762,25.203,14.472,30.669,30.418,284.2,,,,,,,
lap,3,1'38.823,24.701,14.451,29.659,30.012,281.9,,,,,,,
lap,4,1'38.471,24.525,14.607,29.499,29.840,282.7,,,,,,,
lap,5,1'38.212,24.485,14.537,29.368,29.822,281.9,,,,,,,
lap,6,1'38.103,24.462,14.440,29.351,29.850,281.2,,,,,,,
lap,7,1'37.979,24.397,14.459,29.315,29.808,284.2,,,,,,,
lap,8,1'35.500,P,24.377,14.454,29.325,27.344,281.9,,,,,,
run,2,Slick-Soft,Slick-Medium,8,8,,,,,,,,,
lap,9,1'43.667,29.418,14.576,29.580,30.093,283.4,,,,,,,
lap,10,1'37.935,24.464,14.379,29.349*,29.743,283.4,,,,,,,
lap,11,1'37.903,24.469,14.401,29.206,29.827,281.9,,,,,,,
lap,12,1'37.892,24.424,14.428,29.262,29.778,282.7,,,,,,,
lap,13,1'42.646,24.401,14.396,33.059,30.790,284.2,,,,,,,
lap,14,1'38.045,24.463,14.463,29.298,29.821,283.4,,,,,,,
lap,15,1'37.976,24.410,14.444,29.209,29.913,282.7,,,,,,,
lap,16,1'38.009,24.423,14.436,29.271,29.879,282.7,,,,,,,
lap,17,1'38.027,24.404,14.469,29.215,29.939,281.9,,,,,,,
lap,18,1'37.276,P,25.623,14.671,30.207,26.775,281.9,,,,,,
run,3,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,19,1'42.739,28.701,14.576,29.561,29.901,283.4,,,,,,,
lap,20,1'37.247,24.223,14.331,29.099,29.594,281.2,,,,,,,
lap,21,1'37.063,24.163,14.339,28.962,29.599,282.7,,,,,,,
rider,2nd,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,Total,laps=20,laps=15,
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,,,,
lap,1,2'10.830,29.799,15.138,32.779,31.850,267.3,,,,,,,
lap,2,1'43.407,26.070,14.893,30.905,31.539,276.2,,,,,,,
lap,3,1'40.129,24.971,14.539,30.334,30.285,282.7,,,,,,,
lap,4,1'39.022,24.920,14.461,29.527,30.114,279.7,,,,,,,
lap,5,1'38.439,24.655,14.433,29.378,29.973,280.5,,,,,,,
lap,6,1'38.458,24.587,14.419,29.437,30.015,280.5,,,,,,,
lap,7,1'38.353,24.606,14.446,29.313,29.988,280.5,,,,,,,
lap,8,1'38.232,24.553,14.402,29.357,29.920,280.5,,,,,,,
lap,9,1'38.212,24.520,14.431,29.365,29.896,281.2,,,,,,,
lap,10,1'40.561,P,27.835,15.229,30.877,26.620,267.3,,,,,,
run,2,Slick-Hard,Slick-Medium,10,10,,,,,,,,,
lap,11,1'44.040,29.408,14.620,29.863,30.149,281.9,,,,,,,
lap,12,1'38.274,24.552,14.352,29.454,29.916,283.4,,,,,,,
lap,13,1'38.258,24.520,14.378,29.421,29.939,284.2,,,,,,,
lap,14,1'38.231,24.584,14.399,29.397,29.851,281.9,,,,,,,
lap,15,1'38.238,24.549,14.392,29.330,29.967,281.9,,,,,,,
lap,16,1'42.116,P,28.209,15.838,31.169,26.900,237.3,,,,,,
run,3,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,17,1'44.034,29.348,14.675,29.753,30.258,279.7,,,,,,,
lap,18,1'37.205,24.319,14.213,29.082,29.591,284.2,,,,,,,
lap,19,1'44.331,24.302,14.137,29.216,36.676,285.7,,,,,,,
lap,20,1'37.232,24.329,14.254,29.066,29.583,283.4,,,,,,,
rider,3rd,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=19,laps=14
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,,,,
lap,1,2'19.001,34.119,15.651,31.985,31.600,267.9,,,,,,,
lap,2,1'40.718,25.550,14.627,30.162,30.379,285.7,,,,,,,
lap,3,1'38.855,24.774,14.436,29.534,30.111,286.4,,,,,,,
lap,4,1'38.154,24.493,14.326,29.287,30.048,285.7,,,,,,,
lap,5,1'38.973,24.627,14.330,29.960,30.056,288.7,,,,,,,
lap,6,1'38.736,24.501,14.358,29.529,30.348,285.7,,,,,,,
lap,7,1'41.617,P,29.438,14.495,29.931,27.753,288.7,,,,,,
run,2,Slick-Soft,Slick-Medium,7,7,,,,,,,,,
lap,8,1'53.961,33.656,15.133,34.075,31.097,282.7,,,,,,,
lap,9,1'39.600,24.711,14.523,30.096,30.270,284.2,,,,,,,
lap,10,1'38.178,24.555,14.370,29.337,29.916,284.2,,,,,,,
lap,11,1'43.696,24.459,14.334,34.392,30.511,287.2,,,,,,,
lap,12,1'38.228,24.460,14.395,29.334,30.039,284.2,,,,,,,
lap,13,1'39.924,P,27.835,14.576,30.007,27.506,276.9,,,,,,
run,3,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,14,1'50.756,33.895,15.106,30.900,30.855,281.9,,,,,,,
lap,15,1'37.975,24.444,14.313,29.306,29.912,284.9,,,,,,,
lap,16,1'37.607,24.336,14.267,29.124,29.880,286.4,,,,,,,
lap,17,1'37.370,24.291,14.286,29.018,29.775,285.7,,,,,,,
lap,18,1'37.706,24.315,14.310,29.225,29.856,284.2,,,,,,,
