0,1,2,3,4,5,6,7,8,9,10,11
const,2020,July 26,MotoGP,Circuito de Jerez,RACE,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,,
run,1,Slick-Hard,Slick-Soft,0,3,,,,,,
lap,1,1'44.999,30.574,14.605,29.616,30.204,282.7,,,,
lap,2,1'38.280,24.512,14.485,29.330,29.953,281.9,,,,
lap,3,1'38.119,24.534,14.425,29.242,29.918,283.4,,,,
lap,4,1'38.349,24.578,14.457,29.346,29.968,282.7,,,,
lap,5,1'38.432,24.567,14.495,29.335,30.035,282.7,,,,
lap,6,1'38.793,24.662,14.491,29.423,30.217,282.7,,,,
lap,7,1'38.756,24.696,14.524,29.471,30.065,283.4,,,,
lap,8,1'38.683,24.620,14.502,29.445,30.116,281.2,,,,
lap,9,1'38.816,24.702,14.522,29.476,30.116,281.2,,,,
lap,10,1'38.914,24.684,14.543,29.486,30.201,280.5,,,,
lap,11,1'39.054,24.687,14.526,29.625,30.216,281.2,,,,
lap,12,1'39.218,24.634,14.552,29.861,30.171,281.9,,,,
lap,13,1'38.926,24.650,14.530,29.570,30.176,282.7,,,,
lap,14,1'38.981,24.699,14.571,29.544,30.167,280.5,,,,
lap,15,1'38.948,24.655,14.570,29.571,30.152,281.2,,,,
lap,16,1'38.972,24.675,14.525,29.542,30.230,282.7,,,,
lap,17,1'39.142,24.765,14.545,29.607,30.225,281.9,,,,
lap,18,1'38.841,24.634,14.574,29.490,30.143,282.7,,,,
lap,19,1'39.020,24.746,14.526,29.564,30.184,281.9,,,,
lap,20,1'39.403,24.821,14.611,29.668,30.303,280.5,,,,
lap,21,1'39.447,24.805,14.633,29.687,30.322,280.5,,,,
lap,22,1'39.579,24.851,14.633,29.745,30.350,279.7,,,,
lap,23,1'39.482,24.805,14.626,29.693,30.358,281.2,,,,
lap,24,1'39.902,24.915,14.661,29.864,30.462,281.2,,,,
lap,25,1'41.610,24.937,14.653,30.034,31.986,281.9,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,
run,1,Slick-Hard,Slick-Soft,0,3,,,,,,
lap,1,1'45.489,30.678,14.528,29.766,30.517,285.7,,,,
lap,2,1'38.752,24.759,14.391,29.669,29.933,286.4,,,,
lap,3,1'38.759,24.613,14.371,29.784,29.991,287.2,,,,
lap,4,1'39.034,24.790,14.398,29.823,30.023,288.0,,,,
lap,5,1'39.165,25.026,14.446,29.652,30.041,284.9,,,,
lap,6,1'39.048,24.837,14.423,29.708,30.080,285.7,,,,
lap,7,1'39.203,24.858,14.497,29.796,30.052,285.7,,,,
lap,8,1'39.213,24.737,14.538,29.832,30.106,283.4,,,,
lap,9,1'39.043,24.788,14.529,29.768,29.958,282.7,,,,
lap,10,1'39.447,24.827,14.514,29.992,30.114,283.4,,,,
