0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,July 26,MotoGP,Circuito de Jerez,WUP,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=11,laps=8,,
run,1,Slick-Hard,Slick-Soft,13,0,,,,,,,,,
lap,1,2'47.495,32.848,16.099,32.800,32.990,268.6,,,,,,,
lap,2,1'44.183,26.383,15.267,30.939,31.594,276.9,,,,,,,
lap,3,1'48.941,P,29.139,16.433,33.304,30.065,274.8,,,,,,
run,2,Slick-Hard,Slick-Soft,8,4,,,,,,,,,
lap,4,1'44.208,28.438,15.222,30.123,30.425,280.5,,,,,,,
lap,5,1'43.603,24.693,14.511,33.579,30.820,284.9,,,,,,,
lap,6,1'38.086,24.481,14.434,29.245,29.926,284.9,,,,,,,
lap,7,1'38.035,24.406,14.375,29.312,29.942,285.7,,,,,,,
lap,8,1'37.888,24.336,14.351,29.266,29.935,284.9,,,,,,,
lap,9,1'37.930,24.513,14.348,29.178,29.891,284.2,,,,,,,
lap,10,1'37.896,24.426,14.420,29.190,29.860,282.7,,,,,,,
lap,11,1'37.710,24.394,14.382,29.080,29.854,284.2,,,,,,,
rider,2nd,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=12,laps=11,,,
run,1,Slick-Hard,Slick-Soft,8,4,,,,,,,,,
lap,1,2'27.452,41.804,15.693,31.934,31.481,269.3,,,,,,,
lap,2,1'40.170,25.217,14.555,30.032,30.366,291.1,,,,,,,
lap,3,1'38.723,24.745,14.394,29.562,30.022,291.8,,,,,,,
lap,4,1'41.124,24.559,14.445,29.749,32.371,288.7,,,,,,,
lap,5,1'40.232,25.570,14.548,29.883,30.231,288.7,,,,,,,
lap,6,1'38.912,24.655,14.422,29.757,30.078,291.1,,,,,,,
lap,7,1'38.187,24.575,14.344,29.372,29.896,290.3,,,,,,,
lap,8,1'38.450,24.583,14.409,29.513,29.945,288.0,,,,,,,
lap,9,1'39.612,24.724,14.515,30.107,30.266,288.0,,,,,,,
lap,10,1'38.260,24.590,14.344,29.386,29.940,290.3,,,,,,,
lap,11,1'37.824,24.451,14.324,29.325,29.724,291.1,,,,,,,
lap,12,1'38.587,24.628,14.290,29.709,29.960,291.1,,,,,,,
rider,3rd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=12,laps=9,
run,1,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,1,1'54.171,30.541,15.826,31.474,32.481,254.7,,,,,,,
lap,2,1'43.557,25.773,15.386,31.229,31.169,262.1,,,,,,,
lap,3,1'40.070,P,27.301,15.259,30.810,26.700,270.6,,,,,,
run,2,Slick-Hard,Slick-Soft,3,3,,,,,,,,,
lap,4,1'44.903,29.846,14.821,29.956,30.280,277.6,,,,,,,
lap,5,1'40.955,24.549,14.494,31.932,29.980,278.3,,,,,,,
lap,6,1'38.821,24.454,14.334,30.230,29.803,284.9,,,,,,,
lap,7,1'37.880,24.374,14.310,29.312,29.884,284.9,,,,,,,
lap,8,1'38.546,24.479,14.447,29.493,30.127,286.4,,,,,,,
lap,9,1'41.111,27.255,14.500,29.479,29.877,283.4,,,,,,,
lap,10,1'38.210,24.471,14.371,29.222,30.146,284.2,,,,,,,
lap,11,1'38.090,24.530,14.383,29.324,29.853,283.4,,,,,,,
lap,12,1'37.848,24.404,14.360,29.230,29.854,284.2,,,,,,,
rider,4th,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,Total,laps=12,laps=9,,,
run,1,Slick-Soft,Slick-Soft,9,4,,,,,,,,,
lap,1,2'28.642,30.434,15.853,31.554,31.003,281.2,,,,,,,
lap,2,1'35.353,P,25.113,14.506,29.924,25.810,292.6,,,,,,
run,2,Slick-Hard,Slick-Soft,7,3,,,,,,,,,
lap,3,1'46.877,30.730,15.309,30.538,30.300,285.7,,,,,,,
lap,4,1'38.953,24.756,14.383,29.748,30.066,291.1,,,,,,,
lap,5,1'38.470,24.635,14.366,29.484,29.985,291.1,,,,,,,
lap,6,1'38.163,24.611,14.307,29.508,29.737,291.8,,,,,,,
lap,7,1'38.029,24.534,14.299,29.450,29.746,291.8,,,,,,,
lap,8,1'38.347,24.643,14.342,29.544,29.818,291.1,,,,,,,
lap,9,1'37.862,24.407,14.290,29.390,29.775,292.6,,,,,,,
lap,10,1'38.450,24.707,14.423,29.371,29.949,290.3,,,,,,,
lap,11,1'38.262,24.589,14.365,29.436,29.872,291.8,,,,,,,
lap,12,1'38.281,24.552,14.361,29.402,29.966,291.1,,,,,,,
rider,5th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=12,laps=9,,
run,1,Slick-Soft,Slick-Soft,8,8,,,,,,,,,
lap,1,2'16.555,34.196,15.727,32.037,31.181,267.9,,,,,,,
lap,2,1'46.473,29.264,15.133,30.900,31.176,283.4,,,,,,,
lap,3,1'38.905,24.706,14.420,29.677,30.102,285.7,,,,,,,
lap,4,1'38.246,24.527,14.324,29.414,29.981,286.4,,,,,,,
lap,5,1'38.960,24.916,14.433,29.491,30.120,285.7,,,,,,,
lap,6,1'41.348,P,26.452,15.279,31.143,28.474,265.3,,,,,,
run,2,Slick-Soft,Slick-Soft,0,4,,,,,,,,,
lap,7,1'52.859,33.622,15.565,31.770,31.902,267.9,,,,,,,
lap,8,1'41.733,27.042,14.661,29.921,30.109,279.0,,,,,,,
lap,9,1'38.029,24.452,14.301,29.433,29.843,285.7,,,,,,,
lap,10,1'38.018,24.499,14.321,29.335,29.863,286.4,,,,,,,
lap,11,1'37.902,24.439,14.303,29.357,29.803,287.2,,,,,,,
lap,12,1'37.999,24.543,14.320,29.294,29.842,288.0,,,,,,,
rider,6th,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=12,laps=11
run,1,Slick-Hard,Slick-Soft,5,4,,,,,,,,,
lap,1,2'16.674,32.612,15.163,36.089,31.049,278.3,,,,,,,
lap,2,1'39.275,25.067,14.476,29.562,30.170,284.2,,,,,,,
lap,3,1'38.795,24.896,14.367,29.490,30.042,287.2,,,,,,,
lap,4,1'38.154,24.569,14.369,29.241,29.975,284.9,,,,,,,
lap,5,1'38.002,24.463,14.444,29.202,29.893,284.2,,,,,,,
lap,6,1'44.110,24.624,14.428,29.806,35.252,285.7,,,,,,,
lap,7,1'38.260,24.601,14.442,29.349,29.868,284.9,,,,,,,
lap,8,1'38.669,24.498,14.334,29.652,30.185,287.2,,,,,,,
lap,9,1'38.306,24.737,14.338,29.327,29.904,286.4,,,,,,,
lap,10,1'38.349,24.565,14.502,29.280,30.002,288.0,,,,,,,
lap,11,1'38.007,24.535,14.416,29.161,29.895,287.2,,,,,,,
lap,12,1'38.257,24.607,14.404,29.266,29.980,286.4,,,,,,,
rider,7th,41,Aleix,ESPARGARO,APRILIA,SPA,Aprilia,Racing,Team,Gresini,Total,laps=9,laps=6,
run,1,Slick-Hard,Slick-Soft,5,0,,,,,,,,,
lap,1,2'11.274,31.065,14.915,30.576,31.084,276.9,,,,,,,
lap,2,1'41.948,24.961,14.515,29.760,32.712,284.2,,,,,,,
lap,3,1'38.769,24.822,14.448,29.383,30.116,283.4,,,,,,,
lap,4,1'38.018,24.535,14.314,29.290,29.879,285.7,,,,,,,
lap,5,1'38.153,24.510,14.360,29.373,29.910,286.4,,,,,,,
lap,6,1'38.483,P,26.353,15.607,29.731,26.792,288.0,,,,,,
run,2,Slick-Hard,Slick-Soft,11,6,,,,,,,,,
lap,7,1'44.636,30.210,14.620,29.696,30.110,284.9,,,,,,,
lap,8,1'38.208,24.523,14.404,29.317,29.964,284.9,,,,,,,
lap,9,1'40.304,24.563,14.375,31.111,30.255,286.4,,,,,,,
rider,8th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=12,laps=9,,
run,1,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,1,2'18.949,32.209,15.662,32.099,31.596,276.2,,,,,,,
lap,2,1'40.730,P,26.143,14.896,31.382,28.309,280.5,,,,,,
run,2,Slick-Soft,Slick-Soft,4,3,,,,,,,,,
lap,3,1'47.025,30.724,15.159,30.329,30.813,279.0,,,,,,,
lap,4,1'38.868,24.822,14.425,29.429,30.192,284.2,,,,,,,
lap,5,1'38.863,24.591,14.353,29.546,30.373,285.7,,,,,,,
lap,6,1'38.268,24.587,14.358,29.375,29.948,287.2,,,,,,,
lap,7,1'38.025,24.505,14.313,29.235,29.972,284.9,,,,,,,
lap,8,1'38.183,24.474,14.369,29.330,30.010,284.2,,,,,,,
lap,9,1'38.160,24.537,14.316,29.262,30.045,284.2,,,,,,,
lap,10,1'38.920,24.830,14.457,29.495,30.138,286.4,,,,,,,
lap,11,1'46.731,28.506,15.382,31.527,31.316,281.2,,,,,,,
lap,12,1'38.154,24.512,14.362,29.244,30.036,286.4,,,,,,,
rider,9th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=12,laps=7,,
run,1,Slick-Soft,Slick-Soft,7,0,,,,,,,,,
lap,1,1'55.136,33.092,15.550,31.999,31.893,272.7,,,,,,,
lap,2,1'43.089,25.756,14.916,31.309,31.108,277.6,,,,,,,
lap,3,1'39.053,P,26.347,15.220,30.988,26.498,274.8,,,,,,
run,2,Slick-Hard,Slick-Soft,7,4,,,,,,,,,
lap,4,1'47.542,32.680,14.838,29.810,30.214,281.2,,,,,,,
lap,5,1'39.166,24.712,14.789,29.578,30.087,284.9,,,,,,,
lap,6,1'38.479,24.683,14.418,29.369,30.009,284.2,,,,,,,
lap,7,1'38.336,24.562,14.406,29.362,30.006,284.9,,,,,,,
lap,8,1'38.134,24.532,14.342,29.330,29.930,284.2,,,,,,,
lap,9,1'34.926,P,24.488,14.378,29.328,26.732,284.9,,,,,,
run,3,Slick-Hard,Slick-Soft,13,10,,,,,,,,,
lap,10,1'42.600,28.330,14.614,29.612,30.044,282.7,,,,,,,
lap,11,1'38.153,24.586,14.360,29.284,29.923,284.2,,,,,,,
lap,12,1'38.039,24.504,14.413,29.279,29.843,283.4,,,,,,,
rider,10th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=11,laps=8
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,2'09.257,29.975,14.913,30.951,31.401,283.4,,,,,,,
lap,2,1'45.418,24.795,17.093,31.007,32.523,238.9,,,,,,,
lap,3,1'38.197,24.576,14.377,29.428,29.816,288.0,,,,,,,
lap,4,1'38.179,P,27.162,14.734,30.606,25.677,282.7,,,,,,
run,2,Slick-Hard,Slick-Soft,0,4,,,,,,,,,
lap,5,1'47.743,30.306,15.061,31.061,31.315,281.2,,,,,,,
lap,6,1'43.488,25.479,14.922,29.982,33.105,276.9,,,,,,,
lap,7,1'39.792,24.477,14.446,30.800,30.069,287.2,,,,,,,
lap,8,1'38.072,24.510,14.372,29.291,29.899,288.0,,,,,,,
lap,9,1'38.815,24.518,14.404,29.378,30.515,289.5,,,,,,,
lap,10,1'38.793,24.616,14.476,29.503,30.198,288.7,,,,,,,
lap,11,1'38.248,24.474,14.357,29.412,30.005,289.5,,,,,,,
rider,11th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,Total,laps=12,laps=11,,,
run,1,Slick-Hard,Slick-Soft,6,3,,,,,,,,,
lap,1,2'09.474,31.784,15.394,31.147,31.964,282.7,,,,,,,
lap,2,1'40.355,25.084,14.821,29.892,30.558,287.2,,,,,,,
lap,3,1'39.377,24.966,14.553,29.733,30.125,290.3,,,,,,,
lap,4,1'39.016,24.738,14.507,29.576,30.195,289.5,,,,,,,
lap,5,1'43.728,27.803,16.100,29.804,30.021,286.4,,,,,,,
lap,6,1'40.427,24.710,14.372,29.470,31.875,291.1,,,,,,,
lap,7,1'41.725,26.271,15.970,29.548,29.936,286.4,,,,,,,
lap,8,1'38.294,24.601,14.424,29.431,29.838,290.3,,,,,,,
lap,9,1'38.425,24.698,14.385,29.498,29.844,291.8,,,,,,,
lap,10,1'38.580,24.646,14.439,29.488,30.007,289.5,,,,,,,
lap,11,1'50.429,24.650,16.611,35.562,33.606,203.7,,,,,,,
lap,12,1'38.139,24.632,14.311,29.294,29.902,291.8,,,,,,,
rider,12th,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,Total,laps=12,laps=9,
run,1,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,1,2'07.253,30.878,16.237,32.478,32.256,257.1,,,,,,,
lap,2,1'46.055,26.618,15.427,31.099,32.911,276.9,,,,,,,
lap,3,1'44.759,P,29.034,16.055,32.803,26.867,262.1,,,,,,
run,2,Slick-Soft,Slick-Soft,3,3,,,,,,,,,
lap,4,1'44.864,29.219,14.876,30.161,30.608,278.3,,,,,,,
lap,5,1'38.822,24.848,14.378,29.600,29.996,281.9,,,,,,,
lap,6,1'38.254,24.614,14.335,29.452,29.853,284.2,,,,,,,
lap,7,1'38.289,24.607,14.312,29.440,29.930,285.7,,,,,,,
lap,8,1'38.188,24.657,14.311,29.394,29.826,283.4,,,,,,,
lap,9,1'38.423,24.622,14.356,29.467,29.978,284.2,,,,,,,
lap,10,1'41.965,27.543,14.423,29.858,30.141,283.4,,,,,,,
lap,11,1'38.313,24.643,14.315,29.484,29.871,284.2,,,,,,,
lap,12,1'38.644,24.647,14.309,29.639,30.049,287.2,,,,,,,
rider,13th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=12,laps=11
run,1,Slick-Hard,Slick-Soft,7,3,,,,,,,,,
lap,1,2'07.658,31.068,15.274,31.528,31.663,277.6,,,,,,,
