0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 07,MotoGP,Automotodrom Brno,FP1,,,,,,,,,
rider,1st,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=17,laps=12,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,2'31.579,34.982,38.899,34.121,20.410,,,,,,,,
lap,2,1'59.955,30.751,36.149,32.572,20.483,305.0,,,,,,,
lap,3,1'58.886,30.668,35.810,32.673,19.735,307.6,,,,,,,
lap,4,2'15.748,33.033,39.360,40.983,22.372,296.7,,,,,,,
lap,5,1'58.320,30.106,35.615,32.584,20.015,306.8,,,,,,,
lap,6,1'58.301,30.131,35.697,32.635,19.838,306.8,,,,,,,
lap,7,1'57.740,29.954,35.573,32.429,19.784,306.8,,,,,,,
lap,8,2'15.590,P,33.519,38.350,34.843,28.878,306.8,,,,,,
run,2,Slick-Medium,Slick-Medium,8,8,,,,,,,,,
lap,9,9'19.334,37.124,38.581,33.285,20.017,,,,,,,,
lap,10,1'57.917,29.938,35.690,32.527,19.762,308.5,,,,,,,
lap,11,1'57.797,29.916,35.557,32.541,19.783,310.3,,,,,,,
lap,12,2'01.216,31.897,36.626,32.789,19.904,303.3,,,,,,,
lap,13,2'07.903,P,30.479,35.741,32.579,29.104,307.6,,,,,,
run,3,Slick-Medium,Slick-Hard,13,0,,,,,,,,,
lap,14,5'51.981,33.036,36.794,32.795,19.715,,,,,,,,
lap,15,1'57.718,30.091,35.554,32.347,19.726,308.5,,,,,,,
lap,16,1'57.353,29.773,35.430,32.447,19.703,308.5,,,,,,,
lap,17,2'11.528,33.976,39.298,37.009,21.245,307.6,,,,,,,
rider,2nd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=17,laps=12,,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,,,,
lap,1,2'47.488,35.397,38.452,34.259,20.195,,,,,,,,
lap,2,2'00.508,31.142,36.378,33.225,19.763,271.3,,,,,,,
lap,3,1'59.300,30.589,35.829,32.720,20.162,293.4,,,,,,,
lap,4,1'58.447,30.243,35.760,32.659,19.785,306.8,,,,,,,
