0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 08,MotoGP,Automotodrom Brno,Q1,,,,,,,,,
rider,1st,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=7,laps=3,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.960,31.064,36.327,32.593,19.728,,,,,,,,
lap,2,1'56.890,29.587,35.388,32.288,19.627,308.5,,,,,,,
lap,3,1'57.143,29.627,35.390,32.422,19.704,305.9,,,,,,,
lap,4,2'08.992,P,32.153*,37.063,33.583,26.193,305.0,,,,,,
run,2,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,5,4'42.976,31.221,36.258,32.656,19.567,,,,,,,,
lap,6,1'56.230,29.454,35.140,32.165,19.471,309.4,,,,,,,
lap,7,2'14.226,P,32.432,37.552,33.584,30.658,307.6,,,,,,
rider,2nd,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=7,laps=4
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'37.561,32.979,36.274,38.296,20.871,,,,,,,,
lap,2,1'56.291,29.527,35.119,32.143,19.502,309.4,,,,,,,
lap,3,1'56.347,29.440,35.122,32.256,19.529,310.3,,,,,,,
lap,4,2'09.746,P,31.577,36.677,33.166,28.326,308.5,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'39.144,37.483,37.028,33.995,19.703,,,,,,,,
lap,6,1'56.366,29.562,35.138,32.211,19.455,308.5,,,,,,,
lap,7,1'56.763,29.666,35.175,32.367,19.555,307.6,,,,,,,
rider,3rd,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=7,laps=4
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'32.348,32.190,36.540,36.368,22.785,,,,,,,,
lap,2,1'57.282,29.863,35.397,32.432,19.590,307.6,,,,,,,
lap,3,1'56.915,29.694,35.276,32.358,19.587,307.6,,,,,,,
lap,4,2'06.316,P,31.193,36.360,33.141,25.622,307.6,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'49.367,30.931,35.867,32.954,19.614,,,,,,,,
lap,6,1'56.328,29.538,35.106,32.170,19.514,309.4,,,,,,,
lap,7,1'56.809,29.661,35.138,32.389,19.621,308.5,,,,,,,
rider,4th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=6,laps=3,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'36.027,32.591,36.331,38.322,21.182,,,,,,,,
lap,2,1'56.352,29.641,35.093,32.138,19.480,312.1,,,,,,,
lap,3,2'07.348,P,29.700,35.343,34.916,27.389,300.0,,,,,,
run,2,Slick-Medium,Slick-Soft,3,0,,,,,,,,,
lap,4,4'45.796,31.893,36.244,33.413,19.771,,,,,,,,
lap,5,2'00.713,29.823,37.366,33.876,19.648,312.1,,,,,,,
lap,6,1'56.781,29.601,35.181,32.216,19.783,312.1,,,,,,,
rider,5th,53,Tito,RABAT,DUCATI,SPA,Esponsorama,Racing,Total,laps=7,laps=4,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'02.172,30.611,36.267,32.695,19.601,,,,,,,,
lap,2,1'57.262,29.871,35.439,32.357,19.595,306.8,,,,,,,
lap,3,1'57.585,29.799,35.542,32.595,19.649,305.9,,,,,,,
lap,4,2'09.065,P,31.920,36.755,33.518,26.872,307.6,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,4'42.148,31.670,36.228,32.708,19.501,,,,,,,,
lap,6,1'56.695,29.648,35.284,32.199,19.564,311.2,,,,,,,
lap,7,1'58.197,29.956,35.557,32.952,19.732,306.8,,,,,,,
rider,6th,27,Iker,LECUONA,KTM,SPA,Red,Bull,KTM,Tech,3,Total,laps=7,laps=4
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'33.433,31.415,36.389,34.656,25.425,,,,,,,,
lap,2,1'57.191,29.916,35.259,32.431,19.585,309.4,,,,,,,
lap,3,1'57.224,29.633,35.365,32.572,19.654,307.6,,,,,,,
lap,4,2'05.819,P,30.402,36.610,33.149,25.658,305.9,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'45.530,36.837,37.576,34.058,19.617,,,,,,,,
lap,6,1'56.764,29.742,35.108,32.402,19.512,310.3,,,,,,,
lap,7,1'57.174,29.708,35.311,32.494,19.661,307.6,,,,,,,
rider,7th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=7,laps=2,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'40.999,32.150,36.750,33.184,21.331,,,,,,,,
lap,2,1'57.778,29.743,35.544,32.873,19.618,307.6,,,,,,,
lap,3,1'56.822,29.666,35.241,32.328,19.587,307.6,,,,,,,
lap,4,2'06.306,P,30.616,36.731,33.188,25.771,303.3,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'27.911,33.130,37.117,33.417,19.559,,,,,,,,
lap,6,1'56.290,29.614,35.083,32.131,19.462*,308.5,,,,,,,
lap,7,1'56.837,29.597,35.256,32.316,19.668,306.8,,,,,,,
rider,8th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=7,laps=2,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'46.536,31.697,36.833,33.399,19.881,,,,,,,,
lap,2,1'59.398,30.038,36.252,33.310,19.798,312.1,,,,,,,
lap,3,2'05.571,P,29.700,36.503,32.747,26.621,313.9,,,,,,
run,2,Slick-Hard,Slick-Soft,3,0,,,,,,,,,
lap,4,3'09.869,31.649,36.169,32.724,19.717,,,,,,,,
lap,5,1'57.034,29.641,35.494,32.341,19.558,314.8,,,,,,,
lap,6,1'57.036,29.627,35.362,32.476,19.571,313.0,,,,,,,
lap,7,2'22.409,P,34.782,44.812,34.964,27.851,279.0,,,,,,
rider,9th,38,Bradley,SMITH,APRILIA,GBR,Aprilia,Racing,Team,Gresini,Total,laps=5,laps=4,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'32.890,34.422,36.485,35.698,23.323,,,,,,,,
lap,unfinished,29.779,306.8,,,,,,,,,,,
run,2,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,2,2'09.790,34.715,37.492,36.163,21.420,,,,,,,,
lap,3,1'57.438,29.810,35.409,32.520,19.699,307.6,,,,,,,
lap,4,2'00.529,29.785,35.442,32.739,22.563,307.6,,,,,,,
rider,10th,6,Stefan,BRADL,HONDA,GER,Repsol,Honda,Team,Total,laps=7,laps=4,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'14.442,32.326,36.940,35.193,20.151,,,,,,,,
lap,2,1'58.119,30.067,35.552,32.813,19.687,306.8,,,,,,,
lap,3,1'57.878,29.830,35.629,32.747,19.672,307.6,,,,,,,
lap,4,2'09.618,P,31.709,36.935,33.518,27.456,306.8,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'50.139,32.460,38.022,34.439,19.620,,,,,,,,
lap,6,1'57.573,29.730,35.598,32.645,19.600,313.0,,,,,,,
lap,7,1'57.998,29.776,35.700,32.721,19.801,310.3,,,,,,,
rider,11th,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,Total,laps=7,laps=4,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'16.686,31.635,37.581,33.840,19.935,,,,,,,,
lap,2,1'59.073,30.602,35.998,32.765,19.708,308.5,,,,,,,
lap,3,1'57.791,29.979,35.621,32.603,19.588,309.4,,,,,,,
lap,4,2'07.434,P,30.908,36.062,33.549,26.915,308.5,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,3'50.019,32.553,37.627,36.118,20.105,,,,,,,,
lap,6,1'57.606,29.865,35.604,32.528,19.609,312.1,,,,,,,
lap,7,1'57.760,29.777,35.597,32.667,19.719,311.2,,,,,,,
