0,1,2,3,4,5,6,7,8,9,10,11
const,2020,August 09,MotoGP,Automotodrom Brno,RACE,,,,,,
rider,1st,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,
lap,1,2'04.368,35.726,36.156,32.752,19.734,231.2,,,,
lap,2,1'57.887,30.079,35.702,32.562,19.544,303.3,,,,
lap,3,1'57.445,29.845,35.504,32.454,19.642,304.2,,,,
lap,4,1'57.765,29.946,35.638,32.495,19.686,306.8,,,,
lap,5,1'57.969,29.938,35.612,32.648,19.771,300.8,,,,
lap,6,1'58.199,29.989,35.805,32.655,19.750,305.9,,,,
lap,7,1'58.445,29.972,35.833,32.726,19.914,305.9,,,,
lap,8,1'58.537,30.045,35.885,32.779,19.828,299.1,,,,
lap,9,1'58.697,30.045,35.806,32.875,19.971,309.4,,,,
lap,10,1'58.531,29.975,35.899,32.899,19.758,305.9,,,,
lap,11,1'58.786,30.154,35.956,32.883,19.793,305.9,,,,
lap,12,1'58.675,29.971,35.866,32.965,19.873,309.4,,,,
lap,13,1'58.923,30.207,36.007,32.864,19.845,296.7,,,,
lap,14,1'58.825,30.098,35.900,33.011,19.816,307.6,,,,
lap,15,1'59.425,30.396,36.132,33.035,19.862,305.0,,,,
lap,16,1'59.208,30.196,36.054,33.110,19.848,305.0,,,,
lap,17,1'59.110,30.136,35.999,33.086,19.889,307.6,,,,
lap,18,1'59.112,30.133,35.923,33.127,19.929,307.6,,,,
lap,19,1'59.378,30.271,35.965,33.213,19.929,306.8,,,,
lap,20,1'59.614,30.293,36.091,33.178,20.052,305.9,,,,
lap,21,1'59.865,30.298,36.254,33.244,20.069,305.0,,,,
rider,2nd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,
lap,1,2'02.818,34.949,35.589,32.573,19.707,223.1,,,,
lap,2,1'57.620,29.856,35.532,32.567,19.665,301.6,,,,
lap,3,1'57.916,29.890,35.635,32.665,19.726,303.3,,,,
lap,4,1'57.933,29.889,35.583,32.714,19.747,302.5,,,,
lap,5,1'57.929,29.840,35.621,32.699,19.769,300.8,,,,
lap,6,1'58.112,29.871,35.705,32.726,19.810,301.6,,,,
lap,7,1'58.265,29.964,35.670,32.835,19.796,301.6,,,,
lap,8,1'58.411,30.019,35.679,32.877,19.836,302.5,,,,
lap,9,1'58.761,30.086,35.835,32.908,19.932,302.5,,,,
lap,10,1'58.928,30.142,35.860,33.047,19.879,302.5,,,,
lap,11,1'59.067,30.207,35.939,32.970,19.951,303.3,,,,
lap,12,1'59.298,30.245,35.986,33.046,20.021,303.3,,,,
lap,13,1'59.698,30.237,36.079,33.395,19.987,302.5,,,,
lap,14,1'59.546,30.288,36.169,33.159,19.930,305.0,,,,
lap,15,1'59.626,30.313,36.158,33.203,19.952,303.3,,,,
lap,16,1'59.512,30.330,36.008,33.209,19.965,302.5,,,,
lap,17,1'59.714,30.315,36.125,33.300,19.974,303.3,,,,
lap,18,1'59.822,30.312,36.159,33.251,20.100,301.6,,,,
lap,19,2'00.153,30.475,36.235,33.380,20.063,301.6,,,,
lap,20,2'00.256,30.441,36.325,33.375,20.115,302.5,,,,
lap,21,2'00.645,30.431,36.460,33.530,20.224,302.5,,,,
rider,3rd,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,
lap,1,2'04.574,35.771,36.279,32.849,19.675,225.4,,,,
lap,2,1'58.196,30.015,35.749,32.843,19.589,297.5,,,,
lap,3,1'57.820,29.780,35.767,32.660,19.613,307.6,,,,
lap,4,1'57.825,29.809,35.706,32.687,19.623,311.2,,,,
lap,5,1'58.169,29.793,35.840,32.722,19.814,312.1,,,,
