0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 09,MotoGP,Automotodrom Brno,WUP,,,,,,,,,
rider,1st,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=10,laps=8
run,1,Slick-Hard,Slick-Soft,8,4,,,,,,,,,
lap,1,2'16.997,P,32.131,37.199,33.228,25.650,,,,,,,
run,2,Slick-Hard,Slick-Medium,0,0,,,,,,,,,
lap,2,2'37.027,31.238,36.625,35.979,20.512,,,,,,,,
lap,3,1'57.987,30.003,35.837,32.326,19.821,310.3,,,,,,,
lap,4,1'57.176,29.886,35.387,32.400,19.503,311.2,,,,,,,
lap,5,2'01.495,29.569,38.203,33.774,19.949,312.1,,,,,,,
lap,6,1'57.037,29.675,35.531,32.299,19.532,308.5,,,,,,,
lap,7,1'57.201,29.678,35.488,32.397,19.638,307.6,,,,,,,
lap,8,1'57.462,29.790,35.486,32.542,19.644,307.6,,,,,,,
lap,9,2'03.593,32.036,37.420,33.833,20.304,306.8,,,,,,,
lap,10,1'57.587,29.980,35.451,32.532,19.624,306.8,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=10,laps=9,
run,1,Slick-Hard,Slick-Soft,6,3,,,,,,,,,
lap,1,3'06.869,32.445,36.853*,33.029,20.006,,,,,,,,
lap,2,1'57.822,30.048,35.593,32.467,19.714,305.0,,,,,,,
lap,3,1'57.296,29.795,35.551,32.351,19.599,305.9,,,,,,,
lap,4,1'57.062,29.729,35.439,32.337,19.557,305.9,,,,,,,
lap,5,1'58.066,29.710,35.921,32.535,19.900,305.9,,,,,,,
lap,6,1'57.571,29.782,35.615,32.512,19.662,305.9,,,,,,,
lap,7,1'57.631,29.819,35.560,32.577,19.675,305.0,,,,,,,
lap,8,1'57.892,29.796,35.600,32.692,19.804,305.0,,,,,,,
lap,9,2'00.354,31.143,36.639,32.718,19.854,305.0,,,,,,,
lap,10,1'58.058,29.897,35.598,32.660,19.903,305.0,,,,,,,
rider,3rd,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=10,laps=9,,
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,,,,
lap,1,3'21.127,32.709,37.270,33.292,19.999,,,,,,,,
lap,2,1'57.894,30.137,35.518,32.497,19.742,303.3,,,,,,,
lap,3,1'57.494,29.802,35.515,32.451,19.726,304.2,,,,,,,
lap,4,1'57.074,29.743,35.230,32.498,19.603,304.2,,,,,,,
lap,5,1'57.644,29.843,35.489,32.616,19.696,307.6,,,,,,,
lap,6,1'57.504,29.830,35.400,32.541,19.733,303.3,,,,,,,
lap,7,1'57.904,29.835,35.628,32.629,19.812,302.5,,,,,,,
lap,8,1'58.082,29.960,35.563,32.737,19.822,301.6,,,,,,,
lap,9,1'58.372,29.997,35.694,32.799,19.882,301.6,,,,,,,
lap,10,1'58.220,29.964,35.671,32.735,19.850,301.6,,,,,,,
rider,4th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=11,laps=10,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'07.302,33.921,36.481,32.947,19.790,,,,,,,,
lap,2,1'57.732,30.012,35.547,32.475,19.698,303.3,,,,,,,
lap,3,1'57.246,29.882,35.416,32.317,19.631,303.3,,,,,,,
lap,4,1'57.151,29.852,35.294,32.382,19.623,303.3,,,,,,,
lap,5,1'57.137,29.728,35.266,32.496,19.647,305.0,,,,,,,
lap,6,1'57.439,29.845,35.429,32.545,19.620,303.3,,,,,,,
lap,7,1'57.397,29.786,35.363,32.592,19.656,303.3,,,,,,,
lap,8,1'57.727,29.899,35.484,32.645,19.699,303.3,,,,,,,
lap,9,1'57.849,29.830,35.551,32.631,19.837,303.3,,,,,,,
lap,10,1'57.790,29.906,35.509,32.651,19.724,302.5,,,,,,,
lap,11,1'57.943,29.914,35.582,32.677,19.770,300.8,,,,,,,
rider,5th,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=10,laps=9
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,,,,
lap,1,2'37.787,36.267,37.844,33.674,19.942,,,,,,,,
lap,2,1'58.520,30.269,35.814,32.691,19.746,307.6,,,,,,,
lap,3,1'57.260,29.935,35.477,32.319,19.529,300.8,,,,,,,
lap,4,1'57.163,29.817,35.391,32.321,19.634,300.0,,,,,,,
lap,5,1'57.305,29.754,35.455,32.515,19.581,307.6,,,,,,,
lap,6,1'57.468,29.821,35.422,32.559,19.666,306.8,,,,,,,
lap,7,1'57.626,29.836,35.508,32.469,19.813,307.6,,,,,,,
lap,8,1'57.778,29.825,35.584,32.621,19.748,306.8,,,,,,,
lap,9,1'57.919,29.865,35.562,32.786,19.706,307.6,,,,,,,
lap,10,1'57.850,29.869,35.570,32.712,19.699,306.8,,,,,,,
rider,6th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=10,laps=7,,
run,1,Slick-Hard,Slick-Soft,7,4,,,,,,,,,
lap,1,2'29.490,34.038,37.890,34.140,20.435,,,,,,,,
lap,2,2'06.135,P,30.490,36.230,33.014,26.401,299.1,,,,,,
run,2,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,3,2'43.309,33.930,42.095,43.733,20.212,,,,,,,,
lap,4,1'58.469,30.182,35.913,32.697,19.677,305.9,,,,,,,
lap,5,1'57.664,29.922,35.498,32.578,19.666,306.8,,,,,,,
lap,6,1'57.184,29.814,35.440,32.351,19.579,306.8,,,,,,,
lap,7,2'01.585,31.685,37.268,32.939,19.693,307.6,,,,,,,
lap,8,1'57.540,29.825,35.593,32.395,19.727,305.9,,,,,,,
lap,9,1'57.523,29.768,35.532,32.523,19.700,306.8,,,,,,,
lap,10,1'57.424,29.864,35.491,32.395,19.674,305.9,,,,,,,
rider,7th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=10,laps=7,,,
run,1,Slick-Medium,Slick-Soft,6,3,,,,,,,,,
lap,1,2'54.035,57.504,38.721,33.860,20.177,,,,,,,,
lap,2,1'58.274,30.060,35.727,32.755,19.732,309.4,,,,,,,
lap,3,1'58.138,29.990,35.756,32.771,19.621,311.2,,,,,,,
lap,4,1'58.100,29.973,35.595,32.815,19.717,310.3,,,,,,,
lap,5,2'07.079,P,29.967,36.822,33.463,26.827,308.5,,,,,,
run,2,Slick-Medium,Slick-Soft,6,3,,,,,,,,,
lap,6,2'29.721,34.771,37.906,33.462,19.822,,,,,,,,
lap,7,1'59.801,31.218,35.957,32.842,19.784,311.2,,,,,,,
lap,8,1'57.356,29.790,35.358,32.548,19.660,310.3,,,,,,,
lap,9,1'57.698,29.835,35.557,32.629,19.677,309.4,,,,,,,
lap,10,1'57.803,29.732,35.526,32.663,19.882,310.3,,,,,,,
rider,8th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=10,laps=9,,
run,1,Slick-Hard,Slick-Medium,6,0,,,,,,,,,
lap,1,2'38.348,34.065,37.848,33.657,19.953,,,,,,,,
lap,2,1'58.456,30.205,35.732,32.779,19.740,308.5,,,,,,,
lap,3,1'58.871,29.908,35.459,33.685,19.819,308.5,,,,,,,
lap,4,1'57.378,29.857,35.372,32.497,19.652,306.8,,,,,,,
lap,5,1'57.557,29.785,35.397,32.641,19.734,308.5,,,,,,,
lap,6,1'57.632,29.829,35.475,32.570,19.758,306.8,,,,,,,
lap,7,1'57.518,29.943,35.307,32.601,19.667,306.8,,,,,,,
lap,8,1'57.695,29.889,35.502,32.581,19.723,305.9,,,,,,,
lap,9,2'05.478,29.901,36.742,38.755,20.080,307.6,,,,,,,
lap,10,2'00.012,29.960,36.415,33.210,20.427,305.0,,,,,,,
rider,9th,41,Aleix,ESPARGARO,APRILIA,SPA,Aprilia,Racing,Team,Gresini,Total,laps=10,laps=9,
run,1,Slick-Hard,Slick-Soft,7,3,,,,,,,,,
lap,1,2'23.509,32.487,36.949,35.473,20.239,,,,,,,,
lap,2,1'58.237,29.977,35.809,32.663,19.788,306.8,,,,,,,
lap,3,2'03.745,29.789,35.509,35.402,23.045,310.3,,,,,,,
