0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 14,MotoGP,Red Bull Ring,FP2,,,,,,,,,
rider,1st,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=5,laps=4,,,
run,1,Slick-Soft,Slick-Soft,4,4,,,,,,,,,
lap,1,39'30.792,10.652,33.499,27.067,18.944,264.0,,,,,,,
lap,2,1'30.838,18.177,29.994,25.049,17.618,300.0,,,,,,,
lap,3,1'28.856,17.989,28.993,24.437,17.437,301.6,,,,,,,
lap,4,1'27.131,17.723,28.164,24.222,17.022,304.2,,,,,,,
lap,5,1'26.475,17.464,27.970,24.157,16.884,306.8,,,,,,,
rider,2nd,27,Iker,LECUONA,KTM,SPA,Red,Bull,KTM,Tech,3,Total,laps=4,laps=3
run,1,Slick-Medium,Slick-Soft,5,5,,,,,,,,,
lap,1,41'49.837,11.473,34.483,27.641,18.300,221.7,,,,,,,
lap,2,1'31.393,18.166,30.616,25.065,17.546,293.4,,,,,,,
lap,3,1'29.388,17.829,29.337,25.084,17.138,299.1,,,,,,,
lap,4,1'27.228,17.698,28.076,24.239,17.215,303.3,,,,,,,
rider,3rd,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=10,laps=4
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,2'39.146,13.506,37.399,30.941,20.877,206.1,,,,,,,
lap,2,1'39.484,19.588,32.237,28.351,19.308,258.3,,,,,,,
lap,3,1'44.891,P,19.066,32.166,28.407,25.252,273.4,,,,,,
run,2,Wet-Medium,Wet-Medium,3,3,,,,,,,,,
lap,4,29'38.489,12.667,33.634,27.380,18.914,235.8,,,,,,,
lap,5,1'34.861,18.855,31.082,26.458,18.466,283.4,,,,,,,
lap,6,1'44.529,P,20.606*,32.910,27.292,23.721,240.0,,,,,,
run,3,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,7,2'48.123,12.471,32.742,26.564,18.200,248.8,,,,,,,
lap,8,1'31.590,18.112*,30.459,25.397,17.622,298.3,,,,,,,
lap,9,1'29.032,17.809,29.289,24.726,17.208,301.6,,,,,,,
lap,10,1'27.421,17.778,28.082,24.441,17.120,302.5,,,,,,,
rider,4th,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=2,laps=1,,
run,1,Slick-Medium,Slick-Soft,4,4,,,,,,,,,
lap,1,44'02.860,10.629,33.335,25.554,17.409,254.7,,,,,,,
lap,2,1'27.458,17.786,28.576,24.130,16.966,303.3,,,,,,,
rider,5th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=6,laps=3,,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,,,,
lap,1,33'16.617,11.368,35.592,27.923,18.911,221.7,,,,,,,
lap,2,1'34.271,18.863,30.575,26.343,18.490,286.4,,,,,,,
lap,3,1'45.957,P,18.691,32.973,28.951,25.342,291.1,,,,,,
run,2,Slick-Soft,Slick-Soft,5,5,,,,,,,,,
lap,4,6'05.466,10.854,33.711,27.593,18.494,246.0,,,,,,,
lap,5,1'30.132,18.226,29.501,25.044,17.361,295.8,,,,,,,
lap,6,1'27.625,17.794,28.465,24.422,16.944,300.0,,,,,,,
rider,6th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=5,laps=2,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,,,,
lap,1,2'30.491,12.106,37.010,30.592,21.234,219.9,,,,,,,
lap,2,1'44.012,P,19.347,31.979,27.502,25.184,267.3,,,,,,
run,2,Slick-Medium,Slick-Soft,5,5,,,,,,,,,
lap,3,39'05.330,10.834,32.260,26.206,18.055,274.1,,,,,,,
lap,4,1'32.140,18.124,30.129,26.575,17.312,295.0,,,,,,,
lap,5,1'27.793,17.836,28.587,24.439,16.931,300.0,,,,,,,
rider,7th,73,Alex,MARQUEZ,HONDA,SPA,Repsol,Honda,Team,Total,laps=8,laps=4,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,,,,
lap,1,7'42.367,11.997,37.724,31.240,22.192,205.7,,,,,,,
lap,2,1'51.732,P,21.024,35.135,29.474,26.099,236.3,,,,,,
run,2,Wet-Soft,Wet-Soft,2,2,,,,,,,,,
lap,3,24'22.892,P,10.921,36.289,29.045,25.147,244.3,,,,,,
run,3,Slick-Medium,Slick-Soft,3,3,,,,,,,,,
lap,4,5'19.564,10.782,36.096,27.389,19.341,270.6,,,,,,,
lap,5,1'33.976,18.471,31.458,25.889,18.158,291.8,,,,,,,
lap,6,1'31.280,18.051,30.303,25.244,17.682,298.3,,,,,,,
