0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 15,MotoGP,Red Bull Ring,Q2,,,,,,,,,
rider,1st,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=9,laps=5,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'37.623,10.376,27.425,24.521,16.451,283.4,,,,,,,
lap,2,1'23.892,17.392,26.335,23.809,16.356,304.2,,,,,,,
lap,3,1'23.716,17.289,26.345,23.730*,16.352,305.0,,,,,,,
lap,4,1'23.694,17.271,26.304,23.757,16.362,305.9,,,,,,,
lap,5,1'31.759,P,17.426,27.046,24.481,22.806,305.0,,,,,,
run,2,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,6,3'40.530,10.340,29.518,24.260,16.496,264.0,,,,,,,
lap,7,1'23.643,17.333,26.290,23.653,16.367,305.9,,,,,,,
lap,8,1'23.450,17.227,26.258,23.647,16.318,307.6,,,,,,,
lap,9,1'27.912,19.720,27.092,24.429,16.671,298.3,,,,,,,
rider,2nd,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=9,laps=6,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,1'59.353,10.178,28.161,25.244,16.671,284.9,,,,,,,
lap,2,1'24.340,17.273,26.557,23.765,16.745,311.2,,,,,,,
lap,3,1'23.859,17.193,26.379,23.710,16.577,313.9,,,,,,,
lap,4,1'24.013,17.221,26.464,23.685,16.643,313.9,,,,,,,
lap,5,1'32.985,P,17.676,27.704,24.727,22.878,297.5,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,3'47.908,10.504,29.568,32.353,17.682,295.0,,,,,,,
lap,7,1'38.665,17.205,35.928,28.779,16.753,313.0,,,,,,,
lap,8,1'23.692,17.115,26.531,23.638,16.408,315.7,,,,,,,
lap,9,1'23.518,17.108,26.329,23.670,16.411,315.7,,,,,,,
rider,3rd,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=9,laps=6,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'13.135,9.732,27.701,24.444,16.609*,291.8,,,,,,,
lap,2,1'23.787,17.377,26.307,23.700,16.403,305.0,,,,,,,
lap,3,1'23.796,17.399,26.286,23.677,16.434,305.0,,,,,,,
lap,4,1'23.716,17.276,26.324,23.735,16.381,305.9,,,,,,,
lap,5,1'33.526,P,17.561,28.455,25.115,22.395,304.2,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,3'37.135,9.887,32.875,25.390,16.754,295.8,,,,,,,
lap,7,1'30.342,17.343,30.112,26.566,16.321,305.0,,,,,,,
lap,8,1'23.537,17.348,26.190,23.726,16.273,304.2,,,,,,,
lap,9,1'23.659,17.403,26.244,23.711,16.301,304.2,,,,,,,
rider,4th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=10,laps=7,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'08.453,10.123,29.238,25.437,16.979,294.2,,,,,,,
lap,2,1'25.518,17.536,26.828,24.472,16.682,309.4,,,,,,,
lap,3,1'24.200,17.304,26.435,23.927,16.534,311.2,,,,,,,
lap,4,1'23.963,17.240,26.384,23.882,16.457,313.0,,,,,,,
lap,5,1'34.817,P,17.729,30.188,24.716,22.184,288.7,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,2'43.168,10.103,27.885,24.848,16.643,299.1,,,,,,,
lap,7,1'24.168,17.304,26.374,24.085,16.405,310.3,,,,,,,
lap,8,1'23.618,17.237,26.278,23.842,16.261,313.0,,,,,,,
lap,9,1'23.606,17.134,26.186,23.888,16.398,313.0,,,,,,,
lap,10,1'33.712,17.913,31.584,26.213,18.002,242.6,,,,,,,
rider,5th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=9,laps=5
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,1'53.041,10.030,28.404,24.596,16.788,297.5,,,,,,,
lap,2,1'24.710,17.450,26.727,23.872,16.661,306.8,,,,,,,
lap,3,1'24.145,17.296,26.608,23.743,16.498,308.5,,,,,,,
lap,4,1'23.978,17.295,26.461,23.787,16.435,307.6,,,,,,,
lap,5,1'35.094,P,18.874*,28.594,25.281,22.345,295.0,,,,,,
run,2,Slick-Hard,Slick-Soft,5,0,,,,,,,,,
lap,6,3'49.798,11.050,33.644,25.149,16.734,284.9,,,,,,,
lap,7,1'36.704,17.504*,35.476,27.251,16.473,306.8,,,,,,,
lap,8,1'23.612,17.217,26.430,23.647,16.318,310.3,,,,,,,
lap,9,1'23.633,17.211,26.255,23.750,16.417,310.3,,,,,,,
rider,6th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=9,laps=6,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'57.677,10.782,28.840,25.006,16.702,281.2,,,,,,,
lap,2,1'24.877,17.524,26.804,23.916,16.633,304.2,,,,,,,
lap,3,1'24.015,17.328,26.548,23.697,16.442,305.0,,,,,,,
lap,4,1'23.856,17.265,26.586,23.615,16.390,306.8,,,,,,,
lap,5,1'33.503,P,17.707,28.383,24.391,23.022,290.3,,,,,,
run,2,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,6,3'15.807,10.314,28.116,24.565,16.726,295.0,,,,,,,
lap,7,1'24.373,17.367,26.667,23.832,16.507,305.0,,,,,,,
lap,8,1'23.853,17.289,26.475,23.676,16.413,305.9,,,,,,,
lap,9,1'23.673,17.348,26.328,23.576,16.421,307.6,,,,,,,
