0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 16,MotoGP,Red Bull Ring,RACE2,,,,,,,,,
rider,1st,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=20,laps=19,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'28.708,20.428,27.456,24.184,16.640,307.6,,,,,,,
lap,2,1'24.840,17.317,26.975,23.913,16.635,316.7,,,,,,,
lap,3,1'24.777,17.394,26.986,23.906,16.491,314.8,,,,,,,
lap,4,1'24.332,17.320,26.674,23.872,16.466,312.1,,,,,,,
lap,5,1'24.601,17.363,26.706,24.004,16.528,311.2,,,,,,,
lap,6,1'24.614,17.333,26.781,23.950,16.550,313.9,,,,,,,
lap,7,1'24.408,17.325,26.628,23.928,16.527,312.1,,,,,,,
lap,8,1'24.581,17.290,26.702,23.962,16.627,314.8,,,,,,,
lap,9,1'24.860,17.543,26.660,24.043,16.614,313.0,,,,,,,
lap,10,1'25.089,17.469,26.704,24.247,16.669,311.2,,,,,,,
lap,11,1'25.212,17.348,26.867,24.423,16.574,310.3,,,,,,,
lap,12,1'25.198,17.392,26.800,24.348,16.658,311.2,,,,,,,
lap,13,1'25.046,17.317,26.687,24.250,16.792,310.3,,,,,,,
lap,14,1'25.149,17.375,26.772,24.241,16.761,312.1,,,,,,,
lap,15,1'24.745,17.352,26.661,24.142,16.590,313.0,,,,,,,
lap,16,1'24.935,17.357,26.759,24.183,16.636,312.1,,,,,,,
lap,17,1'24.851,17.387,26.754,24.115,16.595,311.2,,,,,,,
lap,18,1'25.219,17.373,26.921,24.287,16.638,311.2,,,,,,,
lap,19,1'24.734,17.353,26.681,24.157,16.543,310.3,,,,,,,
lap,20,1'24.954,17.434,26.698,24.193,16.629,312.1,,,,,,,
rider,2nd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=20,laps=19,,
run,1,Slick-Medium,Slick-Medium,5,0,,,,,,,,,
lap,1,1'28.942,20.342,27.837,24.134,16.629,305.0,,,,,,,
lap,2,1'24.871,17.474,27.122,23.734,16.541,313.0,,,,,,,
lap,3,1'24.937,17.380,27.003,23.960,16.594,311.2,,,,,,,
lap,4,1'24.630,17.419,26.781,23.799,16.631,311.2,,,,,,,
lap,5,1'24.657,17.429,26.982,23.685,16.561,310.3,,,,,,,
lap,6,1'24.841,17.433,26.911,23.877,16.620,312.1,,,,,,,
lap,7,1'24.856,17.438,27.039,23.791,16.588,309.4,,,,,,,
lap,8,1'24.580,17.409,26.827,23.797,16.547,310.3,,,,,,,
lap,9,1'24.494,17.362,26.724,23.810,16.598,308.5,,,,,,,
lap,10,1'24.800,17.477,26.828,23.895,16.600,309.4,,,,,,,
lap,11,1'24.779,17.360,26.956,23.876,16.587,308.5,,,,,,,
lap,12,1'25.074,17.490,27.092,23.832,16.660,310.3,,,,,,,
lap,13,1'25.064,17.550,26.948,23.849,16.717,310.3,,,,,,,
lap,14,1'25.207,17.500,27.036,23.875,16.796,311.2,,,,,,,
lap,15,1'25.183,17.436,27.064,23.927,16.756,311.2,,,,,,,
lap,16,1'25.047,17.476,26.851,23.965,16.755,310.3,,,,,,,
lap,17,1'25.100,17.418,27.089,23.930,16.663,313.9,,,,,,,
lap,18,1'25.090,17.469,26.924,23.903,16.794,311.2,,,,,,,
lap,19,1'25.087,17.494,27.051,23.910,16.632,309.4,,,,,,,
lap,20,1'24.991,17.398,27.131,23.841,16.621,310.3,,,,,,,
rider,3rd,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=20,laps=18,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
