0,1,2,3,4,5,6,7,8,9,10,11
const,2020,August 23,MotoGP,Red Bull Ring,RACE,,,,,,
rider,1st,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'28.199,19.557,27.157,24.717,16.768,299.1,,,,
lap,2,1'25.083,17.540,26.893,24.000,16.650,306.8,,,,
lap,3,1'24.937,17.471,27.088,23.775,16.603,309.4,,,,
lap,4,1'25.098,17.557,27.212,23.634,16.695,307.6,,,,
lap,5,1'24.018,17.420,26.510,23.710,16.378,304.2,,,,
lap,6,1'24.282,17.407,26.737,23.734,16.404,303.3,,,,
lap,7,1'24.318,17.474,26.560,23.796,16.488,303.3,,,,
lap,8,1'24.421,17.518,26.788,23.706,16.409,304.2,,,,
lap,9,1'24.289,17.369,26.693,23.755,16.472,303.3,,,,
lap,10,1'24.476,17.428,26.791,23.776,16.481,303.3,,,,
lap,11,1'24.370,17.391,26.737,23.798,16.444,302.5,,,,
lap,12,1'24.395,17.438,26.639,23.845,16.473,303.3,,,,
lap,13,1'24.200,17.370,26.631,23.730,16.469,301.6,,,,
lap,14,1'24.421,17.381,26.704,23.862,16.474,302.5,,,,
lap,15,1'24.473,17.439,26.707,23.837,16.490,303.3,,,,
lap,16,1'24.335,17.371,26.589,23.806,16.569,305.0,,,,
rider,2nd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,
lap,1,1'28.260,20.017,27.362,24.204,16.677,304.2,,,,
lap,2,1'25.150,17.601,27.014,23.924,16.611,309.4,,,,
lap,3,1'24.839,17.492,27.122,23.746,16.479,313.0,,,,
lap,4,1'25.235,17.566,27.232,23.881,16.556,313.0,,,,
lap,5,1'24.408,17.484,26.798,23.636,16.490,312.1,,,,
lap,6,1'24.209,17.352,26.656,23.733,16.468,312.1,,,,
lap,7,1'24.378,17.457,26.727,23.697,16.497,313.0,,,,
lap,8,1'24.509,17.570,26.715,23.709,16.515,312.1,,,,
lap,9,1'24.463,17.434,26.750,23.748,16.531,312.1,,,,
lap,10,1'24.416,17.496,26.697,23.799,16.424,311.2,,,,
lap,11,1'24.441,17.437,26.689,23.823,16.492,310.3,,,,
lap,12,1'24.561,17.591,26.710,23.808,16.452,309.4,,,,
lap,13,1'24.681,17.496,26.881,23.865,16.439,309.4,,,,
lap,14,1'24.411,17.391,26.721,23.821,16.478,310.3,,,,
lap,15,1'24.705,17.417,26.773,23.800,16.715,313.0,,,,
lap,16,1'25.064,17.768,26.827,23.988,16.481,310.3,,,,
rider,3rd,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'28.085,19.716,27.327,24.331,16.711,299.1,,,,
lap,2,1'25.109,17.410,26.934,24.096,16.669,310.3,,,,
lap,3,1'24.969,17.337,26.978,23.993,16.661,310.3,,,,
lap,4,1'25.278,17.470,26.933,24.010,16.865,309.4,,,,
lap,5,1'24.400,17.477,26.653,23.710,16.560,313.9,,,,
lap,6,1'24.233,17.272,26.638,23.809,16.514,312.1,,,,
lap,7,1'24.362,17.355,26.618,23.872,16.517,312.1,,,,
lap,8,1'24.461,17.377,26.730,23.823,16.531,312.1,,,,
lap,9,1'24.516,17.343*,26.682,23.905,16.586,312.1,,,,
lap,10,1'24.325,17.314,26.590,23.825,16.596,312.1,,,,
lap,11,1'24.425,17.341,26.657,23.891,16.536,312.1,,,,
lap,12,1'24.366,17.389,26.656,23.814,16.507,312.1,,,,
lap,13,1'24.707,17.430*,26.881,23.846,16.550,311.2,,,,
lap,14,1'24.603,17.297,26.706,24.078,16.522,311.2,,,,
lap,15,1'24.923,17.409,26.672,23.954,16.888,311.2,,,,
lap,16,1'25.187,17.535,26.813,24.240,16.599,313.0,,,,
rider,4th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,
lap,1,1'28.470,19.624,27.805,24.356,16.685,305.9,,,,
lap,2,1'25.186,17.691,27.081,23.773,16.641,307.6,,,,
lap,3,1'25.097,17.485,27.318,23.636,16.658,311.2,,,,
lap,4,1'24.926,17.394,27.185,23.732,16.615,311.2,,,,
lap,5,1'24.575,17.521,26.914,23.631,16.509,310.3,,,,
lap,6,1'25.022,17.400,26.884,23.811,16.927,310.3,,,,
lap,7,1'24.450,17.396,26.744,23.753,16.557,308.5,,,,
lap,8,1'24.811,17.547,26.815,23.861,16.588,309.4,,,,
lap,9,1'24.591,17.476,26.717,23.856,16.542,307.6,,,,
lap,10,1'24.658,17.432,26.751,23.912,16.563,308.5,,,,
lap,11,1'24.533,17.419,26.655,23.845,16.614,308.5,,,,
lap,12,1'24.742,17.444,26.760,23.896,16.642,307.6,,,,
lap,13,1'24.503,17.371,26.644,23.877,16.611,308.5,,,,
lap,14,1'24.714,17.361,26.689,23.959,16.705,308.5,,,,
lap,15,1'24.833,17.412,26.798,24.004,16.619,308.5,,,,
lap,16,1'24.721,17.380,26.699,23.993,16.649,308.5,,,,
rider,5th,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'28.675,20.029,27.620,24.229,16.797,300.0,,,,
lap,2,1'25.169,17.559,27.255,23.726,16.629,307.6,,,,
lap,3,1'25.048,17.516,27.230,23.659,16.643,310.3,,,,
lap,4,1'24.938,17.418,27.142,23.677,16.701,312.1,,,,
lap,5,1'24.646,17.617,26.910,23.604,16.515,311.2,,,,
lap,6,1'24.771,17.443,26.785,23.728,16.815,310.3,,,,
lap,7,1'24.675,17.535,26.893,23.683,16.564,312.1,,,,
lap,8,1'24.738,17.388,26.952,23.716,16.682,311.2,,,,
lap,9,1'24.596,17.486,26.894,23.626,16.590,310.3,,,,
lap,10,1'24.617,17.506,26.749,23.759,16.603,310.3,,,,
lap,11,1'24.565,17.443,26.824,23.785,16.513,311.2,,,,
lap,12,1'24.704,17.485,26.843,23.761,16.615,309.4,,,,
lap,13,1'24.603,17.490,26.771,23.804,16.538,311.2,,,,
lap,14,1'24.658,17.448,26.839,23.792,16.579,311.2,,,,
lap,15,1'24.821,17.448,26.856,23.817,16.700,311.2,,,,
lap,16,1'24.726,17.450,26.864,23.795,16.617,312.1,,,,
rider,6th,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,
lap,1,1'30.070,20.375,28.690,24.310,16.695,302.5,,,,
lap,2,1'25.041,17.599,27.100,23.901,16.441,312.1,,,,
lap,3,1'24.999,17.494,27.358,23.668,16.479,303.3,,,,
lap,4,1'24.700,17.414,27.089,23.677,16.520,313.0,,,,
lap,5,1'24.899,17.421,27.152,23.848,16.478,313.0,,,,
lap,6,1'24.645,17.503,26.879,23.741,16.522,312.1,,,,
lap,7,1'24.646,17.428,26.862,23.794,16.562,312.1,,,,
lap,8,1'24.877,17.487,27.014,23.825,16.551,310.3,,,,
lap,9,1'25.052,17.446,27.205,23.871,16.530,308.5,,,,
lap,10,1'24.562,17.653,26.672,23.834,16.403,300.0,,,,
lap,11,1'24.530,17.425,26.851,23.758,16.496,307.6,,,,
lap,12,1'24.677,17.502,26.829,23.849,16.497,312.1,,,,
lap,13,1'24.657,17.563,26.694,23.958,16.442,306.8,,,,
lap,14,1'24.563,17.425,26.744,23.791,16.603,306.8,,,,
lap,15,1'24.593,17.440,26.742,23.974,16.437,308.5,,,,
lap,16,1'24.605,17.395,26.805,23.957,16.448,307.6,,,,
rider,7th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'29.246,20.101,28.102,24.313,16.730,287.2,,,,
lap,2,1'25.635,17.604,27.309,24.057,16.665,310.3,,,,
lap,3,1'24.950,17.587,26.991,23.742,16.630,309.4,,,,
lap,4,1'24.853,17.584,27.006,23.730,16.533,313.9,,,,
lap,5,1'25.188,17.489,27.417,23.672,16.610,313.0,,,,
lap,6,1'24.636,17.535,26.833,23.753,16.515,312.1,,,,
lap,7,1'24.646,17.423,26.937,23.685,16.601,312.1,,,,
lap,8,1'24.871,17.433,27.091,23.738,16.609,311.2,,,,
lap,9,1'25.128,17.436,27.205,23.878,16.609,313.0,,,,
lap,10,1'24.668,17.416,26.968,23.764,16.520,310.3,,,,
lap,11,1'24.529,17.454,26.671,23.831,16.573,309.4,,,,
lap,12,1'24.681,17.327,26.928,23.744,16.682,312.1,,,,
lap,13,1'25.056,17.378,27.125,23.926,16.627,314.8,,,,
lap,14,1'24.884,17.483,26.962,23.901,16.538,309.4,,,,
lap,15,1'24.491,17.368,26.592,23.947,16.584,308.5,,,,
lap,16,1'24.589,17.517,26.583,23.961,16.528,309.4,,,,
rider,8th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'29.066,20.160,27.880,24.281,16.745,294.2,,,,
lap,2,1'25.504,17.405,27.375,24.180,16.544,313.0,,,,
lap,3,1'25.049,17.443,26.982,24.000,16.624,310.3,,,,
lap,4,1'24.780,17.411,26.849,23.980,16.540,313.9,,,,
lap,5,1'24.995,17.360,27.059,23.966,16.610,314.8,,,,
lap,6,1'24.475,17.426,26.643,23.890,16.516,310.3,,,,
lap,7,1'24.682,17.466,26.794,23.891,16.531,312.1,,,,
lap,8,1'24.815,17.387,26.848,23.988,16.592,311.2,,,,
lap,9,1'24.782,17.360,26.882,23.962,16.578,312.1,,,,
lap,10,1'24.868,17.423,27.060,23.913,16.472,311.2,,,,
lap,11,1'24.912,17.566,26.803,23.958,16.585,309.4,,,,
lap,12,1'24.711,17.476,26.724,24.003,16.508,308.5,,,,
lap,13,1'25.370,17.668,27.056,24.022,16.624,302.5,,,,
lap,14,1'25.499,17.508,27.331,23.990,16.670,309.4,,,,
lap,15,1'25.072,17.451,26.871,24.126,16.624,312.1,,,,
lap,16,1'25.052,17.433,26.926,24.120,16.573,311.2,,,,
rider,9th,27,Iker,LECUONA,KTM,SPA,Red,Bull,KTM,Tech,3
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,
lap,1,1'29.706,20.649,28.029,24.210,16.818,287.2,,,,
lap,2,1'25.839,17.805,27.293,24.083,16.658,305.9,,,,
lap,3,1'25.101,17.561,27.159,23.767,16.614,305.0,,,,
lap,4,1'24.874,17.511,26.899,23.769,16.695,305.9,,,,
lap,5,1'24.960,17.512,27.106,23.710,16.632,306.8,,,,
