0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,August 23,MotoGP,Red Bull Ring,WUP,,,,,,,,,
rider,1st,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=14,laps=12,,,
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,,,,
lap,1,2'35.361,11.115,31.563,26.428,17.930,261.5,,,,,,,
lap,2,1'28.854,18.257,28.396,25.177,17.024,302.5,,,,,,,
lap,3,1'27.059,17.783,27.504,24.715,17.057,307.6,,,,,,,
lap,4,1'25.835,17.606*,27.376,24.124,16.729,309.4,,,,,,,
lap,5,1'24.895,17.407,26.838,24.049,16.601,311.2,,,,,,,
lap,6,1'24.444,17.283,26.750,23.947,16.464,312.1,,,,,,,
lap,7,1'25.561,17.623,26.985,24.286,16.667,309.4,,,,,,,
lap,8,1'24.319,17.278,26.613,23.989,16.439,312.1,,,,,,,
lap,9,1'30.579,17.358,29.507,27.038,16.676,313.0,,,,,,,
lap,10,1'25.870,17.366,26.887,24.327,17.290,315.7,,,,,,,
lap,11,1'24.469,17.390,26.600,24.048,16.431,311.2,,,,,,,
lap,12,1'24.126,17.278,26.496,23.881,16.471,313.0,,,,,,,
lap,13,1'24.942,17.254,26.690,24.348,16.650,313.9,,,,,,,
lap,14,1'29.446,17.305,28.622,26.254,17.265,312.1,,,,,,,
rider,2nd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=14,laps=10,,
run,1,Wet-Soft,Wet-Soft,0,0,,,,,,,,,
lap,1,2'05.582,P,11.047,32.526,28.363,25.631,242.1,,,,,,
run,2,Slick-Medium,Slick-Medium,9,0,,,,,,,,,
lap,2,2'05.575,10.694,30.026,25.662,17.286,279.7,,,,,,,
lap,3,1'26.930,17.842,27.755,24.516,16.817,300.8,,,,,,,
lap,4,1'26.033,17.734,27.418,24.264,16.617,299.1,,,,,,,
lap,5,1'24.858,17.434,26.919,23.936,16.569,303.3,,,,,,,
lap,6,1'24.363,17.424,26.604,23.876,16.459,302.5,,,,,,,
lap,7,1'24.544,17.434,26.697,23.901,16.512,303.3,,,,,,,
lap,8,1'24.365,17.357,26.779,23.743,16.486,306.8,,,,,,,
lap,9,1'24.312,17.328,26.704,23.807,16.473,305.0,,,,,,,
lap,10,1'28.649,17.476*,30.507,24.119,16.547,304.2,,,,,,,
lap,11,1'25.576,17.390,26.779,24.545,16.862,307.6,,,,,,,
lap,12,1'27.328,17.483,29.368,23.949,16.528,305.0,,,,,,,
lap,13,1'24.439,17.354,26.774,23.728,16.583,305.9,,,,,,,
lap,14,1'27.735,18.969*,28.112,24.110,16.544,277.6,,,,,,,
rider,3rd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=13,laps=7,,
run,1,Slick-Medium,Slick-Soft,12,12,,,,,,,,,
lap,1,1'59.129,11.592,31.769,26.896,18.307,251.1,,,,,,,
lap,2,1'37.862,P,18.121,29.280,25.977,24.484,304.2,,,,,,
run,2,Slick-Soft,Slick-Soft,6,5,,,,,,,,,
lap,3,2'05.765,10.517,29.197,25.149,17.074,287.2,,,,,,,
lap,4,1'25.504,17.614,27.163,24.017,16.710,308.5,,,,,,,
lap,5,1'25.005,17.630,26.925,23.837,16.613,309.4,,,,,,,
lap,6,1'24.655,17.428,26.887,23.756,16.584,310.3,,,,,,,
lap,7,1'29.532,17.360,26.684,23.700,21.788*,310.3,,,,,,,
lap,8,1'28.707,20.187,27.708,24.234,16.578,306.8,,,,,,,
lap,9,1'24.353,17.294,26.714,23.776,16.569,308.5,,,,,,,
lap,10,1'24.521,17.384,26.827,23.831,16.479,309.4,,,,,,,
lap,11,1'24.550,17.406,26.827,23.842,16.475,310.3,,,,,,,
lap,12,1'27.881,19.283*,27.742,24.165,16.691,278.3,,,,,,,
lap,13,1'24.430,17.434*,26.652,23.879,16.465,307.6,,,,,,,
rider,4th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=6,laps=4,,,
run,1,Wet-Medium,Wet-Medium,0,0,,,,,,,,,
lap,1,1'59.485,P,11.729,33.124,28.634,25.217,216.4,,,,,,
run,2,Slick-Soft,Slick-Soft,0,5,,,,,,,,,
lap,2,13'33.334,10.606,31.297,26.737,18.153,258.9,,,,,,,
lap,3,1'27.881,18.128,28.059,24.839,16.855,305.0,,,,,,,
lap,4,1'28.115,18.736,28.608,24.132,16.639,302.5,,,,,,,
lap,5,1'24.804,17.425,26.929,23.904,16.546,311.2,,,,,,,
lap,6,1'24.364,17.350,26.856,23.705,16.453,309.4,,,,,,,
rider,5th,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=13,laps=10,
run,1,Slick-Medium,Slick-Soft,5,4,,,,,,,,,
lap,1,1'42.993,10.291,30.763,25.832,17.255,257.1,,,,,,,
