0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,Saturday September,MotoGP,Misano World Circuit Marco Simoncelli,Q2,,,,,,,,,
rider,1st,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=9,laps=3,
run,1,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,1,1'44.515,33.751,21.438,25.772,20.844,287.2,,,,,,,
lap,2,1'32.130,25.766,20.589,25.136,20.639,289.5,,,,,,,
lap,3,1'37.583,P,27.582*,21.024,25.846,23.131,288.0,,,,,,
run,2,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,4,1'41.708,34.014,21.165,25.606,20.923,288.0,,,,,,,
lap,5,1'32.094,25.767,20.634,25.114,20.579*,288.7,,,,,,,
lap,6,1'31.787,25.614,20.544,25.055,20.574,288.7,,,,,,,
lap,7,1'36.070,P,26.484*,20.894,25.745,22.947,287.2,,,,,,
run,3,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,8,1'40.629,33.149,20.969,25.621,20.890,287.2,,,,,,,
lap,9,1'31.411,25.560,20.431,24.969,20.451,288.7,,,,,,,
rider,2nd,21,FPreatrnoncaos,YMaOmRahBa,ISDRETLLI,YAMAHA,ITA,Total,laps=7,laps=2,,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'25.720,35.360,21.743,25.597,21.271,286.4,,,,,,,
lap,2,1'32.806,25.762,20.745,25.265,21.034,286.4,,,,,,,
lap,3,1'32.025,25.695,20.604,25.164,20.562,288.0,,,,,,,
lap,4,1'40.763,P,29.793*,21.290,26.402,23.278,279.0,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,1'56.406,45.039,24.561,25.836,20.970*,284.9,,,,,,,
lap,6,1'36.129,29.001*,21.150,25.285*,20.693,287.2,,,,,,,
lap,7,1'31.723,25.554,20.500,25.120,20.549,288.0,,,,,,,
rider,3rd,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=7,laps=3,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'43.210,34.857,21.898,25.925,21.211,285.7,,,,,,,
lap,2,1'33.591,25.612,20.764,24.999,22.216*,288.0,,,,,,,
lap,3,1'31.791,25.561,20.684,24.976,20.570,287.2,,,,,,,
lap,4,1'40.420,P,28.020*,22.185,26.851,23.364,284.2,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,1'56.674,41.907,25.304,28.169,21.294,284.2,,,,,,,
lap,6,1'31.825,25.602,20.735,24.923,20.565,288.7,,,,,,,
lap,7,1'31.929,25.536,20.654,25.013,20.726,288.7,,,,,,,
rider,4th,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,Total,laps=8,laps=5,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'21.730,35.264,21.926,28.098,21.713,283.4,,,,,,,
lap,2,1'32.818,26.044,20.784,25.319,20.671,287.2,,,,,,,
lap,3,1'31.877,25.701,20.481,25.170,20.525,287.2,,,,,,,
lap,4,1'42.482,P,31.742*,21.157,26.703,22.880,279.7,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,1'40.704,33.067,21.223,25.734,20.680,282.7,,,,,,,
lap,6,1'32.253,25.808,20.643,25.221,20.581,285.7,,,,,,,
lap,7,1'36.488,25.676,20.733,29.053,21.026,284.2,,,,,,,
lap,8,1'32.541,25.861,20.707,25.344,20.629,287.2,,,,,,,
rider,5th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=8,laps=5,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'17.510,36.086,22.194,37.240,21.207,93.2,,,,,,,
lap,2,1'32.563,26.123,20.511,25.392,20.537,297.5,,,,,,,
lap,3,1'38.239,30.573,21.388,25.649,20.629,297.5,,,,,,,
lap,4,1'37.109,P,26.339,20.991,26.894,22.885,288.7,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,1'43.755,34.297,21.243,26.849*,21.366,293.4,,,,,,,
lap,6,1'36.005,26.042,22.471,26.219,21.273,293.4,,,,,,,
lap,7,1'32.200,25.900,20.380,25.195,20.725,295.8,,,,,,,
lap,8,1'32.052,25.932,20.325,25.268,20.527,296.7,,,,,,,
rider,6th,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,Total,laps=7,laps=4,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,2'20.496,34.833,21.885,26.690,22.838*,292.6,,,,,,,
lap,2,1'32.449,26.103,20.521,25.230,20.595,300.0,,,,,,,
lap,3,1'32.054,25.908,20.464,25.107,20.575,301.6,,,,,,,
lap,4,1'42.400,P,32.526*,21.286,26.337,22.251,289.5,,,,,,
run,2,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,5,1'44.364,34.998,21.961,26.308,21.097,295.0,,,,,,,
lap,6,1'33.357,26.139,20.867,25.413,20.938,296.7,,,,,,,
lap,7,1'32.192,25.807,20.513,25.238,20.634,297.5,,,,,,,
rider,7th,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=9,laps=5,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,1'45.222,33.755,21.410,25.800*,20.973,291.1,,,,,,,
lap,2,1'35.509,25.922,20.617,27.237,21.733*,291.8,,,,,,,
lap,3,1'34.084,26.059,21.154,25.924,20.947,288.7,,,,,,,
lap,4,1'32.894,26.003,20.739,25.393,20.759,288.7,,,,,,,
lap,5,1'38.257,P,28.077*,21.423,26.362,22.395,282.7,,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,6,1'42.531,33.850,21.451,26.133,21.097,290.3,,,,,,,
lap,7,1'32.929,25.987,20.727,25.494,20.721,290.3,,,,,,,
lap,8,1'32.090,25.828,20.471,25.248,20.543,290.3,,,,,,,
lap,9,1'32.287,25.722,20.602,25.316,20.647,290.3,,,,,,,
rider,8th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=9,laps=5,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'13.958,35.692,22.050,29.876,21.360,162.4,,,,,,,
lap,2,1'33.249,26.026,20.867,25.651,20.705,286.4,,,,,,,
lap,3,1'32.581,25.821,20.651,25.583,20.526,288.7,,,,,,,
lap,4,1'32.640,25.885,20.603,25.543,20.609,286.4,,,,,,,
lap,5,1'37.593,P,27.191,21.497,26.340,22.565,285.7,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,1'41.905,33.673,21.635,25.753,20.844*,288.0,,,,,,,
lap,7,1'43.901,35.566,21.549,26.130,20.656*,288.7,,,,,,,
lap,8,1'32.507,25.792,20.741,25.326,20.648,288.7,,,,,,,
lap,9,1'32.102,25.684,20.665,25.248,20.505,288.0,,,,,,,
rider,9th,4,Andrea,DOVIZIOSO,DUCATI,ITA,Ducati,Team,Total,laps=9,laps=5,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'15.422,40.539,23.024,32.911,21.564,131.2,,,,,,,
lap,2,1'36.838,27.519,21.759,25.649,21.911,297.5,,,,,,,
lap,3,1'32.688,26.111,20.626,25.323,20.628,297.5,,,,,,,
lap,4,1'43.164,P,30.762,21.423,28.627,22.352,213.8,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,1'44.359,34.643,21.712,26.637,21.367,291.1,,,,,,,
lap,6,1'34.629,26.879,20.737,26.187,20.826*,293.4,,,,,,,
lap,7,1'32.299,25.954,20.484,25.385,20.476,295.0,,,,,,,
lap,8,1'32.189,25.953,20.417,25.276,20.543,295.8,,,,,,,
lap,9,1'32.184,26.011,20.316,25.310,20.547,295.0,,,,,,,
rider,10th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=7,laps=4,,,
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'18.591,35.198,22.413,33.402,21.290,219.9,,,,,,,
lap,2,1'33.147,26.203,20.647,25.563,20.734,296.7,,,,,,,
lap,3,1'32.755,25.906,20.671,25.437,20.741,292.6,,,,,,,
lap,4,1'45.763,P,34.223*,21.235,26.832,23.473,280.5,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,2'08.881,42.960,23.688,37.678,24.555*,279.7,,,,,,,
lap,6,1'32.535,25.986,20.710,25.247,20.592,294.2,,,,,,,
lap,7,1'32.218,25.876,20.459,25.388,20.495,293.4,,,,,,,
rider,11th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=5,laps=1
run,1,Slick-Hard,Slick-Soft,8,0,,,,,,,,,
lap,1,2'16.506,40.681,22.766,35.015,21.267,128.1,,,,,,,
lap,2,7'50.870,P,25.947,20.529,25.128,6'39.266,293.4,,,,,,
run,2,Slick-Hard,Slick-Soft,5,1,,,,,,,,,
lap,3,1'57.321,42.842,26.026,26.397,22.056,293.4,,,,,,,
lap,4,1'40.527,28.606,25.177,25.688*,21.056,295.8,,,,,,,
lap,5,1'32.266,25.856,20.552,25.065,20.793,293.4,,,,,,,
rider,12th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=4,laps=2
run,1,Slick-Hard,Slick-Soft,8,0,,,,,,,,,
lap,1,11'42.117,34.733,21.291,25.879,20.962,291.1,,,,,,,
lap,2,1'32.353,25.920,20.547,25.401,20.485,291.8,,,,,,,
lap,3,1'32.323,25.867,20.493,25.419,20.544,290.3,,,,,,,
lap,4,1'43.578,34.768*,21.430,25.907,21.473,289.5,,,,,,,
