0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,September 13,MotoGP,Misano World Circuit Marco Simoncelli,RACE,,,,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=27,laps=26,,
run,1,Slick-Hard,Slick-Medium,0,0,,,,,,,,,
lap,1,1'38.731,30.879,21.306,25.480,21.066,284.2,,,,,,,
lap,2,1'33.337,25.951,21.004,25.461,20.921,283.4,,,,,,,
lap,3,1'33.277,25.931,20.945,25.439,20.962,283.4,,,,,,,
lap,4,1'33.332,26.011,20.866,25.508,20.947,283.4,,,,,,,
lap,5,1'33.229,25.924,20.881,25.492,20.932,284.2,,,,,,,
lap,6,1'33.143,25.940,20.852,25.524,20.827,283.4,,,,,,,
lap,7,1'33.270,25.959,20.859,25.568,20.884,283.4,,,,,,,
lap,8,1'33.068,25.995,20.841,25.406,20.826,284.2,,,,,,,
lap,9,1'33.107,25.948,20.835,25.485,20.839,283.4,,,,,,,
lap,10,1'33.377,26.023,20.871,25.535,20.948,282.7,,,,,,,
lap,11,1'32.931,25.938,20.834,25.369,20.790,284.2,,,,,,,
lap,12,1'33.052,25.972,20.716,25.463,20.901,284.9,,,,,,,
lap,13,1'33.167,26.015,20.803,25.514,20.835,282.7,,,,,,,
lap,14,1'33.109,25.972,20.842,25.484,20.811,284.2,,,,,,,
lap,15,1'32.748,25.899,20.748,25.321,20.780,286.4,,,,,,,
lap,16,1'33.142,25.982,20.894,25.438,20.828,284.2,,,,,,,
lap,17,1'33.130,26.047,20.783,25.484,20.816,284.2,,,,,,,
lap,18,1'33.177,26.066,20.808,25.457,20.846,284.9,,,,,,,
lap,19,1'33.178,26.035,20.777,25.519,20.847,284.2,,,,,,,
lap,20,1'33.108,25.981,20.774,25.530,20.823,284.9,,,,,,,
lap,21,1'33.239,26.046,20.801,25.522,20.870,284.2,,,,,,,
lap,22,1'33.154,26.059,20.719,25.511,20.865,284.2,,,,,,,
lap,23,1'33.208,26.039,20.752,25.530,20.887,282.7,,,,,,,
lap,24,1'33.457,26.030,20.853,25.665,20.909,284.2,,,,,,,
lap,25,1'33.443,26.068,20.775,25.655,20.945,284.9,,,,,,,
lap,26,1'33.567,26.130,20.856,25.641,20.940,284.2,,,,,,,
lap,27,1'33.591,26.174,20.814,25.618,20.985,284.2,,,,,,,
rider,2nd,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,Total,laps=27,laps=25,,,
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,1,1'40.327,32.292,21.145,25.694,21.196,300.8,,,,,,,
lap,2,1'34.866,26.884,21.190,25.726,21.066,298.3,,,,,,,
lap,3,1'33.884,26.299,20.968,25.688,20.929,295.8,,,,,,,
lap,4,1'33.551,26.245,20.970,25.573,20.763,296.7,,,,,,,
lap,5,1'33.269,26.162,20.831,25.509,20.767,295.8,,,,,,,
lap,6,1'33.072,26.021,20.768,25.425,20.858,295.0,,,,,,,
lap,7,1'32.895,26.080,20.730,25.315,20.770,295.8,,,,,,,
lap,8,1'32.706,26.041,20.626,25.298,20.741,297.5,,,,,,,
lap,9,1'33.710,26.223,20.964,25.819,20.704,299.1,,,,,,,
lap,10,1'32.910,26.193,20.565,25.466,20.686,294.2,,,,,,,
lap,11,1'32.890,26.063,20.595,25.489,20.743,295.0,,,,,,,
lap,12,1'32.852,26.021,20.661,25.381,20.789,295.8,,,,,,,
lap,13,1'33.025,26.068,20.672,25.446,20.839,296.7,,,,,,,
lap,14,1'33.431,26.433,20.952,25.333,20.713,297.5,,,,,,,
lap,15,1'32.977,26.138,20.702,25.380,20.757,299.1,,,,,,,
lap,16,1'32.842,26.092,20.646,25.331,20.773*,297.5,,,,,,,
lap,17,1'32.830,26.124,20.668,25.260,20.778,299.1,,,,,,,
lap,18,1'32.972,26.153,20.684,25.272,20.863,300.0,,,,,,,
lap,19,1'33.122,26.147,20.748,25.353,20.874,294.2,,,,,,,
lap,20,1'33.420,26.263,20.845,25.414,20.898,301.6,,,,,,,
lap,21,1'33.178,26.110,20.884,25.326,20.858,297.5,,,,,,,
lap,22,1'33.192,26.035,20.821,25.387,20.949,295.0,,,,,,,
lap,23,1'33.247,26.010,20.846,25.411,20.980,294.2,,,,,,,
lap,24,1'33.688,26.269,20.791,25.593,21.035,294.2,,,,,,,
lap,25,1'33.036,26.155,20.654,25.356,20.871,296.7,,,,,,,
lap,26,1'33.018,26.084,20.704,25.384,20.846,296.7,,,,,,,
lap,27,1'33.579,26.068,20.799,25.675,21.037,296.7,,,,,,,
rider,3rd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=27,laps=24,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,1'40.458,32.050,21.285,25.904,21.219,293.4,,,,,,,
lap,2,1'33.573,26.303,20.995,25.457,20.818,293.4,,,,,,,
lap,3,1'33.348,26.230,20.931,25.413,20.774,292.6,,,,,,,
lap,4,1'33.345,26.154,21.010,25.517,20.664,291.8,,,,,,,
lap,5,1'33.360,26.155,20.848,25.623,20.734,291.1,,,,,,,
lap,6,1'33.406,26.114,20.788,25.699,20.805,288.0,,,,,,,
lap,7,1'33.323,26.093,20.879,25.600,20.751,291.1,,,,,,,
lap,8,1'33.338,26.129,20.913,25.541,20.755,291.1,,,,,,,
lap,9,1'33.830,26.510,21.015,25.590,20.715,292.6,,,,,,,
lap,10,1'33.899,26.702,20.744,25.770,20.683,290.3,,,,,,,
lap,11,1'33.298,26.129,20.831,25.656,20.682,288.7,,,,,,,
lap,12,1'33.303,26.153,20.851,25.571,20.728,289.5,,,,,,,
lap,13,1'33.116,26.134,20.676,25.600,20.706,288.7,,,,,,,
