0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,September 13,MotoGP,Misano World Circuit Marco Simoncelli,WUP,,,,,,,,,
rider,1st,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=12,laps=7,,
run,1,Slick-Medium,Slick-Soft,8,4,,,,,,,,,
lap,1,2'05.820,35.785,23.409,27.397,21.868,284.2,,,,,,,
lap,2,1'35.003,26.577,21.285,26.053,21.088,291.1,,,,,,,
lap,3,1'33.648,26.340,20.960,25.539,20.809,292.6,,,,,,,
lap,4,1'33.645,26.216,20.957,25.623,20.849,292.6,,,,,,,
lap,5,1'43.926,P,29.314*,24.161,26.898,23.553,281.9,,,,,,
run,2,Slick-Medium,Slick-Soft,7,4,,,,,,,,,
lap,6,1'45.292,34.056,22.801,26.723,21.712,287.2,,,,,,,
lap,7,1'34.701,26.847,21.035,25.810,21.009,291.1,,,,,,,
lap,8,1'33.015,26.135,20.779,25.327,20.774,293.4,,,,,,,
lap,9,1'41.004,30.415*,23.790,25.716,21.083,293.4,,,,,,,
lap,10,1'32.862,26.024,20.677,25.334,20.827,295.0,,,,,,,
lap,11,1'41.193,28.412*,23.620,27.495,21.666,281.9,,,,,,,
lap,12,1'32.781,26.013,20.784,25.317,20.667,292.6,,,,,,,
rider,2nd,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=13,laps=9,,
run,1,Slick-Medium,Slick-Medium,5,0,,,,,,,,,
lap,1,1'53.452,37.767,23.320,27.006,22.242,283.4,,,,,,,
lap,2,1'36.111,26.835,21.386,26.090,21.800,293.4,,,,,,,
lap,3,1'33.764,26.185,21.015,25.546,21.018,291.1,,,,,,,
lap,4,1'35.386,27.397,21.268,25.624,21.097,291.1,,,,,,,
lap,5,1'33.610,26.245,21.028,25.465,20.872,293.4,,,,,,,
lap,6,1'33.533,26.175,20.887,25.572,20.899,291.1,,,,,,,
lap,7,1'33.408,26.146,20.890,25.478,20.894,287.2,,,,,,,
