0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,Saturday September,MotoGP,Misano World Circuit Marco Simoncelli,FP3,,,,,,,,,
rider,1st,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,Total,laps=16,laps=5,,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,,,,
lap,1,2'31.999,35.969,22.801,26.302,21.731,297.5,,,,,,,
lap,2,1'34.510,26.487,21.288,25.590,21.145,299.1,,,,,,,
lap,3,1'33.944,26.657,20.950,25.422,20.915,299.1,,,,,,,
lap,4,1'32.965,25.974,20.641,25.244,21.106,298.3,,,,,,,
lap,5,1'32.049,25.781,20.438,25.135,20.695,299.1,,,,,,,
lap,6,1'32.129,25.765,20.490,25.231,20.643,301.6,,,,,,,
lap,7,1'39.792,P,28.052*,21.911,26.873,22.956,288.7,,,,,,
run,2,Slick-Medium,Slick-Medium,7,7,,,,,,,,,
lap,8,1'46.787,38.524,21.611,25.665,20.987,298.3,,,,,,,
lap,9,1'39.517,29.463*,23.565,25.517,20.972,298.3,,,,,,,
lap,10,1'38.131,P,25.994,23.086,26.545,22.506,285.7,,,,,,
run,3,Slick-Hard,Slick-Soft,0,0,,,,,,,,,
lap,11,1'47.459,38.263,22.110,25.956,21.130,298.3,,,,,,,
lap,12,1'32.754,26.218,20.481,25.378,20.677,300.8,,,,,,,
lap,13,1'31.127,25.669,20.269,24.706,20.483,300.0,,,,,,,
lap,14,1'36.877,P,27.373*,21.413,26.095,21.996,294.2,,,,,,
run,4,Slick-Hard,Slick-Soft,4,0,,,,,,,,,
lap,15,1'45.214,34.801,22.819,26.174,21.420,295.0,,,,,,,
lap,unfinished,26.085,,,,,,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=19,laps=6,
run,1,Slick-Medium,Slick-Hard,4,0,,,,,,,,,
lap,1,2'32.229,35.375,22.812,26.400,21.672,291.1,,,,,,,
lap,2,1'36.795,26.564,21.681,27.409,21.141,289.5,,,,,,,
lap,3,1'33.660,26.632,20.843,25.292,20.893,291.1,,,,,,,
lap,4,1'33.261,25.956,21.032,25.384,20.889,290.3,,,,,,,
lap,5,1'38.041,P,27.291,21.659,26.199,22.892,284.9,,,,,,
run,2,Slick-Medium,Slick-Hard,9,5,,,,,,,,,
lap,6,1'44.964,37.204,21.471,25.373,20.916,287.2,,,,,,,
lap,7,1'37.694,29.565,21.085,26.055,20.989*,283.4,,,,,,,
lap,8,1'32.725,25.882,20.795,25.253*,20.795,288.0,,,,,,,
lap,9,1'33.724,25.814,20.796,25.682*,21.432,288.7,,,,,,,
lap,10,1'32.519,25.828,20.807,25.109,20.775,288.7,,,,,,,
lap,11,1'34.717,P,25.866,20.779,25.218,22.854,289.5,,,,,,
run,3,Slick-Medium,Slick-Hard,15,11,,,,,,,,,
lap,12,1'41.799,34.164,21.308,25.438,20.889,288.0,,,,,,,
lap,13,1'32.518,25.926,20.709,25.145,20.738,288.7,,,,,,,
lap,14,1'32.262,25.734,20.722,25.122,20.684,288.7,,,,,,,
