0,1,2,3,4,5,6,7,8,9,10,11
const,2020,September 20,MotoGP,Misano World Circuit Marco Simoncelli,RACE,,,,,,
rider,1st,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'38.218,30.861,21.058,25.448,20.851,285.7,,,,
lap,2,1'32.852,25.909,20.799,25.277,20.867,287.2,,,,
lap,3,1'32.747,25.874,20.748,25.228,20.897,286.4,,,,
lap,4,1'32.817,25.869,20.878,25.305,20.765,285.7,,,,
lap,5,1'32.543,25.843,20.696,25.241,20.763,286.4,,,,
lap,6,1'33.599,26.305,21.015,25.401,20.878,288.7,,,,
lap,7,1'32.739,25.923,20.725,25.285,20.806,286.4,,,,
lap,8,1'32.726,25.833,20.850,25.283,20.760,288.0,,,,
lap,9,1'32.754,25.902,20.758,25.305,20.789,288.0,,,,
lap,10,1'32.571,25.832,20.771,25.241,20.727,288.0,,,,
lap,11,1'32.771,25.941,20.760,25.246,20.824,288.0,,,,
lap,12,1'32.533,25.814,20.672,25.306*,20.741,288.7,,,,
lap,13,1'32.484,25.846,20.705,25.199,20.734,288.0,,,,
lap,14,1'32.667,25.804,20.778,25.306,20.779,288.0,,,,
lap,15,1'32.615,25.912,20.671,25.316,20.716,287.2,,,,
lap,16,1'32.582,25.809,20.738,25.324,20.711,288.0,,,,
lap,17,1'32.652,25.906,20.652,25.299,20.795,288.0,,,,
lap,18,1'32.935,26.016,20.742,25.389,20.788,288.7,,,,
lap,19,1'32.764,25.893,20.704,25.438,20.729,288.0,,,,
lap,20,1'32.833,25.953,20.705,25.413,20.762,288.0,,,,
lap,21,1'33.266,26.004,20.765,25.598,20.899,286.4,,,,
lap,22,1'33.362,26.135,20.827,25.488,20.912,288.0,,,,
lap,23,1'33.329,26.094,20.762,25.550,20.923,287.2,,,,
lap,24,1'33.598,26.113,20.830,25.701,20.954,286.4,,,,
lap,25,1'33.620,26.191,20.810,25.669,20.950,288.0,,,,
lap,26,1'33.977,26.273,21.063,25.710,20.931,288.0,,,,
lap,27,1'34.292,26.272,20.948,25.818,21.254,287.2,,,,
rider,2nd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Medium,Slick-Medium,0,0,,,,,,
lap,1,1'40.306,32.346,21.575,25.563,20.822,294.2,,,,
lap,2,1'33.798,26.261,20.968,25.515,21.054,295.8,,,,
lap,3,1'33.558,26.376,20.866,25.394,20.922,295.0,,,,
lap,4,1'33.757,26.453,20.906,25.488,20.910,292.6,,,,
lap,5,1'33.388,25.988,20.815,25.834,20.751,288.7,,,,
lap,6,1'32.975,26.071,20.788,25.396,20.720,290.3,,,,
lap,7,1'32.680,25.997,20.672,25.369,20.642,288.0,,,,
lap,8,1'32.812,25.967,20.682,25.442,20.721,289.5,,,,
lap,9,1'32.891,26.033,20.664,25.475,20.719,288.7,,,,
lap,10,1'32.540,25.862,20.606,25.358,20.714,288.7,,,,
lap,11,1'32.784,25.927,20.679,25.469,20.709,290.3,,,,
lap,12,1'32.681,25.891,20.743,25.356,20.691,290.3,,,,
lap,13,1'32.868,25.942,20.789,25.382,20.755,290.3,,,,
lap,14,1'32.808,25.984,20.718,25.410,20.696,288.7,,,,
lap,15,1'32.766,26.002,20.707,25.411,20.646,289.5,,,,
lap,16,1'32.753,25.971,20.742,25.375,20.665,289.5,,,,
lap,17,1'32.726,25.973,20.668,25.378,20.707,289.5,,,,
lap,18,1'32.814,26.040,20.675,25.430,20.669,290.3,,,,
lap,19,1'32.922,25.976,20.703,25.489,20.754,288.7,,,,
lap,20,1'32.967,25.978,20.725,25.533,20.731,286.4,,,,
lap,21,1'32.992,26.003,20.812,25.475,20.702,289.5,,,,
lap,22,1'32.867,26.002,20.749,25.384,20.732,291.1,,,,
lap,23,1'32.854,26.090,20.695,25.318,20.751,291.8,,,,
lap,24,1'33.037,26.086,20.763,25.309,20.879,292.6,,,,
lap,25,1'33.748,26.435,20.865,25.504,20.944,290.3,,,,
lap,26,1'33.038,26.100,20.712,25.482,20.744,289.5,,,,
lap,27,1'32.941,26.014,20.794,25.413,20.720,289.5,,,,
rider,3rd,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing
run,1,Slick-Hard,Slick-Soft,0,0,,,,,,
lap,1,1'39.342,31.631,21.072,25.669,20.970,291.1,,,,
lap,2,1'33.645,26.452,20.872,25.456,20.865,294.2,,,,
lap,3,1'32.568,25.976,20.508,25.350,20.734,291.8,,,,
lap,4,1'32.738,25.987,20.550,25.482,20.719,291.8,,,,
lap,5,1'32.694,26.024,20.512,25.420,20.738,292.6,,,,
lap,6,1'32.857,26.089,20.517,25.440,20.811,293.4,,,,
lap,7,1'32.844,26.183,20.567,25.353,20.741,292.6,,,,
lap,8,1'32.885,26.071,20.556,25.503,20.755,292.6,,,,
lap,9,1'32.739,25.998,20.516,25.387,20.838,292.6,,,,
lap,10,1'32.850,26.001,20.608,25.390,20.851,293.4,,,,
lap,11,1'32.655,25.992,20.498,25.335,20.830,293.4,,,,
lap,12,1'32.861,26.013,20.638,25.345,20.865,292.6,,,,
