0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,September 26,MotoGP,Circuit de Barcelona,FP3,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=18,laps=11,,
run,1,Slick-Soft,Slick-Soft,2,2,,,,,,,,,
lap,1,2'57.520,18.902,34.538,21.654,31.883,227.3,,,,,,,
lap,2,1'41.994,17.738,32.322,20.874,31.060,338.5,,,,,,,
lap,3,1'40.811,17.360,31.813,20.701,30.937,340.6,,,,,,,
lap,4,1'40.476,17.216,31.730,20.687,30.843,340.6,,,,,,,
lap,5,1'40.529,17.107,31.661,20.782,30.979,341.7,,,,,,,
lap,6,1'40.359,17.115,31.693,20.687,30.864,341.7,,,,,,,
lap,7,1'40.665,17.085,31.790,20.852,30.938,342.8,,,,,,,
lap,8,1'40.692,17.046,31.790,20.808,31.048,341.7,,,,,,,
lap,9,1'56.095,P,17.136,31.840,20.689,46.430,341.7,,,,,,
run,2,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,10,9'45.488,19.357,33.618,21.313,31.255,192.5,,,,,,,
lap,11,1'41.113,17.201,32.307,20.807,30.798,343.9,,,,,,,
lap,12,1'39.768,17.048,31.505,20.580,30.635,342.8,,,,,,,
lap,13,1'39.830,17.095,31.484,20.558,30.693,342.8,,,,,,,
lap,14,1'58.215,P,17.759,34.630,22.080,43.746,340.6,,,,,,
run,3,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,15,7'26.051,20.646,32.987,21.291,31.110,166.9,,,,,,,
lap,16,1'41.319,17.048,31.929,20.856,31.486,346.1,,,,,,,
lap,17,1'39.571,16.997,31.419,20.515,30.640,345.0,,,,,,,
lap,18,1'39.418,16.971,31.345,20.567,30.535,343.9,,,,,,,
rider,2nd,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=21,laps=12,
run,1,Slick-Soft,Slick-Soft,0,3,,,,,,,,,
lap,1,1'54.996,19.434,33.635,21.878,31.802,211.7,,,,,,,
lap,2,1'41.883,17.517,32.174,21.011,31.181,337.5,,,,,,,
lap,3,1'41.032,17.163,31.812,20.940,31.117,338.5,,,,,,,
lap,4,1'40.619,17.209,31.702,20.749,30.959,338.5,,,,,,,
lap,5,2'15.697,17.165,1'02.727,22.344,33.461,339.6,,,,,,,
lap,6,1'42.533,17.520,32.124,20.915,31.974,335.4,,,,,,,
lap,7,1'41.198,17.354,31.814,20.891,31.139,341.7,,,,,,,
lap,8,1'41.669,17.590,32.137,20.885,31.057,341.7,,,,,,,
lap,9,1'40.726,17.207,31.744,20.760,31.015,339.6,,,,,,,
lap,10,1'40.445,17.053,31.711,20.763,30.918,341.7,,,,,,,
lap,11,1'59.948,P,17.106,33.018,21.493,48.331,336.4,,,,,,
run,2,Slick-Soft,Slick-Soft,11,14,,,,,,,,,
lap,12,5'44.135,19.750,33.087,21.396,31.555,191.1,,,,,,,
lap,13,1'41.599,17.363,32.048,20.974,31.214,338.5,,,,,,,
lap,14,1'41.697,17.240,32.257,21.027*,31.173,339.6,,,,,,,
lap,15,1'55.739,P,17.227,35.559,21.365,41.588,339.6,,,,,,
run,3,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,16,5'01.601,18.535,32.281,21.025,30.926,201.8,,,,,,,
lap,17,1'39.687,17.018,31.430,20.655,30.584,342.8,,,,,,,
lap,18,1'39.462,16.926,31.362,20.604,30.570,341.7,,,,,,,
lap,19,1'42.020,17.474,32.196,21.427,30.923,340.6,,,,,,,
lap,20,1'40.857,16.874,31.611,20.900,31.472,341.7,,,,,,,
lap,21,2'03.481,P,16.939,43.843,21.517,41.182,340.6,,,,,,
rider,3rd,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=19,laps=12
run,1,Slick-Soft,Slick-Medium,0,0,,,,,,,,,
lap,1,2'05.832,21.028,34.246,22.090,32.321,146.7,,,,,,,
lap,2,1'43.043,17.649,32.512,21.393,31.489,329.2,,,,,,,
lap,3,1'42.057,17.411,32.250,21.108,31.288,320.4,,,,,,,
lap,4,1'42.870,17.257,32.678,21.366,31.569,327.2,,,,,,,
lap,5,1'41.148,17.192,31.866,21.016,31.074,340.6,,,,,,,
lap,6,1'59.058,P,17.819*,36.178*,22.747,42.314,341.7,,,,,,
run,2,Slick-Soft,Slick-Medium,6,6,,,,,,,,,
lap,7,6'38.948,20.190,32.957,21.511,31.467,149.5,,,,,,,
lap,8,1'41.438,17.237,32.128,20.906,31.167,341.7,,,,,,,
lap,9,1'42.323,17.108,32.691,21.316,31.208,342.8,,,,,,,
lap,10,1'41.015,17.109,31.872,20.887,31.147,342.8,,,,,,,
lap,11,1'41.074,17.126,31.944,20.914,31.090,341.7,,,,,,,
lap,12,1'55.493,P,17.707,34.107,21.683,41.996,339.6,,,,,,
run,3,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,13,7'16.992,20.443,32.416,21.077,31.073,159.7,,,,,,,
lap,14,1'40.527,17.074,31.802,20.722,30.929,343.9,,,,,,,
lap,15,1'39.981,16.985,31.674,20.596,30.726,343.9,,,,,,,
lap,16,1'54.177,P,17.288,32.260,22.524,42.105,339.6,,,,,,
run,4,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,17,3'48.555,27.323,37.355,21.044,30.957,97.2,,,,,,,
lap,18,1'39.867,16.995,31.544,20.547,30.781,346.1,,,,,,,
lap,19,1'39.507,16.846,31.431,20.623,30.607,346.1,,,,,,,
rider,4th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,Total,laps=20,laps=12,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
