0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,September 26,MotoGP,Circuit de Barcelona,Q2,,,,,,,,,
rider,1st,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,Total,laps=8,laps=5,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,1'47.025,18.309,32.536,21.002,31.143,222.6,,,,,,,
lap,2,1'40.195,17.338,31.614,20.645,30.598,338.5,,,,,,,
lap,3,1'39.110,16.892,31.233,20.492,30.493,338.5,,,,,,,
lap,4,1'52.738,P,17.016,33.004,21.599,41.119,338.5,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,3'07.234,18.978,31.949,20.715,30.877,175.0,,,,,,,
lap,6,1'40.372,16.988,31.750,20.826,30.808,339.6,,,,,,,
lap,7,1'39.140,16.858,31.095,20.610,30.577,339.6,,,,,,,
lap,8,1'38.798,16.813,31.147,20.417,30.421,338.5,,,,,,,
rider,2nd,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=8,laps=5,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'35.031,18.235,33.202,21.179,31.051,225.4,,,,,,,
lap,2,1'46.735,17.049,31.426,20.529,37.731,342.8,,,,,,,
lap,3,1'52.495,P,16.959,31.267,20.544,43.725,342.8,,,,,,
run,2,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,4,3'42.679,19.034,32.619,21.274,31.043,213.8,,,,,,,
lap,5,1'39.192,16.919,31.270,20.519,30.484,340.6,,,,,,,
lap,6,1'39.008,16.796,31.197,20.466,30.549,341.7,,,,,,,
lap,7,1'41.027,16.808,31.261,20.983,31.975,340.6,,,,,,,
lap,8,1'39.491,16.839,31.395,20.625,30.632,345.0,,,,,,,
rider,3rd,46,VMaolnesntetri,nEnoe,rRgyO,YSaSmIaha,MotoGPYAMAHA,ITA,Total,laps=7,laps=4,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'17.918,18.678,33.344,21.485,31.397,219.9,,,,,,,
lap,2,1'39.851,17.002,31.510,20.604,30.735,345.0,,,,,,,
lap,3,1'39.937,16.946,31.504,20.646,30.841,343.9,,,,,,,
lap,4,1'58.430,P,18.377*,36.696*,21.637,41.720,340.6,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,4'13.056,17.753,31.671,20.606,30.824,197.0,,,,,,,
lap,6,1'39.129,16.834,31.272,20.490,30.533,345.0,,,,,,,
lap,7,1'39.376,16.872,31.286,20.453,30.765,343.9,,,,,,,
rider,4th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,Total,laps=8,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'05.212,18.614,33.897,24.255,32.997,222.2,,,,,,,
lap,2,1'50.006,17.390,35.332,24.679,32.605,339.6,,,,,,,
lap,3,1'43.843,16.931,34.818,20.954,31.140,347.2,,,,,,,
lap,4,1'39.225,16.745,31.309,20.580,30.591,348.3,,,,,,,
lap,5,1'52.851,P,17.006,33.460,21.145,41.240,350.6,,,,,,
run,2,Slick-Soft,Slick-Soft,5,3,,,,,,,,,
lap,6,3'10.235,18.528,33.199,21.692,37.119,223.1,,,,,,,
lap,7,1'43.924,17.475,33.850,21.112,31.487,342.8,,,,,,,
lap,8,1'39.787,16.842,31.422,20.641,30.882,347.2,,,,,,,
rider,5th,12,Maverick,VIÑALES,YAMAHA,SPA,Monster,Energy,Yamaha,MotoGP,Total,laps=7,laps=4,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'41.040,17.904,32.284,20.967,30.953,224.5,,,,,,,
lap,2,1'39.655,16.898,31.412,20.650,30.695,342.8,,,,,,,
lap,3,1'55.365,P,17.035,31.347,20.706,46.277,342.8,,,,,,
run,2,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,4,3'52.194,17.974,31.823,20.827,30.872,220.8,,,,,,,
lap,5,1'39.371,16.840,31.403,20.535,30.593,343.9,,,,,,,
lap,6,1'39.915,16.892,31.309,20.575,31.139,343.9,,,,,,,
lap,7,1'39.442,16.851,31.383,20.554,30.654,342.8,,,,,,,
rider,6th,5,Johann,ZARCO,DUCATI,FRA,Esponsorama,Racing,Total,laps=8,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'04.416,19.195,34.952,25.714,33.178,197.4,,,,,,,
lap,2,1'46.966,17.580,34.560,22.395,32.431,339.6,,,,,,,
lap,3,1'40.080,17.093,31.441,20.690,30.856,341.7,,,,,,,
lap,4,1'39.590,16.888,31.302,20.647,30.753,342.8,,,,,,,
lap,5,1'54.317,P,17.160,33.332,21.616,42.209,342.8,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,4'10.834,18.851,39.179,22.175,38.071,191.4,,,,,,,
lap,7,1'39.580,16.876,31.320,20.621,30.763,346.1,,,,,,,
lap,8,1'39.378,16.877,31.340,20.561,30.600,343.9,,,,,,,
rider,7th,44,Pol,ESPARGARO,KTM,SPA,Red,Bull,KTM,Factory,Racing,Total,laps=8,laps=5
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.144,19.765,34.652,21.837,32.400,213.0,,,,,,,
lap,2,1'48.384,17.265,34.096,24.783,32.240,342.8,,,,,,,
lap,3,1'40.066,17.026,31.534,20.532,30.974,342.8,,,,,,,
lap,4,1'39.707,16.898,31.472,20.393,30.944,343.9,,,,,,,
lap,5,1'56.201,P,18.348,34.268,21.466,42.119,336.4,,,,,,
run,2,Slick-Medium,Slick-Soft,5,0,,,,,,,,,
lap,6,2'58.998,17.732,32.635,20.975,31.226,229.2,,,,,,,
lap,7,1'39.799,17.026,31.449,20.558,30.766,345.0,,,,,,,
lap,8,1'39.495,16.814,31.405,20.446,30.830,345.0,,,,,,,
rider,8th,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,Total,laps=8,laps=4,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'15.496,20.018,33.551,21.350,31.504,177.0,,,,,,,
lap,2,1'41.284,17.164,31.916,20.872,31.332,341.7,,,,,,,
lap,3,1'40.437,16.898,31.569,20.894*,31.076,345.0,,,,,,,
lap,4,1'39.929,16.944,31.445,20.663,30.877,343.9,,,,,,,
lap,5,1'50.747,P,17.190,31.892,21.051,40.614,343.9,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,2'45.403,18.396,32.329,20.811,30.987,210.1,,,,,,,
lap,7,1'39.844,16.967,31.460,20.560,30.857,341.7,,,,,,,
lap,8,1'39.628,16.943,31.375,20.573,30.737,342.8,,,,,,,
rider,9th,9,Danilo,PETRUCCI,DUCATI,ITA,Ducati,Team,Total,laps=8,laps=5,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'01.931,18.417,33.772,21.740,31.916,223.1,,,,,,,
lap,2,1'53.643,17.176,33.732,23.802,38.933,346.1,,,,,,,
lap,3,1'40.333,17.104,31.584,20.725,30.920,347.2,,,,,,,
lap,4,1'40.176,16.932,31.613,20.681,30.950,347.2,,,,,,,
lap,5,1'55.858,P,17.878*,35.633*,21.196,41.151,340.6,,,,,,
run,2,Slick-Soft,Slick-Soft,5,0,,,,,,,,,
lap,6,3'09.762,19.018,33.645,21.942,39.665,187.1,,,,,,,
lap,7,1'43.898,17.474,34.021,21.166,31.237,343.9,,,,,,,
lap,8,1'39.641,16.934,31.403,20.641,30.663,347.2,,,,,,,
rider,10th,33,Brad,BINDER,KTM,RSA,Red,Bull,KTM,Factory,Racing,Total,laps=8,laps=4
run,1,Slick-Medium,Slick-Soft,0,0,,,,,,,,,
lap,1,2'06.025,18.375,32.483,22.392,32.079,224.0,,,,,,,
lap,2,1'48.572,17.049,31.435,27.751,32.337,345.0,,,,,,,
lap,3,1'40.064,17.261,31.557,20.501,30.745,343.9,,,,,,,
lap,4,1'55.497,P,17.236,31.586,20.732,45.943,346.1,,,,,,
run,2,Slick-Medium,Slick-Soft,4,0,,,,,,,,,
lap,5,3'51.171,21.171,33.198,21.347,31.834,150.8,,,,,,,
lap,6,1'49.555,17.204,34.978,20.841,36.532,342.8,,,,,,,
lap,7,1'39.659,17.029,31.444,20.577,30.609,341.7,,,,,,,
lap,8,1'46.221,18.343*,36.396*,20.688,30.794,341.7,,,,,,,
rider,11th,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=8,laps=5,,
run,1,Slick-Soft,Slick-Soft,0,4,,,,,,,,,
lap,1,2'10.719,20.453,34.402,22.196,31.323,180.9,,,,,,,
lap,2,1'41.521,17.420,31.758,20.984,31.359,341.7,,,,,,,
lap,3,1'40.523,17.212,31.592,20.868,30.851,316.7,,,,,,,
lap,4,2'02.043,P,17.407*,39.722*,22.270,42.644,338.5,,,,,,
run,2,Slick-Soft,Slick-Soft,4,0,,,,,,,,,
lap,5,3'28.785,19.995,35.241,23.366,34.928,189.8,,,,,,,
lap,6,1'44.959,17.467,34.088,22.071,31.333,340.6,,,,,,,
lap,7,1'40.175,16.994,31.359,20.802,31.020,343.9,,,,,,,
lap,8,1'39.713,17.046,31.404,20.610,30.653,343.9,,,,,,,
rider,12th,88,Miguel,OLIVEIRA,KTM,POR,Red,Bull,KTM,Tech,3,Total,laps=7,laps=3
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,,,,
lap,1,2'10.390,20.148,33.162,21.548,31.274,170.3,,,,,,,
lap,2,1'41.758,17.485,31.737,21.046,31.490,341.7,,,,,,,
lap,3,2'28.009,P,17.035,31.398,20.729,1'18.847,328.2,,,,,,
run,2,Slick-Soft,Slick-Soft,3,0,,,,,,,,,
lap,4,4'42.841,19.344,32.781,22.876,33.745,193.5,,,,,,,
lap,5,1'44.986,18.721*,33.681*,21.262,31.322,341.7,,,,,,,
lap,6,1'40.202,16.936,31.508,20.759,30.999,340.6,,,,,,,
lap,7,1'40.188,16.955,31.516,20.651,31.066,340.6,,,,,,,
