0,1,2,3,4,5,6,7,8,9,10,11
const,2020,September 27,MotoGP,Circuit de Barcelona,RACE,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'45.880,21.406,32.509,20.929,31.036,279.0,,,,
lap,2,1'40.728,17.175,31.807,20.793,30.953,338.5,,,,
lap,3,1'40.408,17.277,31.618,20.766,30.747,337.5,,,,
lap,4,1'40.334,17.179,31.624,20.786,30.745,337.5,,,,
lap,5,1'40.355,17.217,31.563,20.803,30.772,337.5,,,,
lap,6,1'40.260,17.032,31.622,20.774,30.832,343.9,,,,
lap,7,1'40.312,17.185,31.553,20.775,30.799,337.5,,,,
lap,8,1'40.380,17.136,31.678,20.752,30.814,338.5,,,,
lap,9,1'40.142,16.949,31.611,20.717,30.865,341.7,,,,
lap,10,1'40.368,17.130,31.671,20.684,30.883,334.3,,,,
lap,11,1'40.492,17.099,31.631,20.651,31.111,334.3,,,,
lap,12,1'40.819,17.220,31.716,20.850,31.033,334.3,,,,
lap,13,1'40.697,17.154,31.784,20.757,31.002,335.4,,,,
lap,14,1'40.840,17.209,31.753,20.805,31.073,333.3,,,,
lap,15,1'40.902,17.118,31.770,20.859,31.155,334.3,,,,
lap,16,1'41.119,17.180,31.882,20.868,31.189,334.3,,,,
lap,17,1'41.474,17.185,32.079,20.885,31.325,334.3,,,,
lap,18,1'41.818,17.290,32.144,21.051,31.333,335.4,,,,
lap,19,1'42.208,17.334,32.204,21.118,31.552,335.4,,,,
lap,20,1'42.387,17.330,32.267,21.228,31.562,335.4,,,,
lap,21,1'42.385,17.318,32.317,21.161,31.589,335.4,,,,
lap,22,1'42.590,17.312,32.392,21.231,31.655,334.3,,,,
lap,23,1'43.007,17.353,32.563,21.276,31.815,335.4,,,,
lap,24,1'43.271,17.346,32.602,21.390,31.933,334.3,,,,
rider,2nd,36,Joan,MIR,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'46.440,21.620,32.407,21.019,31.394,291.1,,,,
lap,2,1'40.942,17.228,31.791,20.873,31.050,340.6,,,,
lap,3,1'40.609,17.144,31.726,20.825,30.914,341.7,,,,
lap,4,1'40.357,17.105,31.627,20.817,30.808,342.8,,,,
lap,5,1'40.623,17.150,31.723,20.725,31.025,341.7,,,,
lap,6,1'40.607,17.081,31.706,20.781,31.039,341.7,,,,
lap,7,1'40.801,17.227,31.747,20.853,30.974,340.6,,,,
lap,8,1'40.350,17.097,31.613,20.726,30.914,340.6,,,,
lap,9,1'40.681,17.195,31.672,20.788,31.026,339.6,,,,
lap,10,1'40.735,17.224,31.671,20.856,30.984,337.5,,,,
lap,11,1'40.706,17.134,31.707,20.826,31.039,339.6,,,,
lap,12,1'40.920,17.104,31.797,20.929,31.090,338.5,,,,
lap,13,1'40.725,17.086,31.845,20.796,30.998,339.6,,,,
lap,14,1'41.224,17.236,31.868,20.884,31.236,337.5,,,,
lap,15,1'41.247,17.187,32.011,20.911,31.138,341.7,,,,
lap,16,1'41.513,17.159,32.191,20.814,31.349,340.6,,,,
lap,17,1'41.243,17.166,31.840,20.961,31.276,337.5,,,,
lap,18,1'41.766,17.344,32.006,21.036,31.380,338.5,,,,
lap,19,1'41.991,17.316,32.210,21.110,31.355,338.5,,,,
lap,20,1'42.095,17.338,32.182,21.129,31.446,338.5,,,,
lap,21,1'41.636,17.200,32.055,20.991,31.390,338.5,,,,
lap,22,1'42.338,17.273,32.251,21.138,31.676,342.8,,,,
lap,23,1'42.181,17.210,32.279,21.095,31.597,339.6,,,,
lap,24,1'42.374,17.256,32.274,21.166,31.678,337.5,,,,
rider,3rd,42,Alex,RINS,SUZUKI,SPA,Team,SUZUKI,ECSTAR,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'46.574,21.852,32.401,20.909,31.412,285.7,,,,
lap,2,1'41.815,17.580,32.235,20.903,31.097,330.2,,,,
lap,3,1'41.058,17.228,32.010,20.757,31.063,335.4,,,,
lap,4,1'40.936,17.119,31.938,20.691,31.188,338.5,,,,
lap,5,1'40.754,17.163,31.879,20.653,31.059,339.6,,,,
lap,6,1'40.717,17.183,31.840,20.712,30.982,335.4,,,,
lap,7,1'40.471,17.014,31.707,20.700,31.050,348.3,,,,
lap,8,1'40.912,17.135,31.760,20.746,31.271,340.6,,,,
lap,9,1'40.813,17.130,31.913,20.704,31.066,340.6,,,,
lap,10,1'40.599,17.083,31.796,20.654,31.066,339.6,,,,
lap,11,1'40.802,17.140,31.827,20.705,31.130,340.6,,,,
lap,12,1'40.682,17.103,31.863,20.649,31.067,338.5,,,,
lap,13,1'40.935,17.061,31.910,20.702,31.262,340.6,,,,
lap,14,1'41.240,17.201,31.941,20.869,31.229,337.5,,,,
lap,15,1'40.946,17.177,31.846,20.764,31.159,338.5,,,,
lap,16,1'41.061,17.132,31.940,20.718,31.271,340.6,,,,
lap,17,1'41.292,17.135,32.104,20.760,31.293,340.6,,,,
lap,18,1'41.232,17.163,32.101,20.776,31.192,339.6,,,,
lap,19,1'41.676,17.145,32.232,20.856,31.443,341.7,,,,
lap,20,1'41.931,17.258,32.252,21.021,31.400,340.6,,,,
lap,21,1'41.760,17.183,32.175,20.903,31.499,340.6,,,,
lap,22,1'41.921,17.199,32.325,20.890,31.507,340.6,,,,
lap,23,1'42.362,17.223,32.398,21.104,31.637,340.6,,,,
lap,24,1'42.585,17.213,32.477,21.042,31.853,339.6,,,,
rider,4th,21,Franco,MORBIDELLI,YAMAHA,ITA,Petronas,Yamaha,SRT,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'44.833,20.986,31.947,20.873,31.027,279.7,,,,
lap,2,1'40.740,17.293,31.676,20.661,31.110,333.3,,,,
lap,3,1'40.568,17.221,31.659,20.775,30.913,333.3,,,,
lap,4,1'40.542,17.250,31.645,20.737,30.910,334.3,,,,
lap,5,1'40.460,17.226,31.647,20.713,30.874,333.3,,,,
lap,6,1'40.419,17.141,31.648,20.714,30.916,334.3,,,,
lap,7,1'40.525,17.129,31.664,20.799,30.933,334.3,,,,
lap,8,1'40.461,17.152,31.663,20.731,30.915,334.3,,,,
lap,9,1'40.509,17.319,31.599,20.753,30.838,332.3,,,,
lap,10,1'40.331,17.238,31.557,20.776,30.760,332.3,,,,
lap,11,1'40.572,17.211,31.606,20.790,30.965,335.4,,,,
lap,12,1'40.785,17.258,31.644,20.928,30.955,337.5,,,,
lap,13,1'40.757,17.225,31.652,20.880,31.000,333.3,,,,
lap,14,1'42.572,18.650,31.966,20.817,31.139,337.5,,,,
lap,15,1'41.371,17.384,31.844,20.899,31.244,325.3,,,,
lap,16,1'41.450,17.286,32.005,20.922,31.237,332.3,,,,
lap,17,1'41.904,17.401,32.124,20.987,31.392,332.3,,,,
lap,18,1'42.023,17.493,32.085,21.070,31.375,329.2,,,,
lap,19,1'42.010,17.409,32.150,21.002,31.449,332.3,,,,
lap,20,1'41.966,17.380,32.175,20.961,31.450,334.3,,,,
lap,21,1'42.035,17.352,32.138,21.080,31.465,335.4,,,,
lap,22,1'42.639,17.432,32.298,21.135,31.774,332.3,,,,
lap,23,1'43.343,17.591,32.489,21.271,31.992,330.2,,,,
lap,24,1'43.207,17.482,32.453,21.324,31.948,326.2,,,,
rider,5th,43,Jack,MILLER,DUCATI,AUS,Pramac,Racing,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
lap,1,1'46.291,21.213,32.417,20.878,31.783,286.4,,,,
lap,2,1'40.888,17.154,31.787,20.903,31.044,343.9,,,,
lap,3,1'40.473,17.074,31.719,20.789,30.891,339.6,,,,
lap,4,1'40.296,17.011,31.632,20.774,30.879,342.8,,,,
lap,5,1'40.518,17.086,31.659,20.781,30.992,337.5,,,,
lap,6,1'40.354,16.999,31.605,20.787,30.963,347.2,,,,
lap,7,1'40.476,17.069,31.630,20.804,30.973,341.7,,,,
lap,8,1'40.618,17.075,31.744,20.795,31.004,342.8,,,,
lap,9,1'40.489,17.005,31.738,20.769,30.977,345.0,,,,
lap,10,1'40.462,16.980,31.682,20.746,31.054,347.2,,,,
lap,11,1'40.898,17.068,31.821,20.816,31.193,342.8,,,,
lap,12,1'41.129,17.100,31.856,20.886,31.287,343.9,,,,
lap,13,1'41.272,17.077,31.904,20.976,31.315,346.1,,,,
lap,14,1'41.438,17.216,32.015,20.986,31.221,343.9,,,,
lap,15,1'41.277,17.142,31.893,20.920,31.322,343.9,,,,
lap,16,1'42.235,17.079,32.145,20.875,32.136,346.1,,,,
lap,17,1'41.494,17.134,32.025,21.034,31.301,345.0,,,,
lap,18,1'41.601,17.200,32.071,20.999,31.331,342.8,,,,
lap,19,1'42.216,17.281,32.284,21.137,31.514,339.6,,,,
lap,20,1'42.377,17.205,32.287,21.088,31.797,343.9,,,,
lap,21,1'42.224,17.223,32.282,21.159,31.560,342.8,,,,
lap,22,1'42.640,17.226,32.347,21.239,31.828,341.7,,,,
lap,23,1'42.484,17.224,32.501,21.067,31.692,347.2,,,,
lap,24,1'42.417,17.226,32.413,21.121,31.657,348.3,,,,
rider,6th,63,Francesco,BAGNAIA,DUCATI,ITA,Pramac,Racing,,,
run,1,Slick-Soft,Slick-Soft,0,0,,,,,,
