0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
const,2020,September 27,MotoGP,Circuit de Barcelona,WUP,,,,,,,,,
rider,1st,20,Fabio,QUARTARARO,YAMAHA,FRA,Petronas,Yamaha,SRT,Total,laps=10,laps=9,,
run,1,Slick-Soft,Slick-Soft,8,3,,,,,,,,,
lap,1,2'28.143,20.181,34.025,21.502,31.768,208.8,,,,,,,
lap,2,1'41.602,17.440,31.875,21.202,31.085,338.5,,,,,,,
lap,3,1'40.671,17.168,31.667,20.691,31.145,339.6,,,,,,,
lap,4,1'40.274,17.204,31.665,20.663,30.742,338.5,,,,,,,
lap,5,1'40.250,17.142,31.646,20.691,30.771,339.6,,,,,,,
lap,6,1'40.139,17.042,31.584,20.760,30.753,341.7,,,,,,,
lap,7,1'40.156,16.991,31.628,20.707,30.830,342.8,,,,,,,
lap,8,5'27.219,17.020,4'14.448,23.058,32.693,341.7,,,,,,,
lap,9,1'42.756,17.691,32.499,21.002,31.564,338.5,,,,,,,
lap,10,1'41.301,17.339,32.074,20.836,31.052,338.5,,,,,,,
rider,2nd,30,Takaaki,NAKAGAMI,HONDA,JPN,LCR,Honda,IDEMITSU,Total,laps=12,laps=6,,
run,1,Slick-Soft,Slick-Soft,8,4,,,,,,,,,
lap,1,2'13.722,22.281,34.608,22.124,32.127,170.8,,,,,,,
lap,2,1'52.654,P,17.896,32.306,21.139,41.313,325.3,,,,,,
run,2,Slick-Soft,Slick-Soft,8,4,,,,,,,,,
lap,3,2'18.429,20.156,33.824,21.748,31.745,191.1,,,,,,,
lap,4,1'42.197,17.753,32.176,20.985*,31.283,330.2,,,,,,,
lap,5,1'41.016,17.383,31.780,20.849,31.004,337.5,,,,,,,
lap,6,1'40.689,17.291,31.687,20.774,30.937,338.5,,,,,,,
lap,7,1'40.525,17.254,31.679,20.741,30.851,338.5,,,,,,,
lap,8,1'40.946,17.159,31.810*,20.934,31.043,338.5,,,,,,,
lap,9,1'40.319,17.119,31.623,20.757,30.820,339.6,,,,,,,
lap,10,1'40.556,17.128,31.690,20.795,30.943,339.6,,,,,,,
lap,11,1'40.342,17.072,31.660,20.624,30.986,341.7,,,,,,,
lap,12,1'40.477,17.124,31.675,20.701,30.977,339.6,,,,,,,
rider,3rd,46,Valentino,ROSSI,YAMAHA,ITA,Monster,Energy,Yamaha,MotoGP,Total,laps=12,laps=9,
run,1,Slick-Soft,Slick-Soft,7,4,,,,,,,,,
lap,1,1'57.338,20.468,34.542,21.944,31.893,179.4,,,,,,,
lap,2,1'42.357,17.634,32.388,21.217,31.118,335.4,,,,,,,
lap,3,1'41.312,17.361,31.956,21.006,30.989,339.6,,,,,,,
lap,4,1'40.755,17.155,31.854,20.811,30.935,343.9,,,,,,,
lap,5,1'40.340,17.107,31.736,20.581,30.916,341.7,,,,,,,
