0,1,2,3,4,5,6,7,8,9,10,11,12,13
2020,"March,06,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,FP1,Dry,41º,27º,31%,,,,,
2020,"March,06,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,FP2,Dry,25º,21º,66%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,FP3,Dry,40º,27º,27%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,Q1,Dry,25º,21º,61%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,Q2,Dry,24º,21º,60%,,,,,
2020,"March,08,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,WUP,Dry,41º,28º,47%,,,,,
2020,"March,08,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto2,RAC,Dry,26º,22º,66%,,,,,
2020,"March,06,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,FP1,Dry,44º,28º,28%,,,,,
2020,"March,06,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,FP2,Dry,28º,23º,47%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,FP3,Dry,41º,27º,31%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,Q1,Dry,28º,23º,51%,,,,,
2020,"March,07,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,Q2,Dry,26º,22º,56%,,,,,
2020,"March,08,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,WUP,Dry,42º,30º,27%,,,,,
2020,"March,08,2020",QNB Grand Prix of Qatar - Losail International Circuit,Moto3,RAC,Dry,32º,25º,48%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP1,Dry,35º,28º,34%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP2,Dry,51º,35º,31%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP3,Dry,31º,26º,52%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,FP4,Dry,54º,33º,35%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,Q1,Dry,54º,33º,35%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,Q2,Dry,54º,33º,36%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,WUP,Dry,29º,25º,70%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoGP,RAC,Dry,53º,32º,41%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP1,Dry,41º,31º,31%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP2,Dry,52º,35º,29%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,FP3,Dry,38º,29º,43%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,Q1,Dry,55º,34º,34%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,Q2,Dry,55º,34º,34%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,WUP,Dry,27º,23º,74%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto2,RAC,Dry,45º,30º,47%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP1,Dry,31º,27º,39%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP2,Dry,51º,34º,30%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,FP3,Dry,26º,25º,60%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,Q1,Dry,47º,31º,38%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,Q2,Dry,48º,32º,37%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,WUP,Dry,24º,22º,81%,,,,,
2020,"July,19,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,Moto3,RAC,Dry,35º,27º,59%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP1,Dry,45º,32º,30%,,,,,
2020,"July,17,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP2,Dry,51º,35º,33%,,,,,
2020,"July,18,2020",Gran Premio Red Bull de España - Circuito de Jerez - Angel Nieto,MotoE,FP3,Dry,42º,31º,42%,,,,,
