0,1,2,3,4,5,6
2020,Moto2,12,Thomas LUTHI,SWI,Liqui Moly Intact GP,Kalex
2020,Moto2,88,Jorge MARTIN,SPA,Red Bull KTM Ajo,Kalex
2020,Moto2,44,Aron CANET,SPA,Aspar Team,Speed Up
2020,Moto2,37,Augusto FERNANDEZ,SPA,"EG 0,0 Marc VDS",Kalex
2020,Moto2,16,Joe ROBERTS,USA,American Racing,Kalex
2020,Moto2,87,Remy GARDNER,AUS,Onexox TKKR SAG Team,Kalex
2020,Moto2,10,Luca MARINI,ITA,SKY Racing Team VR46,Kalex
2020,Moto2,72,Marco BEZZECCHI,ITA,SKY Racing Team VR46,Kalex
2020,Moto2,9,Jorge NAVARRO,SPA,Beta Tools Speed Up,Speed Up
2020,Moto2,23,Marcel SCHROTTER,GER,Liqui Moly Intact GP,Kalex
2020,Moto2,45,Tetsuta NAGASHIMA,JPN,Red Bull KTM Ajo,Kalex
2020,Moto2,21,Fabio DI GIANNANTONIO,ITA,Beta Tools Speed Up,Speed Up
2020,Moto2,33,Enea BASTIANINI,ITA,Italtrans Racing Team,Kalex
2020,Moto2,11,Nicolo BULEGA,ITA,Federal Oil Gresini Moto2,Kalex
2020,Moto2,57,Edgar PONS,SPA,Federal Oil Gresini Moto2,Kalex
2020,Moto2,97,Xavi VIERGE,SPA,Petronas Sprinta Racing,Kalex
2020,Moto2,7,Lorenzo BALDASSARRI,ITA,Flexbox HP 40,Kalex
2020,Moto2,64,Bo BENDSNEYDER,NED,NTS RW Racing GP,NTS
2020,Moto2,62,Stefano MANZI,ITA,MV Agusta Forward Racing,MV Agusta
2020,Moto2,35,Somkiat CHANTRA,THA,IDEMITSU Honda Team Asia,Kalex
2020,Moto2,24,Simone CORSI,ITA,MV Agusta Forward Racing,MV Agusta
2020,Moto2,2,Jesko RAFFIN,SWI,NTS RW Racing GP,NTS
2020,Moto2,42,Marcos RAMIREZ,SPA,American Racing,Kalex
2020,Moto2,55,Hafizh SYAHRIN,MAL,Aspar Team,Speed Up
2020,Moto2,96,Jake DIXON,GBR,Petronas Sprinta Racing,Kalex
2020,Moto2,19,Lorenzo DALLA PORTA,ITA,Italtrans Racing Team,Kalex
2020,Moto2,27,Andi Farid IZDIHAR,INA,IDEMITSU Honda Team Asia,Kalex
2020,Moto2,22,Sam LOWES,GBR,"EG 0,0 Marc VDS",Kalex
2020,Moto2,40,Hector GARZO,SPA,Flexbox HP 40,Kalex
2020,Moto2,99,Kasma Daniel KASMAUDIN,MAL,Onexox TKKR SAG Team,Kalex
2020,Moto2,99,Kasma Daniel KASMAYUDIN,MAL,Onexox TKKR SAG Team,Kalex
2020,Moto2,99,Kasma DANIEL,MAL,Onexox TKKR SAG Team,Kalex
