0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,March 27,Moto2,Losail International Circuit,Q2,,,,,,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,1st,22,Total,laps=7,laps=4,
lap,1,3'37.557,31.543,32.909,29.872,33.662,157.2,,,,,,
lap,2,1'59.447,25.874,31.161,29.080,33.332*,288.0,,,,,,
lap,3,1'58.798,25.857,30.607,28.978,33.356,287.2,,,,,,
lap,4,1'58.726,25.789,30.669,28.892,33.376,288.0,,,,,,
lap,5,1'58.737,25.799,30.659,28.952,33.327*,288.0,,,,,,
lap,6,1'58.776,25.852,30.658,28.921,33.345,287.2,,,,,,
lap,7,1'58.953,25.753,30.810,28.968,33.422,288.0,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,2nd,25,Total,laps=7,laps=6,
lap,1,2'52.186,31.493,34.037,32.771,35.660,154.9,,,,,,
lap,2,2'00.138,26.240,31.191,29.175,33.532,286.4,,,,,,
lap,3,1'59.381,26.034,30.813,29.016,33.518,289.5,,,,,,
lap,4,2'10.954,30.852,36.858,29.745,33.499,288.0,,,,,,
lap,5,1'59.289,26.011,30.674,29.145,33.459,291.8,,,,,,
lap,6,1'58.866,25.884,30.675,28.988,33.319,292.6,,,,,,
lap,7,1'59.562,25.994,30.955,29.131,33.482,291.8,,,,,,
rider,Bo,BENDSNEYDER,Pertamina,Mandalika,NED,3rd,64,Total,laps=7,laps=6,,,
lap,1,3'16.971,37.638,32.671,32.993,35.342,77.4,,,,,,
lap,2,1'59.506,26.243,30.953,29.004,33.306,287.2,,,,,,
lap,3,2'00.858,27.227,31.112,29.079,33.440,288.0,,,,,,
lap,4,1'59.110,25.999,30.743,29.052,33.316,287.2,,,,,,
lap,5,1'59.205,25.960,30.796,29.034,33.415,287.2,,,,,,
lap,6,1'59.111,26.017,30.675,29.005,33.414,285.7,,,,,,
lap,7,1'58.959,25.949,30.679,29.009,33.322,285.7,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,4th,72,Total,laps=7,laps=6,
lap,1,3'56.822,33.254,32.189,29.565,33.668,141.9,,,,,,
lap,2,1'59.798,26.085,30.823,29.147,33.743,286.4,,,,,,
lap,3,2'00.100,25.999,30.952,29.621,33.528,287.2,,,,,,
lap,4,1'59.052,26.038,30.697,29.054,33.263,284.2,,,,,,
lap,5,1'59.404,25.916,30.906,29.215,33.367,287.2,,,,,,
lap,6,1'59.346,25.844,30.697,29.200,33.605,291.1,,,,,,
lap,7,1'59.500,26.024,30.963,29.186,33.327,284.9,,,,,,
rider,Joe,ROBERTS,Italtrans,Racing,Team,USA,5th,16,Total,laps=7,laps=6,,
lap,1,3'24.908,31.690,31.884,29.628,33.809,157.8,,,,,,
lap,2,1'59.672,26.206,30.879,29.150,33.437,290.3,,,,,,
lap,3,2'00.097,25.980,31.275,29.292,33.550,285.7,,,,,,
lap,4,1'59.314,26.030,30.819,29.024,33.441,284.9,,,,,,
lap,5,1'59.322,26.036,30.741,29.071,33.474,285.7,,,,,,
lap,6,1'59.168,25.915,30.692,29.072,33.489,285.7,,,,,,
lap,7,1'59.360,25.955,30.744,29.056,33.605,284.9,,,,,,
rider,Remy,GARDNER,Red,Bull,KTM,Ajo,AUS,6th,87,Total,laps=8,laps=5,
lap,1,2'52.980,37.979,35.399,34.625,35.596,85.1,,,,,,
lap,2,1'59.723,26.142,30.990,29.125,33.466,285.7,,,,,,
lap,3,1'59.245,26.010,30.860,28.987,33.388,288.0,,,,,,
lap,4,2'10.254,34.090,33.126,29.367,33.671,288.7,,,,,,
lap,5,1'59.310,26.105,30.692,29.028,33.485*,284.9,,,,,,
lap,6,1'58.980,25.922,30.671,28.996,33.391*,284.9,,,,,,
lap,7,1'59.197,25.898,30.770,29.079,33.450,284.9,,,,,,
lap,8,2'04.990,25.880,30.672,32.828,35.610,284.9,,,,,,
rider,Jake,DIXON,Petronas,Sprinta,Raci,GBR,7th,96,Total,laps=7,laps=5,,
lap,1,4'27.561,32.665,32.391,30.142,34.347,145.7,,,,,,
lap,2,1'59.458,26.102,30.822,29.047,33.487,287.2,,,,,,
lap,3,1'59.203,25.925,30.670,29.104,33.504,287.2,,,,,,
lap,4,2'07.107,28.832,34.257,30.091,33.927,288.0,,,,,,
lap,5,2'00.881,26.122,30.913,29.833,34.013,286.4,,,,,,
lap,6,2'01.365,26.110,30.897,30.160,34.198,285.7,,,,,,
lap,PIT,26.028,30.913,29.831,31.883,286.4,,,,,,,
rider,Fabio,DI,GIANNANT,Federal,Oil,Gresini,M,ITA,8th,21,Total,laps=7,laps=6
lap,1,3'25.905,31.502,32.130,29.721,34.010,156.9,,,,,,
lap,2,2'00.048,26.261,30.921,29.185,33.681,285.7,,,,,,
lap,3,1'59.734,26.103,30.852,29.207,33.572,286.4,,,,,,
lap,4,1'59.510,26.041,30.793,29.124,33.552,287.2,,,,,,
lap,5,1'59.241,25.951,30.788,29.094,33.408,288.0,,,,,,
lap,6,2'02.585,26.030,30.905,29.243,36.407,288.7,,,,,,
lap,7,2'04.795,29.108,32.667,29.376,33.644,283.4,,,,,,
rider,Jorge,NAVARRO,MB,Conveyors,Speed,SPA,9th,9,Total,laps=7,laps=5,,
lap,1,2'53.960,33.283,34.450,30.115,43.200,136.5,,,,,,
lap,2,1'59.762,26.254,30.701,29.179,33.628*,286.4,,,,,,
lap,3,1'59.420,26.068,30.726,29.110,33.516,287.2,,,,,,
lap,4,2'10.438,26.130,34.264,36.182,33.862,287.2,,,,,,
lap,5,1'59.879,26.054,30.878,29.211,33.736,288.7,,,,,,
lap,6,2'00.041,26.025,31.048,29.249,33.719,288.7,,,,,,
lap,7,2'00.060,26.048,30.887,29.306,33.819,287.2,,,,,,
rider,Celestino,VIETTI,SKY,Racing,Team,VR,ITA,10th,13,Total,laps=7,laps=6,
lap,1,3'56.098,30.899,31.696,29.454,33.778,164.6,,,,,,
lap,2,1'59.725,26.209,30.697,29.334,33.485,285.7,,,,,,
lap,3,1'59.856,26.328,30.729,29.221,33.578,288.7,,,,,,
lap,4,1'59.574,26.094,30.690,29.227,33.563,288.0,,,,,,
lap,5,1'59.837,26.224,30.836,29.227,33.550,288.0,,,,,,
lap,6,1'59.758,26.345,30.810,29.063,33.540,271.3,,,,,,
lap,7,1'59.439,26.243,30.754,29.080,33.362,287.2,,,,,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,11th,11,Total,laps=7,laps=6,
lap,1,3'46.324,32.227,32.039,29.690,33.644,156.9,,,,,,
lap,2,1'59.703,26.174,30.859,29.248,33.422,286.4,,,,,,
lap,3,1'59.454,26.114,30.710,29.167,33.463,288.0,,,,,,
lap,4,1'59.649,26.084,30.761,29.240,33.564,287.2,,,,,,
lap,5,1'59.562,26.101,30.720,29.236,33.505,286.4,,,,,,
lap,6,2'11.042,34.491,33.630,29.293,33.628,286.4,,,,,,
lap,7,1'59.596,26.017,30.829,29.310,33.440,288.7,,,,,,
rider,Aron,CANET,Inde,Aspar,Team,SPA,12th,44,Total,laps=6,laps=4,,
lap,1,3'38.037,31.038,33.087,29.769,33.860,157.2,,,,,,
lap,2,1'59.582,26.083,30.924,29.055,33.520,284.9,,,,,,
lap,3,1'59.477,25.946,30.885,29.079,33.567,285.7,,,,,,
lap,4,1'59.549,26.022,30.822,29.132,33.573,285.7,,,,,,
lap,5,2'00.134,26.020,30.962,29.176,33.976,284.9,,,,,,
lap,PIT,26.089,30.948,29.350,32.888,284.2,,,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,13th,23,Total,laps=7,laps=6,
lap,1,3'15.178,31.368,32.245,33.481,35.723,161.4,,,,,,
lap,2,2'00.055,26.180,30.990,29.319,33.566,288.7,,,,,,
lap,3,1'59.600,26.049,30.894,29.195,33.462,288.0,,,,,,
lap,4,1'59.944,26.013,30.949,29.368,33.614,288.0,,,,,,
lap,5,2'01.538,26.147,30.808,29.429,35.154,285.7,,,,,,
lap,6,1'59.487,26.086,30.773,29.180,33.448,288.7,,,,,,
lap,7,2'02.216,26.002,30.865,31.274,34.075,287.2,,,,,,
rider,Lorenzo,DALLA,PO,Italtrans,Racing,Team,ITA,14th,19,Total,laps=7,laps=6,
lap,1,3'24.771,31.213,32.085,29.882,35.449,160.7,,,,,,
lap,2,2'00.279,26.311,31.194,29.221,33.553,285.7,,,,,,
lap,3,1'59.830,26.132,30.965,29.238,33.495,289.5,,,,,,
lap,4,1'59.625,26.072,30.912,29.146,33.495,291.1,,,,,,
lap,5,1'59.531,26.163,30.853,29.058,33.457,289.5,,,,,,
lap,6,2'03.207,26.106,31.013,29.295,36.793,289.5,,,,,,
lap,7,2'00.624,26.603,31.037,29.363,33.621,288.7,,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,15th,97,Total,laps=7,laps=4,,
lap,1,4'28.651,33.145,32.551,30.057,35.030,135.6,,,,,,
lap,2,1'59.813,26.083,31.086,29.230,33.414,288.0,,,,,,
lap,3,2'00.056,26.275,30.863,29.485,33.433,288.0,,,,,,
lap,4,1'59.902,26.110,30.994,29.206,33.592,287.2,,,,,,
lap,5,1'59.620,26.086,30.790,29.146,33.598,286.4,,,,,,
lap,6,1'59.755,25.996,30.888,29.175,33.696*,285.7,,,,,,
lap,unfinished,26.021,30.885,286.4,,,,,,,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,16th,35,Total,laps=7,laps=6,,
lap,1,2'53.422,30.990,32.643,33.087,35.817,164.6,,,,,,
lap,2,2'00.567,26.251,31.038,29.644,33.634,287.2,,,,,,
lap,3,1'59.899,26.008,31.006,29.380,33.505,291.1,,,,,,
lap,4,2'01.955,25.981,30.941,29.640,35.393,289.5,,,,,,
lap,5,2'08.233,30.088,34.788,29.682,33.675,284.9,,,,,,
lap,6,2'00.091,26.160,31.041,29.355,33.535,290.3,,,,,,
lap,7,1'59.932,26.107,30.943,29.373,33.509,290.3,,,,,,
rider,Thomas,LUTHI,Pertamina,Mandalika,SWI,17th,12,Total,laps=7,laps=6,,,
lap,1,2'38.686,33.951,32.341,30.425,34.493,125.8,,,,,,
lap,2,2'00.463,26.232,31.076,29.456,33.699,286.4,,,,,,
lap,3,2'00.056,26.100,30.958,29.350,33.648,286.4,,,,,,
lap,4,2'23.843,32.298,39.965,33.274,38.306,285.7,,,,,,
lap,5,2'00.023,26.228,30.967,29.278,33.550,288.7,,,,,,
lap,6,1'59.908,25.972,30.907,29.338,33.691,288.0,,,,,,
lap,7,2'00.359,26.111,30.997,29.453,33.798,287.2,,,,,,
rider,Tony,ARBOLINO,Liqui,Moly,Intact,GP,ITA,18th,14,Total,laps=7,laps=6,
lap,1,3'12.980,36.683,32.029,30.548,35.034,73.5,,,,,,
lap,2,2'00.549,26.376,31.210,29.366,33.597,288.7,,,,,,
lap,3,2'00.192,26.170,31.017,29.385,33.620,288.0,,,,,,
lap,4,2'01.452,26.787,31.491,29.383,33.791,287.2,,,,,,
lap,5,2'01.612,26.146,31.070,29.267,35.129,290.3,,,,,,
lap,6,1'59.925,26.053,30.930,29.261,33.681,291.1,,,,,,
lap,7,2'00.284,26.037,30.955,29.558,33.734,289.5,,,,,,
