0,1,2,3,4,5,6,7,8,9,10
const,2021,March 28,Moto2,Losail International Circuit,WUP,,,,,
rider,Joe,ROBERTS,Italtrans,Racing,Team,USA,1st,16,,
lap,1,2'43.971,32.292,32.612,32.210,34.716,145.7,,,
lap,2,2'02.600,26.859,31.676,29.848,34.217,274.8,,,
lap,3,2'01.940,26.660,31.503,29.612,34.165,281.2,,,
lap,4,2'10.153,34.561,31.869,29.544,34.179*,283.4,,,
lap,5,2'00.975,26.405,31.126,29.415,34.029,271.3,,,
lap,6,2'01.026,26.428,31.104,29.403,34.091,273.4,,,
lap,7,2'00.732,26.372,31.074,29.352,33.934,272.7,,,
lap,8,2'00.578,26.333,31.175,29.388,33.682,279.7,,,
lap,9,2'01.258,26.262,31.524,29.294,34.178,282.7,,,
lap,10,2'00.332,26.328,30.901,29.285,33.818,274.1,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,
lap,1,2'43.311,33.707,34.585,33.280,34.730,133.6,,,
lap,2,2'02.865,26.970,31.756,29.928,34.211,281.9,,,
lap,3,2'02.770,26.815,32.132,29.753,34.070,282.7,,,
lap,4,2'01.531,26.362,31.448,29.634,34.087,280.5,,,
lap,5,2'00.768,26.269,31.142,29.526,33.831,276.9,,,
lap,6,2'00.865,26.288,31.086,29.545,33.946,272.0,,,
lap,7,2'02.525,26.208,31.021,31.026,34.270,272.7,,,
lap,8,2'00.886,26.259,31.118,29.555,33.954,274.1,,,
lap,9,2'00.391,26.245,30.971,29.367,33.808,272.0,,,
lap,10,2'00.881,26.098,31.288,29.574,33.921,270.6,,,
rider,Remy,GARDNER,Red,Bull,KTM,Ajo,AUS,3rd,87,
lap,1,2'48.730,33.376,32.269,30.198,34.820,124.2,,,
lap,2,2'04.859,26.930,31.347,31.874,34.708,271.3,,,
lap,3,2'01.470,26.471,31.358,29.330,34.311*,273.4,,,
lap,4,2'06.681,26.297,31.158,29.179,40.047*,274.1,,,
lap,5,2'00.676,26.521,30.967,29.155,34.033,271.3,,,
lap,6,2'00.535,26.234,31.123,29.195,33.983,274.8,,,
lap,7,2'00.936,26.336,31.105,29.358,34.137,276.2,,,
lap,8,2'01.906,26.226,31.165,29.878,34.637*,274.8,,,
lap,9,2'00.611,26.250,31.164,29.196,34.001,276.2,,,
lap,10,2'00.602,26.251,31.084,29.337,33.930*,276.2,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,4th,35,,
lap,1,2'49.459,32.391,35.105,30.065,34.355,147.9,,,
lap,2,2'02.424,26.648,31.559,29.833,34.384,282.7,,,
lap,3,2'01.911,26.688,31.331,29.685,34.207,274.8,,,
lap,4,2'01.148,26.385,31.186,29.435,34.142,276.2,,,
lap,5,2'00.849,26.262,31.267,29.381,33.939,275.5,,,
lap,6,2'01.124,26.131,31.057,29.490,34.446,279.0,,,
lap,7,2'01.293,26.286,31.185,29.716,34.106,275.5,,,
lap,8,2'02.003,26.688,31.419,29.832,34.064*,278.3,,,
lap,9,2'00.763,26.293,31.014,29.438,34.018,276.2,,,
lap,10,2'00.642,26.222,30.944,29.543,33.933,274.8,,,
rider,Jorge,NAVARRO,MB,Conveyors,Speed,SPA,5th,9,,
lap,1,3'15.689,31.964,32.541,30.301,34.710,151.2,,,
lap,2,2'01.760,26.550,31.190,29.693,34.327,271.3,,,
lap,3,2'01.291,26.412,31.059,29.551,34.269,271.3,,,
lap,4,2'01.445,26.476,30.950,29.750,34.269,270.6,,,
lap,5,2'01.422,26.526,31.089,29.534,34.273,271.3,,,
lap,6,2'00.832,26.317,31.035,29.395,34.085,273.4,,,
lap,7,2'00.742,26.334,30.942,29.382,34.084,270.6,,,
lap,8,2'00.644,26.288,31.009,29.402,33.945,272.7,,,
lap,9,2'01.115,26.404,31.071,29.669,33.971,276.9,,,
lap,10,2'01.385,26.339,31.115,29.759,34.172,276.9,,,
rider,Fabio,DI,GIANNANT,Federal,Oil,Gresini,M,ITA,6th,21
lap,1,3'05.613,31.727,32.272,30.021,34.758,149.7,,,
lap,2,2'01.541,26.559,31.368,29.578,34.036,275.5,,,
lap,3,2'00.964,26.347,31.202,29.486,33.929,279.0,,,
lap,4,1'57.234,P,26.173,31.047,29.459,30.555,281.2,,
lap,5,2'05.793,30.354,31.546,29.628,34.265,153.6,,,
lap,6,2'01.533,26.379,31.212,29.669,34.273,271.3,,,
lap,7,2'01.049,26.310,31.099,29.558,34.082,272.0,,,
lap,8,2'00.863,26.317,30.914,29.501,34.131,273.4,,,
lap,9,2'00.676,26.311,31.008,29.447,33.910,272.0,,,
rider,Cameron,BEAUBIE,American,Racing,USA,7th,6,,,
lap,1,2'58.192,33.538,32.528,30.407,34.637,137.5,,,
lap,2,2'02.906,26.781,31.804,30.082,34.239,276.2,,,
lap,3,2'01.671,26.674,31.267,29.610,34.120,276.2,,,
lap,4,2'01.309,26.489,31.141,29.611,34.068,277.6,,,
lap,5,2'01.314,26.761,31.149,29.395,34.009,278.3,,,
lap,6,2'01.281,26.315,31.456,29.488,34.022,279.7,,,
lap,7,2'01.578,26.520,31.080,29.690,34.288,276.2,,,
lap,8,2'14.043,37.556,31.986,29.812,34.689,272.7,,,
lap,9,2'00.692,26.404,31.071,29.392,33.825,279.7,,,
lap,10,2'05.114,26.559,31.206,274.1,,,,,
rider,Augusto,FERNAND,Elf,Marc,VDS,Racing,SPA,8th,37,
lap,1,2'41.768,32.443,32.806,30.680,35.260,151.6,,,
lap,2,2'03.282,26.759,31.813,30.262,34.448,280.5,,,
lap,3,2'02.267,26.503,31.514,29.844,34.406,279.7,,,
lap,4,2'01.743,26.362,31.306,29.631,34.444,276.2,,,
lap,5,2'01.193,26.330,31.046,29.587,34.230,274.8,,,
lap,6,2'01.118,26.237,31.130,29.535,34.216,276.9,,,
lap,7,2'02.647,27.191,31.141,29.633,34.682,275.5,,,
lap,8,2'01.702,26.352,31.152,29.709,34.489,275.5,,,
lap,9,2'00.705,26.287,31.077,29.426,33.915,280.5,,,
lap,10,2'00.900,26.240,31.022,29.601,34.037,277.6,,,
rider,9th,23,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,
lap,1,3'30.938,30.571,32.191,30.374,34.954,164.1,,,
lap,2,2'02.442,26.729,31.354,29.728,34.631,271.3,,,
lap,3,2'01.286,26.363,31.098,29.547,34.278,270.6,,,
lap,4,2'01.033,26.363,31.153,29.343,34.174,270.0,,,
lap,5,2'01.117,26.431,30.943,29.604,34.139,267.9,,,
lap,6,2'01.139,26.286,30.976,29.430,34.447,268.6,,,
lap,7,2'00.774,26.337,30.884,29.404,34.149,267.3,,,
lap,8,2'00.727,26.306,30.872,29.374,34.175,268.6,,,
lap,9,2'03.697,26.245,30.793,29.323,37.336,267.9,,,
rider,10th,25,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,
lap,1,3'24.262,31.710,33.249,30.345,35.354,144.3,,,
lap,2,2'03.781,27.227,31.995,30.220,34.339,274.1,,,
lap,3,2'01.500,26.633,31.229,29.481,34.157,272.0,,,
lap,4,2'00.986,26.390,31.087,29.414,34.095,272.7,,,
lap,5,2'00.864,26.416,31.005,29.343,34.100,274.1,,,
lap,6,2'00.810,26.348,31.001,29.365,34.096,274.8,,,
lap,7,2'00.841,26.402,31.003,29.316,34.120,272.7,,,
lap,8,2'08.304,29.994,33.545,30.340,34.425,273.4,,,
lap,9,2'01.143,26.537,31.001,29.477,34.128,275.5,,,
lap,10,2'00.875,26.232,31.055,29.522,34.066,274.1,,,
rider,11th,96,Jake,DIXON,Petronas,Sprinta,Raci,GBR,,
lap,1,2'58.254,36.390,32.044,30.175,34.481,98.0,,,
