0,1,2,3,4,5,6,7,8,9,10,11,12
const,2021,April 17,Moto2,Autódromo Internacional do Algarve,Q1,,,,,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,1st,35,Total,laps=9,laps=6,
lap,1,2'34.442,39.017,37.010,16.119,33.515,,,,,,
lap,2,1'44.204,22.011,32.878,15.750,33.565,277.6,,,,,
lap,3,1'44.079,22.131,33.102,15.731,33.115,275.5,,,,,
lap,4,1'43.712,21.960,33.047,15.652,33.053,279.0,,,,,
lap,5,1'51.489,27.641*,33.815,16.270,33.763,279.0,,,,,
lap,6,1'43.578,21.893,32.874,15.809,33.002,279.7,,,,,
lap,7,1'43.385,21.831,32.830*,15.748,32.976,282.7,,,,,
lap,8,1'43.318,21.861,32.786,15.594,33.077,282.7,,,,,
lap,9,1'48.287,23.408,35.648,15.835,33.396,276.2,,,,,
rider,2nd,75,Albert,ARENAS,Solunion,Aspar,Team,SPA,Total,laps=8,laps=6,
lap,1,2'47.492,41.897,40.500,16.423,34.045,,,,,,
lap,2,1'45.382,22.379,33.284,15.920,33.799,277.6,,,,,
lap,3,1'50.095,22.160,33.041,16.177,38.717,279.7,,,,,
lap,4,1'44.297,22.091,33.008,15.796*,33.402,279.7,,,,,
lap,5,1'43.419,21.884,32.826,15.727,32.982,280.5,,,,,
lap,6,1'45.072,21.928,32.994,16.123,34.027,281.2,,,,,
lap,7,1'44.184,21.860,32.946,15.689,33.689,281.2,,,,,
lap,8,1'43.724,22.008,32.741,15.703,33.272,280.5,,,,,
rider,Cameron,BEAUBIE,American,Racing,USA,3rd,6,Total,laps=9,laps=8,,
lap,1,2'25.810,33.609,37.697,16.779,36.195,,,,,,
lap,2,1'44.679,22.073,33.320,15.803,33.483,279.0,,,,,
lap,3,1'44.236,21.963,33.048,15.766,33.459,279.7,,,,,
lap,4,1'55.224,21.784,35.106,16.998,41.336,280.5,,,,,
lap,5,1'44.282,21.972,32.898,15.726,33.686,282.7,,,,,
lap,6,1'43.482,21.665,32.795,15.692,33.330,282.7,,,,,
lap,7,1'43.508,21.857,32.646,15.604,33.401,282.7,,,,,
lap,8,1'47.781,21.723,33.291,16.276,36.491,283.4,,,,,
lap,9,1'43.485,21.815,32.793,15.608,33.269,283.4,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,4th,97,Total,laps=8,laps=5,
lap,1,2'54.419,48.766,34.865,16.430,34.009,,,,,,
lap,2,1'50.256,22.518,33.195,15.829,38.714,276.2,,,,,
lap,3,1'43.865,22.088,32.955,15.760,33.062,276.9,,,,,
lap,4,1'43.825,22.019,32.889,15.739*,33.178,278.3,,,,,
lap,5,1'43.504,22.046,32.711,15.653,33.094,279.7,,,,,
lap,6,1'45.514,22.621,33.650,15.867,33.376,280.5,,,,,
lap,7,1'43.560,21.850,32.770,15.700,33.240,279.7,,,,,
lap,8,1'44.064,21.958,32.890,15.849,33.367,280.5,,,,,
rider,Marcel,SCHROTTE,Liqui,Moly,Intact,GP,GER,5th,23,Total,laps=8,laps=6
lap,1,3'21.252,30.572,35.092,16.406,33.600,,,,,,
lap,2,1'47.694,22.441,33.124,18.350,33.779,276.9,,,,,
lap,3,1'43.971,22.170,32.810,15.794,33.197,276.9,,,,,
lap,4,1'43.696,21.914,32.854,15.742,33.186,278.3,,,,,
lap,5,1'43.523,21.879,32.758,15.702,33.184,279.0,,,,,
lap,6,1'47.081,22.070,32.812,15.868,36.331,278.3,,,,,
lap,7,1'43.914,21.775,32.789,15.950,33.400,279.0,,,,,
lap,8,1'43.728,21.871,32.878,15.764,33.215,280.5,,,,,
rider,Stefano,MANZI,Flexbox,HP40,ITA,6th,62,Total,laps=9,laps=7,,
lap,1,2'30.000,31.497,35.809,16.864,33.776,,,,,,
lap,2,1'47.546,22.336,33.147,15.762,36.301,280.5,,,,,
lap,3,1'44.463,22.133,33.216,15.778,33.336,279.7,,,,,
lap,4,1'44.198,22.120,32.896,15.791,33.391,279.7,,,,,
lap,5,1'50.272,22.024,37.223,17.468,33.557,279.7,,,,,
lap,6,1'43.923,21.921,33.032,15.789,33.181,284.2,,,,,
lap,7,1'43.816,21.967,32.742,15.769,33.338,284.2,,,,,
lap,8,1'43.772,21.935,32.859,15.736,33.242,283.4,,,,,
lap,9,1'53.154,26.327*,36.364*,16.584,33.879,280.5,,,,,
