0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,April 17,Moto2,Autódromo Internacional do Algarve,Q2,,,,,,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,1st,22,Total,laps=8,laps=7,
lap,1,2'46.624,30.682,34.911,16.067,33.619,,,,,,,
lap,2,1'43.916,22.063,32.983,15.684,33.186,276.9,,,,,,
lap,3,1'42.918,21.687,32.653,15.503,33.075,278.3,,,,,,
lap,4,1'50.348,21.753,39.738,15.666,33.191,278.3,,,,,,
lap,5,1'43.098,21.708,32.677,15.657,33.056,277.6,,,,,,
lap,6,1'42.901,21.765,32.620,15.611,32.905,278.3,,,,,,
lap,7,1'51.114,27.997,33.381,15.931,33.805,277.6,,,,,,
lap,8,2'40.487,21.775,32.689,1'06.563,39.460,279.0,,,,,,
rider,Remy,GARDNER,Red,Bull,KTM,Ajo,AUS,2nd,87,Total,laps=9,laps=7,
lap,1,2'17.783,29.776,35.196,16.352,33.580,,,,,,,
lap,2,1'44.370,22.315,33.136,15.829*,33.090,275.5,,,,,,
lap,3,1'43.032,21.916,32.681,15.602,32.833,277.6,,,,,,
lap,4,1'42.924,21.890,32.651,15.556,32.827,277.6,,,,,,
lap,5,2'19.990,22.250,41.558,24.617,51.565,278.3,,,,,,
lap,6,1'43.651,21.916,32.783,15.616,33.336,278.3,,,,,,
lap,7,1'43.686,21.847,32.873,15.769,33.197,281.2,,,,,,
lap,8,1'43.070,21.775,32.669,15.670,32.956,276.9,,,,,,
lap,9,1'47.914,22.014,33.266,16.464,36.170,276.9,,,,,,
rider,3rd,97,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,Total,laps=8,laps=5,,
lap,1,2'23.005,31.836,34.906,16.258,34.393,,,,,,,
lap,2,1'45.020,22.212,33.094,15.893,33.821,274.8,,,,,,
lap,3,1'43.075,21.770,32.743,15.563,32.999,279.0,,,,,,
lap,4,1'50.163,21.891,39.223,15.790,33.259,281.2,,,,,,
lap,5,1'59.584,24.150,39.237,16.359,39.838,279.0,,,,,,
lap,6,2'00.422,22.183,44.483,15.862,37.894,275.5,,,,,,
lap,7,1'52.191,21.917,37.266*,16.025,36.983,276.2,,,,,,
lap,8,1'43.189,21.818,32.620,15.730*,33.021,279.0,,,,,,
rider,4th,79,Ai,OGURA,IDEMITSU,Honda,Te,JPN,Total,laps=9,laps=7,,
lap,1,2'27.845,31.683,34.988,16.174,33.972,,,,,,,
lap,2,1'44.516,22.276,33.121*,15.749,33.370,277.6,,,,,,
