0,1,2,3,4,5,6,7,8,9,10
const,2021,April 30,Moto2,Circuito de Jerez,FP1,,,,,
rider,Remy,GARDNER,Red,Bull,KTM,Ajo,AUS,1st,87,
lap,1,2'48.098,34.978,17.148,33.498,33.159,206.5,,,
lap,2,1'45.221,26.305,15.530,30.943,32.443,243.7,,,
lap,3,1'43.252,25.611,15.370,30.731,31.540,248.2,,,
lap,4,1'42.695,25.435,15.297,30.401,31.562,248.2,,,
lap,5,1'42.371,25.277,15.200,30.386,31.508,250.0,,,
lap,6,1'42.722,25.379*,15.246,30.375,31.722,247.1,,,
lap,7,1'42.125,25.316,15.211,30.232,31.366,244.8,,,
lap,8,1'51.765,P,35.475*,15.547,30.505,30.238,245.4,,
lap,9,1'55.579,35.998,15.959,31.467,32.155,241.6,,,
lap,10,1'48.660,25.385,15.725,35.909,31.641,237.3,,,
lap,11,1'44.078,26.004*,15.265,30.560,32.249,246.5,,,
lap,12,1'42.231,25.341,15.254,30.237,31.399,245.4,,,
lap,13,1'42.505,25.334,15.245,30.512,31.414*,245.4,,,
lap,14,1'42.318,25.352,15.187,30.289*,31.490,247.1,,,
lap,15,1'42.504,25.235*,15.270,30.372,31.627*,243.7,,,
lap,16,1'41.675,25.148,15.151,30.189,31.187,247.7,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,
lap,1,3'08.048,36.111,18.004,33.867,32.562,225.4,,,
lap,2,1'45.439,26.397*,15.467,31.473,32.102,248.2,,,
lap,3,1'43.280,25.760,15.288,30.642,31.590,251.1,,,
lap,4,1'44.102,25.513,15.716,31.017,31.856,238.9,,,
lap,5,1'42.928,25.474,15.296,30.545,31.613,248.8,,,
lap,6,1'43.028,25.362,15.471,30.664,31.531,243.7,,,
lap,7,1'42.750,25.547,15.323,30.362,31.518,247.1,,,
lap,8,1'40.489,P,26.075,15.419,30.763,28.232,248.2,,
lap,9,1'49.402,30.726,15.582,31.125,31.969,246.0,,,
lap,10,1'42.667,25.500,15.353,30.334,31.480,246.5,,,
lap,11,1'42.237,25.479,15.130,30.264,31.364,248.2,,,
lap,12,1'42.158,25.186,15.097,30.286,31.589*,250.0,,,
lap,13,1'42.541,25.459,15.260,30.431,31.391,247.7,,,
lap,14,1'42.068,25.286,15.205,30.189,31.388,250.0,,,
lap,15,1'41.913,25.299,15.134,30.229,31.251,250.0,,,
lap,16,1'41.797,25.287,15.115,30.145,31.250,251.7,,,
lap,17,1'41.965,25.269,15.161,30.185,31.350,249.4,,,
lap,18,1'42.117,25.340,15.182,30.233,31.362,250.0,,,
lap,19,1'41.850,25.233,15.163,30.181,31.273,248.8,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,3rd,22,
lap,1,2'48.814,32.673,16.926,32.323,33.326*,243.2,,,
lap,2,1'44.316,25.970,15.298,30.995,32.053,248.2,,,
lap,3,1'43.174,25.717,15.376,30.426,31.655,246.5,,,
lap,4,1'42.693,25.580*,15.334,30.353,31.426,244.8,,,
lap,5,1'42.439,25.350,15.357,30.260,31.472,245.4,,,
lap,6,1'42.749,25.332,15.291,30.413,31.713*,244.3,,,
lap,7,1'55.072,P,34.242*,17.748,33.959,29.123,189.8,,
lap,8,1'49.490,30.888,15.691,30.996,31.915,242.1,,,
lap,9,1'42.966,25.616,15.413,30.344,31.593*,244.3,,,
lap,10,1'42.216,25.309,15.293,30.183,31.431,243.7,,,
lap,11,1'42.554,25.342,15.257,30.602,31.353,243.7,,,
lap,12,1'41.909,25.228,15.264,30.154,31.263,242.1,,,
lap,13,1'45.502,P,26.668,16.454,31.623,30.757,236.3,,
lap,14,1'55.775,34.273,16.223,32.350,32.929,237.8,,,
lap,15,1'42.408,25.455,15.310,30.324,31.319,245.4,,,
lap,PIT,25.295,15.225,3'02.514,34.923,246.0,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,4th,25,
lap,1,2'52.582,31.896,15.887,32.124,33.157,244.8,,,
lap,2,1'44.278,26.132,15.288,30.990,31.868,247.7,,,
lap,3,1'43.363,25.817,15.291,30.577,31.678,246.5,,,
lap,4,1'42.773,25.662,15.354,30.338,31.419,247.1,,,
lap,5,1'43.220,25.532,15.304,30.554,31.830,247.7,,,
lap,6,1'43.230,25.713,15.314,30.614,31.589,251.1,,,
lap,7,1'42.352,25.472,15.241,30.293,31.346*,247.7,,,
lap,8,1'42.754,25.349,15.350,30.554,31.501,248.2,,,
lap,9,1'42.388,25.368,15.321,30.178,31.521,244.8,,,
lap,10,1'42.580,P,26.848,16.929,31.543,27.260,243.7,,
lap,11,1'52.499,33.312,15.826,31.343,32.018,245.4,,,
lap,12,1'42.864,25.507,15.354,30.447,31.556,246.5,,,
lap,13,1'49.552,27.280*,16.488,33.794,31.990,178.8,,,
lap,14,1'42.308,25.428,15.313,30.301,31.266,246.5,,,
lap,15,1'41.910,25.212,15.256,30.167,31.275,247.1,,,
lap,16,1'42.447,25.236,15.193,30.673*,31.345,249.4,,,
lap,17,1'42.443,25.307*,15.336,30.297,31.503,246.0,,,
rider,Jorge,NAVARRO,Lightech,Speed,Up,SPA,5th,9,,
lap,1,2'20.808,31.355,16.148,32.061,32.698,242.1,,,
lap,2,1'44.590,26.164,15.424,30.983,32.019,247.1,,,
lap,3,1'43.911,25.702,15.454,30.794,31.961,247.7,,,
lap,4,1'43.321,25.552,15.398,30.666,31.705,246.5,,,
lap,5,1'42.984,25.536,15.314,30.501,31.633,246.0,,,
lap,6,1'44.672,25.440,15.289,31.447,32.496,246.5,,,
lap,7,1'42.640,25.410,15.356,30.326,31.548,245.4,,,
lap,8,1'42.771,25.489,15.358,30.419,31.505,243.2,,,
lap,9,1'42.411,25.308,15.314,30.303,31.486,244.8,,,
lap,10,1'40.850,P,26.333,15.462,30.818,28.237,244.3,,
lap,11,2'02.483,30.072,15.454,30.666,46.291,244.8,,,
lap,12,1'42.603,25.450,15.376,30.329,31.448,245.4,,,
lap,13,1'42.264,25.308,15.395,30.163,31.398,244.8,,,
lap,14,1'41.985,25.194,15.186,30.209,31.396,248.2,,,
lap,15,1'41.918,25.258,15.220,30.107,31.333,248.2,,,
lap,16,1'49.226,31.033,15.877,30.866,31.450,234.7,,,
lap,17,1'42.287,25.208,15.231,30.250,31.598,248.2,,,
lap,18,1'42.208,25.249,15.209,30.206,31.544,250.0,,,
rider,Fabio,DI,GIANNANT,Federal,Oil,Gresini,M,ITA,6th,21
lap,1,2'47.662,33.559,16.729,33.149,33.133,238.4,,,
lap,2,1'45.957,26.697,15.655,31.421,32.184*,246.5,,,
lap,3,1'43.771,25.695,15.310,30.947,31.819,248.2,,,
lap,4,1'43.492,25.693,15.315,30.695,31.789,246.5,,,
lap,5,1'43.114,25.429,15.383,30.607,31.695,247.1,,,
lap,6,1'43.161,25.473,15.305,30.555,31.828,243.7,,,
lap,7,1'40.414,P,25.497,15.312,30.595,29.010,246.0,,
lap,8,1'50.203,30.742,15.771,31.335,32.355*,242.6,,,
lap,9,1'42.983,25.586,15.315,30.429,31.653,245.4,,,
lap,10,1'42.325,25.342,15.229,30.258,31.496,245.4,,,
lap,11,1'41.937,25.183,15.246,30.053,31.455,246.0,,,
lap,12,1'41.924,25.218,15.243,30.151,31.312,246.0,,,
lap,13,1'42.066,25.222,15.296,30.137,31.411,245.4,,,
lap,14,1'42.115,25.271,15.277,30.163,31.404,246.0,,,
lap,15,1'52.953,32.810*,17.654,30.809,31.680,237.3,,,
lap,16,1'42.042,25.146,15.164,30.251,31.481,249.4,,,
rider,Augusto,FERNAND,Elf,Marc,VDS,Racing,SPA,7th,37,
lap,1,2'32.017,34.177,16.429,32.052,32.569,243.2,,,
lap,2,1'45.565,26.424,15.748,31.143,32.250,246.0,,,
lap,3,1'43.823,26.014,15.434,30.674,31.701,246.5,,,
lap,4,1'43.121,25.666,15.368,30.498,31.589,247.1,,,
lap,5,1'42.953,25.517,15.237,30.540,31.659,247.1,,,
lap,6,1'42.952,25.489,15.320,30.496,31.647,246.0,,,
lap,7,1'42.504,25.375,15.302,30.304,31.523,245.4,,,
lap,8,1'42.575,25.387,15.316,30.383,31.489,245.4,,,
lap,9,1'42.425,25.364,15.310,30.216,31.535,245.4,,,
lap,10,1'41.352,P,26.690,15.984,31.432,27.246,240.5,,
lap,11,1'51.512,34.008,15.376,30.555,31.573,246.5,,,
lap,12,1'42.403,25.451,15.244,30.333,31.375,246.5,,,
lap,13,1'41.954,25.322,15.200,30.160,31.272,247.7,,,
lap,14,1'42.161,25.350,15.280,30.210,31.321,248.2,,,
lap,15,1'43.612,25.594,15.476,30.844,31.698,246.5,,,
lap,16,1'42.488,25.378,15.305,30.256,31.549,246.5,,,
lap,17,1'42.350,25.283,15.268,30.268,31.531,247.1,,,
rider,Somkiat,CHANTRA,IDEMITSU,Honda,Te,THA,8th,35,,
lap,1,2'33.659,31.277,16.125,32.227,32.425,245.4,,,
lap,2,1'45.452,26.081,15.203,31.611,32.557,251.1,,,
lap,3,1'44.455,26.152,15.424,30.962,31.917,249.4,,,
lap,4,1'43.576,25.961,15.249,30.650,31.716,247.1,,,
lap,5,1'43.798,25.799,15.277,30.831,31.891*,246.5,,,
lap,6,1'47.049,26.002,15.236,33.512,32.299*,248.2,,,
lap,7,1'43.459,25.783,15.255,30.791,31.630,247.1,,,
lap,8,1'43.431,25.489,15.225,30.838,31.879,246.5,,,
lap,9,1'43.078,25.436,15.312,30.710,31.620,247.7,,,
lap,10,1'39.287,P,25.465,15.170,30.705,27.947,247.1,,
lap,11,1'53.239,32.255,16.024,32.400,32.560,239.4,,,
lap,12,1'44.376,26.017,15.488,30.815,32.056*,244.3,,,
lap,13,1'44.652,26.452,15.395,30.711,32.094,245.4,,,
lap,14,1'42.849,25.436,15.221,30.521,31.671,246.5,,,
lap,15,1'42.595,25.480,15.202,30.381,31.532,246.5,,,
lap,16,1'42.446,25.465,15.218,30.344,31.419,247.7,,,
lap,17,1'43.450,26.554,15.109,30.295,31.492,248.2,,,
lap,18,1'42.222,25.315,15.093,30.367,31.447,248.8,,,
lap,19,1'42.094,25.328,15.170,30.205,31.391,247.7,,,
rider,9th,16,Joe,ROBERTS,Italtrans,Racing,Team,USA,,
lap,1,3'56.515,33.283,16.008,32.064,32.650,240.5,,,
lap,2,1'44.444,26.085,15.392,31.079,31.888,244.3,,,
lap,3,1'43.129,25.671,15.284,30.606,31.568,245.4,,,
lap,4,1'42.550,25.464,15.178,30.466,31.442,246.0,,,
lap,5,1'42.347,25.369,15.253,30.296,31.429,244.3,,,
lap,6,1'43.093,25.772,15.239,30.465,31.617,245.4,,,
lap,7,1'44.911,26.999,15.838,30.497,31.577,239.4,,,
lap,8,1'42.809,25.433,15.287,30.342,31.747,244.3,,,
lap,9,1'40.100,P,25.308,15.268,31.492,28.032,244.3,,
lap,10,1'48.869,30.636,15.636,30.765,31.832,243.2,,,
lap,11,1'43.972,25.826,15.307,31.163,31.676,244.3,,,
lap,12,1'42.733,25.560,15.289,30.335,31.549,245.4,,,
lap,13,1'42.172,25.381,15.202,30.255,31.334,246.5,,,
lap,14,1'42.181,25.400,15.166,30.250,31.365,247.1,,,
lap,15,1'42.638,25.410,15.163,30.264,31.801*,246.5,,,
lap,16,1'43.267,26.059,15.214,30.396,31.598,246.0,,,
lap,17,1'42.175,25.437,15.186,30.195,31.357,246.5,,,
rider,10th,96,Jake,DIXON,Petronas,Sprinta,Raci,GBR,,
lap,1,3'36.056,34.017,16.333,32.461,32.884,242.6,,,
lap,2,1'45.345,26.302,15.526,31.067,32.450,245.4,,,
lap,3,1'43.551,25.686,15.399,30.576,31.890*,246.0,,,
lap,4,1'43.669,25.576,15.431,30.603,32.059,243.7,,,
lap,5,1'43.732,25.585,15.542,30.701,31.904,240.0,,,
lap,6,1'43.521,25.476,15.421,30.701,31.923,245.4,,,
lap,7,1'46.034,27.918,15.573,30.677,31.866,243.7,,,
lap,8,1'47.039,27.324,16.347,31.490,31.878,223.6,,,
lap,9,1'43.182,25.555,15.354,30.459,31.814,245.4,,,
lap,10,1'39.572,P,25.507,15.485,30.327,28.253,243.2,,
lap,11,1'54.433,31.710,15.948,31.563,35.212,238.9,,,
lap,12,1'43.031,25.688*,15.326,30.363,31.654,246.5,,,
lap,13,1'42.209,25.413,15.221,30.185,31.390,247.1,,,
lap,14,1'50.522,27.467,17.489,31.807,33.759,204.5,,,
lap,15,1'42.903,25.458,15.226,30.399,31.820,247.1,,,
lap,16,1'44.641,25.508*,15.426,30.353,33.354,246.5,,,
lap,17,1'42.348,25.416*,15.214,30.213,31.505,247.1,,,
rider,Nicolò,BULEGA,Federal,Oil,Gresini,M,ITA,11th,11,
lap,1,2'49.988,31.439,16.465,32.864,33.544,241.0,,,
lap,2,1'45.865,26.624,15.506,31.641,32.094,244.8,,,
lap,3,1'43.592,25.820,15.238,30.768,31.766,247.7,,,
lap,4,1'43.504,25.830,15.304,30.713,31.657,243.2,,,
lap,5,1'43.710,25.913,15.219,30.767,31.811,248.2,,,
