0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,May 01,Moto2,Circuito de Jerez,Q2,,,,,,,,
rider,Remy,GARDNER,Red,Bull,KTM,Ajo,AUS,1st,87,Total,laps=8,laps=4,
lap,1,1'50.483,32.310,15.637,30.698,31.744,242.6,,,,,,
lap,2,1'40.667,24.825,15.154,29.777,30.911,244.3,,,,,,
lap,3,1'40.604,P,24.873,15.183,29.916,30.632,243.7,,,,,
lap,4,1'53.537,29.878,15.579,31.588,36.492,241.0,,,,,,
lap,5,1'41.189,25.139,15.068,29.929,31.053,244.3,,,,,,
lap,6,1'44.739,24.829,15.103,32.591,32.216,244.8,,,,,,
lap,7,1'41.099,24.855,15.075,30.134,31.035,242.6,,,,,,
lap,8,1'51.146,24.957*,15.380,33.978,36.831,216.4,,,,,,
rider,Fabio,DI,GIANNANT,Federal,Oil,Gresini,M,ITA,2nd,21,Total,laps=8,laps=4
lap,1,2'58.211,28.905,15.385,30.290,31.384,245.4,,,,,,
lap,2,1'40.738,24.891,15.070,29.750,31.027,246.0,,,,,,
lap,3,1'40.839,24.934,15.045,29.741,31.119,247.7,,,,,,
lap,4,1'38.384,P,24.964,15.117,31.760,26.543,246.5,,,,,
lap,5,1'45.191,28.240,15.304,30.288*,31.359,245.4,,,,,,
lap,6,1'48.532,25.128,15.101,36.733,31.570,245.4,,,,,,
lap,7,1'41.629,25.121,15.106,30.108,31.294,246.0,,,,,,
lap,8,1'42.063,25.138*,15.153,30.312,31.460,248.2,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,3rd,72,Total,laps=8,laps=4,
lap,1,1'52.367,28.442,15.496,30.455,31.444,242.6,,,,,,
lap,2,1'41.219,25.239,15.080,29.893,31.007,246.5,,,,,,
lap,3,1'40.753,24.846,15.012,29.933,30.962,250.5,,,,,,
lap,4,1'38.955,P,24.983,15.321,31.396,27.255,238.4,,,,,
lap,5,1'46.751,28.958,15.242,30.984,31.567,246.0,,,,,,
lap,6,1'41.760,25.038,15.105,30.215,31.402,246.0,,,,,,
lap,7,1'44.286,24.955,15.094,30.303*,33.934,244.8,,,,,,
lap,8,1'41.360,25.124,15.130,29.922,31.184,244.3,,,,,,
rider,Raul,FERNANDEZ,Red,Bull,KTM,Ajo,SPA,4th,25,Total,laps=8,laps=4,
lap,1,2'36.592,50.094,15.651,30.954,38.812,243.7,,,,,,
lap,2,1'41.236,25.244,15.117,29.870,31.005,246.5,,,,,,
lap,3,1'41.087,24.998,15.132,29.931,31.026,246.0,,,,,,
lap,4,1'42.540,P,29.025,15.265,31.205,27.045,246.5,,,,,
lap,5,1'54.571,31.463,16.344,30.901,35.863,235.8,,,,,,
lap,6,1'57.216,25.122,15.214,36.517*,40.363,241.0,,,,,,
lap,7,1'40.996,25.014,15.131,29.820,31.031,247.7,,,,,,
lap,8,1'40.808,24.942,14.946,29.976,30.944,252.3,,,,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,5th,22,Total,laps=8,laps=4,
lap,1,2'41.090,29.504,15.789,31.086,31.991,231.7,,,,,,
lap,2,1'41.029,25.159,15.113,29.814,30.943,246.0,,,,,,
lap,3,1'41.216,25.249,15.011,29.971,30.985,250.0,,,,,,
lap,4,1'37.032,P,24.986,15.035,30.204,26.807,248.8,,,,,
lap,5,1'45.693,29.116,15.240,30.144,31.193,242.1,,,,,,
lap,6,1'40.912,24.999,15.059,29.809,31.045,244.8,,,,,,
lap,7,1'40.833,24.882,15.021,29.633,31.297,244.8,,,,,,
lap,PIT,2'01.222,31.234,34.214,43.498,,,,,,,,
rider,Xavi,VIERGE,Petronas,Sprinta,Raci,SPA,6th,97,Total,laps=8,laps=5,,
lap,1,2'39.000,50.213,20.110,35.111,35.508,113.9,,,,,,
lap,2,1'41.828,25.219,15.125,30.317,31.167,250.5,,,,,,
lap,3,1'41.228,25.043,15.097,30.025,31.063,248.2,,,,,,
lap,4,1'41.038,24.905,15.045,30.033,31.055,248.2,,,,,,
lap,5,1'39.837,P,26.406,15.338,30.786,27.307,246.0,,,,,
lap,6,1'46.723,29.498,15.319,30.543,31.363,245.4,,,,,,
lap,7,1'42.855,25.013,15.153,30.297,32.392,244.3,,,,,,
lap,8,1'44.468,25.222,15.227,31.735,32.284,246.5,,,,,,
rider,Augusto,FERNAND,Elf,Marc,VDS,Racing,SPA,7th,37,Total,laps=8,laps=4,
lap,1,2'35.784,30.582,15.778,31.252,39.060,243.2,,,,,,
lap,2,1'42.536,25.421,15.184,30.066,31.865,246.5,,,,,,
lap,3,1'41.579,25.125,15.153,30.007,31.294,248.8,,,,,,
lap,4,1'41.210,25.068,15.125,29.879,31.138,247.1,,,,,,
lap,5,1'37.914,P,25.095,15.182,31.561,26.076,246.5,,,,,
lap,6,1'49.820,31.396,15.464,30.723,32.237,242.1,,,,,,
lap,7,1'44.116,25.421*,15.396,30.409,32.890,244.8,,,,,,
lap,8,1'49.154,25.344,15.327,36.367,32.116,246.5,,,,,,
rider,Joe,ROBERTS,Italtrans,Racing,Team,USA,8th,16,Total,laps=7,laps=3,,
lap,1,3'04.557,29.093,15.440,30.456,31.740,243.2,,,,,,
lap,2,1'41.237,25.129,15.120,29.990,30.998,245.4,,,,,,
lap,3,1'41.235,25.045,15.145,29.974,31.071,245.4,,,,,,
lap,4,1'41.317,25.081,15.122,29.991,31.123*,246.5,,,,,,
