0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,May 02,Moto2,Circuito de Jerez,RACE,,,,,,,,
rider,Fabio,DI,GIANNANT,Federal,Oil,Gresini,M,ITA,1st,21,Total,laps=23,laps=22
lap,1,1'47.538,30.907,15.206,30.112,31.313,245.4,,,,,,
lap,2,1'41.524,25.143,15.107,29.988,31.286,247.1,,,,,,
lap,3,1'41.635,25.110,15.147,30.028,31.350,247.1,,,,,,
lap,4,1'41.560,25.149,15.150,29.983,31.278,246.5,,,,,,
lap,5,1'41.526,25.018,15.118,29.980,31.410,248.2,,,,,,
lap,6,1'41.505,25.014,15.173,30.028,31.290,248.2,,,,,,
lap,7,1'41.639,25.093,15.162,30.012,31.372,248.2,,,,,,
lap,8,1'41.662,25.084,15.175,30.021,31.382,247.7,,,,,,
lap,9,1'41.683,25.133,15.181,30.043,31.326,247.7,,,,,,
lap,10,1'41.760,25.125,15.170,30.148,31.317,248.8,,,,,,
lap,11,1'41.637,25.082,15.110,30.089,31.356,248.2,,,,,,
lap,12,1'41.674,25.130,15.107,30.103,31.334,249.4,,,,,,
lap,13,1'41.647,25.152,15.114,30.084,31.297,248.8,,,,,,
lap,14,1'41.773,25.167,15.166,30.083,31.357,247.7,,,,,,
lap,15,1'41.971,25.269,15.173,30.182,31.347,247.7,,,,,,
lap,16,1'41.901,25.275,15.198,30.094,31.334,246.5,,,,,,
lap,17,1'41.659,25.211,15.144,29.975,31.329,248.2,,,,,,
lap,18,1'41.704,25.105,15.136,30.009,31.454,247.7,,,,,,
lap,19,1'41.871,25.171,15.232,30.124,31.344,247.1,,,,,,
lap,20,1'41.741,25.184,15.173,30.055,31.329,247.7,,,,,,
lap,21,1'42.046,25.254,15.191,30.110,31.491,248.2,,,,,,
lap,22,1'42.101,25.311,15.167,30.134,31.489,248.2,,,,,,
lap,23,1'43.639,25.397,15.307,30.304,32.631,244.8,,,,,,
rider,Marco,BEZZECCHI,SKY,Racing,Team,VR,ITA,2nd,72,Total,laps=23,laps=21,
lap,1,1'49.282,31.394,15.275,31.268,31.345,243.7,,,,,,
lap,2,1'42.048,25.635,15.042,30.275,31.096,252.3,,,,,,
lap,3,1'41.719,25.348,15.061,30.183,31.127,254.1,,,,,,
lap,4,1'41.371,25.207,15.066,30.037,31.061,249.4,,,,,,
lap,5,1'41.525,25.176,15.028,30.145,31.176,250.5,,,,,,
lap,6,1'41.627,25.205,15.066,30.203,31.153,251.7,,,,,,
lap,7,1'41.881,25.295,15.102,30.245,31.239*,250.5,,,,,,
lap,8,1'42.383,25.328,15.084,30.250,31.721,250.5,,,,,,
lap,9,1'41.561,25.224,15.051,30.140,31.146,250.0,,,,,,
lap,10,1'41.667,25.252,15.038,30.308,31.069,253.5,,,,,,
lap,11,1'41.607,25.283,14.986,30.139,31.199,254.1,,,,,,
lap,12,1'41.583,25.173,15.034,30.253,31.123,251.1,,,,,,
lap,13,1'41.721,25.128,15.025,30.476,31.092,250.5,,,,,,
lap,14,1'41.559,25.294,15.043,30.143,31.079,249.4,,,,,,
lap,15,1'41.823,25.385,15.012,30.298,31.128,249.4,,,,,,
lap,16,1'41.773,25.224,15.078,30.279,31.192,249.4,,,,,,
lap,17,1'41.770,25.178,15.076,30.220,31.296,252.3,,,,,,
lap,18,1'41.647,25.226,15.134,30.118,31.169,248.2,,,,,,
lap,19,1'41.716,25.167,15.187,30.171,31.191,247.7,,,,,,
lap,20,1'41.882,25.220,15.249,30.138,31.275,248.2,,,,,,
lap,21,1'42.153,25.351,15.180,30.293,31.329,250.0,,,,,,
lap,22,1'42.400,25.422,15.238,30.380,31.360,249.4,,,,,,
lap,23,1'42.420,25.429,15.223,30.355,31.413,247.7,,,,,,
rider,Sam,LOWES,Elf,Marc,VDS,Racing,GBR,3rd,22,Total,laps=23,laps=20,
lap,1,1'49.196,31.918,15.175,30.640,31.463,251.1,,,,,,
lap,2,1'41.687,25.411,15.013,30.158,31.105,251.7,,,,,,
lap,3,1'41.313,25.216,15.002,30.007,31.088,249.4,,,,,,
lap,4,1'41.683,25.123,15.102,30.247,31.211,249.4,,,,,,
lap,5,1'41.618,25.142,15.084,30.168,31.224,249.4,,,,,,
lap,6,1'41.803,25.258,15.088,30.098,31.359,250.5,,,,,,
lap,7,1'42.116,25.300,15.090,30.305,31.421,248.2,,,,,,
lap,8,1'42.362,25.484,15.105,30.250,31.523,250.0,,,,,,
lap,9,1'42.047,25.387,15.227,30.283,31.150,245.4,,,,,,
lap,10,1'41.925,25.344,15.166,30.159,31.256,248.2,,,,,,
lap,11,1'41.777,25.273,15.077,30.172,31.255,249.4,,,,,,
lap,12,1'41.700,25.350*,15.063,30.122,31.165,250.0,,,,,,
lap,13,1'41.884,25.185,15.062,30.302,31.335*,249.4,,,,,,
lap,14,1'41.670,25.225,15.175,30.120,31.150,248.2,,,,,,
lap,15,1'41.911,25.300,15.127,30.292,31.192,247.7,,,,,,
lap,16,1'41.774,25.200,15.135,30.165,31.274,247.7,,,,,,
lap,17,1'41.645,25.294,15.099,30.121,31.131,249.4,,,,,,
lap,18,1'41.799,25.265,15.150,30.151,31.233,247.7,,,,,,
lap,19,1'41.863,25.398,15.159,30.192,31.114,247.7,,,,,,
lap,20,1'41.901,25.350,15.143,30.237,31.171,249.4,,,,,,
