0,1,2,3,4,5,6,7,8,9,10,11,12,13
const,2021,April 02,Moto3,Losail International Circuit,FP1,,,,,,,,
rider,Jaume,MASIA,Red,Bull,KTM,Ajo,SPA,1st,5,Total,laps=12,laps=7,
lap,1,4'16.934,33.716,33.609,31.511,36.584,131.0,,,,,,
lap,2,2'07.221,28.295,31.975,30.751,36.200,233.7,,,,,,
lap,3,2'07.047,28.329,31.922,30.647,36.149,233.7,,,,,,
lap,4,2'06.944,28.203,31.809,30.658,36.274,232.2,,,,,,
lap,5,2'06.390,P,30.105,32.763,31.644,31.878,231.2,,,,,
lap,6,2'14.017,33.027,33.013,31.288,36.689*,135.5,,,,,,
lap,7,2'07.289,28.097,32.049,30.808,36.335,232.7,,,,,,
lap,8,2'06.834,27.994,31.866,30.760,36.214,233.2,,,,,,
lap,9,2'06.611,27.945,31.937,30.709,36.020,234.7,,,,,,
lap,10,2'05.322,P,28.332,32.976,31.712,32.302,235.2,,,,,
lap,11,2'19.173,32.853,32.957,33.481,39.882,135.5,,,,,,
lap,12,2'05.360,27.804,31.590,30.364,35.602,235.8,,,,,,
rider,Dennis,FOGGIA,Leopard,Racing,ITA,2nd,7,Total,laps=10,laps=3,,,
lap,1,6'06.489,33.514,32.567,30.882,36.481,142.2,,,,,,
lap,2,2'07.175,28.150,31.921,30.959,36.145*,238.9,,,,,,
lap,3,2'07.023,28.159,31.852,30.781,36.231,235.2,,,,,,
lap,4,2'05.880,P,28.791,33.344,31.672,32.073,236.3,,,,,
lap,5,2'11.766,31.926,32.339,31.061,36.440,142.8,,,,,,
lap,6,2'10.393,31.004,32.224,30.836,36.329*,235.2,,,,,,
lap,7,2'06.985,28.107,31.982,30.743,36.153,237.3,,,,,,
lap,8,2'07.205,P,30.602,33.219,30.907,32.477,238.4,,,,,
lap,9,2'12.814,32.943,32.458,30.690,36.723,141.1,,,,,,
lap,10,2'05.922,27.911,31.695,30.436,35.880,235.2,,,,,,
rider,Filip,SALAC,Rivacold,Snipers,Tea,CZE,3rd,12,Total,laps=11,laps=5,,
lap,1,4'27.668,31.636,32.753,31.175,36.935*,148.5,,,,,,
lap,2,2'08.056,28.586,31.991,30.857,36.622,233.7,,,,,,
lap,3,2'11.242,28.935,34.902,30.852,36.553*,230.2,,,,,,
lap,4,2'08.357,28.324,32.401,31.077,36.555,229.7,,,,,,
lap,5,2'08.160,28.392,32.205,30.889,36.674,230.7,,,,,,
lap,6,2'06.438,P,29.855,32.737,31.147,32.699,227.3,,,,,
lap,7,2'12.897,32.323,32.644,31.074,36.856*,144.7,,,,,,
lap,8,2'08.588,28.458,32.268,31.105,36.757,227.8,,,,,,
lap,9,2'04.380,P,28.581,32.514,31.237,32.048,227.8,,,,,
lap,10,2'18.498,31.950,32.964,32.234,41.350*,140.9,,,,,,
lap,11,2'06.155,27.784,31.737,30.613,36.021,235.2,,,,,,
rider,John,MCPHEE,Petronas,Sprinta,Raci,GBR,4th,17,Total,laps=11,laps=5,,
lap,1,6'29.321,36.185,33.684,31.527,37.707,126.0,,,,,,
lap,2,2'08.017,28.297,32.200,30.949,36.571*,229.7,,,,,,
lap,3,2'07.983,28.315,32.129,31.082,36.457,231.7,,,,,,
lap,4,2'13.499,33.536,32.454,30.905,36.604,228.3,,,,,,
lap,5,2'08.225,28.686,32.214,30.915,36.410,228.8,,,,,,
lap,6,2'02.680,P,28.187,32.040,31.007,31.446,228.8,,,,,
lap,7,2'14.462,34.005,32.666,31.082,36.709,133.8,,,,,,
lap,8,2'07.797,28.283,32.174,30.916,36.424,229.2,,,,,,
lap,9,2'06.225,P,29.252,32.775,31.667,32.531,223.6,,,,,
lap,10,2'21.927,34.697,34.581,115.6,,,,,,,,
lap,11,2'06.215,28.024,31.734,30.484,35.973,232.2,,,,,,
rider,Andi,Farid,IZDIHAR,Honda,Team,Asia,INA,5th,19,Total,laps=12,laps=6,
lap,1,3'55.251,37.171,33.864,31.806,38.138*,94.2,,,,,,
lap,2,2'09.215,28.966,32.516,31.097,36.636,235.8,,,,,,
lap,3,2'08.344,28.420,32.087,31.228,36.609*,231.2,,,,,,
lap,4,2'08.629,28.306,32.737,30.923,36.663,227.8,,,,,,
lap,5,2'08.238,P,28.435*,32.764,32.898,34.141,229.7,,,,,
lap,6,2'16.170,34.067,32.831,31.632,37.640,113.0,,,,,,
lap,7,2'08.058,27.977,32.205,31.318,36.558,234.2,,,,,,
lap,8,2'07.825,28.012,32.202,31.120,36.491,229.7,,,,,,
lap,9,2'09.114,28.234,32.332,31.384,37.164,234.7,,,,,,
lap,10,2'06.806,P,28.196,32.737,31.488,34.385,234.2,,,,,
lap,11,2'17.525,32.323,36.136,31.049,38.017*,138.2,,,,,,
lap,12,2'06.279,27.840,31.778,30.553,36.108,234.2,,,,,,
rider,Yuki,KUNII,Honda,Team,Asia,JPN,6th,92,Total,laps=11,laps=3,,
lap,1,3'58.557,32.660,32.953,31.178,36.910,137.2,,,,,,
lap,2,2'08.415,28.463,32.243,31.165,36.544*,230.7,,,,,,
lap,3,2'07.494,28.150,32.028,30.783,36.533,233.2,,,,,,
lap,4,2'07.898,28.236,32.029,30.925,36.708*,233.2,,,,,,
lap,5,2'06.127,P,28.547,32.666,31.299,33.615,228.3,,,,,
lap,6,2'17.676,33.331,34.004,32.104,38.237*,129.4,,,,,,
lap,7,2'08.773,28.299,32.415,31.373,36.686,231.2,,,,,,
