0,1,2,3,4,5,6,7,8,9,10,11,12
const,2021,April 03,Moto3,Losail International Circuit,Q2,,,,,,,
rider,Jaume,MASIA,Red,Bull,KTM,Ajo,SPA,1st,5,Total,laps=5,laps=2
lap,1,2'15.471,33.826,32.457,30.835,37.232,130.2,,,,,
lap,2,2'07.477,28.368,31.701,30.486,36.922,217.7,,,,,
lap,3,2'03.571,P,28.673,32.296,30.599,32.003,215.5,,,,
lap,4,2'43.170,58.258,37.654,30.764,36.494,,,,,,
lap,5,2'05.913,28.020,31.495,30.232,36.166,225.0,,,,,
rider,Sergio,GARCIA,GASGAS,Gaviota,As,SPA,2nd,11,Total,laps=5,laps=2,
lap,1,2'17.540,31.547,32.099,30.631,36.649,143.4,,,,,
lap,2,2'06.738,28.079,31.800,30.335,36.524,224.5,,,,,
lap,3,2'03.293,P,28.183,31.794,30.549,32.767,222.6,,,,
lap,4,2'53.039,1'08.508,37.153,30.792,36.586,,,,,,
lap,5,2'06.012,27.801,31.531,30.243,36.437,227.3,,,,,
rider,Jeremy,ALCOBA,Indonesian,Racing,Gr,SPA,3rd,52,Total,laps=6,laps=2,
lap,1,2'42.432,32.369,32.429,30.917,41.703*,135.1,,,,,
lap,2,2'07.371,28.424,31.702,30.445,36.800*,220.8,,,,,
lap,3,2'07.121,28.482,31.655,30.471,36.513,220.4,,,,,
lap,4,2'02.678,P,28.494,32.047,31.117,31.020,219.5,,,,
lap,5,2'27.636,38.686,32.640,35.045,41.265,71.3,,,,,
lap,6,2'06.158,28.275,31.416,30.373,36.094,227.8,,,,,
rider,Gabriel,RODRIGO,Indonesian,Racing,Gr,ARG,4th,2,Total,laps=6,laps=2,
lap,1,2'42.138,31.899,32.254,30.788,38.994,141.9,,,,,
lap,2,2'07.649,28.099,31.843,30.465,37.242*,222.2,,,,,
lap,3,2'07.096,28.180,31.525,30.506,36.885,218.1,,,,,
lap,4,2'05.092,P,28.450,31.899,32.077,32.666,218.1,,,,
lap,5,2'22.522,35.923,31.690,37.118,37.791,122.0,,,,,
lap,6,2'06.346,28.070,31.475,30.323,36.478,221.7,,,,,
rider,Tatsuki,SUZUKI,SIC58,Squadra,Corse,JPN,5th,24,Total,laps=5,laps=1,
lap,1,2'20.919,31.426,32.303,30.829,36.819*,147.5,,,,,
lap,2,2'07.745,28.376,31.793,30.707,36.869*,221.3,,,,,
lap,3,2'04.450,P,28.596,32.027,30.876,32.951,217.7,,,,
lap,4,2'50.871,1'06.367,37.004,30.902,36.598,,,,,,
lap,5,2'06.407,28.038,31.655,30.400,36.314,225.9,,,,,
rider,Andrea,MIGNO,Rivacold,Snipers,Tea,ITA,6th,16,Total,laps=6,laps=3,
